cat;Categoria;Data;Qt_Operações
C;C - Conglomerado;mar/13;338.800.308
C%;C - Conglomerado;mar/13;82,31%
I;I - Instituição independente;mar/13;72.832.059
I%;I - Instituição independente;mar/13;17,69%
b1;b1 - Banco Comercial, Banco Múltiplo com Carteira Comercial ou Caixa Econômica;mar/13;373.457.340
b1%;b1 - Banco Comercial, Banco Múltiplo com Carteira Comercial ou Caixa Econômica;mar/13;90,73%
b2;b2 - Banco Múltiplo sem Carteira Comercial ou Banco de Investimento ou Banco de Câmbio;mar/13;6.053.401
b2%;b2 - Banco Múltiplo sem Carteira Comercial ou Banco de Investimento ou Banco de Câmbio;mar/13;1,47%
b3S;b3S - Cooperativa de Crédito Singulares;mar/13;6.235.833
b3S%;b3S - Cooperativa de Crédito Singulares;mar/13;1,51%
b3C;b3C - Central e Confederação de Cooperativas de Crédito;mar/13;1.154
b3C%;b3C - Central e Confederação de Cooperativas de Crédito;mar/13;0,00%
b4;b4 - Banco de Desenvolvimento;mar/13;96.422
b4%;b4 - Banco de Desenvolvimento;mar/13;0,02%
n1;n1 - Não Bancário de Crédito;mar/13;25.787.537
n1%;n1 - Não Bancário de Crédito;mar/13;6,26%
n2;n2 - Não Bancário de Mercado de Capitais;mar/13;680
n2%;n2 - Não Bancário de Mercado de Capitais;mar/13;0,00%
1;1 - Público;mar/13;90.026.024
1%;1 - Público;mar/13;21,87%
2;2 - Privado Nacional;mar/13;246.009.921
2%;2 - Privado Nacional;mar/13;59,76%
3;3 - Privado com Controle Estrangeiro;mar/13;75.596.422
3%;3 - Privado com Controle Estrangeiro;mar/13;18,37%
