Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total_Carteira_PF;PF_Consignado_Vencido_15d;PF_Consignado_Vencer_90d;PF_Consignado_Vencer_91-360d;PF_Consignado_Vencer_361-1080d;PF_Consignado_Vencer_1081-1800d;PF_Consignado_Vencer_1801-5400d;PF_Consignado_Vencer_acima_5400d;PF_Consignado_TOTAL;PF_Não_Consignado_Vencido_15d;PF_Não_Consignado_Vencer_90d;PF_Não_Consignado_Vencer_91-360d;PF_Não_Consignado_Vencer_361-1080d;PF_Não_Consignado_Vencer_1081-1800d;PF_Não_Consignado_Vencer_1801-5400d;PF_Não_Consignado_Vencer_acima_5400d;PF_Não_Consignado_TOTAL;PF_Veículos_Vencido_15d;PF_Veículos_Vencer_90d;PF_Veículos_Vencer_91-360d;PF_Veículos_Vencer_361-1080d;PF_Veículos_Vencer_1081-1800d;PF_Veículos_Vencer_1801-5400d;PF_Veículos_Vencer_acima_5400d;PF_Veículos_TOTAL;PF_Hab_Vencido_15d;PF_Hab_Vencer_90d;PF_Hab_Vencer_91-360d;PF_Hab_Vencer_361-1080d;PF_Hab_Vencer_1081-1800d;PF_Hab_Vencer_1801-5400d;PF_Hab_Vencer_acima_5400d;PF_Hab_TOTAL;PF_Cartão_Vencido_15d;PF_Cartão_Vencer_90d;PF_Cartão_Vencer_91-360d;PF_Cartão_Vencer_361-1080d;PF_Cartão_Vencer_1081-1800d;PF_Cartão_Vencer_1801-5400d;PF_Cartão_Vencer_acima_5400d;PF_Cartão_TOTAL;PF_Rural_Vencido_15d;PF_Rural_Vencer_90d;PF_Rural_Vencer_91-360d;PF_Rural_Vencer_361-1080d;PF_Rural_Vencer_1081-1800d;PF_Rural_Vencer_1801-5400d;PF_Rural_Vencer_acima_5400d;PF_Rural_TOTAL;PF_Outros_Vencido_15d;PF_Outros_Vencer_90d;PF_Outros_Vencer_91-360d;PF_Outros_Vencer_361-1080d;PF_Outros_Vencer_1081-1800d;PF_Outros_Vencer_1801-5400d;PF_Outros_Vencer_acima_5400d;Outros_TOTAL;Total_Exterior_PF
CAIXA ECONOMICA FEDERAL;360305;b1;I;1;;6;BRASILIA;DF;01/06/2012;216549087;2318965;6797552;574719;4128852;7094298;5899758;0;26814144;867269;1682221;283524;1460236;339942;21459;0;4654652;340758;522;12598;349132;1304200;0;0;2007210;1504238;6773845;16922424;43677808;39184214;57751690;3798448;169612667;491319;3437186;865198;19531;2;0;0;4813236;0;0;0;0;0;0;0;0;1135992;2792583;2140230;2054773;504996;18605;0;8647179;0
BB;49906;b1;C;1;;199;BRASILIA;DF;01/06/2012;165517353;185653;3381774;9355598;18278493;9215193;2530712;0;42947423;407375;2891340;7390426;8748392;3561744;1338145;5;24337427;33928;736911;1976433;2743537;582495;3;0;6073307;6316;145696;351360;891129;839069;3502995;1953061;7689626;1048526;11163290;1553588;5729;15;0;0;13771149;443753;10233019;17877700;15426443;10183614;8910828;3021101;66096459;260740;1003156;2421452;633675;214686;68234;20;4601963;0
ITAU;10069;b1;C;2;;199;SAO PAULO;SP;01/06/2012;159285097;112334;927553;2306347;4458920;1998422;34374;0;9837949;670806;2461844;5060813;6438256;792335;3308;0;15427362;1510150;5978698;15080090;27445260;6532356;6158;0;56552712;31920;349368;825341;2012532;1810009;6150042;4557388;15736600;4212591;27604943;9043296;115787;0;0;0;40976616;11642;49600;93004;74184;61544;97347;0;387320;1513239;5136864;2073876;3311853;494065;6192;0;12536088;7830449
SANTANDER;30379;b1;C;3;;199;SAO PAULO;SP;01/06/2012;110348095;522220;1474029;3636998;5531367;1835022;357973;4;13357613;1926236;1520337;3220023;5089996;1043993;75204;8;12875797;678051;4109323;10149720;14521719;2734213;4786;0;32197811;21651;472705;1123398;2313842;1639476;3590794;1079334;10241200;1590831;12012405;767493;173710;60201;26400;2;14631043;35411;526500;977637;578253;100107;76942;335;2295186;2370884;4974697;2045981;2213507;1024485;231883;183;12861620;11887826
BRADESCO;10045;b1;C;2;;199;OSASCO;SP;01/06/2012;103400413;88457;1539722;4067040;6329492;2079269;204188;0;14308168;675752;3809935;4941480;3649635;764528;305837;32;14147198;738134;3981969;9635734;13175807;2207786;4094;0;29743523;23806;170926;466136;1161402;1051587;3580689;2120757;8575303;2940761;10936326;4030854;83516;641;3;0;17992102;76926;2002850;4677472;2053890;1163997;775748;0;10750883;944213;4092599;1440039;1046888;192483;26916;19385;7762524;120712
VOTORANTIM;51011;b1;C;2;;199;SAO PAULO;SP;01/06/2012;48937228;174396;1173118;2987591;4730163;1287909;22866;0;10376042;9844;13034;116678;11629;3076;112;0;154374;1447088;4783104;11648765;17440266;2515488;1262;6355;37842328;0;0;0;0;0;0;0;0;113737;88925;16910;31;0;0;0;219603;3132;9999;12058;20199;16394;28962;0;90744;5640;34930;93161;95902;18822;5682;0;254137;0
BMG;30290;b1;C;2;;199;BELO HORIZONTE;MG;01/06/2012;22343453;159039;2093698;5536888;9329005;2967221;101924;29;20187804;75173;48851;49014;20542;3569;106;0;197255;61050;173078;373447;335127;25806;2;0;968509;0;0;0;0;0;0;0;0;54917;860128;97;76;32;35;0;915286;0;0;0;0;0;0;0;0;5618;6784;16970;28969;16256;0;0;74598;0
HSBC;51152;b1;C;3;;199;CURITIBA;PR;01/06/2012;20433181;9900;81164;221006;358399;109863;9049;49;789430;611538;1560569;2326911;1108756;14190;0;7593;5629557;88143;566436;1388338;2254714;415489;741;7;4713868;3983;76741;177043;444959;227945;1652745;814215;3397631;539016;2052582;299164;22020;1209;0;3;2913993;15260;384485;420069;158639;42;0;0;978496;270963;428778;894648;305823;75655;23659;10680;2010206;0
CITIBANK;30403;b1;C;3;;199;SAO PAULO;SP;01/06/2012;11911179;7054;45264;113583;232909;70046;412;0;469268;110242;393507;879662;1270276;103893;70;0;2757651;0;0;0;0;0;0;0;0;458;9559;24723;61071;54163;190029;114410;454413;882841;5760421;1047316;12189;5;0;0;7702773;0;49763;6386;0;0;0;0;56149;90356;264707;37630;64327;11389;21;2496;470926;0
BANRISUL;30173;b1;C;1;;199;PORTO ALEGRE;RS;01/06/2012;10167745;13805;421370;1174627;2197771;986816;35719;21;4830128;47972;315237;543352;137339;35605;32760;3;1112267;842;23146;64686;125971;41617;1239;0;257500;2085;29700;83828;222907;215444;707520;384028;1645513;21527;33051;5814;5686;0;0;0;66078;27379;215633;276034;213884;126381;178256;0;1037567;119617;609246;141346;207306;91449;48594;1135;1218693;0
