Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Qt_Clientes;Qt_Operações
ITAU;10069;b1;C;2;;199;SAO PAULO;SP;01/06/2012;16695061,00;211792012,00
BRADESCO;10045;b1;C;2;;199;OSASCO;SP;01/06/2012;12033259,00;88206473,00
BB;49906;b1;C;1;;199;BRASILIA;DF;01/06/2012;10065645,00;41761206,00
SANTANDER;30379;b1;C;3;;199;SAO PAULO;SP;01/06/2012;8282973,00;31750786,00
CAIXA ECONOMICA FEDERAL;360305;b1;I;1;;6;BRASILIA;DF;01/06/2012;8144294,00;33451206,00
VOTORANTIM;51011;b1;C;2;;199;SAO PAULO;SP;01/06/2012;4642262,00;7545849,00
BMG;30290;b1;C;2;;199;BELO HORIZONTE;MG;01/06/2012;3599203,00;10585149,00
HSBC;51152;b1;C;3;;199;CURITIBA;PR;01/06/2012;2320157,00;12487214,00
CITIBANK;30403;b1;C;3;;199;SAO PAULO;SP;01/06/2012;2230826,00;20929582,00
BANRISUL;30173;b1;C;1;;199;PORTO ALEGRE;RS;01/06/2012;951249,00;4004042,00
PANAMERICANO;31323;b1;C;2;;199;SAO PAULO;SP;01/06/2012;896463,00;3311744,00
MERCANTIL DO BRASIL;20152;b1;C;2;;199;BELO HORIZONTE;MG;01/06/2012;863859,00;1697819,00
BANCO CSF S.A.;8357240;b2;I;3;;8;SAO PAULO;SP;01/06/2012;736487,00;4122148,00
BNP PARIBAS;51516;b1;C;3;;199;SAO PAULO;SP;01/06/2012;726372,00;4144542,00
BONSUCESSO;50706;b1;C;2;;199;BELO HORIZONTE;MG;01/06/2012;594369,00;1070412,00
BANCO VOLKSWAGEN S.A.;59109165;b2;I;3;;8;SAO PAULO;SP;01/06/2012;510175,00;653947,00
PERNAMBUCANAS;40699;n1;C;2;;197;SAO PAULO;SP;01/06/2012;479301,00;4335484,00
SOCIETE GENERALE;31859;b1;C;3;;199;SAO PAULO;SP;01/06/2012;454717,00;759986,00
PORTO SEGURO;51444;n1;C;2;;197;SAO PAULO;SP;01/06/2012;445253,00;1081086,00
FIBRA;49951;b1;C;2;;199;SAO PAULO;SP;01/06/2012;435946,00;1764106,00
BANCO DO NORDESTE DO BRASIL S.A.;7237373;b1;I;1;;8;FORTALEZA;CE;01/06/2012;353494,00;562428,00
BANCO GMAC S.A.;59274605;b2;I;3;;8;SAO PAULO;SP;01/06/2012;346835,00;410420,00
SAFRA;10083;b1;C;2;;199;SAO PAULO;SP;01/06/2012;336062,00;898321,00
BANCO DAYCOVAL S.A.;62232889;b1;I;2;;8;SAO PAULO;SP;01/06/2012;303356,00;602836,00
HONDA;51396;b2;C;3;;198;SAO PAULO;SP;01/06/2012;258848,00;280580,00
CREFISA S.A.-CREDITO, FINANCIAMENTO E INVESTIMENTOS;60779196;n1;I;2;;14;SAO PAULO;SP;01/06/2012;255295,00;607938,00
J.MALUCELLI;30881;b1;C;2;;199;CURITIBA;PR;01/06/2012;238114,00;664118,00
BRB;31976;b1;C;1;;199;BRASILIA;DF;01/06/2012;163457,00;870153,00
BANESTES;30159;b1;C;1;;199;VITORIA;ES;01/06/2012;158074,00;517660,00
BANCO INTERMEDIUM S/A;416968;b1;I;2;;8;BELO HORIZONTE;MG;01/06/2012;145128,00;307082,00
MIDWAY S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;9464032;n1;I;2;;14;SAO PAULO;SP;01/06/2012;144628,00;9965525,00
ALFA;51293;b1;C;2;;199;SAO PAULO;SP;01/06/2012;142961,00;301023,00
BANCOOB;51750;b1;C;2;;199;BRASILIA;DF;01/06/2012;133599,00;244085,00
BANCO DO ESTADO DE SERGIPE S.A.;13009717;b1;I;1;;8;ARACAJU;SE;01/06/2012;122254,00;521142,00
OMNI;50940;n1;C;2;;197;SAO PAULO;SP;01/06/2012;121364,00;1008444,00
BANCO DO ESTADO DO PARÁ S.A.;4913711;b1;I;1;;8;BELEM;PA;01/06/2012;110049,00;401384,00
BANCO FICSA S.A.;61348538;b1;I;2;;8;SAO PAULO;SP;01/06/2012;100688,00;182486,00
RURAL;31244;b1;C;2;;199;BELO HORIZONTE;MG;01/06/2012;100581,00;283331,00
ORIGINAL;51781;b1;C;2;;199;PORTO ALEGRE;RS;01/06/2012;88736,00;284973,00
COOPERATIVA DE CREDITO VALE DO ITAJAI - VIACREDI;82639451;b3S;I;2;;9;BLUMENAU;SC;01/06/2012;82705,00;245418,00
BIC;32119;b1;C;2;;199;SAO PAULO;SP;01/06/2012;81335,00;149022,00
BANCO SEMEAR S.A.;795423;b1;I;2;;8;BELO HORIZONTE;MG;01/06/2012;80090,00;312772,00
BANCO COOPERATIVO SICREDI S.A.;1181521;b1;I;2;;11;PORTO ALEGRE;RS;01/06/2012;73547,00;155272,00
TOYOTA;51334;b2;C;3;;198;SAO PAULO;SP;01/06/2012;62738,00;71589,00
PSA FINANCE;51365;b2;C;3;;198;SAO PAULO;SP;01/06/2012;52673,00;100699,00
SOROCRED   CRÉDITO, FINANCIAMENTO E INVESTIMENTO S.A.;4814563;n1;I;2;;14;BARUERI;SP;01/06/2012;52630,00;650123,00
BANCO YAMAHA MOTOR DO BRASIL S.A.;10371492;b2;I;3;;8;GUARULHOS;SP;01/06/2012;50835,00;56660,00
WESTLB;51554;b1;I;3;;199;SAO PAULO;SP;01/06/2012;49152,00;98321,00
BANCO DA AMAZONIA S.A.;4902979;b1;I;1;;2;BELEM;PA;01/06/2012;48298,00;62697,00
BANIF;20255;b1;C;3;;199;SAO PAULO;SP;01/06/2012;48102,00;84903,00
BANCO DE LAGE LANDEN BRASIL S.A.;5040481;b2;I;3;;8;PORTO ALEGRE;RS;01/06/2012;45822,00;65751,00
COOPERFORTE - COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS FUNCIONÁRIOS DE INSTITUIÇÕES FINANCEIRAS PÚBLICAS FEDERAIS LTDA.;1658426;b3S;I;2;;9;BRASILIA;DF;01/06/2012;44985,00;78668,00
SOFISA;31873;b1;C;2;;199;SAO PAULO;SP;01/06/2012;43909,00;123224,00
BANCO A.J. RENNER S.A.;92874270;b1;I;2;;8;PORTO ALEGRE;RS;01/06/2012;43171,00;48133,00
QUERO-QUERO FINANCIADORA S/A - CRÉDITO, FINANCIAMENTO E INVESTIMENTOS;5192316;n1;I;2;;14;SANTO CRISTO;RS;01/06/2012;43146,00;490536,00
FINAMAX S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTO;411939;n1;I;2;;14;JUNDIAI;SP;01/06/2012;39952,00;51127,00
NEGRESCO S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTOS;4379829;n1;I;2;;14;CURITIBA;PR;01/06/2012;37480,00;93987,00
BANCO GERADOR S.A.;10664513;b1;I;2;;8;RECIFE;PE;01/06/2012;37217,00;75353,00
AGIPLAN FINANCEIRA S.A. - CREDITO FINANCIAMENTO E INVESTIMENTO;13660104;n1;I;2;;14;PORTO ALEGRE;RS;01/06/2012;37108,00;78148,00
HS FINANCEIRA S/A CREDITO, FINANCIAMENTO E INVESTIMENTOS;7512441;n1;I;2;;14;DOIS IRMAOS;RS;01/06/2012;34647,00;594189,00
KREDILIG S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;6040559;n1;I;2;;14;FLORIANOPOLIS;SC;01/06/2012;34050,00;132411,00
BANCO TRIANGULO S.A.;17351180;b1;I;2;;8;UBERLANDIA;MG;01/06/2012;33004,00;1451170,00
MERCEDES-BENZ;51262;b2;C;3;;198;SAO PAULO;SP;01/06/2012;29786,00;60690,00
BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL;92816560;b4;I;1;;5;PORTO ALEGRE;RS;01/06/2012;28600,00;38248,00
PORTOCRED S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTO;1800019;n1;I;2;;14;PORTO ALEGRE;RS;01/06/2012;28559,00;61496,00
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS SERRO AZUL - SICREDI UNIÃO RS;88894548;b3S;I;2;;9;CERRO LARGO;RS;01/06/2012;24379,00;91453,00
ASSOCIACAO DE POUPANCA E EMPRESTIMO - POUPEX;655522;n1;I;2;;25;BRASILIA;DF;01/06/2012;22976,00;23529,00
BANCO DE DESENVOLVIMENTO DO ESPIRITO SANTO S.A.;28145829;b4;I;1;;5;VITORIA;ES;01/06/2012;22957,00;26938,00
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO CATARATAS DO IGUAÇU - SICREDI CATARATAS DO IGUAÇU;78414067;b3S;I;2;;9;MEDIANEIRA;PR;01/06/2012;22530,00;69393,00
DREBES FINANCEIRA S.A. CRÉDITO, FINANCIAMENTO E INVESTIMENTO;11271860;n1;I;2;;14;SAO JERONIMO;RS;01/06/2012;21895,00;420847,00
BARIGUI;51774;n1;C;2;;197;CURITIBA;PR;01/06/2012;21647,00;44262,00
SAX S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;7747410;n1;I;2;;14;BARUERI;SP;01/06/2012;21448,00;112311,00
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS PIONEIRA DA SERRA GAÚCHA   SICREDI PIONEIRA RS;91586982;b3S;I;2;;9;NOVA PETROPOLIS;RS;01/06/2012;19846,00;71345,00
COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS POLICIAIS MILITARES E SERVIDORES DA SECRETARIA DOS NEGÓCIOS DA SEGURANÇA PÚBLICA DO ESTADO DE SÃO PAULO;62673470;b3S;I;2;;9;SAO PAULO;SP;01/06/2012;18766,00;97904,00
BANCO AZTECA DO BRASIL S.A.;9391857;b1;I;3;;8;RECIFE;PE;01/06/2012;18184,00;105071,00
COOPERATIVA DE CRÉDITO CREDICITRUS;54037916;b3S;I;2;;9;BEBEDOURO;SP;01/06/2012;18142,00;73096,00
RODOBENS;51736;b1;C;2;;199;SAO PAULO;SP;01/06/2012;17881,00;27352,00
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO UNIÃO PARANÁ - SICREDI UNIÃO PR;79342069;b3S;I;2;;9;MARINGA;PR;01/06/2012;16404,00;58094,00
COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO BRF - CREDIBRF;82096447;b3S;I;2;;9;VIDEIRA;SC;01/06/2012;15088,00;22221,00
SANTANA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;5503849;n1;I;2;;14;SAO PAULO;SP;01/06/2012;14981,00;18049,00
INDUSTRIAL DO BRASIL;50988;b1;C;2;;199;SAO PAULO;SP;01/06/2012;14697,00;109374,00
PINE;50304;b1;C;2;;199;SAO PAULO;SP;01/06/2012;13482,00;38904,00
JBCRED S/A SOCIEDADE DE CRÉDITO AO MICROEMPREENDEDOR;4230630;n1;I;2;;10;SAO PAULO;SP;01/06/2012;13059,00;113721,00
BANCO LUSO BRASILEIRO S.A.;59118133;b1;I;2;;8;SAO PAULO;SP;01/06/2012;12094,00;19106,00
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS DO NORTE DO RIO GRANDE DO SUL E OESTE DE SANTA CATARINA - SICREDI NORTE RS/SC;87780268;b3S;I;2;;9;ERECHIM;RS;01/06/2012;11912,00;38944,00
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS ALTO URUGUAI - SICREDI ALTO URUGUAI RS/SC;87733770;b3S;I;2;;9;RODEIO BONITO;RS;01/06/2012;11592,00;35400,00
BANCO CNH CAPITAL S.A.;2992446;b2;I;3;;8;CURITIBA;PR;01/06/2012;11572,00;23467,00
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS DE CARLOS BARBOSA - SICREDI SERRANA RS;90608712;b3S;I;2;;9;CARLOS BARBOSA;RS;01/06/2012;11536,00;38182,00
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS NOROESTE DO RIO GRANDE DO SUL - SICREDI NOROESTE RS;89049738;b3S;I;2;;9;TRES DE MAIO;RS;01/06/2012;11404,00;45343,00
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO VALE DO PIQUIRI   SICREDI VALE DO PIQUIRI PR;81099491;b3S;I;2;;9;PALOTINA;PR;01/06/2012;10743,00;38727,00
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS DO CENTRO SUL DO MATO GROSSO DO SUL - SICREDI CENTRO-SUL MS;26408161;b3S;I;2;;9;DOURADOS;MS;01/06/2012;10704,00;29762,00
