Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Disponibilidades (a);Aplicações Interfinanceiras de Liquidez (b);TVM e Instrumentos Financeiros Derivativos (c);Operações de Crédito;;;Arrendamento Mercantil;;;;;Outros Créditos - Líquido de Provisão (f);Outros Ativos Realizáveis (g);Permanente Ajustado (h);Ativo Total Ajustado (i) = (a) + (b) + (c) + (d) + (e) + (f) + (g) + (h);Credores por Antecipação de Valor Residual (j);Ativo Total (k) = (i) - (j)
;;;;;;;;;;;;Operações de Crédito (d1);Provisão sobre Operações de Crédito (d2);Operações de Crédito Líquidas de Provisão (d);Arrendamento Mercantil a Receber (e1);Imobilizado de Arrendamento (e2);Credores por Antecipação de Valor Residual (e3);Provisão sobre Arrendamento Mercantil (e4);Arrendamento Mercantil Líquido de Provisão (e);;;;;;
ITAU - PRUDENCIAL;1000080099;b1;S1;C;2;SAO PAULO;SP;43435;37087047;299339145;253004522;452675672;-31028297;421647375;6953976;1642257;1043791;-272083;9367941;243082140;135782362;54942767;1454253298;1043791;1453209508
BB - PRUDENCIAL;1000080329;b1;S1;C;1;BRASILIA;DF;43435;13614569;415091597;146676527;581796156;-32778037;549018119;105078;222505;93869;-10254;411199;189147069;69989301;33579644;1417528024;93869;1417434155
CAIXA ECONÔMICA FEDERAL - PRUDENCIAL;1000080738;b1;S1;C;1;BRASILIA;DF;43435;9272424;174659802;199110614;684005589;-36444704;647560884;0;0;0;0;0;81676733;139347673;13031870;1264660001;0;1264660001
BRADESCO - PRUDENCIAL;1000080075;b1;S1;C;2;OSASCO;SP;43435;19485882;103929665;295323722;342200168;-32867632;309332536;35699;3542750;1488587;-128565;4938472;163524682;96153090;72514374;1065202423;1488587;1063713836
SANTANDER - PRUDENCIAL;1000080185;b1;S1;C;3;SAO PAULO;SP;43435;11625021;56812525;190170580;244954688;-17195038;227759650;20145;4602318;2051422;-70276;6603609;205461324;95131923;12890144;806454775;2051422;804403353
BNDES - PRUDENCIAL;1000081847;b4;S2;C;1;RIO DE JANEIRO;RJ;43435;519;83446523;171129153;314057204;-21971126;292086079;0;0;0;0;0;38048861;206231237;11584539;802526912;0;802526912
SAFRA - PRUDENCIAL;1000080109;b1;S2;C;2;SAO PAULO;SP;43435;792478;44454980;34265974;58684948;-2527100;56157848;12274;1445727;623269;-18019;2063252;13233723;12381999;5119206;168469459;623269;167846190
BTG PACTUAL - PRUDENCIAL;1000080336;b1;S1;C;2;RIO DE JANEIRO;RJ;43435;945964;43492272;27002809;18579803;-636812;17942991;0;0;0;0;0;32032874;1890319;12282888;135590117;0;135590117
VOTORANTIM - PRUDENCIAL;1000080484;b1;S2;C;2;SAO PAULO;SP;43435;201874;12439800;31007993;45258105;-2847761;42410344;651;191551;485;-599;192088;12713456;668604;2251235;101885392;485;101884908
