Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Patrimônio de Referência para Comparação com o RWA;;;;;Ativos Ponderados pelo Risco (RWA);;;;;;;;Exposição Total (j);Índice de Capital Principal (k) = (a) / (i);Índice de Capital Nível I (l) = (c) / (i);Índice de Basileia (m) = (e) / (i);Razão de Alavancagem (n) = (c) / (j);Índice de Imobilização (o)
;;;;;;;;;Patrimônio de Referência Nível I para Comparação com RWA;;;Capital Nível II (d);Patrimônio de Referência para Comparação com o RWA;RWA para Risco de Crédito (f);RWA para Risco de Mercado;;;;;RWA para Risco Operacional (h);Ativos Ponderados pelo Risco (RWA) (i) = (f) + (g) + (h);;;;;;
;;;;;;;;;Capital Principal para Comparação com RWA (a);Capital Complementar (b);Patrimônio de Referência Nível I para Comparação com RWA (c) = (a) + (b);;;;RWAcam (g1);RWAcom (g2);RWAjur (g3);RWAacs (g4);RWA para Risco de Mercado (g) = (g1) + (g2) + (g3) + (g4);;;;;;;;
ITAU - PRUDENCIAL;1000080099;b1;S1;C;2;SAO PAULO;SP;43435;123358036;7796428;131154464;15873670;147028135;714968649;10785315;529027;9014556;9941420;30270317;72833293;818072260;1458731726;0,1508;0,1603;0,1797;0,0899;0,2589
BB - PRUDENCIAL;1000080329;b1;S1;C;1;BRASILIA;DF;43435;71169072;24120630;95289702;38888783;134178484;624018657;22272231;4102;4113905;0;26390238;61081334;711490229;1159264623;0,1;0,1339;0,1886;0,0822;0,1463
BRADESCO - PRUDENCIAL;1000080075;b1;S1;C;2;OSASCO;SP;43435;81090060;9232087;90322147;27618027;117940174;598057619;3715736;636105;5141858;913559;10407258;53150786;661615663;1153552286;0,1226;0,1365;0,1783;0,0783;0,363
BNDES - PRUDENCIAL;1000081847;b4;S2;C;1;RIO DE JANEIRO;RJ;43435;114126114;0;114126114;52678983;166805098;468555493;59542034;0;10567641;0;70109676;36290499;574955668;875871247;0,1985;0,1985;0,2901;0,1303;0,0623
CAIXA ECONÔMICA FEDERAL - PRUDENCIAL;1000080738;b1;S1;C;1;BRASILIA;DF;43435;66503842;0;66503842;34711716;101215559;432975408;4571472;1820391;5481208;168630;12041702;71516630;516533740;1302894275;0,1288;0,1288;0,196;0,051;0,096
SANTANDER - PRUDENCIAL;1000080185;b1;S1;C;3;SAO PAULO;SP;43435;56545248;4895198;61440446;4887176;66327621;359412704;6057621;40702;24915738;8217713;39231773;42375553;441020030;706682609;0,1282;0,1393;0,1504;0,0869;0,122
SAFRA - PRUDENCIAL;1000080109;b1;S2;C;2;SAO PAULO;SP;43435;11617023;1162377;12779400;2994569;15773969;99236597;703462;0;794354;805832;2303648;7753550;109293795;192117809;0,1063;0,1169;0,1443;0,0665;0,3157
BTG PACTUAL - PRUDENCIAL;1000080336;b1;S1;C;2;RIO DE JANEIRO;RJ;43435;9519308;3553922;13073230;1813130;14886360;52997712;1597663;3532104;17863571;9516522;32509860;4370623;89878194;140122724;0,1059;0,1455;0,1656;0,0933;0,4826
