cat;Categoria;Total da Carteira de Pessoa Jurídica;PJ_CG_Vencido_15d;PJ_CG_Vencer_90d;PJ_CG_Vencer_91-360d;PJ_CG_Vencer_361-1080d;PJ_CG_Vencer_1081-1800d;PJ_CG_Vencer_1801-5400d;PJ_CG_Vencer_acima_5400d;PJ_CG_TOTAL;PJ_I_Vencido_15d;PJ_I_Vencer_90d;PJ_I_Vencer_91-360d;PJ_I_Vencer_361-1080d;PJ_I_Vencer_1081-1800d;PJ_I_Vencer_1801-5400d;PJ_I_Vencer_acima_5400d;PJ_I_TOTAL;PJ_CGR_Vencido_15d;PJ_CGR_Vencer_90d;PJ_CGR_Vencer_91-360d;PJ_CGR_Vencer_361-1080d;PJ_CGR_Vencer_1081-1800d;PJ_CGR_Vencer_1801-5400d;PJ_CGR_Vencer_acima_5400d;PJ_CGR_TOTAL;PJ_Recebiveis_Vencido_15d;PJ_Recebiveis_Vencer_90d;PJ_Recebiveis_Vencer_91-360d;PJ_Recebiveis_Vencer_361-1080d;PJ_Recebiveis_Vencer_1081-1800d;PJ_Recebiveis_Vencer_1801-5400d;PJ_Recebiveis_Vencer_acima_5400d;PJ_Recebiveis_TOTAL;PJ_Comex_Vencido_15d;PJ_Comex_Vencer_90d;PJ_Comex_Vencer_91-360d;PJ_Comex_Vencer_361-1080d;PJ_Comex_Vencer_1081-1800d;PJ_Comex_Vencer_1801-5400d;PJ_Comex_Vencer_acima_5400d;PJ_Comex_TOTAL;PJ_Outros_Vencido_15d;PJ_Outros_Vencer_90d;PJ_Outros_Vencer_91-360d;PJ_Outros_Vencer_361-1080d;PJ_Outros_Vencer_1081-1800d;PJ_Outros_Vencer_1801-5400d;PJ_Outros_Vencer_acima_5400d;PJ_Outros_TOTAL;PJ_Infra_Vencido_15d;PJ_Infra_Vencer_90d;PJ_Infra_Vencer_91-360d;PJ_Infra_Vencer_361-1080d;PJ_Infra_Vencer_1081-1800d;PJ_Infra_Vencer_1801-5400d;PJ_Infra_Vencer_acima_5400d;PJ_Infra_TOTAL;PJ_Rural_Vencido_15d;PJ_Rural_Vencer_90d;PJ_Rural_Vencer_91-360d;PJ_Rural_Vencer_361-1080d;PJ_Rural_Vencer_1081-1800d;PJ_Rural_Vencer_1801-5400d;PJ_Rural_Vencer_acima_5400d;PJ_Rural_TOTAL;PJ_Hab_Vencido_15d;PJ_Hab_Vencer_90d;PJ_Hab_Vencer_91-360d;PJ_Hab_Vencer_361-1080d;PJ_Hab_Vencer_1081-1800d;PJ_Hab_Vencer_1801-5400d;PJ_Hab_Vencer_acima_5400d;PJ_Hab_TOTAL;Total Exterior Pessoa Jurídica
1;1 - Público;set/14;890.770.540;4.754.268;21.016.832;47.150.683;57.745.269;18.321.149;3.825.144;118.977;152.932.322;919.462;3.960.973;6.549.350;13.675.481;17.421.296;25.416.898;4.568.900;72.512.360;1.161.907;5.891.117;5.855.760;597.404;26.949;1.812;0;13.534.948;735.407;13.381.846;3.097.604;102.634;42.661;444.609;202.476;18.007.236;205.062;4.897.365;11.004.087;1.738.767;1.678.927;1.574;0;19.525.781;989.322;5.008.874;4.001.883;4.410.540;1.686.492;5.103.902;134.341;21.335.355;1.353.436;22.173.500;52.294.528;120.340.746;83.749.364;163.962.748;35.487.493;479.361.816;170.544;5.951.640;17.664.422;12.001.350;7.951.285;4.796.826;32.808;48.568.875;33.407;3.351.990;3.914.305;5.662.458;1.055.046;458.072;13.624;14.488.902
1%;1 - Público;set/14;46,98%;52,52%;29,10%;41,60%;47,88%;60,07%;57,75%;17,11%;43,32%;56,40%;25,36%;25,31%;39,32%;79,44%;91,75%;84,40%;54,54%;35,23%;16,17%;42,13%;32,88%;10,69%;1,84%;0,00%;23,95%;51,60%;22,63%;17,54%;15,18%;23,43%;75,78%;98,64%;22,55%;24,08%;18,43%;23,57%;7,61%;24,93%;0,06%;0,00%;18,38%;23,71%;33,95%;26,48%;29,38%;35,99%;82,39%;62,60%;35,47%;67,28%;64,92%;61,45%;67,89%;79,36%;92,91%;95,26%;77,59%;81,97%;43,61%;46,56%;76,01%;76,44%;74,75%;96,99%;57,52%;39,32%;64,88%;30,82%;25,11%;16,41%;6,83%;9,90%;26,94%
2;2 - Privado Nacional;set/14;727.463.903;2.718.852;34.997.706;47.873.940;46.183.284;8.103.625;1.850.385;214.600;141.942.391;471.706;7.014.516;11.717.957;13.322.520;3.280.889;1.208.903;8.099;37.024.590;1.578.315;23.580.656;5.382.091;360.113;7.059;2.090;598.223;31.508.548;510.924;26.330.757;4.855.778;348.482;117.812;131.799;437;32.295.989;403.944;9.353.172;14.983.373;12.609.996;3.110.133;1.444.790;0;41.905.407;2.447.896;6.649.791;7.409.333;6.593.715;1.798.653;680.111;24.291;25.603.789;317.812;7.425.799;21.781.029;38.282.873;14.910.124;10.760.578;1.727.262;95.205.476;27.577;5.801.016;15.834.338;2.908.525;2.068.119;1.455.624;386;28.095.586;17.403;806.449;5.011.105;12.714.355;5.136.449;4.165.277;121.518;27.972.556
2%;2 - Privado Nacional;set/14;38,37%;30,04%;48,45%;42,23%;38,29%;26,57%;27,94%;30,86%;40,20%;28,94%;44,90%;45,29%;38,31%;14,96%;4,36%;0,15%;27,85%;47,86%;64,74%;38,72%;19,82%;2,80%;2,13%;81,92%;55,75%;35,85%;44,53%;27,49%;51,54%;64,70%;22,47%;0,21%;40,44%;47,43%;35,21%;32,09%;55,16%;46,17%;57,12%;0,00%;39,44%;58,68%;45,08%;49,03%;43,92%;38,39%;10,98%;11,32%;42,57%;15,80%;21,74%;25,60%;21,60%;14,13%;6,10%;4,64%;15,41%;13,26%;42,51%;41,73%;18,42%;19,88%;22,68%;1,14%;33,27%;20,48%;15,61%;39,46%;56,38%;79,89%;62,07%;88,28%;52,02%
3;3 - Privado com Controle Estrangeiro;set/14;277.779.985;1.578.654;16.213.684;18.330.988;16.685.110;4.073.878;948.132;361.935;58.192.380;238.997;4.645.478;7.605.592;7.777.985;1.228.657;1.075.344;836.701;23.408.755;557.727;6.949.723;2.662.590;859.654;218.068;94.322;132.063;11.474.148;178.929;19.414.857;9.711.571;225.003;21.606;10.274;2.348;29.564.589;242.695;12.316.584;20.705.861;8.510.120;1.946.572;1.083.236;7.834;44.812.901;734.650;3.093.118;3.699.396;4.008.924;1.200.468;410.420;55.978;13.202.954;340.287;4.557.743;11.019.383;18.645.959;6.877.406;1.760.852;37.631;43.239.261;9.924;1.893.985;4.443.876;879.977;382.030;165.065;632;7.775.489;34.155;1.008.079;3.773.279;4.172.502;238.102;2.087.058;2.507;11.315.683
3%;3 - Privado com Controle Estrangeiro;set/14;14,65%;17,44%;22,45%;16,17%;13,83%;13,36%;14,31%;52,04%;16,48%;14,66%;29,74%;29,40%;22,37%;5,60%;3,88%;15,46%;17,61%;16,91%;19,08%;19,15%;47,31%;86,51%;96,03%;18,08%;20,30%;12,55%;32,84%;54,98%;33,28%;11,87%;1,75%;1,14%;37,02%;28,50%;46,36%;44,34%;37,23%;28,90%;42,82%;100,00%;42,18%;17,61%;20,97%;24,48%;26,70%;25,62%;6,63%;26,08%;21,95%;16,92%;13,34%;12,95%;10,52%;6,52%;1,00%;0,10%;7,00%;4,77%;13,88%;11,71%;5,57%;3,67%;2,57%;1,87%;9,21%;40,20%;19,51%;29,71%;18,50%;3,70%;31,10%;1,82%;21,04%
b1;b1 - Banco Comercial, Banco Múltiplo com Carteira Comercial ou Caixa Econômica;set/14;1.489.156.924;8.743.718;68.039.101;107.723.265;115.590.065;29.430.483;6.264.601;694.211;336.485.445;1.475.618;12.818.671;19.965.514;28.031.301;20.447.093;27.158.187;5.405.387;115.301.769;3.239.834;35.481.737;12.611.217;1.808.079;245.017;96.134;132.083;53.614.101;1.312.556;50.793.415;12.983.832;661.258;180.715;586.095;205.076;66.722.946;846.391;26.529.168;46.531.604;22.771.379;6.735.632;2.519.092;3.331;105.936.596;4.095.643;14.155.228;14.642.741;14.501.244;4.558.224;6.133.330;199.938;58.286.349;1.488.119;20.098.295;48.941.832;89.443.106;39.074.724;52.994.688;16.390.967;268.431.729;200.314;13.352.699;37.077.686;14.515.056;9.503.538;5.121.779;31.779;79.802.851;84.940;5.166.443;12.562.948;22.546.332;6.429.423;6.710.033;137.648;53.637.767
b1%;b1 - Banco Comercial, Banco Múltiplo com Carteira Comercial ou Caixa Econômica;set/14;78,54%;96,60%;94,20%;95,03%;95,83%;96,50%;94,58%;99,81%;95,30%;90,52%;82,06%;77,17%;80,61%;93,23%;98,04%;99,85%;86,73%;98,24%;97,42%;90,73%;99,50%;97,20%;97,87%;18,09%;94,86%;92,09%;85,90%;73,50%;97,80%;99,25%;99,90%;99,91%;83,54%;99,38%;99,86%;99,65%;99,62%;100,00%;99,58%;42,52%;99,71%;98,17%;95,96%;96,90%;96,59%;97,28%;99,01%;93,16%;96,91%;73,98%;58,84%;57,51%;50,46%;37,02%;30,03%;44,00%;43,45%;96,28%;97,85%;97,72%;91,93%;91,37%;79,81%;93,95%;94,51%;99,97%;100,00%;98,93%;99,99%;100,00%;99,99%;100,00%;99,74%
b2;b2 - Banco Múltiplo sem Carteira Comercial ou Banco de Investimento ou Banco de Câmbio;set/14;54.053.485;50.604;1.684.097;1.282.853;702.310;245.305;7.535;0;3.972.705;90.523;2.012.520;3.963.700;3.578.445;496.791;49.396;0;10.191.374;0;0;0;0;0;0;0;0;47.005;5.172.908;4.339.534;898;0;0;0;9.560.344;5.176;37.660;160.910;85.442;0;10.507;4.503;304.198;13.911;332.905;90.107;173.924;16.852;1.174;0;628.873;275.010;2.924.830;7.496.331;12.783.687;4.582.330;638.086;35.895;28.736.169;2.914;31.226;78.586;160.773;91.503;25.848;0;390.850;0;0;0;0;0;0;0;0
b2%;b2 - Banco Múltiplo sem Carteira Comercial ou Banco de Investimento ou Banco de Câmbio;set/14;2,85%;0,56%;2,33%;1,13%;0,58%;0,80%;0,11%;0,00%;1,13%;5,55%;12,88%;15,32%;10,29%;2,27%;0,18%;0,00%;7,67%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;3,30%;8,75%;24,57%;0,13%;0,00%;0,00%;0,00%;11,97%;0,61%;0,14%;0,34%;0,37%;0,00%;0,42%;57,48%;0,29%;0,33%;2,26%;0,60%;1,16%;0,36%;0,02%;0,00%;1,05%;13,67%;8,56%;8,81%;7,21%;4,34%;0,36%;0,10%;4,65%;1,40%;0,23%;0,21%;1,02%;0,88%;0,40%;0,00%;0,46%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%
