cat;Categoria;Data;Total_Carteira_PF;PF_Consignado_Vencido_15d;PF_Consignado_Vencer_90d;PF_Consignado_Vencer_91-360d;PF_Consignado_Vencer_361-1080d;PF_Consignado_Vencer_1081-1800d;PF_Consignado_Vencer_1801-5400d;PF_Consignado_Vencer_acima_5400d;PF_Consignado_TOTAL;PF_Não_Consignado_Vencido_15d;PF_Não_Consignado_Vencer_90d;PF_Não_Consignado_Vencer_91-360d;PF_Não_Consignado_Vencer_361-1080d;PF_Não_Consignado_Vencer_1081-1800d;PF_Não_Consignado_Vencer_1801-5400d;PF_Não_Consignado_Vencer_acima_5400d;PF_Não_Consignado_TOTAL;PF_Veículos_Vencido_15d;PF_Veículos_Vencer_90d;PF_Veículos_Vencer_91-360d;PF_Veículos_Vencer_361-1080d;PF_Veículos_Vencer_1081-1800d;PF_Veículos_Vencer_1801-5400d;PF_Veículos_Vencer_acima_5400d;PF_Veículos_TOTAL;PF_Hab_Vencido_15d;PF_Hab_Vencer_90d;PF_Hab_Vencer_91-360d;PF_Hab_Vencer_361-1080d;PF_Hab_Vencer_1081-1800d;PF_Hab_Vencer_1801-5400d;PF_Hab_Vencer_acima_5400d;PF_Hab_TOTAL;PF_Cartão_Vencido_15d;PF_Cartão_Vencer_90d;PF_Cartão_Vencer_91-360d;PF_Cartão_Vencer_361-1080d;PF_Cartão_Vencer_1081-1800d;PF_Cartão_Vencer_1801-5400d;PF_Cartão_Vencer_acima_5400d;PF_Cartão_TOTAL;PF_Rural_Vencido_15d;PF_Rural_Vencer_90d;PF_Rural_Vencer_91-360d;PF_Rural_Vencer_361-1080d;PF_Rural_Vencer_1081-1800d;PF_Rural_Vencer_1801-5400d;PF_Rural_Vencer_acima_5400d;PF_Rural_TOTAL;PF_Outros_Vencido_15d;PF_Outros_Vencer_90d;PF_Outros_Vencer_91-360d;PF_Outros_Vencer_361-1080d;PF_Outros_Vencer_1081-1800d;PF_Outros_Vencer_1801-5400d;PF_Outros_Vencer_acima_5400d;Outros_TOTAL;Total_Exterior_PF
1;1 - Público;set/14;701.527.583;2.468.815;9.322.037;25.750.134;52.047.917;26.737.349;6.473.266;203;122.799.721;1.975.124;5.457.531;12.182.526;13.704.574;3.808.703;1.329.120;19;38.457.597;405.637;2.392.247;6.134.934;8.984.129;1.416.460;5.726;0;19.339.133;1.679.444;10.188.908;28.065.121;63.118.284;49.890.031;132.091.439;51.521.683;336.554.909;2.360.230;23.323.740;4.146.597;122.213;509;0;0;29.953.288;1.545.282;14.088.790;35.881.071;28.463.321;19.241.786;23.722.048;94.710;123.037.007;2.280.002;8.692.492;9.292.794;4.507.603;2.363.375;2.330.387;238.135;29.704.788;1.681.140
1%;1 - Público;set/14;50,68%;62,82%;43,32%;44,89%;49,75%;58,03%;77,40%;11,24%;50,77%;31,69%;25,36%;33,74%;43,24%;55,25%;64,40%;0,17%;36,79%;10,02%;8,97%;9,45%;10,84%;14,28%;8,93%;0,00%;10,26%;92,05%;85,40%;86,24%;86,81%;86,46%;83,46%;74,84%;83,34%;16,72%;22,73%;14,02%;7,63%;0,29%;0,00%;0,00%;20,22%;78,54%;62,25%;61,80%;66,00%;72,65%;85,15%;98,15%;68,27%;32,58%;27,88%;40,21%;26,39%;37,00%;65,48%;27,39%;33,31%;6,01%
2;2 - Privado Nacional;set/14;481.804.587;871.332;10.231.009;26.483.106;44.534.960;16.868.458;1.553.808;1.360;100.544.034;2.707.047;12.975.536;18.397.394;12.279.904;1.962.110;645.779;4.826;48.972.597;2.588.863;15.248.611;36.602.323;46.695.511;5.266.816;46.546;5;106.448.674;108.818;809.851;2.304.393;4.904.533;4.504.838;16.516.738;12.874.875;42.024.046;9.134.429;59.135.513;20.594.584;704.571;2.097;62;2.235;89.573.491;264.103;6.170.319;16.627.963;8.587.866;4.005.813;2.902.671;1.787;38.560.521;2.743.420;16.011.842;9.076.568;8.240.874;2.252.797;743.896;621.344;39.690.740;15.990.485
2%;2 - Privado Nacional;set/14;34,81%;22,17%;47,54%;46,17%;42,57%;36,61%;18,58%;75,24%;41,57%;43,43%;60,29%;50,96%;38,75%;28,46%;31,29%;42,89%;46,85%;63,95%;57,17%;56,39%;56,32%;53,11%;72,64%;0,24%;56,47%;5,96%;6,79%;7,08%;6,75%;7,81%;10,44%;18,70%;10,41%;64,71%;57,63%;69,62%;43,99%;1,19%;0,18%;97,50%;60,47%;13,42%;27,26%;28,64%;19,91%;15,12%;10,42%;1,85%;21,40%;39,20%;51,36%;39,27%;48,25%;35,27%;20,90%;71,46%;44,51%;57,15%
3;3 - Privado com Controle Estrangeiro;set/14;200.903.971;589.951;1.967.398;5.126.125;8.033.495;2.466.281;336.498;244;18.519.993;1.550.977;3.087.793;5.524.051;5.709.599;1.122.617;88.810;6.406;17.090.254;1.053.950;9.030.890;22.167.792;27.234.189;3.232.715;11.810;1.896;62.733.241;36.164;931.825;2.174.839;4.683.467;3.305.815;9.658.554;4.446.431;25.237.095;2.622.187;20.160.833;4.838.867;774.972;173.938;33.666;57;28.604.521;158.083;2.372.153;5.548.152;6.078.324;3.237.726;1.234.034;0;18.628.472;1.974.260;6.471.473;4.741.339;4.329.331;1.771.626;484.554;9.979;19.782.562;10.307.833
3%;3 - Privado com Controle Estrangeiro;set/14;14,51%;15,01%;9,14%;8,94%;7,68%;5,35%;4,02%;13,52%;7,66%;24,88%;14,35%;15,30%;18,01%;16,29%;4,30%;56,94%;16,35%;26,03%;33,86%;34,15%;32,85%;32,60%;18,43%;99,76%;33,28%;1,98%;7,81%;6,68%;6,44%;5,73%;6,10%;6,46%;6,25%;18,57%;19,65%;16,36%;48,38%;98,52%;99,82%;2,50%;19,31%;8,03%;10,48%;9,56%;14,09%;12,22%;4,43%;0,00%;10,34%;28,21%;20,76%;20,52%;25,35%;27,73%;13,62%;1,15%;22,18%;36,84%
b1;b1 - Banco Comercial, Banco Múltiplo com Carteira Comercial ou Caixa Econômica;set/14;1.283.766.183;3.903.660;20.966.995;56.039.290;102.545.822;45.307.441;8.170.270;737;236.934.216;5.028.244;17.319.210;30.536.927;27.240.287;5.720.979;1.539.348;6.438;87.391.434;3.742.923;22.217.057;53.728.562;69.323.385;8.257.620;55.386;1.900;157.326.834;1.818.980;11.855.268;32.430.044;72.489.843;57.513.399;157.903.838;68.755.837;402.767.209;12.760.361;96.006.508;27.319.465;1.281.006;176.525;33.728;57;137.577.650;1.750.032;18.975.202;46.805.417;36.499.234;23.126.803;24.981.638;94.675;152.233.002;6.687.651;28.336.020;20.717.172;16.056.017;6.095.403;3.388.805;275.312;81.556.381;27.979.458
b1%;b1 - Banco Comercial, Banco Múltiplo com Carteira Comercial ou Caixa Econômica;set/14;92,74%;99,33%;97,43%;97,70%;98,02%;98,34%;97,69%;40,76%;97,96%;80,67%;80,48%;84,58%;85,95%;82,99%;74,59%;57,22%;83,61%;92,45%;83,30%;82,78%;83,61%;83,28%;86,43%;100,00%;83,45%;99,70%;99,37%;99,65%;99,70%;99,68%;99,77%;99,87%;99,74%;90,39%;93,56%;92,36%;79,98%;99,99%;100,00%;2,50%;92,88%;88,95%;83,85%;80,62%;84,63%;87,32%;89,67%;98,11%;84,47%;95,57%;90,89%;89,64%;94,02%;95,42%;95,22%;31,66%;91,45%;100,00%
b2;b2 - Banco Múltiplo sem Carteira Comercial ou Banco de Investimento ou Banco de Câmbio;set/14;36.102.757;398;8.109;21.360;22.621;1.950;0;0;54.438;2.795;17.902;56.044;47.528;5.127;2.386;0;131.783;224.580;3.678.741;9.266.790;10.894.119;1.272.048;2.102;0;25.338.380;0;0;0;0;0;0;0;0;603.170;2.161.784;903.882;77.900;0;0;0;3.746.735;50.278;430.121;1.360.903;2.636.291;1.532.499;445.314;0;6.455.405;10.545;84.983;106.182;142.560;24.912;6.835;0;376.017;0
b2%;b2 - Banco Múltiplo sem Carteira Comercial ou Banco de Investimento ou Banco de Câmbio;set/14;2,61%;0,01%;0,04%;0,04%;0,02%;0,00%;0,00%;0,00%;0,02%;0,04%;0,08%;0,16%;0,15%;0,07%;0,12%;0,00%;0,13%;5,55%;13,79%;14,28%;13,14%;12,83%;3,28%;0,00%;13,44%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;4,27%;2,11%;3,06%;4,86%;0,00%;0,00%;0,00%;2,53%;2,56%;1,90%;2,34%;6,11%;5,79%;1,60%;0,00%;3,58%;0,15%;0,27%;0,46%;0,83%;0,39%;0,19%;0,00%;0,42%;0,00%
