cat;Categoria;Data;Total da Carteira de Pessoa Jurídica;PJ_CG_Vencido_15d;PJ_CG_Vencer_90d;PJ_CG_Vencer_91-360d;PJ_CG_Vencer_361-1080d;PJ_CG_Vencer_1081-1800d;PJ_CG_Vencer_1801-5400d;PJ_CG_Vencer_acima_5400d;PJ_CG_TOTAL;PJ_I_Vencido_15d;PJ_I_Vencer_90d;PJ_I_Vencer_91-360d;PJ_I_Vencer_361-1080d;PJ_I_Vencer_1081-1800d;PJ_I_Vencer_1801-5400d;PJ_I_Vencer_acima_5400d;PJ_I_TOTAL;PJ_CGR_Vencido_15d;PJ_CGR_Vencer_90d;PJ_CGR_Vencer_91-360d;PJ_CGR_Vencer_361-1080d;PJ_CGR_Vencer_1081-1800d;PJ_CGR_Vencer_1801-5400d;PJ_CGR_Vencer_acima_5400d;PJ_CGR_TOTAL;PJ_Recebiveis_Vencido_15d;PJ_Recebiveis_Vencer_90d;PJ_Recebiveis_Vencer_91-360d;PJ_Recebiveis_Vencer_361-1080d;PJ_Recebiveis_Vencer_1081-1800d;PJ_Recebiveis_Vencer_1801-5400d;PJ_Recebiveis_Vencer_acima_5400d;PJ_Recebiveis_TOTAL;PJ_Comex_Vencido_15d;PJ_Comex_Vencer_90d;PJ_Comex_Vencer_91-360d;PJ_Comex_Vencer_361-1080d;PJ_Comex_Vencer_1081-1800d;PJ_Comex_Vencer_1801-5400d;PJ_Comex_Vencer_acima_5400d;PJ_Comex_TOTAL;PJ_Outros_Vencido_15d;PJ_Outros_Vencer_90d;PJ_Outros_Vencer_91-360d;PJ_Outros_Vencer_361-1080d;PJ_Outros_Vencer_1081-1800d;PJ_Outros_Vencer_1801-5400d;PJ_Outros_Vencer_acima_5400d;PJ_Outros_TOTAL;PJ_Infra_Vencido_15d;PJ_Infra_Vencer_90d;PJ_Infra_Vencer_91-360d;PJ_Infra_Vencer_361-1080d;PJ_Infra_Vencer_1081-1800d;PJ_Infra_Vencer_1801-5400d;PJ_Infra_Vencer_acima_5400d;PJ_Infra_TOTAL;PJ_Rural_Vencido_15d;PJ_Rural_Vencer_90d;PJ_Rural_Vencer_91-360d;PJ_Rural_Vencer_361-1080d;PJ_Rural_Vencer_1081-1800d;PJ_Rural_Vencer_1801-5400d;PJ_Rural_Vencer_acima_5400d;PJ_Rural_TOTAL;PJ_Hab_Vencido_15d;PJ_Hab_Vencer_90d;PJ_Hab_Vencer_91-360d;PJ_Hab_Vencer_361-1080d;PJ_Hab_Vencer_1081-1800d;PJ_Hab_Vencer_1801-5400d;PJ_Hab_Vencer_acima_5400d;PJ_Hab_TOTAL;Total Exterior Pessoa Jurídica
1;1 - Público;jun/12;585.568.284;1.961.050;37.930.358;24.928.655;28.527.649;7.297.508;1.641.060;44.129;102.330.408;389.410;3.389.066;3.248.657;9.150.023;10.503.337;6.501.124;334.982;33.516.599;432.388;1.551.876;3.339.122;64.428;52.153;732;0;5.440.698;635.881;13.984.149;3.664.505;1.379.185;83.034;44;2;19.746.800;247.556;5.920.133;8.629.005;391.124;2.701.563;3.380.869;0;21.270.252;498.199;6.062.792;12.366.883;10.619.882;1.387.530;475.978;9.050;31.420.315;709.020;18.840.696;37.397.312;77.664.314;51.958.620;105.533.180;26.220.559;318.323.702;75.372;2.786.182;5.249.112;3.070.663;1.637.231;1.990.001;63.479;14.872.039;22.955;412.213;794.953;4.722.814;291.315;87.196;10.723;6.342.169;
1%;1 - Público;jun/12;43,00%;30,03%;41,84%;26,21%;32,07%;38,05%;34,92%;92,44%;33,53%;33,85%;19,26%;12,79%;28,33%;67,82%;77,46%;34,27%;33,08%;11,58%;4,02%;28,82%;16,09%;30,95%;1,74%;0,00%;9,90%;41,29%;31,53%;35,79%;58,65%;43,31%;0,06%;0,13%;33,61%;35,26%;23,99%;24,88%;5,55%;49,56%;56,00%;0,00%;27,05%;13,83%;31,04%;47,33%;46,54%;29,47%;44,66%;32,50%;40,34%;61,42%;55,06%;53,32%;62,56%;76,36%;93,47%;97,27%;72,75%;65,14%;38,92%;42,67%;55,18%;76,41%;42,35%;100,00%;46,41%;23,27%;20,13%;10,84%;29,42%;6,89%;2,89%;22,70%;19,32%;
2;2 - Privado Nacional;jun/12;557.906.664;3.031.546;38.650.611;51.266.481;44.973.084;8.796.244;2.435.782;316;149.154.064;506.892;6.686.367;13.258.807;16.058.128;3.764.236;1.412.592;833;41.687.855;2.259.195;27.876.624;5.190.864;132.344;19.160;28;361.198;35.839.413;710.232;22.491.278;3.671.101;397.790;99.175;70.650;1.578;27.441.804;210.254;11.290.971;15.793.836;4.967.796;1.990.888;1.387.191;0;35.640.937;1.665.753;7.509.741;8.136.162;7.426.299;2.019.901;296.400;14.909;27.069.165;202.639;9.885.291;21.541.820;31.719.965;11.426.052;6.630.251;696.259;82.102.279;28.891;3.144.018;5.135.123;2.013.336;355.850;2.671.351;0;13.348.568;65.883;687.223;3.519.549;8.447.554;3.603.095;1.896.056;36.516;18.255.877;
2%;2 - Privado Nacional;jun/12;40,97%;46,43%;42,63%;53,90%;50,55%;45,87%;51,83%;0,66%;48,87%;44,06%;37,99%;52,19%;49,72%;24,31%;16,83%;0,09%;41,15%;60,48%;72,21%;44,80%;33,04%;11,37%;0,07%;85,74%;65,21%;46,11%;50,70%;35,85%;16,92%;51,73%;94,13%;99,68%;46,70%;29,95%;45,76%;45,54%;70,54%;36,52%;22,98%;0,00%;45,33%;46,23%;38,44%;31,14%;32,55%;42,91%;27,81%;53,54%;34,75%;17,55%;28,89%;30,72%;25,55%;16,79%;5,87%;2,58%;18,76%;24,97%;43,91%;41,75%;36,18%;16,61%;56,85%;0,00%;41,65%;66,78%;33,56%;48,00%;52,63%;85,17%;62,93%;77,30%;55,62%;
3;3 - Privado com Controle Estrangeiro;jun/12;218.339.221;1.537.200;14.085.049;18.914.966;15.461.449;3.082.578;623.162;3.292;53.707.697;254.072;7.524.646;8.899.004;7.088.559;1.218.428;478.921;641.704;26.105.334;1.043.574;9.174.809;3.055.628;203.768;97.217;41.374;60.078;13.676.448;194.079;7.882.850;2.903.673;574.588;9.497;4.359;3;11.569.049;244.215;7.463.410;10.261.489;1.683.473;758.631;1.269.245;35.736;21.716.198;1.439.112;5.961.791;5.627.804;4.772.208;1.300.346;293.419;3.888;19.398.568;242.742;5.493.664;11.193.624;14.751.854;4.660.221;748.375;40.463;37.130.942;11.438;1.229.175;1.916.448;481.175;149.661;37.883;0;3.825.779;9.815;948.132;3.018.554;2.881.101;335.980;1.029.755;0;8.223.337;
3%;3 - Privado com Controle Estrangeiro;jun/12;16,03%;23,54%;15,54%;19,89%;17,38%;16,07%;13,26%;6,90%;17,60%;22,09%;42,75%;35,03%;21,95%;7,87%;5,71%;65,65%;25,77%;27,94%;23,77%;26,37%;50,87%;57,69%;98,20%;14,26%;24,89%;12,60%;17,77%;28,36%;24,43%;4,95%;5,81%;0,18%;19,69%;34,79%;30,25%;29,59%;23,90%;13,92%;21,02%;100,00%;27,62%;39,94%;30,52%;21,54%;20,91%;27,62%;27,53%;13,96%;24,91%;21,03%;16,05%;15,96%;11,88%;6,85%;0,66%;0,15%;8,49%;9,89%;17,17%;15,58%;8,65%;6,98%;0,81%;0,00%;11,94%;9,95%;46,31%;41,16%;17,95%;7,94%;34,18%;0,00%;25,05%;
b1;b1 - Banco Comercial, Banco Múltiplo com Carteira Comercial ou Caixa Econômica;jun/12;1.066.135.409;6.374.389;88.474.289;91.806.243;86.605.906;18.576.608;4.600.498;47.421;296.485.353;986.232;12.415.055;19.210.210;27.072.182;14.145.619;8.069.175;864.380;82.762.853;3.710.429;38.015.309;10.814.748;385.646;166.620;42.106;44.426;53.179.284;1.456.752;40.438.381;8.150.218;2.186.675;191.632;75.054;1.583;52.500.294;702.025;24.656.358;34.623.275;6.993.554;5.449.603;6.037.113;23.684;78.485.611;3.521.421;18.131.493;25.127.136;22.345.961;4.574.925;987.280;13.688;74.701.906;651.171;21.887.877;42.388.526;60.816.231;25.038.271;26.815.059;6.116.582;183.713.717;104.569;6.955.306;11.843.623;4.702.969;1.517.092;3.873.451;63.479;29.060.490;98.621;2.046.657;7.158.325;16.047.761;4.230.342;3.013.008;47.239;32.641.952;
b1%;b1 - Banco Comercial, Banco Múltiplo com Carteira Comercial ou Caixa Econômica;jun/12;78,29%;97,62%;97,58%;96,53%;97,35%;96,87%;97,88%;99,34%;97,15%;85,73%;70,54%;75,61%;83,82%;91,34%;96,15%;88,43%;81,69%;99,34%;98,48%;93,35%;96,28%;98,87%;99,93%;10,55%;96,77%;94,58%;91,16%;79,60%;92,99%;99,96%;100,00%;100,00%;89,35%;100,00%;99,93%;99,82%;99,31%;99,97%;100,00%;66,28%;99,82%;97,73%;92,82%;96,16%;97,93%;97,18%;92,63%;49,16%;95,91%;56,41%;63,96%;60,44%;48,99%;36,80%;23,75%;22,69%;41,99%;90,38%;97,15%;96,28%;84,51%;70,80%;82,43%;100,00%;90,68%;99,97%;99,96%;97,62%;99,98%;100,00%;100,00%;100,00%;99,45%;
b2;b2 - Banco Múltiplo sem Carteira Comercial ou Banco de Investimento ou Banco de Câmbio;jun/12;44.678.808;47.182;839.058;931.659;627.079;289.646;15.950;0;2.750.574;114.050;4.495.340;4.896.374;3.016.301;521.174;10.000;0;13.053.240;0;0;0;0;0;0;0;0;26.158;2.154.157;1.909.891;159.475;0;0;0;4.249.682;0;18.126;61.055;48.185;0;0;12.051;139.418;21.321;990.861;456.621;121.738;47.929;1.332;0;1.639.803;150.430;2.400.116;6.214.985;10.307.694;3.122.407;265.000;28.557;22.489.188;7.023;25.112;72.535;128.324;57.091;12.894;0;302.980;0;0;0;0;0;0;0;0;
b2%;b2 - Banco Múltiplo sem Carteira Comercial ou Banco de Investimento ou Banco de Câmbio;jun/12;3,28%;0,72%;0,93%;0,98%;0,70%;1,51%;0,34%;0,00%;0,90%;9,91%;25,54%;19,27%;9,34%;3,37%;0,12%;0,00%;12,88%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;1,70%;4,86%;18,65%;6,78%;0,00%;0,00%;0,00%;7,23%;0,00%;0,07%;0,18%;0,68%;0,00%;0,00%;33,72%;0,18%;0,59%;5,07%;1,75%;0,53%;1,02%;0,12%;0,00%;2,11%;13,03%;7,01%;8,86%;8,30%;4,59%;0,23%;0,11%;5,14%;6,07%;0,35%;0,59%;2,31%;2,66%;0,27%;0,00%;0,95%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;
