cat;Categoria;Data;Total_Carteira_PF;PF_Consignado_Vencido_15d;PF_Consignado_Vencer_90d;PF_Consignado_Vencer_91-360d;PF_Consignado_Vencer_361-1080d;PF_Consignado_Vencer_1081-1800d;PF_Consignado_Vencer_1801-5400d;PF_Consignado_Vencer_acima_5400d;PF_Consignado_TOTAL;PF_Não_Consignado_Vencido_15d;PF_Não_Consignado_Vencer_90d;PF_Não_Consignado_Vencer_91-360d;PF_Não_Consignado_Vencer_361-1080d;PF_Não_Consignado_Vencer_1081-1800d;PF_Não_Consignado_Vencer_1801-5400d;PF_Não_Consignado_Vencer_acima_5400d;PF_Não_Consignado_TOTAL;PF_Veículos_Vencido_15d;PF_Veículos_Vencer_90d;PF_Veículos_Vencer_91-360d;PF_Veículos_Vencer_361-1080d;PF_Veículos_Vencer_1081-1800d;PF_Veículos_Vencer_1801-5400d;PF_Veículos_Vencer_acima_5400d;PF_Veículos_TOTAL;PF_Hab_Vencido_15d;PF_Hab_Vencer_90d;PF_Hab_Vencer_91-360d;PF_Hab_Vencer_361-1080d;PF_Hab_Vencer_1081-1800d;PF_Hab_Vencer_1801-5400d;PF_Hab_Vencer_acima_5400d;PF_Hab_TOTAL;PF_Cartão_Vencido_15d;PF_Cartão_Vencer_90d;PF_Cartão_Vencer_91-360d;PF_Cartão_Vencer_361-1080d;PF_Cartão_Vencer_1081-1800d;PF_Cartão_Vencer_1801-5400d;PF_Cartão_Vencer_acima_5400d;PF_Cartão_TOTAL;PF_Rural_Vencido_15d;PF_Rural_Vencer_90d;PF_Rural_Vencer_91-360d;PF_Rural_Vencer_361-1080d;PF_Rural_Vencer_1081-1800d;PF_Rural_Vencer_1801-5400d;PF_Rural_Vencer_acima_5400d;PF_Rural_TOTAL;PF_Outros_Vencido_15d;PF_Outros_Vencer_90d;PF_Outros_Vencer_91-360d;PF_Outros_Vencer_361-1080d;PF_Outros_Vencer_1081-1800d;PF_Outros_Vencer_1801-5400d;PF_Outros_Vencer_acima_5400d;Outros_TOTAL;Total_Exterior_PF
1;1 - Público;jun/12;407.717.356;2.533.821;11.017.702;12.269.097;26.903.910;18.569.224;8.694.363;21;79.988.139;1.368.154;5.259.806;8.934.483;10.999.947;4.130.296;1.444.384;8;32.137.078;378.684;783.150;2.110.750;3.317.812;1.957.819;2.328;0;8.550.543;1.514.095;6.969.437;17.399.288;44.891.227;40.317.118;62.054.427;6.139.892;179.285.483;1.563.949;14.853.430;2.460.755;94.711;17;0;0;18.972.861;727.417;10.740.776;18.950.498;16.743.274;11.044.992;10.829.543;3.021.139;72.057.640;1.570.902;5.488.159;5.468.178;3.067.490;881.171;183.898;65.813;16.725.611;0
1%;1 - Público;jun/12;40,42%;65,52%;53,00%;32,56%;39,11%;56,94%;89,50%;6,99%;46,12%;21,39%;28,22%;29,52%;34,55%;54,24%;69,19%;0,08%;33,18%;6,65%;3,07%;3,35%;3,43%;9,69%;9,00%;0,00%;4,05%;91,38%;85,51%;85,95%;87,37%;88,86%;79,82%;41,15%;81,69%;11,72%;18,54%;13,05%;16,96%;0,03%;0,00%;0,00%;16,80%;63,67%;61,91%;57,43%;65,93%;73,00%;80,21%;99,70%;66,38%;21,68%;21,80%;32,72%;24,67%;25,87%;23,80%;11,63%;25,22%;0,00%
2;2 - Privado Nacional;jun/12;415.633.731;747.855;7.709.778;20.145.816;33.628.466;11.297.291;626.389;226;74.155.819;2.321.538;9.580.460;14.482.710;13.235.968;2.306.003;565.161;1.924;42.493.764;4.270.855;17.173.468;42.286.931;67.142.457;13.244.200;15.638;6.357;144.139.907;116.719;622.290;1.518.920;3.672.180;3.131.801;10.255.079;6.771.317;26.088.305;8.204.813;43.454.115;13.488.777;209.154;3.461;48;52;65.360.420;184.529;4.552.347;9.909.545;4.666.803;2.221.653;2.014.092;8.724;23.557.692;2.892.545;13.634.674;7.214.988;6.190.193;1.189.496;260.786;466.063;31.848.746;7.989.078
2%;2 - Privado Nacional;jun/12;41,20%;19,34%;37,08%;53,46%;48,89%;34,64%;6,45%;75,34%;42,75%;36,30%;51,40%;47,85%;41,57%;30,28%;27,07%;19,07%;43,87%;75,02%;67,30%;67,10%;69,32%;65,55%;60,45%;99,89%;68,21%;7,04%;7,63%;7,50%;7,15%;6,90%;13,19%;45,39%;11,89%;61,50%;54,24%;71,54%;37,46%;5,33%;0,18%;91,56%;57,86%;16,15%;26,24%;30,03%;18,38%;14,68%;14,92%;0,29%;21,70%;39,91%;54,17%;43,17%;49,79%;34,92%;33,75%;82,33%;48,03%;40,19%
3;3 - Privado com Controle Estrangeiro;jun/12;185.451.586;585.471;2.062.432;5.267.675;8.250.508;2.748.203;394.034;53;19.308.377;2.706.174;3.799.383;6.850.809;7.604.711;1.178.232;77.953;8.154;22.225.416;1.043.183;7.560.714;18.624.233;26.398.379;5.003.205;7.903;7;58.637.624;26.092;559.006;1.325.164;2.819.872;1.921.584;5.433.567;2.007.959;14.093.244;3.572.936;21.805.193;2.906.102;254.498;61.415;26.400;5;28.626.550;230.537;2.056.390;4.139.860;3.985.527;1.864.290;658.319;405;12.935.328;2.783.970;6.049.172;4.030.899;3.174.832;1.336.022;327.966;34.213;17.737.075;11.887.972
3%;3 - Privado com Controle Estrangeiro;jun/12;18,38%;15,14%;9,92%;13,98%;12,00%;8,43%;4,06%;17,66%;11,13%;42,31%;20,38%;22,63%;23,88%;15,47%;3,73%;80,85%;22,95%;18,32%;29,63%;29,55%;27,25%;24,76%;30,55%;0,11%;27,75%;1,57%;6,86%;6,55%;5,49%;4,24%;6,99%;13,46%;6,42%;26,78%;27,22%;15,41%;45,58%;94,64%;99,82%;8,44%;25,34%;20,18%;11,85%;12,55%;15,69%;12,32%;4,88%;0,01%;11,92%;38,41%;24,03%;24,12%;25,54%;39,22%;42,45%;6,04%;26,75%;59,81%
b1;b1 - Banco Comercial, Banco Múltiplo com Carteira Comercial ou Caixa Econômica;jun/12;939.399.410;3.846.548;20.397.229;36.633.297;67.253.173;32.101.801;9.643.212;108;169.875.368;5.664.255;16.029.673;26.884.387;29.217.253;6.980.825;1.856.955;7.667;86.641.015;5.463.328;22.407.126;55.370.817;86.461.969;18.232.093;21.135;6.362;187.962.830;1.604.675;8.091.884;20.097.951;51.053.364;45.205.550;77.384.321;14.851.547;218.289.291;12.389.230;76.033.137;18.007.934;518.063;62.106;26.439;5;107.036.915;878.219;14.287.887;26.651.718;20.926.048;13.124.137;11.818.576;3.021.460;90.708.045;6.879.907;22.381.232;14.509.637;11.278.932;3.167.309;683.145;108.832;59.008.995;19.876.952
b1%;b1 - Banco Comercial, Banco Múltiplo com Carteira Comercial ou Caixa Econômica;jun/12;93,12%;99,47%;98,11%;97,22%;97,78%;98,43%;99,26%;35,91%;97,94%;88,56%;86,00%;88,82%;91,76%;91,68%;88,96%;76,02%;89,45%;95,97%;87,81%;87,86%;89,27%;90,23%;81,70%;99,97%;88,94%;96,85%;99,28%;99,28%;99,36%;99,64%;99,54%;99,55%;99,46%;92,86%;94,91%;95,50%;92,78%;95,70%;99,96%;8,44%;94,76%;76,87%;82,35%;80,76%;82,40%;86,74%;87,53%;99,71%;83,56%;94,93%;88,91%;86,81%;90,72%;92,97%;88,42%;19,23%;88,99%;100,00%
b2;b2 - Banco Múltiplo sem Carteira Comercial ou Banco de Investimento ou Banco de Câmbio;jun/12;27.086.640;232;8.228;18.150;17.388;1.288;0;0;45.287;591;10.215;17.660;12.714;1.141;29;0;42.350;180.215;2.618.041;6.448.181;8.747.531;1.700.595;2.227;0;19.696.789;1.261;647;983;1.422;1.079;1.163;182;6.736;472.039;1.297.708;544.025;31.450;0;0;0;2.345.222;137.824;414.042;984.299;1.825.241;1.001.590;258.268;0;4.621.263;36.330;44.143;77.799;127.168;41.986;1.492;75;328.993;0
b2%;b2 - Banco Múltiplo sem Carteira Comercial ou Banco de Investimento ou Banco de Câmbio;jun/12;2,69%;0,01%;0,04%;0,05%;0,03%;0,00%;0,00%;0,00%;0,03%;0,01%;0,05%;0,06%;0,04%;0,01%;0,00%;0,00%;0,04%;3,17%;10,26%;10,23%;9,03%;8,42%;8,61%;0,00%;9,32%;0,08%;0,01%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;3,54%;1,62%;2,89%;5,63%;0,00%;0,00%;0,00%;2,08%;12,06%;2,39%;2,98%;7,19%;6,62%;1,91%;0,00%;4,26%;0,50%;0,18%;0,47%;1,02%;1,23%;0,19%;0,01%;0,50%;0,00%
