Categoria;Total_Carteira_PF;PF_Consignado_Vencido_15d;PF_Consignado_Vencer_90d;PF_Consignado_Vencer_91-360d;PF_Consignado_Vencer_361-1080d;PF_Consignado_Vencer_1081-1800d;PF_Consignado_Vencer_1801-5400d;PF_Consignado_Vencer_acima_5400d;PF_Consignado_TOTAL;PF_Não_Consignado_Vencido_15d;PF_Não_Consignado_Vencer_90d;PF_Não_Consignado_Vencer_91-360d;PF_Não_Consignado_Vencer_361-1080d;PF_Não_Consignado_Vencer_1081-1800d;PF_Não_Consignado_Vencer_1801-5400d;PF_Não_Consignado_Vencer_acima_5400d;PF_Não_Consignado_TOTAL;PF_Veículos_Vencido_15d;PF_Veículos_Vencer_90d;PF_Veículos_Vencer_91-360d;PF_Veículos_Vencer_361-1080d;PF_Veículos_Vencer_1081-1800d;PF_Veículos_Vencer_1801-5400d;PF_Veículos_Vencer_acima_5400d;PF_Veículos_TOTAL;PF_Hab_Vencido_15d;PF_Hab_Vencer_90d;PF_Hab_Vencer_91-360d;PF_Hab_Vencer_361-1080d;PF_Hab_Vencer_1081-1800d;PF_Hab_Vencer_1801-5400d;PF_Hab_Vencer_acima_5400d;PF_Hab_TOTAL;PF_Cartão_Vencido_15d;PF_Cartão_Vencer_90d;PF_Cartão_Vencer_91-360d;PF_Cartão_Vencer_361-1080d;PF_Cartão_Vencer_1081-1800d;PF_Cartão_Vencer_1801-5400d;PF_Cartão_Vencer_acima_5400d;PF_Cartão_TOTAL;PF_Rural_Vencido_15d;PF_Rural_Vencer_90d;PF_Rural_Vencer_91-360d;PF_Rural_Vencer_361-1080d;PF_Rural_Vencer_1081-1800d;PF_Rural_Vencer_1801-5400d;PF_Rural_Vencer_acima_5400d;PF_Rural_TOTAL;PF_Outros_Vencido_15d;PF_Outros_Vencer_90d;PF_Outros_Vencer_91-360d;PF_Outros_Vencer_361-1080d;PF_Outros_Vencer_1081-1800d;PF_Outros_Vencer_1801-5400d;PF_Outros_Vencer_acima_5400d;Outros_TOTAL;Total_Exterior_PF
n1 - Não Bancário de Crédito;42.928.235;39.353;255.777;647.121;976.770;455.396;247.493;5;2.621.915;745.492;3.088.407;4.317.311;1.185.834;73.718;35.849;2.101;9.448.711;58.307;461.428;1.232.478;1.965.743;242.845;544;0;3.961.345;17.363;65.844;173.784;396.296;329.186;1.070.368;657.284;2.710.124;3.227.262;13.526.078;5.458.451;246.448;27.443;3;0;22.485.685;3.778;62.743;173.384;342.275;195.372;191.252;0;968.803;46.932;150.628;233.980;137.752;46.463;94.884;21.014;731.651;0
n1 - Não Bancário de Crédito;1,61%;0,99%;0,80%;0,73%;0,56%;0,42%;0,27%;0,00%;0,52%;13,54%;9,84%;6,78%;1,68%;0,31%;0,40%;0,44%;4,62%;1,95%;1,58%;1,66%;1,77%;1,22%;0,60%;0,00%;1,67%;1,57%;0,31%;0,30%;0,29%;0,29%;0,33%;0,46%;0,34%;13,99%;6,10%;6,48%;3,31%;4,70%;0,00%;0,00%;6,66%;0,22%;0,20%;0,14%;0,35%;0,40%;0,51%;0,00%;0,28%;0,56%;0,42%;0,62%;0,40%;0,30%;0,83%;3,09%;0,51%;0,00%
n2 - Não Bancário de Mercado de Capitais;5.732;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5.732;5.732;0
n2 - Não Bancário de Mercado de Capitais;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,84%;0,00%;0,00%
n4 - Instituições de Pagamento;21.774.253;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;29.972;16.259.946;4.853.813;197.249;7;0;0;21.340.987;0;0;0;0;0;0;0;0;230.178;154.650;43.874;4.565;0;0;0;433.266;0
n4 - Instituições de Pagamento;0,82%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,13%;7,33%;5,76%;2,65%;0,00%;0,00%;0,00%;6,32%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;2,77%;0,43%;0,12%;0,01%;0,00%;0,00%;0,00%;0,30%;0,00%
C - Conglomerado;2.345.786.987;3.861.104;30.233.571;83.962.643;165.487.676;102.535.939;85.817.646;1.359.288;473.257.867;4.439.866;23.836.484;47.838.907;53.628.037;18.534.933;6.351.046;406.131;155.035.404;2.711.230;25.157.393;63.886.342;95.077.200;16.909.498;67.672;102.408;203.911.743;1.088.555;20.921.296;58.167.217;135.777.886;111.696.761;322.056.598;141.370.589;791.078.902;18.741.558;186.678.250;72.054.554;6.544.864;583.925;200.906;208.124;285.012.182;1.441.023;21.925.256;87.131.303;67.535.799;34.558.382;28.487.108;272.911;241.351.782;7.125.579;26.398.372;24.300.271;25.435.169;11.439.886;8.652.483;622.538;103.974.296;92.164.810
C - Conglomerado;88,23%;97,38%;94,73%;94,43%;94,62%;94,85%;93,68%;99,95%;94,51%;80,64%;75,91%;75,17%;76,04%;77,68%;70,64%;86,01%;75,85%;90,67%;86,32%;86,11%;85,63%;84,88%;74,81%;100,00%;85,86%;98,24%;99,39%;99,39%;99,39%;99,38%;99,30%;99,08%;99,30%;81,22%;84,18%;85,56%;87,92%;100,00%;100,00%;100,00%;84,45%;82,33%;71,25%;68,17%;68,94%;69,97%;75,90%;94,12%;69,85%;85,77%;73,29%;64,43%;73,13%;74,49%;75,35%;91,54%;72,03%;100,00%
I - Instituição independente;313.031.467;103.871;1.680.953;4.956.600;9.409.800;5.566.775;5.786.375;747;27.505.121;1.065.918;7.563.116;15.802.447;16.895.868;5.325.514;2.639.096;66.040;49.357.999;279.080;3.988.168;10.305.001;15.961.602;3.011.589;22.783;2;33.568.225;19.528;127.605;354.252;833.402;700.811;2.265.003;1.312.451;5.613.052;4.333.293;35.070.786;12.158.670;899.038;26;0;2;52.461.815;309.292;8.845.084;40.686.884;30.422.540;14.829.864;9.044.299;17.045;104.155.008;1.181.842;9.621.029;13.415.961;9.345.209;3.918.703;2.830.004;57.500;40.370.248;0
I - Instituição independente;11,77%;2,62%;5,27%;5,57%;5,38%;5,15%;6,32%;0,05%;5,49%;19,36%;24,09%;24,83%;23,96%;22,32%;29,36%;13,99%;24,15%;9,33%;13,68%;13,89%;14,37%;15,12%;25,19%;0,00%;14,14%;1,76%;0,61%;0,61%;0,61%;0,62%;0,70%;0,92%;0,70%;18,78%;15,82%;14,44%;12,08%;0,00%;0,00%;0,00%;15,55%;17,67%;28,75%;31,83%;31,06%;30,03%;24,10%;5,88%;30,15%;14,23%;26,71%;35,57%;26,87%;25,51%;24,65%;8,46%;27,97%;0,00%
