cat;Categoria;Data;Total_Carteira_PF;PF_Consignado_Vencido_15d;PF_Consignado_Vencer_90d;PF_Consignado_Vencer_91-360d;PF_Consignado_Vencer_361-1080d;PF_Consignado_Vencer_1081-1800d;PF_Consignado_Vencer_1801-5400d;PF_Consignado_Vencer_acima_5400d;PF_Consignado_TOTAL;PF_Não_Consignado_Vencido_15d;PF_Não_Consignado_Vencer_90d;PF_Não_Consignado_Vencer_91-360d;PF_Não_Consignado_Vencer_361-1080d;PF_Não_Consignado_Vencer_1081-1800d;PF_Não_Consignado_Vencer_1801-5400d;PF_Não_Consignado_Vencer_acima_5400d;PF_Não_Consignado_TOTAL;PF_Veículos_Vencido_15d;PF_Veículos_Vencer_90d;PF_Veículos_Vencer_91-360d;PF_Veículos_Vencer_361-1080d;PF_Veículos_Vencer_1081-1800d;PF_Veículos_Vencer_1801-5400d;PF_Veículos_Vencer_acima_5400d;PF_Veículos_TOTAL;PF_Hab_Vencido_15d;PF_Hab_Vencer_90d;PF_Hab_Vencer_91-360d;PF_Hab_Vencer_361-1080d;PF_Hab_Vencer_1081-1800d;PF_Hab_Vencer_1801-5400d;PF_Hab_Vencer_acima_5400d;PF_Hab_TOTAL;PF_Cartão_Vencido_15d;PF_Cartão_Vencer_90d;PF_Cartão_Vencer_91-360d;PF_Cartão_Vencer_361-1080d;PF_Cartão_Vencer_1081-1800d;PF_Cartão_Vencer_1801-5400d;PF_Cartão_Vencer_acima_5400d;PF_Cartão_TOTAL;PF_Rural_Vencido_15d;PF_Rural_Vencer_90d;PF_Rural_Vencer_91-360d;PF_Rural_Vencer_361-1080d;PF_Rural_Vencer_1081-1800d;PF_Rural_Vencer_1801-5400d;PF_Rural_Vencer_acima_5400d;PF_Rural_TOTAL;PF_Outros_Vencido_15d;PF_Outros_Vencer_90d;PF_Outros_Vencer_91-360d;PF_Outros_Vencer_361-1080d;PF_Outros_Vencer_1081-1800d;PF_Outros_Vencer_1801-5400d;PF_Outros_Vencer_acima_5400d;Outros_TOTAL;Total_Exterior_PF
1;1 - Público;mar/18;888.330.388;3.102.443;11.882.237;31.468.572;57.926.862;31.495.004;15.137.190;406.489;151.418.797;1.342.617;4.225.498;10.598.787;11.032.890;4.136.488;1.748.459;1.111.719;34.196.457;348.247;1.516.259;3.425.226;3.503.885;345.012;591;84.439;9.223.660;1.662.260;13.376.368;35.565.841;81.744.965;66.101.623;185.768.625;84.659.319;468.879.001;2.482.138;26.077.106;5.823.281;418.596;8.746;7.399;506.556;35.323.823;2.641.902;16.094.303;50.541.049;37.437.319;25.743.282;21.470.214;722.425;154.650.494;2.807.685;8.371.196;7.626.890;6.283.678;3.532.935;2.561.035;497.700;31.681.119;2.957.036
1%;1 - Público;mar/18;51,02%;66,60%;42,79%;44,02%;46,05%;50,55%;61,29%;99,60%;47,75%;23,95%;22,46%;32,31%;36,67%;46,23%;66,86%;98,14%;34,19%;13,03%;6,87%;6,53%;5,09%;3,80%;2,19%;96,42%;5,94%;86,27%;82,60%;85,24%;85,06%;84,67%;82,22%;75,28%;81,91%;14,90%;19,46%;12,71%;17,57%;5,38%;13,81%;99,99%;17,70%;80,45%;52,62%;66,08%;67,18%;73,91%;79,82%;99,99%;67,67%;29,33%;27,00%;32,85%;27,54%;37,24%;50,05%;80,92%;31,11%;4,46%
2;2 - Privado Nacional;mar/18;623.187.878;1.061.658;12.463.062;31.145.604;53.410.136;24.512.124;7.051.348;916;129.644.848;3.498.688;13.026.691;18.853.594;15.132.565;3.674.305;767.703;4.970;54.958.515;1.509.419;12.328.320;29.110.854;39.136.817;5.226.887;12.408;0;87.324.706;221.169;1.619.974;3.313.753;8.376.036;7.621.371;29.732.683;23.529.347;74.414.333;11.313.132;83.553.453;32.031.053;1.089.569;36.224;3.067;0;128.026.497;458.802;9.737.182;20.746.441;10.203.712;4.675.171;3.352.589;56;49.173.952;4.837.444;15.625.663;9.569.412;10.403.316;3.322.274;1.425.458;93.214;45.276.780;54.368.245
2%;2 - Privado Nacional;mar/18;35,79%;22,79%;44,89%;43,57%;42,46%;39,34%;28,55%;0,22%;40,88%;62,41%;69,23%;57,47%;50,30%;41,06%;29,35%;0,44%;54,96%;56,48%;55,84%;55,48%;56,82%;57,63%;46,01%;0,00%;56,24%;11,48%;10,00%;7,94%;8,72%;9,76%;13,16%;20,92%;13,00%;67,90%;62,35%;69,93%;45,74%;22,29%;5,72%;0,00%;64,15%;13,97%;31,84%;27,12%;18,31%;13,42%;12,46%;0,01%;21,52%;50,53%;50,40%;41,22%;45,59%;35,02%;27,86%;15,15%;44,46%;81,98%
3;3 - Privado com Controle Estrangeiro;mar/18;229.540.307;494.081;3.420.881;8.869.232;14.443.210;6.301.195;2.507.691;697;36.036.988;764.882;1.563.728;3.350.766;3.919.083;1.137.262;99.126;16.060;10.850.906;815.042;8.234.117;19.932.974;26.234.758;3.497.360;13.966;3.138;58.731.356;43.313;1.197.367;2.843.037;5.985.072;4.345.319;10.434.974;4.270.357;29.119.439;2.865.316;24.367.913;7.949.754;873.878;117.526;43.110;27;36.217.523;183.174;4.753.603;5.202.782;8.089.106;4.411.125;2.074.718;0;24.714.507;1.927.616;7.008.947;6.019.647;6.129.804;2.632.697;1.130.240;24.172;24.873.122;8.996.466
3%;3 - Privado com Controle Estrangeiro;mar/18;13,18%;10,61%;12,32%;12,41%;11,48%;10,11%;10,15%;0,17%;11,36%;13,64%;8,31%;10,21%;13,03%;12,71%;3,79%;1,42%;10,85%;30,49%;37,29%;37,99%;38,09%;38,56%;51,79%;3,58%;37,82%;2,25%;7,39%;6,81%;6,23%;5,57%;4,62%;3,80%;5,09%;17,20%;18,19%;17,36%;36,69%;72,33%;80,46%;0,01%;18,15%;5,58%;15,54%;6,80%;14,51%;12,66%;7,71%;0,00%;10,81%;20,14%;22,61%;25,93%;26,87%;27,75%;22,09%;3,93%;24,43%;13,56%
b1;b1 - Banco Comercial, Banco Múltiplo com Carteira Comercial ou Caixa Econômica;mar/18;1.609.559.988;4.612.175;26.956.434;69.465.224;122.527.084;60.917.232;23.915.972;407.905;308.802.025;4.621.069;14.156.504;25.528.260;23.803.062;7.225.651;1.960.627;1.127.891;78.423.065;2.372.203;18.352.363;43.625.187;57.855.652;7.861.707;23.647;87.578;130.178.337;1.912.459;16.111.543;41.487.262;95.603.606;77.789.747;225.345.247;112.193.227;570.443.091;14.254.005;119.091.340;40.115.547;2.015.682;157.813;53.468;506.583;176.194.439;2.999.483;21.255.117;62.532.545;46.717.290;30.605.982;24.398.632;722.172;189.231.221;8.197.956;26.783.813;20.032.653;20.964.370;8.798.314;4.625.511;563.445;89.966.062;66.321.747
b1%;b1 - Banco Comercial, Banco Múltiplo com Carteira Comercial ou Caixa Econômica;mar/18;92,45%;99,01%;97,08%;97,18%;97,41%;97,77%;96,84%;99,95%;97,38%;82,43%;75,24%;77,82%;79,12%;80,75%;74,97%;99,57%;78,42%;88,76%;83,12%;83,14%;84,00%;86,69%;87,69%;100,00%;83,83%;99,26%;99,49%;99,44%;99,48%;99,64%;99,74%;99,76%;99,66%;85,56%;88,88%;87,58%;84,62%;97,12%;99,80%;100,00%;88,29%;91,34%;69,50%;81,75%;83,83%;87,87%;90,71%;99,96%;82,80%;85,64%;86,38%;86,29%;91,88%;92,73%;90,40%;91,60%;88,35%;100,00%
b2;b2 - Banco Múltiplo sem Carteira Comercial ou Banco de Investimento ou Banco de Câmbio;mar/18;36.663.443;1.649;36.241;85.337;115.292;44.794;7.029;0;290.341;65.004;67.200;65.531;38.926;6.340;7.675;0;250.677;237.961;3.033.137;7.163.185;8.719.331;887.427;1.256;0;20.042.297;0;0;0;0;0;0;0;0;935.374;3.963.416;1.708.798;247.292;0;0;0;6.854.879;39.370;1.505.159;994.161;3.562.950;1.903.160;737.363;0;8.742.163;5.578;379.946;34.225;50.548;11.377;1.412;0;483.086;0
b2%;b2 - Banco Múltiplo sem Carteira Comercial ou Banco de Investimento ou Banco de Câmbio;mar/18;2,11%;0,04%;0,13%;0,12%;0,09%;0,07%;0,03%;0,00%;0,09%;1,16%;0,36%;0,20%;0,13%;0,07%;0,29%;0,00%;0,25%;8,90%;13,74%;13,65%;12,66%;9,79%;4,66%;0,00%;12,91%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;5,61%;2,96%;3,73%;10,38%;0,00%;0,00%;0,00%;3,43%;1,20%;4,92%;1,30%;6,39%;5,46%;2,74%;0,00%;3,83%;0,06%;1,23%;0,15%;0,22%;0,12%;0,03%;0,00%;0,47%;0,00%
