cat;Categoria;Total da Carteira de Pessoa Jurídica;PJ_CG_Vencido_15d;PJ_CG_Vencer_90d;PJ_CG_Vencer_91-360d;PJ_CG_Vencer_361-1080d;PJ_CG_Vencer_1081-1800d;PJ_CG_Vencer_1801-5400d;PJ_CG_Vencer_acima_5400d;PJ_CG_TOTAL;PJ_I_Vencido_15d;PJ_I_Vencer_90d;PJ_I_Vencer_91-360d;PJ_I_Vencer_361-1080d;PJ_I_Vencer_1081-1800d;PJ_I_Vencer_1801-5400d;PJ_I_Vencer_acima_5400d;PJ_I_TOTAL;PJ_CGR_Vencido_15d;PJ_CGR_Vencer_90d;PJ_CGR_Vencer_91-360d;PJ_CGR_Vencer_361-1080d;PJ_CGR_Vencer_1081-1800d;PJ_CGR_Vencer_1801-5400d;PJ_CGR_Vencer_acima_5400d;PJ_CGR_TOTAL;PJ_Recebiveis_Vencido_15d;PJ_Recebiveis_Vencer_90d;PJ_Recebiveis_Vencer_91-360d;PJ_Recebiveis_Vencer_361-1080d;PJ_Recebiveis_Vencer_1081-1800d;PJ_Recebiveis_Vencer_1801-5400d;PJ_Recebiveis_Vencer_acima_5400d;PJ_Recebiveis_TOTAL;PJ_Comex_Vencido_15d;PJ_Comex_Vencer_90d;PJ_Comex_Vencer_91-360d;PJ_Comex_Vencer_361-1080d;PJ_Comex_Vencer_1081-1800d;PJ_Comex_Vencer_1801-5400d;PJ_Comex_Vencer_acima_5400d;PJ_Comex_TOTAL;PJ_Outros_Vencido_15d;PJ_Outros_Vencer_90d;PJ_Outros_Vencer_91-360d;PJ_Outros_Vencer_361-1080d;PJ_Outros_Vencer_1081-1800d;PJ_Outros_Vencer_1801-5400d;PJ_Outros_Vencer_acima_5400d;PJ_Outros_TOTAL;PJ_Infra_Vencido_15d;PJ_Infra_Vencer_90d;PJ_Infra_Vencer_91-360d;PJ_Infra_Vencer_361-1080d;PJ_Infra_Vencer_1081-1800d;PJ_Infra_Vencer_1801-5400d;PJ_Infra_Vencer_acima_5400d;PJ_Infra_TOTAL;PJ_Rural_Vencido_15d;PJ_Rural_Vencer_90d;PJ_Rural_Vencer_91-360d;PJ_Rural_Vencer_361-1080d;PJ_Rural_Vencer_1081-1800d;PJ_Rural_Vencer_1801-5400d;PJ_Rural_Vencer_acima_5400d;PJ_Rural_TOTAL;PJ_Hab_Vencido_15d;PJ_Hab_Vencer_90d;PJ_Hab_Vencer_91-360d;PJ_Hab_Vencer_361-1080d;PJ_Hab_Vencer_1081-1800d;PJ_Hab_Vencer_1801-5400d;PJ_Hab_Vencer_acima_5400d;PJ_Hab_TOTAL;Total Exterior Pessoa Jurídica
1;1 - Público;mar/18;802.016.553;6.583.075;10.449.940;25.283.239;39.235.144;10.208.174;4.349.255;1.252.880;97.361.707;446.625;2.036.484;5.066.040;16.225.372;12.124.926;25.238.186;1.337.070;62.474.704;841.383;2.519.304;2.809.586;92.072;469;0;62.014;6.324.828;219.877;5.353.583;1.685.041;433.946;64.519;0;0;7.756.966;773.725;14.872.880;16.478.815;5.763.073;10.424.053;8.976.905;0;57.289.450;4.351.593;3.734.420;4.729.779;6.586.345;3.996.756;3.765.403;1.033.868;28.198.164;2.204.082;23.306.900;53.214.219;105.742.260;72.938.951;162.648.075;45.288.242;465.342.729;88.039;3.150.227;13.802.861;5.872.962;2.823.551;3.044.428;3.457;28.785.524;857.055;2.978.002;5.819.110;5.908.756;440.300;220.911;8.170;16.232.304
1%;1 - Público;mar/18;46,86%;57,37%;22,26%;30,60%;39,40%;45,99%;53,91%;78,21%;35,73%;40,19%;21,63%;26,91%;52,24%;80,80%;95,18%;76,76%;60,26%;35,62%;9,60%;29,86%;13,92%;0,40%;0,00%;24,01%;15,80%;31,75%;8,46%;8,59%;25,01%;19,43%;0,00%;0,00%;8,99%;50,32%;31,18%;28,98%;23,57%;67,06%;47,80%;0,00%;34,75%;53,54%;25,92%;27,96%;32,35%;47,54%;61,34%;46,75%;36,83%;77,51%;70,32%;69,32%;77,47%;84,43%;91,35%;91,37%;82,62%;84,78%;36,50%;50,51%;56,93%;67,12%;79,62%;74,61%;52,90%;66,90%;57,50%;53,14%;45,01%;21,90%;49,76%;85,46%;49,18%
2;2 - Privado Nacional;mar/18;684.641.355;3.885.855;26.600.408;43.892.728;46.551.344;9.240.662;2.809.517;5.107;132.985.621;455.961;3.866.372;7.733.149;7.935.674;1.486.825;331.855;18.899;21.828.734;1.222.159;18.977.359;4.610.053;225.952;4.599;928.093;4.758;25.972.973;336.934;33.929.153;6.926.068;693.874;189.547;102.521;505.419;42.683.515;538.023;17.972.513;24.464.440;11.963.622;3.184.062;6.985.558;0;65.108.218;3.066.564;7.627.239;9.699.131;9.034.010;3.218.171;2.067.016;983.500;35.695.630;370.123;6.406.350;15.027.416;21.335.360;10.162.362;12.325.877;2.276.350;67.903.838;7.217;3.080.606;8.390.728;2.811.082;747.722;425.351;49;15.462.755;271.149;970.270;3.681.997;6.691.381;1.551.336;216.631;609;13.383.373
2%;2 - Privado Nacional;mar/18;40,00%;33,86%;56,67%;53,12%;46,75%;41,64%;34,83%;0,32%;48,81%;41,03%;41,07%;41,08%;25,55%;9,91%;1,25%;1,09%;21,06%;51,75%;72,31%;48,99%;34,15%;3,97%;93,93%;1,84%;64,87%;48,65%;53,63%;35,30%;40,00%;57,09%;94,48%;99,00%;49,48%;34,99%;37,67%;43,03%;48,93%;20,48%;37,20%;0,00%;39,49%;37,73%;52,93%;57,34%;44,38%;38,28%;33,67%;44,47%;46,62%;13,02%;19,33%;19,58%;15,63%;11,76%;6,92%;4,59%;12,06%;6,95%;35,69%;30,71%;27,25%;17,78%;11,12%;1,05%;28,42%;21,17%;18,73%;33,62%;50,97%;77,15%;48,79%;6,37%;40,55%
3;3 - Privado com Controle Estrangeiro;mar/18;224.868.248;1.006.263;9.884.712;13.458.569;13.787.260;2.745.576;908.119;344.040;42.134.539;208.781;3.512.039;6.023.666;6.899.705;1.394.354;946.332;385.822;19.370.699;298.277;4.748.399;1.989.790;343.638;110.727;59.965;191.463;7.742.259;135.817;23.980.022;11.011.312;606.981;77.945;5.993;5.130;35.823.199;225.993;14.861.057;15.912.190;6.725.961;1.935.286;2.817.253;487;42.478.227;709.174;3.048.174;2.486.610;4.737.792;1.192.673;306.111;194.148;12.674.680;269.238;3.428.653;8.519.576;9.419.241;3.288.537;3.072.432;2.001.391;29.999.068;8.589;2.399.585;5.131.271;1.632.444;635.251;353.683;1.128;10.161.952;152.835;1.231.234;1.450.158;528.055;19.289;6.429;781;3.388.781
3%;3 - Privado com Controle Estrangeiro;mar/18;13,14%;8,77%;21,06%;16,29%;13,85%;12,37%;11,26%;21,48%;15,46%;18,79%;37,30%;32,00%;22,21%;9,29%;3,57%;22,15%;18,68%;12,63%;18,09%;21,15%;51,94%;95,62%;6,07%;74,14%;19,34%;19,61%;37,91%;56,12%;34,99%;23,48%;5,52%;1,00%;41,53%;14,70%;31,15%;27,99%;27,51%;12,45%;15,00%;100,00%;25,76%;8,73%;21,15%;14,70%;23,27%;14,19%;4,99%;8,78%;16,55%;9,47%;10,35%;11,10%;6,90%;3,81%;1,73%;4,04%;5,33%;8,27%;27,80%;18,78%;15,82%;15,10%;9,25%;24,34%;18,68%;11,93%;23,77%;13,24%;4,02%;0,96%;1,45%;8,17%;10,27%
b1;b1 - Banco Comercial, Banco Múltiplo com Carteira Comercial ou Caixa Econômica;mar/18;1.314.548.515;11.020.334;41.827.603;73.615.012;90.684.452;19.805.339;7.432.045;1.471.042;245.855.825;934.216;6.227.084;13.651.827;24.439.680;13.338.983;26.090.977;1.737.065;86.419.832;2.279.732;24.576.762;7.455.284;581.854;111.905;973.747;253.478;36.232.762;525.401;53.746.127;14.664.922;1.657.560;310.732;108.421;510.549;71.523.711;1.537.741;47.706.060;56.829.178;24.452.656;15.541.357;18.761.327;487;164.828.806;7.964.976;13.488.892;15.894.776;19.142.880;7.937.028;5.846.305;2.193.034;72.467.891;1.543.190;17.775.574;41.078.402;59.675.555;33.059.534;65.273.022;21.989.132;240.394.409;95.091;8.097.697;25.662.471;8.049.610;2.695.518;2.264.023;4.391;46.868.802;1.281.038;5.170.347;10.951.232;13.128.109;2.010.847;443.626;9.560;32.994.759
b1%;b1 - Banco Comercial, Banco Múltiplo com Carteira Comercial ou Caixa Econômica;mar/18;76,81%;96,04%;89,12%;89,09%;91,07%;89,24%;92,13%;91,82%;90,23%;84,06%;66,14%;72,53%;78,68%;88,89%;98,40%;99,73%;83,36%;96,52%;93,64%;79,23%;87,94%;96,64%;98,55%;98,16%;90,49%;75,86%;84,96%;74,74%;95,55%;93,59%;99,91%;100,00%;82,91%;100,00%;100,00%;99,95%;100,00%;99,99%;99,90%;100,00%;99,97%;98,00%;93,61%;93,97%;94,03%;94,40%;95,24%;99,16%;94,64%;54,27%;53,63%;53,51%;43,72%;38,27%;36,66%;44,36%;42,68%;91,57%;93,83%;93,92%;78,03%;64,08%;59,21%;94,78%;86,14%;100,00%;99,82%;100,00%;100,00%;100,00%;99,92%;100,00%;99,97%
b2;b2 - Banco Múltiplo sem Carteira Comercial ou Banco de Investimento ou Banco de Câmbio;mar/18;38.068.807;87.271;1.568.867;1.212.077;681.589;165.758;10.246;0;3.725.807;80.922;2.102.248;2.574.806;2.862.169;576.284;25.960;501;8.222.891;0;0;0;0;0;0;0;0;71.563;5.803.521;4.451.689;71.834;21.277;93;0;10.419.976;0;138;25.975;0;2.043;18.389;0;46.545;12.890;333.364;100.336;60.957;19.096;4.798;0;531.440;157.463;1.969.446;4.605.459;6.114.175;1.600.662;251.055;10.277;14.708.537;2.751;56.310;66.291;173.373;85.385;29.503;0;413.612;0;0;0;0;0;0;0;0
b2%;b2 - Banco Múltiplo sem Carteira Comercial ou Banco de Investimento ou Banco de Câmbio;mar/18;2,22%;0,76%;3,34%;1,47%;0,68%;0,75%;0,13%;0,00%;1,37%;7,28%;22,33%;13,68%;9,21%;3,84%;0,10%;0,03%;7,93%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;10,33%;9,17%;22,69%;4,14%;6,41%;0,09%;0,00%;12,08%;0,00%;0,00%;0,05%;0,00%;0,01%;0,10%;0,00%;0,03%;0,16%;2,31%;0,59%;0,30%;0,23%;0,08%;0,00%;0,69%;5,54%;5,94%;6,00%;4,48%;1,85%;0,14%;0,02%;2,61%;2,65%;0,65%;0,24%;1,68%;2,03%;0,77%;0,00%;0,76%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%
