Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total da Carteira de Pessoa Jurídica;PJ_CG_Vencido_15d;PJ_CG_Vencer_90d;PJ_CG_Vencer_91-360d;PJ_CG_Vencer_361-1080d;PJ_CG_Vencer_1081-1800d;PJ_CG_Vencer_1801-5400d;PJ_CG_Vencer_acima_5400d;PJ_CG_TOTAL;PJ_I_Vencido_15d;PJ_I_Vencer_90d;PJ_I_Vencer_91-360d;PJ_I_Vencer_361-1080d;PJ_I_Vencer_1081-1800d;PJ_I_Vencer_1801-5400d;PJ_I_Vencer_acima_5400d;PJ_I_TOTAL;PJ_CGR_Vencido_15d;PJ_CGR_Vencer_90d;PJ_CGR_Vencer_91-360d;PJ_CGR_Vencer_361-1080d;PJ_CGR_Vencer_1081-1800d;PJ_CGR_Vencer_1801-5400d;PJ_CGR_Vencer_acima_5400d;PJ_CGR_TOTAL;PJ_Recebiveis_Vencido_15d;PJ_Recebiveis_Vencer_90d;PJ_Recebiveis_Vencer_91-360d;PJ_Recebiveis_Vencer_361-1080d;PJ_Recebiveis_Vencer_1081-1800d;PJ_Recebiveis_Vencer_1801-5400d;PJ_Recebiveis_Vencer_acima_5400d;PJ_Recebiveis_TOTAL;PJ_Comex_Vencido_15d;PJ_Comex_Vencer_90d;PJ_Comex_Vencer_91-360d;PJ_Comex_Vencer_361-1080d;PJ_Comex_Vencer_1081-1800d;PJ_Comex_Vencer_1801-5400d;PJ_Comex_Vencer_acima_5400d;PJ_Comex_TOTAL;PJ_Outros_Vencido_15d;PJ_Outros_Vencer_90d;PJ_Outros_Vencer_91-360d;PJ_Outros_Vencer_361-1080d;PJ_Outros_Vencer_1081-1800d;PJ_Outros_Vencer_1801-5400d;PJ_Outros_Vencer_acima_5400d;PJ_Outros_TOTAL;PJ_Infra_Vencido_15d;PJ_Infra_Vencer_90d;PJ_Infra_Vencer_91-360d;PJ_Infra_Vencer_361-1080d;PJ_Infra_Vencer_1081-1800d;PJ_Infra_Vencer_1801-5400d;PJ_Infra_Vencer_acima_5400d;PJ_Infra_TOTAL;PJ_Rural_Vencido_15d;PJ_Rural_Vencer_90d;PJ_Rural_Vencer_91-360d;PJ_Rural_Vencer_361-1080d;PJ_Rural_Vencer_1081-1800d;PJ_Rural_Vencer_1801-5400d;PJ_Rural_Vencer_acima_5400d;PJ_Rural_TOTAL;PJ_Hab_Vencido_15d;PJ_Hab_Vencer_90d;PJ_Hab_Vencer_91-360d;PJ_Hab_Vencer_361-1080d;PJ_Hab_Vencer_1081-1800d;PJ_Hab_Vencer_1801-5400d;PJ_Hab_Vencer_acima_5400d;PJ_Hab_TOTAL;Total Exterior Pessoa Jurídica
ITAU;10069;b1;C;2;S1;199;SAO PAULO;SP;01/06/2019;331993002;256084;8637590;14334617;13768601;2455698;426738;0;39879328;14224;794970;1964309;2805143;649584;11861;0;6240091;635610;9277647;216091;0;0;0;0;10129349;65040;10512117;2258481;75122;26815;3933;0;12941509;53004;4082677;7173020;3730282;3833140;1967393;0;20839515;974378;2940364;3905716;3181232;1109670;283701;0;12395062;85676;1725216;3867045;5784270;2375502;1846061;310941;15994712;1261;1801761;3963639;439461;234055;205157;0;6645334;20325;436524;812672;1248955;135905;191274;20;2845674;204082429
BRADESCO;10045;b1;C;2;S1;199;OSASCO;SP;01/06/2019;278914553;523770;7895989;14900321;16339793;3244258;414670;27;43318829;104524;2295264;4642748;5555111;1167974;186369;0;13951989;432260;6696754;996986;243;0;0;0;8126244;144128;17737370;5452658;111855;6661;0;0;23452673;313506;9747469;17250958;4618956;4346649;5014030;0;41291568;1364467;4460049;3818819;3014911;1498036;1783378;847415;16787076;37851;2228283;4018311;7551131;4333813;7516475;353507;26039372;1350;529866;1313869;944921;143969;92107;0;3026081;96461;307482;907004;2757934;933860;79393;6357;5088492;97832227
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;b4;I;1;S2;4;RIO DE JANEIRO;RJ;01/06/2019;276739820;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;211514;10524833;24459414;54885757;42301455;113423523;30508832;276315330;0;18801;64710;136156;103375;101447;0;424490;0;0;0;0;0;0;0;0;0
BB;49906;b1;C;1;S1;199;BRASILIA;DF;01/06/2019;262957216;854049;6024553;16551947;18642457;4613914;1412385;473264;48572568;487414;1026390;4728204;10042133;8527275;26302400;105163;51218980;149299;1931536;704365;35001;0;0;24657;2844858;117990;4552896;1165142;172361;6;0;0;6008396;766639;9233932;15191851;4035176;5854065;3894808;0;38976472;2074675;3961902;2836505;3348401;2093050;3193357;863977;18371868;363514;2570930;7719739;11137696;6988197;12309459;6748359;47837895;71142;2055989;4601035;3970039;1325631;1442507;0;13466342;398694;255780;697305;874037;45599;0;0;2271416;33388422
CAIXA ECONOMICA FEDERAL;360305;b1;I;1;S1;6;BRASILIA;DF;01/06/2019;142040115;1636189;3447649;7810556;13030113;4234851;1277177;4824;31441360;22033;53242;108948;262859;248444;156051;129;851706;301216;462182;1035193;6846;0;0;0;1805437;16358;216764;16278;0;0;0;0;249400;85996;473512;1070753;234192;7266;0;0;1871720;1364083;778600;1112202;1237994;505136;260655;469;5259139;562229;6021129;10106725;18221549;12689013;33847064;8270492;89718202;6782;1558981;635966;26328;7022;2447;0;2237526;550605;1441641;3008201;3279789;178911;146469;9;8605627;0
SANTANDER;30379;b1;C;3;S1;199;SAO PAULO;SP;01/06/2019;129047243;580950;3981937;7267510;7252897;1705240;928435;303959;22020928;65166;1016778;2322215;3120546;744225;146470;484;7415884;286946;4106765;1211829;203886;78233;69989;9989;5967637;127238;16521483;7958087;437372;16480;12269;5957;25078886;141366;4657589;6907725;1755529;518132;2997527;132975;17110843;693932;1954354;2714962;2604148;738853;351940;37086;9095276;152710;635329;1546035;2639704;1645343;3290164;634772;10544058;3922;1573531;2221590;330313;115824;59785;0;4304965;151778;411824;618856;476762;15023;30335;122;1704699;25804067
SAFRA;10083;b1;C;2;S2;199;SAO PAULO;SP;01/06/2019;48356067;27697;3347570;5414469;5322463;1106318;127404;0;15345922;4981;413471;813676;840244;150215;21764;0;2244352;37767;803271;213395;5523;2313;0;0;1062268;4892;3542853;2441371;18500;0;0;0;6007615;3678;1895552;3589430;1837055;737240;1662471;0;9725426;42545;263354;486087;96248;0;0;0;888234;736;197991;524398;977690;494063;292737;0;2487615;184;311533;239396;300431;201580;157664;0;1210789;0;11004;41167;268906;890;0;0;321966;9061880
BTG PACTUAL;49944;b1;C;2;S1;199;RIO DE JANEIRO;RJ;01/06/2019;21999483;22975;170434;1193888;1432551;423173;860281;0;4103301;0;0;0;0;0;0;0;0;0;0;10126;0;0;0;0;10126;467;111355;340329;44507;1414;519;0;498590;13140;253496;1480624;1315075;137075;19600;0;3219010;297333;58908;446821;120070;4375;1455;0;928961;0;17664;53848;148955;154893;996037;1523054;2894452;0;2606;2606;2606;0;0;0;7819;0;0;0;0;0;0;0;0;10337223
ABC-BRASIL;41856;b1;C;3;S3;199;SAO PAULO;SP;01/06/2019;13448554;27628;889937;1486639;1392777;236197;4135;0;4037313;1294;187932;639812;711201;121997;0;0;1662236;745;188210;48452;0;0;0;0;237407;0;376201;339046;9898;0;0;0;725146;12035;678205;1281036;825793;92232;18196;0;2907496;92923;116836;103040;175173;19367;5343;0;512681;216;47012;111018;236199;108638;22036;0;525119;51;211379;286291;193658;113002;125016;0;929398;0;0;0;0;0;0;0;0;1911757
DAYCOVAL;51987;b1;C;2;S3;199;SAO PAULO;SP;01/06/2019;12596625;31131;585139;1248107;1251509;158222;4159;0;3278266;1390;121277;297547;439510;89381;2280;33606;984991;25012;681898;954454;12096;0;0;0;1673461;25589;3286977;503713;18486;2747;0;0;3837511;66879;519647;635087;194993;6072;0;0;1422678;5780;12073;71284;2828;1068;0;0;93033;1240;46418;123727;119461;14500;668;0;306014;0;15524;39505;1668;0;0;0;56697;0;0;0;0;0;0;0;0;943974
