Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total Geral;AA;A;B;C;D;E;F;G;H;Total Exterior
CAIXA ECONOMICA FEDERAL;360305;b1;I;1;S1;6;BRASILIA;DF;01/06/2019;672887156;340333685;87345816;96984316;80298277;29548302;9845080;9396894;3012742;16122045;0
BB;49906;b1;C;1;S1;199;BRASILIA;DF;01/06/2019;615308167;271604921;66158269;135764455;55862850;10151742;8045442;9206707;3376447;18994635;36142699
ITAU;10069;b1;C;2;S1;199;SAO PAULO;SP;01/06/2019;612910624;132229790;148783970;22549438;17350433;7531545;4604343;3822202;3941089;11450498;260647317
BRADESCO;10045;b1;C;2;S1;199;OSASCO;SP;01/06/2019;487080387;128021264;146006660;36178394;41221945;7102631;4936741;4808073;4615371;15531510;98657798
SANTANDER;30379;b1;C;3;S1;199;SAO PAULO;SP;01/06/2019;316674755;103960583;103410053;26924333;25762783;11708736;3798507;3279320;2094111;9400846;26335483
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;b4;I;1;S2;4;RIO DE JANEIRO;RJ;01/06/2019;276741323;39302719;93418367;94613723;30047000;2890769;8097554;193685;73170;8104335;0
SAFRA;10083;b1;C;2;S2;199;SAO PAULO;SP;01/06/2019;70262836;31885855;20248796;4864265;1675807;430547;872991;106895;113715;992760;9071205
VOTORANTIM;51011;b1;C;2;S2;199;SAO PAULO;SP;01/06/2019;52143807;3245920;22767188;10049658;9100279;1439799;604710;511316;1525077;1528669;1371190
BANRISUL;30173;b1;C;1;S2;199;PORTO ALEGRE;RS;01/06/2019;33724355;3421545;17070160;6935987;1860279;1232984;655636;511844;387650;1533047;115221
BTG PACTUAL;49944;b1;C;2;S1;199;RIO DE JANEIRO;RJ;01/06/2019;22844141;1348592;4898555;3027977;678702;472492;1114217;334089;105574;153054;10710889
PAN;31323;b1;C;2;S3;199;SAO PAULO;SP;01/06/2019;22229751;0;18928955;756208;582929;358954;195281;283993;198500;924930;0
