Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;a1;a2;a3;a4;a5;a6;a;b1;b2;b3;b4;b5;b;c;d1;d2;d3;d4;d5;d6;d7;d8;d;e;f;g;h;i;j;k
ITAU;10069;b1;S1;C;2;SAO PAULO;SP;01/06/2019;40862118;578468;22461836;433337;1100102;2471658;67907520;-28519616;-2021007;-276176;0;-8639937;-39456736;28450783;10549205;6255321;-8829716;-10373793;-2990818;2420683;10380103;-12743985;-5333000;23117784;-1018;23116766;-4435076;-4948401;13733288;0
BB;49906;b1;S1;C;1;BRASILIA;DF;01/06/2019;38240453;59368;21174279;-58565;397259;1107974;60920768;-32066387;-3763251;-35284;0;-9528977;-45393899;15526869;6595274;5433438;-10174831;-8356650;-1881896;2416310;6790420;-8365085;-7543020;7983849;75589;8059438;1240716;-1048930;8251224;0
CAIXA ECONOMICA FEDERAL;360305;b1;S1;I;1;BRASILIA;DF;01/06/2019;37189069;0;17020231;-1957220;41303;3269723;55563106;-20159999;-8959165;0;0;-6222557;-35341721;20221385;9780642;3395121;-10748083;-4886547;-1967731;953573;3560401;-11998308;-11910933;8310453;-54480;8255973;182012;-904482;7533504;0
BRADESCO;10045;b1;S1;C;2;OSASCO;SP;01/06/2019;37557560;650940;14476092;-145159;725425;2282183;55547042;-22068537;-2318061;-528803;0;-10607761;-35523161;20023881;6469529;5611586;-8747201;-10652351;-2387009;4710703;6119677;-7958341;-6833406;13190474;-301277;12889198;-947360;-7031;11934807;0
SANTANDER;30379;b1;S1;C;3;SAO PAULO;SP;01/06/2019;25698642;807610;12568198;-3096013;2831423;2028347;40838207;-14647002;-2300139;-661371;0;-6089759;-23698270;17139937;5462504;2483521;-3503016;-5178006;-2046116;768560;7117536;-11356883;-6251899;10888037;39272;10927309;-2977741;-874075;7075493;0
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;b4;S2;I;1;RIO DE JANEIRO;RJ;01/06/2019;19934677;0;7334217;-1037491;0;0;26231403;-1887520;-16669711;0;-137281;49651;-18644860;7586543;98251;0;-553162;-137665;-314520;9657215;605884;-634696;8721308;16307851;85536;16393386;-2529616;-56186;13807584;0
SAFRA;10083;b1;S2;C;2;SAO PAULO;SP;01/06/2019;4339144;361056;3250267;-252873;77117;242424;8017136;-4435604;-414859;-311556;0;184299;-4977719;3039417;461828;255124;-1106098;-1054443;-206414;295610;1188321;-1552655;-1718727;1320690;-103879;1216811;-176410;0;1040402;0
BTG PACTUAL;49944;b1;S1;C;2;RIO DE JANEIRO;RJ;01/06/2019;764364;0;4475384;260120;1735733;39916;7275516;-3237847;-1234421;0;0;-260635;-4732904;2542612;1164921;7406;-307565;-461074;-73078;515504;996979;-1910396;-67303;2475309;41295;2516604;-372833;-472442;1671329;0
VOTORANTIM;51011;b1;S2;C;2;SAO PAULO;SP;01/06/2019;5018354;76085;1360562;-463448;47184;17012;6055750;-2662295;-166459;-63115;0;-1245627;-4137495;1918255;259965;426606;-700517;-663445;-230274;182564;784311;-821519;-762308;1155946;435;1156381;-365941;-102435;688006;0
BANRISUL;30173;b1;S2;C;1;PORTO ALEGRE;RS;01/06/2019;3324615;9864;666094;56569;20330;385604;4463076;-1628800;-138095;-6863;0;-52470;-1826227;2636848;81538;536521;-965405;-776574;-182863;177665;416028;-1046519;-1759609;877239;-278;876961;-154780;-66833;655348;0
PAN;31323;b1;S3;C;2;SAO PAULO;SP;01/06/2019;3273752;188;60779;-72248;4434;0;3266905;-1756956;-9;-213;0;-651631;-2408809;858095;61646;122877;-225597;-896158;-81799;21333;816178;-373186;-554707;303389;-22615;280774;-66960;0;213814;0
