Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total Geral;Prefixado;TR / TBF;TJLP;TLP;Libor;Outras Taxas Pós-Fixadas;Carteira ativa com indexador CDI;SELIC;Outras Taxas Flutuantes;IGPM;IPCA;IPCC;Outros Índices de Preço;Outros Indexadores;Total não Individualizado;Total Exterior
CAIXA ECONOMICA FEDERAL;360305;b1;I;1;S1;6;BRASILIA;DF;01/06/2019;672887156;106707562;498892333;26853719;0;0;22;24694523;0;0;380775;3851605;0;0;11490321;16296;0
BB;49906;b1;C;1;S1;199;BRASILIA;DF;01/06/2019;615308167;379361022;62778273;12839441;5738799;44683;6186;75323705;0;37667179;1738610;344822;0;0;3298166;24584;36142699
ITAU;10069;b1;C;2;S1;199;SAO PAULO;SP;01/06/2019;612910624;257609780;48321527;4905412;2737542;652065;12722957;24654194;0;169392;288549;36751;0;0;5386;159750;260647317
BRADESCO;10045;b1;C;2;S1;199;OSASCO;SP;01/06/2019;487080387;254457438;57901308;6784817;4189362;16126;18782601;42858232;1002897;0;1712519;203207;0;424603;0;89479;98657798
SANTANDER;30379;b1;C;3;S1;199;SAO PAULO;SP;01/06/2019;316674755;219379754;45099946;4212783;1342015;0;105638;17935398;786867;0;541877;180646;0;780;713400;40167;26335483
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;b4;I;1;S2;4;RIO DE JANEIRO;RJ;01/06/2019;276741323;43004864;32662;183064916;22743740;3312948;6601266;1140492;8379176;0;24840;8428614;0;0;7804;0;0
SAFRA;10083;b1;C;2;S2;199;SAO PAULO;SP;01/06/2019;70262836;41115857;324161;812717;812218;0;5161;17884368;212436;0;21995;89;0;1555;0;1073;9071205
VOTORANTIM;51011;b1;C;2;S2;199;SAO PAULO;SP;01/06/2019;52143807;44436319;842716;335023;72881;66379;598014;4108303;28912;0;0;47753;0;0;234550;1767;1371190
BANRISUL;30173;b1;C;1;S2;199;PORTO ALEGRE;RS;01/06/2019;33724355;24682520;5401396;168783;16930;0;8697;3215682;17485;0;45517;0;0;0;49960;2164;115221
BTG PACTUAL;49944;b1;C;2;S1;199;RIO DE JANEIRO;RJ;01/06/2019;22844141;2732332;67885;2583420;0;288532;0;6226681;0;0;34355;140647;0;0;59399;0;10710889
PAN;31323;b1;C;2;S3;199;SAO PAULO;SP;01/06/2019;22229751;21211698;214453;0;0;0;0;429893;0;0;271431;55580;0;0;39015;7680;0
BANCO RABOBANK INTERNATIONAL BRASIL S.A.;1023570;b1;I;3;S3;8;SAO PAULO;SP;01/06/2019;21524332;17478632;0;201990;63092;0;0;3778550;0;0;0;0;0;0;2068;0;0
DAYCOVAL;51987;b1;C;2;S3;199;SAO PAULO;SP;01/06/2019;19659129;15175822;2964;36751;153299;0;85925;2047700;364058;206673;86;0;0;0;635862;1149;948840
BNP PARIBAS;51516;b1;C;3;S3;199;SAO PAULO;SP;01/06/2019;16785605;11012936;0;825;0;0;4666615;1094005;0;0;0;0;0;0;0;11223;0
BANCO VOLKSWAGEN S.A.;59109165;b2;I;3;S3;8;SAO PAULO;SP;01/06/2019;15601295;10783074;0;913119;1195817;0;0;2493539;10879;0;0;0;0;0;204822;46;0
ABC-BRASIL;41856;b1;C;3;S3;199;SAO PAULO;SP;01/06/2019;13633293;3577916;0;150675;203201;0;134;7082757;17686;0;0;13192;0;7680;668293;1;1911757
BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL;92816560;b4;I;1;S3;5;PORTO ALEGRE;RS;01/06/2019;13408428;8505196;55858;3050971;300712;0;0;0;639240;0;510359;51180;0;41079;253832;2;0
BANCO COOPERATIVO SICREDI S.A.;1181521;b1;I;2;S3;11;PORTO ALEGRE;RS;01/06/2019;10782851;9207515;258879;250487;299470;0;509340;257112;0;0;0;0;0;0;0;49;0
CITIBANK;30403;b1;C;3;S2;199;SAO PAULO;SP;01/06/2019;10738097;7026930;0;2296;0;0;0;3708761;110;0;0;0;0;0;0;0;0
MERCEDES-BENZ;51262;b2;C;3;S3;198;SAO PAULO;SP;01/06/2019;10595204;7768092;154638;1181169;1171945;0;0;0;319359;0;0;0;0;0;0;0;0
BANCO DO NORDESTE DO BRASIL S.A.;7237373;b1;I;1;S2;8;FORTALEZA;CE;01/06/2019;10549801;6780563;28644;474463;0;0;1379143;481599;0;23;1359369;0;0;45563;0;436;0
BANCO GMAC S.A.;59274605;b2;I;3;S3;8;SAO PAULO;SP;01/06/2019;10015592;10015591;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
BMG;30290;b1;C;2;S3;199;SAO PAULO;SP;01/06/2019;9519613;8644347;0;0;0;0;19514;435495;0;0;0;0;0;0;35058;1934;383264
BRB;31976;b1;C;1;S3;199;BRASILIA;DF;01/06/2019;9092422;8118048;140;39807;0;0;932926;0;0;0;1347;0;0;0;0;155;0
BANCO CNH INDUSTRIAL CAPITAL S.A.;2992446;b2;I;3;S3;8;CURITIBA;PR;01/06/2019;8674420;8381959;0;289693;0;0;0;0;2769;0;0;0;0;0;0;0;0
NU PAGAMENTOS S.A.;18236120;n4;I;2;;41;SAO PAULO;SP;01/06/2019;8450172;8357521;0;0;0;0;0;0;0;0;0;0;0;0;0;92651;0
BANCO CSF S.A.;8357240;b2;I;3;S3;8;SAO PAULO;SP;01/06/2019;8429570;8423653;0;0;0;0;0;0;0;0;0;0;0;0;0;5917;0
BANCOOB;51750;b1;C;2;S3;199;BRASILIA;DF;01/06/2019;8219185;7325895;0;140386;0;0;0;587138;10030;0;0;155258;0;0;0;478;0
CCB;32119;b1;C;3;S3;199;SAO PAULO;SP;01/06/2019;8161390;2432911;13962;0;0;0;0;1151336;0;1391390;8808;0;0;0;0;239;3162745
ALFA;51293;b1;C;2;S3;199;SAO PAULO;SP;01/06/2019;7962589;5883390;0;223772;195900;0;2838;1532213;124410;0;0;0;0;0;0;66;0
JOHN DEERE;50071;b1;C;3;S3;199;INDAIATUBA;SP;01/06/2019;7423881;6773645;0;80116;39575;511542;0;0;19003;0;0;0;0;0;0;0;0
BANCO TOYOTA DO BRASIL S.A.;3215790;b2;I;3;S4;8;SAO PAULO;SP;01/06/2019;6719718;6711673;0;0;0;0;0;8045;0;0;0;0;0;0;0;0;0
ORIGINAL;51781;b1;C;2;S3;199;SAO PAULO;SP;01/06/2019;6622218;3378741;0;0;0;0;0;1230208;0;0;6495;0;0;0;1588320;781;417673
PORTO SEGURO;51444;n1;C;2;S4;197;SAO PAULO;SP;01/06/2019;6535324;6534580;0;0;0;0;0;0;0;0;0;0;0;0;0;744;0
BANCO DE LAGE LANDEN BRASIL S.A.;5040481;b2;I;3;S4;8;PORTO ALEGRE;RS;01/06/2019;5379292;5247289;0;33813;34992;0;0;56606;6591;0;0;0;0;0;0;0;0
MERCANTIL DO BRASIL;20152;b1;C;2;S3;199;BELO HORIZONTE;MG;01/06/2019;5260398;4187667;111671;0;0;0;202030;717684;4993;0;2;0;0;0;0;1235;35117
BANCO FIDIS S/A;62237425;b2;I;3;S4;8;BETIM;MG;01/06/2019;5205901;5205901;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BANCO DE DESENVOLVIMENTO DE MINAS GERAIS S.A.-BDMG;38486817;b4;I;1;S3;5;BELO HORIZONTE;MG;01/06/2019;4755451;1533032;115182;1281510;0;0;180;10742;679367;6164;214070;164052;0;11837;739315;0;0
BANCO DO ESTADO DO PARÁ S.A.;4913711;b1;I;1;S3;8;BELEM;PA;01/06/2019;4468350;4463104;0;0;378;0;403;0;0;0;4413;0;0;0;0;53;0
MIDWAY S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;9464032;n1;I;2;S4;14;SAO PAULO;SP;01/06/2019;4281127;4245528;0;0;0;0;0;0;0;0;0;0;0;0;0;35598;0
ING;51073;b1;C;3;S3;199;SAO PAULO;SP;01/06/2019;4211992;69268;0;0;0;0;0;509579;0;3633140;0;0;0;0;4;0;0
BANESTES;30159;b1;C;1;S3;199;VITORIA;ES;01/06/2019;4198884;2583375;548300;35304;5359;0;2111;947196;0;0;1293;0;0;0;75651;296;0
BOCOM;52003;b1;C;3;S4;199;SALVADOR;BA;01/06/2019;4153155;430613;0;0;0;0;27823;2112738;0;0;0;2746;0;0;441404;0;1137832
INTER;51884;b1;C;2;S4;199;BELO HORIZONTE;MG;01/06/2019;3893921;1668660;179603;0;0;0;2042625;2467;0;0;0;0;0;0;0;566;0
HONDA;51396;b2;C;3;S4;198;SAO PAULO;SP;01/06/2019;3853106;3853072;0;0;0;0;0;0;0;0;0;0;0;0;0;35;0
BANCO VOLVO BRASIL S.A.;58017179;b2;I;3;S4;8;CURITIBA;PR;01/06/2019;3783313;2938941;0;709072;0;0;0;0;108843;0;26457;0;0;0;0;0;0
SOFISA;31873;b1;C;2;S4;199;SAO PAULO;SP;01/06/2019;3440430;916144;0;0;0;0;0;2342039;0;0;0;22612;0;0;155765;14;3857
BANCO DA AMAZONIA S.A.;4902979;b1;I;1;S3;2;BELEM;PA;01/06/2019;3299641;1726794;287593;88803;0;0;422036;635800;79880;355;17538;0;0;0;40819;24;0
CREDIT SUISSE;30771;b1;C;3;S3;199;SAO PAULO;SP;01/06/2019;3245760;159401;0;0;0;46753;0;1467512;0;0;0;1294891;0;0;0;0;277203
PINE;50304;b1;C;2;S3;199;SAO PAULO;SP;01/06/2019;3228739;1432596;13641;24147;0;0;12425;1321052;25485;0;0;25204;0;0;291602;1;82585
BANCO FIBRA S.A.;58616418;b1;I;2;S3;8;SAO PAULO;SP;01/06/2019;3187794;1284388;0;0;0;0;274404;1002169;0;0;0;0;0;0;0;14;626818
SCANIA BANCO S.A.;11417016;b2;I;3;S4;8;SAO BERNARDO DO CAMPO;SP;01/06/2019;3185461;3185461;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
PARANÁ BANCO;30881;b1;C;2;S4;199;CURITIBA;PR;01/06/2019;3180163;3125928;0;0;0;0;1766;26363;0;0;25533;0;0;0;0;575;0
COOPERATIVA DE CREDITO CREDICITRUS;54037916;b3S;I;2;S4;9;BEBEDOURO;SP;01/06/2019;3071088;2241876;7487;0;0;0;0;821636;84;0;0;0;0;0;0;5;0
COOPERATIVA DE CREDITO VALE DO ITAJAI - VIACREDI;82639451;b3S;I;2;S5;9;BLUMENAU;SC;01/06/2019;2934249;2536515;189362;1530;0;0;0;206441;0;0;0;0;0;0;0;401;0
PERNAMBUCANAS FINANCIADORA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;43180355;n1;I;2;S4;14;SAO PAULO;SP;01/06/2019;2933102;2858189;0;0;0;0;0;0;0;0;0;0;0;0;0;74913;0
OMNI;50940;b1;C;2;S4;199;SAO PAULO;SP;01/06/2019;2740096;2735007;0;0;0;0;0;0;0;0;0;0;0;0;0;5089;0
SICOOB COCRED COOPERATIVA DE CRÉDITO;71328769;b3S;I;2;S4;9;SERTAOZINHO;SP;01/06/2019;2545877;1346163;885;56;0;0;2680;1131983;0;0;33120;0;0;0;30986;3;0
INDUSTRIAL DO BRASIL;50988;b1;C;2;S4;199;SAO PAULO;SP;01/06/2019;2443051;1426193;0;1207;0;0;28822;71872;596227;0;5039;39;0;0;190238;122;123291
BANCO DO ESTADO DE SERGIPE S.A.;13009717;b1;I;1;S4;8;ARACAJU;SE;01/06/2019;2432829;1958583;372964;422;0;0;0;65627;0;0;1492;0;0;0;33310;431;0
CREFISA;52010;b1;C;2;S4;199;SAO PAULO;SP;01/06/2019;2373152;2352784;0;0;0;0;0;19391;0;0;0;0;0;0;0;977;0
REALIZE CRÉDITO, FINANCIAMENTO E INVESTIMENTO S.A.;27351731;n1;I;3;S4;14;PORTO ALEGRE;RS;01/06/2019;2343047;2319567;0;0;0;0;0;0;0;0;0;0;0;0;0;23480;0
JP MORGAN CHASE;20107;b1;C;3;S3;199;SAO PAULO;SP;01/06/2019;2206903;1309221;0;0;0;0;0;897683;0;0;0;0;0;0;0;0;0
CREDIT AGRICOLE;51066;b1;C;3;S3;199;SAO PAULO;SP;01/06/2019;2206651;16545;0;0;0;0;0;196113;0;0;0;0;0;0;1993993;0;0
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO UNIÃO PARANÁ/SÃO PAULO - SICREDI UNIÃO PR/SP;79342069;b3S;I;2;S4;9;MARINGA;PR;01/06/2019;2163312;1644572;265796;0;0;0;0;252108;0;0;0;0;0;790;0;46;0
BANCO IBM S.A.;34270520;b2;I;3;S4;8;RIO DE JANEIRO;RJ;01/06/2019;2140007;524055;0;0;0;0;0;1615471;0;0;0;0;0;0;481;0;0
BADESUL DESENVOLVIMENTO S.A - AGÊNCIA DE FOMENTO/RS;2885855;n1;I;1;S4;30;PORTO ALEGRE;RS;01/06/2019;2061123;1275502;32055;326954;42260;0;0;0;334324;0;16286;1206;0;17293;15244;0;0
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO OURO VERDE DO MATO GROSSO - SICREDI OURO VERDE MT;26529420;b3S;I;2;S4;9;LUCAS DO RIO VERDE;MT;01/06/2019;1963218;1438932;20373;212;0;0;174505;329185;0;0;0;0;0;0;0;12;0
