Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total_Carteira_PF;PF_Consignado_Vencido_15d;PF_Consignado_Vencer_90d;PF_Consignado_Vencer_91-360d;PF_Consignado_Vencer_361-1080d;PF_Consignado_Vencer_1081-1800d;PF_Consignado_Vencer_1801-5400d;PF_Consignado_Vencer_acima_5400d;PF_Consignado_TOTAL;PF_Não_Consignado_Vencido_15d;PF_Não_Consignado_Vencer_90d;PF_Não_Consignado_Vencer_91-360d;PF_Não_Consignado_Vencer_361-1080d;PF_Não_Consignado_Vencer_1081-1800d;PF_Não_Consignado_Vencer_1801-5400d;PF_Não_Consignado_Vencer_acima_5400d;PF_Não_Consignado_TOTAL;PF_Veículos_Vencido_15d;PF_Veículos_Vencer_90d;PF_Veículos_Vencer_91-360d;PF_Veículos_Vencer_361-1080d;PF_Veículos_Vencer_1081-1800d;PF_Veículos_Vencer_1801-5400d;PF_Veículos_Vencer_acima_5400d;PF_Veículos_TOTAL;PF_Hab_Vencido_15d;PF_Hab_Vencer_90d;PF_Hab_Vencer_91-360d;PF_Hab_Vencer_361-1080d;PF_Hab_Vencer_1081-1800d;PF_Hab_Vencer_1801-5400d;PF_Hab_Vencer_acima_5400d;PF_Hab_TOTAL;PF_Cartão_Vencido_15d;PF_Cartão_Vencer_90d;PF_Cartão_Vencer_91-360d;PF_Cartão_Vencer_361-1080d;PF_Cartão_Vencer_1081-1800d;PF_Cartão_Vencer_1801-5400d;PF_Cartão_Vencer_acima_5400d;PF_Cartão_TOTAL;PF_Rural_Vencido_15d;PF_Rural_Vencer_90d;PF_Rural_Vencer_91-360d;PF_Rural_Vencer_361-1080d;PF_Rural_Vencer_1081-1800d;PF_Rural_Vencer_1801-5400d;PF_Rural_Vencer_acima_5400d;PF_Rural_TOTAL;PF_Outros_Vencido_15d;PF_Outros_Vencer_90d;PF_Outros_Vencer_91-360d;PF_Outros_Vencer_361-1080d;PF_Outros_Vencer_1081-1800d;PF_Outros_Vencer_1801-5400d;PF_Outros_Vencer_acima_5400d;Outros_TOTAL;Total_Exterior_PF
CAIXA ECONOMICA FEDERAL;360305;b1;I;1;S1;6;BRASILIA;DF;01/06/2019;530847042;1253975;5395346;13692059;23303433;10673910;5360463;8386;59687571;624051;981457;1458574;1134496;103081;388;10086;4312135;109114;383475;658436;319714;20139;93;286;1491257;1281078;13087212;34906406;80245311;64764701;177688811;68732796;440706315;1497597;6175122;1906655;137760;17872;17666;0;9752672;184314;747675;1075828;574882;177906;65860;0;2826466;1604120;3541234;2836106;2180125;995487;869157;44398;12070626;0
BB;49906;b1;C;1;S1;199;BRASILIA;DF;01/06/2019;352350951;274127;4616400;12810938;27601852;17731023;11880701;293634;75208675;561448;3173409;8680205;10488044;4775439;2404931;616968;30700444;38277;439621;1111336;1610719;326476;67;90338;3616834;69423;622970;1335680;3583267;3560826;17895333;21883583;48951083;1069590;21485990;4496795;290740;0;0;246467;27589582;2105628;21858528;43704378;41070129;25845814;20410937;177930;155173344;598279;896436;2976222;1585441;1116376;1016906;167053;8356714;2754277
ITAU;10069;b1;C;2;S1;199;SAO PAULO;SP;01/06/2019;280917622;445268;5000015;12744730;20511997;8569714;1730642;45;49002411;510854;2711208;5688208;4565268;816219;18135;0;14309892;210783;2344186;5702668;7839858;1108561;1395;0;17207451;68451;732371;1730590;4475342;4224776;16891792;14243472;42366793;5784416;51109863;21212517;1181383;8079;3;0;79296262;2275;352959;404583;143546;45957;19705;0;969024;2231849;7906206;5583598;4360045;892424;226778;0;21200901;56564888
BRADESCO;10045;b1;C;2;S1;199;OSASCO;SP;01/06/2019;208165834;256078;5270294;13956252;23340568;10623318;3861245;431;57308185;1015442;6115534;7902920;5590999;836663;151145;251;21612954;264674;3552512;8648712;11831060;1729790;5435;1;26032183;74005;756506;1670983;4342949;4073399;16451630;13394558;40764030;3946647;22759349;7236509;446143;14700;2426;0;34405774;134035;2611596;4996482;4086629;1249142;535780;0;13613664;1466735;5576470;2530151;2811456;849390;353895;15375;13603472;825571
SANTANDER;30379;b1;C;3;S1;199;SAO PAULO;SP;01/06/2019;187627513;584682;3279884;8528356;14141837;6794140;3447521;771;36777192;868349;1358018;3051072;4224794;1598155;353896;17656;11471940;610818;5890847;14901237;21549507;3517124;17855;3638;46491026;43953;1330497;3253018;6985044;5160296;12423594;4765582;33961984;2168029;22100921;7218710;776058;153241;58582;29;32475570;62380;1085219;1899051;1350602;813745;550422;0;5761420;2239365;5358769;4126640;4513088;2496815;1389683;32605;20156964;531417
VOTORANTIM;51011;b1;C;2;S2;199;SAO PAULO;SP;01/06/2019;39869780;64369;261617;607229;652036;119971;16571;0;1721793;22763;68486;175564;57621;7016;116;0;331566;678562;4890858;11636858;16056487;1947362;1004;0;35211130;0;0;0;0;0;0;0;0;381022;1452303;582227;20764;0;0;0;2436316;428;3825;20152;4359;3349;1041;0;33155;3549;7324;34883;67985;11351;10523;207;135820;0
BANRISUL;30173;b1;C;1;S2;199;PORTO ALEGRE;RS;01/06/2019;24669021;154341;1034068;2830958;5548600;3381980;1691139;117;14641203;26279;655749;762303;221831;65219;7250;0;1738631;396;2753;5794;6493;1593;3;0;17033;3189;61095;152728;395677;369181;1439532;1082207;3503608;65826;1037726;259888;2718;0;0;0;1366157;21928;364989;463616;375690;256119;163596;13255;1659194;114672;1048407;214247;196068;92023;77656;122;1743195;0
SAFRA;10083;b1;C;2;S2;199;SAO PAULO;SP;01/06/2019;21906770;27223;707638;1915841;3663320;2029370;395747;0;8739139;2004;156647;392124;267638;50738;4563;0;873715;85131;1442272;3663903;5497627;739877;596;0;11429405;27;58;385;894;455;376;0;2195;6659;195686;62523;85;0;0;0;264954;0;31982;95527;45248;33686;15029;0;221472;6605;239342;109249;6970;4397;0;0;366563;9326
PAN;31323;b1;C;2;S3;199;SAO PAULO;SP;01/06/2019;20580218;101418;797337;2109136;3881531;2043726;782550;0;9715699;4611;15107;26465;11059;57;0;0;57299;224255;1064254;2530974;3507767;394447;79;0;7721776;885;4571;11345;24957;18501;39022;6480;105762;297782;1998651;207665;14108;1224;1;0;2519431;0;0;0;0;0;0;0;0;61167;31240;66703;120908;76613;100610;3012;460251;0
BANCO RABOBANK INTERNATIONAL BRASIL S.A.;1023570;b1;I;3;S3;8;SAO PAULO;SP;01/06/2019;12382284;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;109287;895570;1634261;1379248;721712;427416;0;5167494;102940;808676;2040198;2814211;1165674;283092;0;7214791;0
BNP PARIBAS;51516;b1;C;3;S3;199;SAO PAULO;SP;01/06/2019;10024673;63179;570921;1644318;2849102;1175324;207955;0;6510799;11309;46171;94080;39022;0;0;0;190582;2;199;511;957;248;0;0;1918;0;0;0;0;0;0;0;0;108458;2082403;762536;166480;15480;0;0;3135356;0;1280;1615;2095;0;0;0;4990;12468;34559;63575;64229;6196;0;0;181027;0
BANCO COOPERATIVO SICREDI S.A.;1181521;b1;I;2;S3;11;PORTO ALEGRE;RS;01/06/2019;8923214;0;27800;70021;103911;34474;4383;0;240590;0;48;246;472;351;276;0;1394;0;3138;8330;17591;10730;447;0;40236;0;7738;9213;24755;23892;104404;88877;258879;0;0;0;0;0;0;0;0;0;442502;1214306;2695129;2124316;1867500;333;8344086;145;2452;9482;17972;7205;773;0;38029;0
NU PAGAMENTOS S.A.;18236120;n4;I;2;;41;SAO PAULO;SP;01/06/2019;8450172;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5927388;1373081;528;0;0;0;7300997;0;0;0;0;0;0;0;0;481697;465610;191431;10438;0;0;0;1149175;0
BANCO CSF S.A.;8357240;b2;I;3;S3;8;SAO PAULO;SP;01/06/2019;8429570;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1130789;4697971;2164526;436194;90;0;0;8429570;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BRB;31976;b1;C;1;S3;199;BRASILIA;DF;01/06/2019;8391718;15427;334933;886671;1813730;1143516;1006755;0;5201032;12224;320458;464177;683899;299239;158133;0;1938130;930;8399;18669;21453;3522;0;0;52973;449;14599;32449;83919;78776;326945;226013;763150;0;0;0;0;0;0;0;0;2052;33750;73085;36051;20929;12776;0;178643;5332;42380;100740;23102;10627;10028;65581;257789;0
BMG;30290;b1;C;2;S3;199;SAO PAULO;SP;01/06/2019;8129853;11437;26352;55788;67902;19356;5721;39;186595;173040;246799;220999;19885;155;0;0;660878;318;314;81;8;0;0;0;721;0;0;0;0;0;0;0;0;292540;6419127;89583;32822;4419;1;0;6838492;0;0;0;0;0;0;0;0;2291;14991;19133;10297;4507;8685;0;59903;383264
DAYCOVAL;51987;b1;C;2;S3;199;SAO PAULO;SP;01/06/2019;7062503;43672;389627;1089318;2102843;1212821;547128;0;5385409;5010;89220;16659;14593;4716;5553;0;135751;28489;125335;279903;362526;38603;2;0;834858;0;0;0;0;0;0;0;0;73386;375986;6556;1576;491;41;0;458035;0;0;279;264;0;0;0;544;1056;53881;86865;53285;10304;37595;54;243040;4867
BANCO GMAC S.A.;59274605;b2;I;3;S3;8;SAO PAULO;SP;01/06/2019;6736225;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;66109;1020879;2364704;2858803;425040;690;0;6736225;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BANCO VOLKSWAGEN S.A.;59109165;b2;I;3;S3;8;SAO PAULO;SP;01/06/2019;6545902;1294;9635;22424;23288;2143;0;0;58784;346;1958;1352;430;2;0;0;4088;50540;893146;2296458;2866076;376132;677;0;6483030;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
PORTO SEGURO;51444;n1;C;2;S4;197;SAO PAULO;SP;01/06/2019;6278052;2434;10321;29540;32083;6718;45;0;81141;4948;12262;21165;2183;0;0;0;40558;13706;122483;301758;430018;66903;134;0;935003;0;0;0;0;0;0;0;0;410441;3444558;1242392;88940;5762;7;0;5192100;0;0;0;0;0;0;0;0;770;5581;11529;10508;862;1;0;29251;0
BANCOOB;51750;b1;C;2;S3;199;BRASILIA;DF;01/06/2019;6173102;2994;76117;194461;391371;170239;30282;0;865465;522;16067;44263;84671;35433;8224;0;189180;0;0;3;4;4;0;0;11;10;589;1230;3325;3328;15709;17222;41413;28207;529251;2338418;7383;47;0;0;2903305;0;79031;316496;635872;550157;552911;180;2134647;313;4458;17285;4365;4226;8435;0;39082;0
BANCO TOYOTA DO BRASIL S.A.;3215790;b2;I;3;S4;8;SAO PAULO;SP;01/06/2019;5301252;0;0;0;0;0;0;0;0;0;123;280;415;20;0;0;838;12205;622352;1790624;2744055;109752;196;0;5279183;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;146;3611;8269;8799;406;0;0;21231;0
JOHN DEERE;50071;b1;C;3;S3;199;INDAIATUBA;SP;01/06/2019;4994830;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;57365;48544;1310697;1970032;1222892;282316;0;4891846;5229;5491;54202;33953;4045;64;0;102984;0
BANCO DO NORDESTE DO BRASIL S.A.;7237373;b1;I;1;S2;8;FORTALEZA;CE;01/06/2019;4721928;446;14887;38891;48173;12281;248;0;114927;2530;7873;15797;10200;100;2;0;36502;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5745;36485;10395;17;0;0;0;52642;24430;2671;35666;241636;603284;4558;0;912244;72660;2203666;1289094;36771;2217;1051;154;3605613;0
BANCO CNH INDUSTRIAL CAPITAL S.A.;2992446;b2;I;3;S3;8;CURITIBA;PR;01/06/2019;4479441;0;0;0;0;0;0;0;0;118;861;2048;2860;931;5;0;6824;363;3984;9907;14748;5375;252;0;34629;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;72770;134519;1021930;1694758;1184173;325464;0;4433613;828;3487;61;0;0;0;0;4375;0
BANCO DO ESTADO DO PARÁ S.A.;4913711;b1;I;1;S3;8;BELEM;PA;01/06/2019;4462227;8939;210102;779765;1259526;570350;401816;0;3230498;19714;233483;421636;329990;45315;213;0;1050351;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4516;36222;11678;1067;0;0;1;53485;517;134;340;4980;319;381;0;6671;3157;15152;28648;45021;18557;10629;57;121221;0
