cat;Categoria;Data;Total da Carteira de Pessoa Jurídica;PJ_CG_Vencido_15d;PJ_CG_Vencer_90d;PJ_CG_Vencer_91-360d;PJ_CG_Vencer_361-1080d;PJ_CG_Vencer_1081-1800d;PJ_CG_Vencer_1801-5400d;PJ_CG_Vencer_acima_5400d;PJ_CG_TOTAL;PJ_I_Vencido_15d;PJ_I_Vencer_90d;PJ_I_Vencer_91-360d;PJ_I_Vencer_361-1080d;PJ_I_Vencer_1081-1800d;PJ_I_Vencer_1801-5400d;PJ_I_Vencer_acima_5400d;PJ_I_TOTAL;PJ_CGR_Vencido_15d;PJ_CGR_Vencer_90d;PJ_CGR_Vencer_91-360d;PJ_CGR_Vencer_361-1080d;PJ_CGR_Vencer_1081-1800d;PJ_CGR_Vencer_1801-5400d;PJ_CGR_Vencer_acima_5400d;PJ_CGR_TOTAL;PJ_Recebiveis_Vencido_15d;PJ_Recebiveis_Vencer_90d;PJ_Recebiveis_Vencer_91-360d;PJ_Recebiveis_Vencer_361-1080d;PJ_Recebiveis_Vencer_1081-1800d;PJ_Recebiveis_Vencer_1801-5400d;PJ_Recebiveis_Vencer_acima_5400d;PJ_Recebiveis_TOTAL;PJ_Comex_Vencido_15d;PJ_Comex_Vencer_90d;PJ_Comex_Vencer_91-360d;PJ_Comex_Vencer_361-1080d;PJ_Comex_Vencer_1081-1800d;PJ_Comex_Vencer_1801-5400d;PJ_Comex_Vencer_acima_5400d;PJ_Comex_TOTAL;PJ_Outros_Vencido_15d;PJ_Outros_Vencer_90d;PJ_Outros_Vencer_91-360d;PJ_Outros_Vencer_361-1080d;PJ_Outros_Vencer_1081-1800d;PJ_Outros_Vencer_1801-5400d;PJ_Outros_Vencer_acima_5400d;PJ_Outros_TOTAL;PJ_Infra_Vencido_15d;PJ_Infra_Vencer_90d;PJ_Infra_Vencer_91-360d;PJ_Infra_Vencer_361-1080d;PJ_Infra_Vencer_1081-1800d;PJ_Infra_Vencer_1801-5400d;PJ_Infra_Vencer_acima_5400d;PJ_Infra_TOTAL;PJ_Rural_Vencido_15d;PJ_Rural_Vencer_90d;PJ_Rural_Vencer_91-360d;PJ_Rural_Vencer_361-1080d;PJ_Rural_Vencer_1081-1800d;PJ_Rural_Vencer_1801-5400d;PJ_Rural_Vencer_acima_5400d;PJ_Rural_TOTAL;PJ_Hab_Vencido_15d;PJ_Hab_Vencer_90d;PJ_Hab_Vencer_91-360d;PJ_Hab_Vencer_361-1080d;PJ_Hab_Vencer_1081-1800d;PJ_Hab_Vencer_1801-5400d;PJ_Hab_Vencer_acima_5400d;PJ_Hab_TOTAL;Total Exterior Pessoa Jurídica
1;1 - Público;set/20;756.232.832;2.054.336;10.458.658;36.538.123;61.369.394;11.706.392;2.772.357;433.849;125.333.110;384.312;2.688.355;8.039.221;16.976.867;12.927.817;31.536.117;279.880;72.832.570;374.081;1.477.901;1.582.320;989.912;0;0;9.307;4.433.520;154.522;4.260.815;1.722.706;253.714;0;0;3;6.391.760;817.298;8.692.211;15.953.349;8.599.207;6.590.860;73.642;0;40.726.567;2.063.559;4.487.808;4.740.338;4.683.449;2.788.787;4.759.502;778.289;24.301.731;1.119.782;14.264.513;40.184.630;85.757.197;63.035.215;177.812.351;41.961.558;424.135.246;67.009;1.396.303;7.478.184;4.016.224;2.091.220;2.801.542;391;17.850.872;889.478;1.245.589;3.387.689;4.195.188;264.227;123.515;5.971;10.111.658;
1%;1 - Público;set/20;35,54%;48,34%;19,12%;22,97%;28,68%;22,87%;24,29%;29,42%;25,26%;50,88%;19,17%;21,74%;29,08%;51,37%;88,26%;21,76%;42,27%;20,13%;9,67%;22,41%;67,29%;0,00%;0,00%;5,41%;15,80%;23,32%;5,50%;4,90%;8,51%;0,00%;0,00%;0,00%;5,37%;48,92%;20,12%;17,52%;23,48%;23,63%;1,11%;0,00%;19,67%;43,38%;20,97%;19,64%;21,93%;25,65%;64,71%;38,33%;26,44%;81,92%;72,81%;73,58%;76,62%;88,25%;95,02%;95,75%;86,58%;60,97%;26,60%;34,05%;59,07%;65,37%;76,72%;46,08%;43,57%;66,56%;58,45%;64,02%;56,56%;30,80%;59,54%;71,52%;58,62%;
2;2 - Privado Nacional;set/20;1.010.018.278;1.625.369;32.033.121;95.707.126;122.854.595;31.892.240;7.015.941;756.445;291.884.838;222.662;6.040.065;14.976.398;21.660.005;5.956.566;1.067.632;10.577;49.933.905;1.236.802;11.468.513;4.160.645;226.479;1.309.335;733.833;178;19.135.785;409.275;45.721.250;14.926.260;1.599.736;339.887;17.055;2.249.748;65.263.211;253.251;16.624.745;37.625.180;17.176.902;15.612.451;6.349.917;5.950;93.648.396;1.881.040;10.919.347;14.596.574;11.047.602;3.967.438;2.069.489;751.153;45.232.643;188.401;3.498.201;9.662.345;18.386.400;6.353.010;8.873.907;1.768.063;48.730.326;11.245;1.965.099;8.991.865;1.527.105;620.043;581.642;0;13.697.000;384.264;774.084;1.468.805;2.826.136;592.376;56.365;2.378;6.104.409;
2%;2 - Privado Nacional;set/20;47,46%;38,25%;58,56%;60,17%;57,41%;62,31%;61,47%;51,30%;58,84%;29,48%;43,07%;40,51%;37,11%;23,67%;2,99%;0,82%;28,98%;66,54%;75,00%;58,92%;15,39%;94,38%;89,06%;0,10%;68,18%;61,77%;59,03%;42,46%;53,65%;70,51%;17,60%;99,69%;54,80%;15,16%;38,48%;41,31%;46,89%;55,96%;95,77%;100,00%;45,22%;39,54%;51,02%;60,48%;51,73%;36,49%;28,14%;36,99%;49,22%;13,78%;17,86%;17,69%;16,43%;8,89%;4,74%;4,03%;9,95%;10,23%;37,43%;40,94%;22,46%;19,38%;15,93%;0,00%;33,43%;28,76%;36,32%;27,76%;38,10%;69,05%;27,17%;28,48%;35,39%;
3;3 - Privado com Controle Estrangeiro;set/20;361.693.640;569.641;12.213.749;26.822.077;29.774.797;7.584.472;1.624.981;284.154;78.873.871;148.371;5.296.260;13.956.212;19.734.060;6.280.296;3.126.061;995.940;49.537.200;247.740;2.344.795;1.318.150;254.806;78.023;90.134;162.429;4.496.078;98.759;27.474.014;18.501.544;1.128.092;142.129;79.844;7.051;47.431.433;600.281;17.882.078;37.490.668;10.853.208;5.693.521;206.666;0;72.726.421;812.302;5.992.902;4.798.359;5.627.117;4.116.211;525.879;501.100;22.373.869;58.685;1.828.553;4.763.284;7.787.653;2.040.117;439.699;94.678;17.012.669;31.646;1.888.069;5.493.000;1.255.659;487.670;268.677;458;9.425.178;62.527;111.366;435.244;395.575;1.322;27.555;0;1.033.589;
3%;3 - Privado com Controle Estrangeiro;set/20;17,00%;13,41%;22,33%;16,86%;13,91%;14,82%;14,24%;19,27%;15,90%;19,64%;37,76%;37,75%;33,81%;24,96%;8,75%;77,42%;28,75%;13,33%;15,33%;18,67%;17,32%;5,62%;10,94%;94,48%;16,02%;14,91%;35,47%;52,64%;37,84%;29,49%;82,40%;0,31%;39,83%;35,93%;41,39%;41,17%;29,63%;20,41%;3,12%;0,00%;35,12%;17,08%;28,00%;19,88%;26,35%;37,86%;7,15%;24,68%;24,34%;4,29%;9,33%;8,72%;6,96%;2,86%;0,23%;0,22%;3,47%;28,80%;35,97%;25,01%;18,47%;15,24%;7,36%;53,92%;23,00%;4,68%;5,23%;8,22%;5,33%;0,15%;13,28%;0,00%;5,99%;
b1;b1 - Banco Comercial, Banco Múltiplo com Carteira Comercial ou Caixa Econômica;set/20;1.693.320.680;3.886.213;48.313.803;143.218.725;189.336.898;44.458.838;9.254.815;1.365.178;439.834.469;634.041;9.165.697;25.288.702;37.888.478;17.794.613;34.405.343;1.260.211;126.437.088;1.692.402;13.840.807;5.342.539;1.354.288;1.385.342;813.976;171.736;24.601.089;512.731;70.552.225;29.714.776;2.716.191;387.627;31.243;2.256.765;106.171.557;1.670.830;43.198.799;91.055.864;36.602.650;27.896.831;6.630.225;5.950;207.061.149;4.556.895;19.945.271;21.682.228;18.353.747;9.430.742;6.434.210;2.018.320;82.421.413;461.560;11.790.482;26.790.417;49.975.404;26.863.483;62.400.040;12.780.844;191.062.231;105.294;4.822.828;20.043.323;4.399.010;1.884.276;2.104.069;849;33.359.649;1.336.267;2.131.032;5.240.389;7.416.850;857.879;207.358;8.349;17.198.125;
b1%;b1 - Banco Comercial, Banco Múltiplo com Carteira Comercial ou Caixa Econômica;set/20;79,58%;91,45%;88,32%;90,04%;88,48%;86,86%;81,09%;92,59%;88,66%;83,94%;65,35%;68,40%;64,91%;70,71%;96,29%;97,96%;73,38%;91,06%;90,51%;75,66%;92,05%;99,85%;98,79%;99,90%;87,66%;77,39%;91,09%;84,54%;91,10%;80,42%;32,24%;100,00%;89,16%;100,00%;100,00%;99,99%;99,93%;100,00%;100,00%;100,00%;99,98%;95,80%;93,20%;89,84%;85,93%;86,74%;87,48%;99,40%;89,68%;33,77%;60,18%;49,06%;44,65%;37,61%;33,35%;29,16%;39,00%;95,81%;91,87%;91,26%;64,70%;58,90%;57,62%;100,00%;81,42%;100,00%;100,00%;99,03%;100,00%;99,99%;99,96%;100,00%;99,70%;
b2;b2 - Banco Múltiplo sem Carteira Comercial ou Banco de Investimento ou Banco de Câmbio;set/20;52.403.513;16.466;1.574.486;1.725.156;815.306;147.089;44.298;0;4.322.802;56.796;3.224.447;7.029.179;12.656.987;4.318.947;71.871;5.428;27.363.654;0;0;4.231;0;0;0;0;4.231;10.454;3.397.922;4.777.694;238.784;85.997;53.247;0;8.564.098;0;236;13.333;26.667;0;0;0;40.236;3.923;237.992;212.855;193.119;81.325;15.374;8.887;753.477;39.545;1.177.191;3.048.705;4.919.704;1.384.930;117.977;94.544;10.782.595;515;30.098;89.702;181.106;118.658;39.356;0;459.435;0;0;0;0;0;0;0;0;
b2%;b2 - Banco Múltiplo sem Carteira Comercial ou Banco de Investimento ou Banco de Câmbio;set/20;2,46%;0,39%;2,88%;1,08%;0,38%;0,29%;0,39%;0,00%;0,87%;7,52%;22,99%;19,01%;21,68%;17,16%;0,20%;0,42%;15,88%;0,00%;0,00%;0,06%;0,00%;0,00%;0,00%;0,00%;0,02%;1,58%;4,39%;13,59%;8,01%;17,84%;54,95%;0,00%;7,19%;0,00%;0,00%;0,01%;0,07%;0,00%;0,00%;0,00%;0,02%;0,08%;1,11%;0,88%;0,90%;0,75%;0,21%;0,44%;0,82%;2,89%;6,01%;5,58%;4,40%;1,94%;0,06%;0,22%;2,20%;0,47%;0,57%;0,41%;2,66%;3,71%;1,08%;0,00%;1,12%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;
