cat;Categoria;Data;Total_Carteira_PF;PF_Consignado_Vencido_15d;PF_Consignado_Vencer_90d;PF_Consignado_Vencer_91-360d;PF_Consignado_Vencer_361-1080d;PF_Consignado_Vencer_1081-1800d;PF_Consignado_Vencer_1801-5400d;PF_Consignado_Vencer_acima_5400d;PF_Consignado_TOTAL;PF_Não_Consignado_Vencido_15d;PF_Não_Consignado_Vencer_90d;PF_Não_Consignado_Vencer_91-360d;PF_Não_Consignado_Vencer_361-1080d;PF_Não_Consignado_Vencer_1081-1800d;PF_Não_Consignado_Vencer_1801-5400d;PF_Não_Consignado_Vencer_acima_5400d;PF_Não_Consignado_TOTAL;PF_Veículos_Vencido_15d;PF_Veículos_Vencer_90d;PF_Veículos_Vencer_91-360d;PF_Veículos_Vencer_361-1080d;PF_Veículos_Vencer_1081-1800d;PF_Veículos_Vencer_1801-5400d;PF_Veículos_Vencer_acima_5400d;PF_Veículos_TOTAL;PF_Hab_Vencido_15d;PF_Hab_Vencer_90d;PF_Hab_Vencer_91-360d;PF_Hab_Vencer_361-1080d;PF_Hab_Vencer_1081-1800d;PF_Hab_Vencer_1801-5400d;PF_Hab_Vencer_acima_5400d;PF_Hab_TOTAL;PF_Cartão_Vencido_15d;PF_Cartão_Vencer_90d;PF_Cartão_Vencer_91-360d;PF_Cartão_Vencer_361-1080d;PF_Cartão_Vencer_1081-1800d;PF_Cartão_Vencer_1801-5400d;PF_Cartão_Vencer_acima_5400d;PF_Cartão_TOTAL;PF_Rural_Vencido_15d;PF_Rural_Vencer_90d;PF_Rural_Vencer_91-360d;PF_Rural_Vencer_361-1080d;PF_Rural_Vencer_1081-1800d;PF_Rural_Vencer_1801-5400d;PF_Rural_Vencer_acima_5400d;PF_Rural_TOTAL;PF_Outros_Vencido_15d;PF_Outros_Vencer_90d;PF_Outros_Vencer_91-360d;PF_Outros_Vencer_361-1080d;PF_Outros_Vencer_1081-1800d;PF_Outros_Vencer_1801-5400d;PF_Outros_Vencer_acima_5400d;Outros_TOTAL;Total_Exterior_PF
b3S;b3S - Cooperativa de Crédito Singulares;set/20;105.540.868;45.250;762.702;2.113.798;4.053.959;2.438.628;2.331.118;322;11.745.777;380.317;4.056.855;9.801.484;11.352.100;3.475.911;1.506.921;19.285;30.592.872;24.266;578.345;1.650.242;2.869.292;642.196;7.238;0;5.771.578;140;14.963;48.470;114.589;90.258;219.946;28.728;517.094;140.295;2.003.610;632.471;1.059;0;0;0;2.777.435;160.150;4.845.155;21.550.352;8.743.215;3.042.698;1.763.115;0;40.104.685;473.374;2.942.689;4.371.711;3.451.892;1.524.962;1.258.369;8.428;14.031.427;0
b3S%;b3S - Cooperativa de Crédito Singulares;set/20;4,78%;0,92%;2,55%;2,56%;2,66%;2,87%;4,11%;0,01%;2,83%;6,85%;18,30%;22,41%;23,26%;22,93%;24,86%;4,03%;21,55%;0,91%;2,17%;2,44%;2,91%;4,14%;11,77%;0,00%;2,73%;0,02%;0,08%;0,09%;0,09%;0,09%;0,08%;0,02%;0,07%;0,71%;1,22%;1,00%;0,01%;0,00%;0,00%;0,00%;1,09%;6,39%;18,16%;22,82%;10,88%;7,58%;5,56%;0,00%;14,52%;5,60%;9,14%;11,89%;10,18%;11,33%;14,76%;1,71%;10,49%;0,00%
b3C;b3C - Central e Confederação de Cooperativas de Crédito;set/20;4.883;0;0;0;0;0;0;0;0;14;37;1.228;3.138;45;18;0;4.481;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;315;78;0;0;0;0;0;393;2;7;0;0;0;0;0;10;0
b3C%;b3C - Central e Confederação de Cooperativas de Crédito;set/20;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,01%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,01%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%
b4;b4 - Banco de Desenvolvimento;set/20;3.609.645;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;31.910;253.147;573.557;1.453.889;687.906;520.335;30;3.520.773;595;5.612;14.858;29.401;18.416;19.990;0;88.871;0
b4%;b4 - Banco de Desenvolvimento;set/20;0,16%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;1,27%;0,95%;0,61%;1,81%;1,71%;1,64%;0,01%;1,27%;0,01%;0,02%;0,04%;0,09%;0,14%;0,23%;0,00%;0,07%;0,00%
n1;n1 - Não Bancário de Crédito;set/20;28.010.409;34.119;193.371;444.616;578.465;224.650;86.084;3;1.561.308;761.807;1.128.953;1.269.882;216.434;12.196;20.972;4.628;3.414.871;35.574;354.627;934.931;1.477.164;167.989;296;0;2.970.580;59.753;75.215;167.687;344.112;259.317;747.276;324.765;1.978.125;2.597.932;9.189.507;4.459.500;300.124;27.379;2;0;16.574.445;6.389;65.059;168.802;391.039;197.365;198.192;0;1.026.845;54.653;129.207;147.470;81.666;25.574;39.708;5.956;484.234;0
n1%;n1 - Não Bancário de Crédito;set/20;1,27%;0,69%;0,65%;0,54%;0,38%;0,26%;0,15%;0,00%;0,38%;13,72%;5,09%;2,90%;0,44%;0,08%;0,35%;0,97%;2,41%;1,33%;1,33%;1,38%;1,50%;1,08%;0,48%;0,00%;1,41%;6,86%;0,42%;0,32%;0,28%;0,26%;0,27%;0,27%;0,29%;13,18%;5,61%;7,07%;4,22%;2,52%;0,00%;0,00%;6,50%;0,26%;0,24%;0,18%;0,49%;0,49%;0,63%;0,00%;0,37%;0,65%;0,40%;0,40%;0,24%;0,19%;0,47%;1,21%;0,36%;0,00%
n2;n2 - Não Bancário de Mercado de Capitais;set/20;12.866;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12.866;12.866;0
n2%;n2 - Não Bancário de Mercado de Capitais;set/20;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;2,62%;0,01%;0,00%
n4;n4 - Instituições de Pagamento;set/20;13.352.196;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18.698;9.203.947;2.445.719;191.544;0;0;0;11.859.908;0;0;0;0;0;0;0;0;792.946;453.704;240.073;5.566;0;0;0;1.492.288;0
n4%;n4 - Instituições de Pagamento;set/20;0,60%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,09%;5,62%;3,88%;2,69%;0,00%;0,00%;0,00%;4,65%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;9,38%;1,41%;0,65%;0,02%;0,00%;0,00%;0,00%;1,12%;0,00%
C;C - Conglomerado;set/20;1.382.527.631;2.355.330;23.512.483;65.383.444;121.539.381;68.285.423;43.186.148;3.559.890;327.822.099;3.564.114;15.226.447;29.280.212;33.667.145;11.155.960;4.439.705;410.588;97.744.172;2.353.581;22.913.851;58.086.057;84.539.137;13.271.471;48.549;107.893;181.320.539;170.905;5.158.755;14.605.502;33.892.276;27.211.931;77.719.385;40.002.522;198.761.276;14.575.658;134.461.155;52.422.124;6.064.030;1.062.121;250.392;198.518;209.033.998;1.916.932;18.378.489;62.875.135;57.079.268;29.318.503;25.170.065;295.388;195.033.778;5.307.396;20.873.385;22.465.414;24.382.494;9.606.864;6.100.501;422.239;89.158.294;83.653.474
C%;C - Conglomerado;set/20;62,63%;47,89%;78,61%;79,31%;79,77%;80,45%;76,13%;99,99%;79,03%;64,20%;68,70%;66,94%;68,98%;73,59%;73,23%;85,85%;68,85%;88,16%;86,03%;85,74%;85,87%;85,58%;78,93%;99,98%;85,86%;19,63%;28,48%;27,88%;27,90%;27,58%;27,92%;33,12%;28,78%;73,92%;82,15%;83,08%;85,20%;97,80%;91,36%;100,00%;81,92%;76,54%;68,90%;66,57%;71,03%;73,00%;79,40%;97,27%;70,62%;62,76%;64,85%;61,09%;71,93%;71,41%;71,57%;85,87%;66,65%;100,00%
I;I - Instituição independente;set/20;824.825.856;2.563.333;6.396.343;17.055.863;30.826.719;16.595.776;13.540.659;435;86.979.129;1.987.837;6.937.265;14.463.301;15.137.916;4.003.669;1.623.010;67.693;44.220.690;316.223;3.720.563;9.660.861;13.907.491;2.235.512;12.963;20;29.853.634;699.920;12.957.786;37.772.813;87.589.853;71.468.878;200.616.726;80.783.806;491.889.781;5.142.520;29.222.778;10.673.962;1.053.579;23.938;23.671;1;46.140.449;587.583;8.296.115;31.578.544;23.276.241;10.843.234;6.531.452;8.299;81.121.468;3.148.641;11.313.295;14.306.128;9.513.235;3.846.768;2.423.136;69.503;44.620.705;0
I%;I - Instituição independente;set/20;37,37%;52,11%;21,39%;20,69%;20,23%;19,55%;23,87%;0,01%;20,97%;35,80%;31,30%;33,06%;31,02%;26,41%;26,77%;14,15%;31,15%;11,84%;13,97%;14,26%;14,13%;14,42%;21,07%;0,02%;14,14%;80,37%;71,52%;72,12%;72,10%;72,42%;72,08%;66,88%;71,22%;26,08%;17,85%;16,92%;14,80%;2,20%;8,64%;0,00%;18,08%;23,46%;31,10%;33,43%;28,97%;27,00%;20,60%;2,73%;29,38%;37,24%;35,15%;38,91%;28,07%;28,59%;28,43%;14,13%;33,35%;0,00%
