cat;Categoria;Data;Total_Carteira_PF;PF_Consignado_Vencido_15d;PF_Consignado_Vencer_90d;PF_Consignado_Vencer_91-360d;PF_Consignado_Vencer_361-1080d;PF_Consignado_Vencer_1081-1800d;PF_Consignado_Vencer_1801-5400d;PF_Consignado_Vencer_acima_5400d;PF_Consignado_TOTAL;PF_Não_Consignado_Vencido_15d;PF_Não_Consignado_Vencer_90d;PF_Não_Consignado_Vencer_91-360d;PF_Não_Consignado_Vencer_361-1080d;PF_Não_Consignado_Vencer_1081-1800d;PF_Não_Consignado_Vencer_1801-5400d;PF_Não_Consignado_Vencer_acima_5400d;PF_Não_Consignado_TOTAL;PF_Veículos_Vencido_15d;PF_Veículos_Vencer_90d;PF_Veículos_Vencer_91-360d;PF_Veículos_Vencer_361-1080d;PF_Veículos_Vencer_1081-1800d;PF_Veículos_Vencer_1801-5400d;PF_Veículos_Vencer_acima_5400d;PF_Veículos_TOTAL;PF_Hab_Vencido_15d;PF_Hab_Vencer_90d;PF_Hab_Vencer_91-360d;PF_Hab_Vencer_361-1080d;PF_Hab_Vencer_1081-1800d;PF_Hab_Vencer_1801-5400d;PF_Hab_Vencer_acima_5400d;PF_Hab_TOTAL;PF_Cartão_Vencido_15d;PF_Cartão_Vencer_90d;PF_Cartão_Vencer_91-360d;PF_Cartão_Vencer_361-1080d;PF_Cartão_Vencer_1081-1800d;PF_Cartão_Vencer_1801-5400d;PF_Cartão_Vencer_acima_5400d;PF_Cartão_TOTAL;PF_Rural_Vencido_15d;PF_Rural_Vencer_90d;PF_Rural_Vencer_91-360d;PF_Rural_Vencer_361-1080d;PF_Rural_Vencer_1081-1800d;PF_Rural_Vencer_1801-5400d;PF_Rural_Vencer_acima_5400d;PF_Rural_TOTAL;PF_Outros_Vencido_15d;PF_Outros_Vencer_90d;PF_Outros_Vencer_91-360d;PF_Outros_Vencer_361-1080d;PF_Outros_Vencer_1081-1800d;PF_Outros_Vencer_1801-5400d;PF_Outros_Vencer_acima_5400d;Outros_TOTAL;Total_Exterior_PF
1;1 - Público;set/20;1.029.537.922;2.789.508;11.632.835;32.348.577;64.908.489;40.557.879;32.697.120;3.557.650;188.492.057;1.269.522;5.240.789;12.145.800;15.540.711;6.439.375;3.460.216;436.814;44.533.226;59.959;523.274;1.295.107;1.959.686;450.256;158;103.731;4.392.171;697.749;13.362.874;39.054.868;91.147.513;75.070.507;219.422.994;102.827.292;541.583.797;2.709.525;29.464.438;7.521.059;485.019;24.121;23.671;193.691;40.421.524;1.994.652;16.564.579;57.096.302;51.829.731;27.572.158;24.289.923;299.052;179.646.396;2.118.700;7.423.515;7.111.293;4.191.928;2.330.360;2.554.875;220.996;25.951.667;4.517.085
1%;1 - Público;set/20;46,64%;56,71%;38,89%;39,24%;42,60%;47,78%;57,64%;99,92%;45,44%;22,87%;23,65%;27,77%;31,84%;42,48%;57,07%;91,33%;31,37%;2,25%;1,96%;1,91%;1,99%;2,90%;0,26%;96,12%;2,08%;80,13%;73,76%;74,56%;75,03%;76,07%;78,83%;85,13%;78,42%;13,74%;18,00%;11,92%;6,81%;2,22%;8,64%;97,57%;15,84%;79,64%;62,10%;60,45%;64,50%;68,65%;76,62%;98,47%;65,05%;25,06%;23,06%;19,34%;12,37%;17,32%;29,97%;44,94%;19,40%;5,40%
2;2 - Privado Nacional;set/20;868.166.681;1.269.046;14.184.505;38.827.298;67.614.733;33.840.181;17.035.828;955;172.772.545;3.643.362;15.300.147;27.875.640;26.118.305;6.687.723;2.122.077;24.455;81.771.708;1.723.178;16.010.379;40.589.595;58.618.208;8.542.344;28.074;35;125.511.813;139.203;3.485.578;9.675.959;21.985.861;17.114.356;42.868.487;12.899.496;108.168.939;13.262.706;102.113.062;43.185.267;4.960.978;775.026;108.752;4.789;164.410.581;284.702;7.622.760;28.972.642;18.639.242;7.257.273;5.290.939;1.493;68.069.051;4.659.372;17.821.234;19.178.875;19.859.694;6.230.110;3.211.008;141.068;71.101.360;76.360.684
2%;2 - Privado Nacional;set/20;39,33%;25,80%;47,43%;47,10%;44,38%;39,87%;30,03%;0,03%;41,65%;65,62%;69,03%;63,73%;53,52%;44,12%;35,00%;5,11%;57,60%;64,54%;60,11%;59,91%;59,54%;55,09%;45,64%;0,03%;59,44%;15,99%;19,24%;18,47%;18,10%;17,34%;15,40%;10,68%;15,66%;67,26%;62,38%;68,44%;69,70%;71,36%;39,68%;2,41%;64,43%;11,37%;28,58%;30,67%;23,20%;18,07%;16,69%;0,49%;24,65%;55,10%;55,37%;52,16%;58,59%;46,31%;37,67%;28,69%;53,15%;91,28%
3;3 - Privado com Controle Estrangeiro;set/20;309.648.883;860.109;4.091.486;11.263.432;19.842.879;10.483.139;6.993.860;1.721;53.536.625;639.067;1.622.776;3.722.074;7.146.046;2.032.532;480.423;17.012;15.659.929;886.667;10.100.762;25.862.216;37.868.734;6.514.382;33.280;4.148;81.270.189;33.873;1.268.089;3.647.488;8.348.755;6.495.945;16.044.630;5.059.540;40.898.321;3.745.947;32.106.434;12.389.760;1.671.612;286.912;141.640;39;50.342.343;225.160;2.487.265;8.384.734;9.886.535;5.332.307;2.120.655;3.142;28.439.799;1.677.965;6.941.931;10.481.374;9.844.107;4.893.162;2.757.755;129.678;36.725.972;2.775.705
3%;3 - Privado com Controle Estrangeiro;set/20;14,03%;17,49%;13,68%;13,66%;13,02%;12,35%;12,33%;0,05%;12,91%;11,51%;7,32%;8,51%;14,64%;13,41%;7,92%;3,56%;11,03%;33,21%;37,92%;38,17%;38,47%;42,01%;54,10%;3,84%;38,48%;3,89%;7,00%;6,96%;6,87%;6,58%;5,76%;4,19%;5,92%;19,00%;19,61%;19,64%;23,49%;26,42%;51,68%;0,02%;19,73%;8,99%;9,32%;8,88%;12,30%;13,28%;6,69%;1,03%;10,30%;19,84%;21,57%;28,50%;29,04%;36,37%;32,35%;26,37%;27,45%;3,32%
b1;b1 - Banco Comercial, Banco Múltiplo com Carteira Comercial ou Caixa Econômica;set/20;2.008.035.312;4.835.448;28.922.944;79.798.782;147.594.622;82.153.665;54.272.743;3.560.000;401.138.205;4.346.283;16.882.718;32.477.063;37.035.965;11.617.695;4.530.544;454.367;107.344.635;2.348.939;22.326.984;56.546.104;82.257.408;13.100.448;49.460;107.913;176.737.256;809.560;18.018.736;52.142.176;120.985.228;98.306.630;277.332.127;120.431.041;688.025.498;15.435.728;136.785.694;52.603.338;6.112.240;1.058.650;274.061;198.519;212.468.229;2.243.816;21.211.565;69.665.025;65.726.156;33.944.335;28.536.239;303.657;221.630.794;7.130.401;28.496.995;31.885.966;30.165.275;11.788.171;7.106.260;464.154;117.037.221;83.653.474
b1%;b1 - Banco Comercial, Banco Múltiplo com Carteira Comercial ou Caixa Econômica;set/20;90,97%;98,31%;96,70%;96,80%;96,87%;96,79%;95,67%;99,99%;96,71%;78,28%;76,17%;74,24%;75,89%;76,64%;74,73%;95,00%;75,61%;87,98%;83,83%;83,47%;83,56%;84,48%;80,41%;100,00%;83,69%;92,96%;99,46%;99,55%;99,59%;99,62%;99,64%;99,71%;99,62%;78,28%;83,57%;83,37%;85,87%;97,48%;100,00%;100,00%;83,26%;89,59%;79,52%;73,76%;81,79%;84,52%;90,02%;99,99%;80,26%;84,32%;88,54%;86,71%;88,99%;87,62%;83,37%;94,39%;87,49%;100,00%
b2;b2 - Banco Múltiplo sem Carteira Comercial ou Banco de Investimento ou Banco de Câmbio;set/20;48.787.308;3.846;29.808;82.110;139.054;64.256;36.863;0;355.938;63.531;95.149;193.856;197.423;53.783;4.260;1;608.004;261.026;3.374.459;8.615.641;11.842.763;1.596.350;4.519;0;25.694.759;1.373;7.627;19.982;38.201;24.604;36.760;1.794;130.340;1.525.524;6.501.175;2.955.059;512.641;29;0;0;11.494.429;61.934;299.601;2.495.943;4.041.210;2.289.432;683.636;0;9.871.756;4.065;158.468;111.464;161.929;96.509;99.310;338;632.083;0
b2%;b2 - Banco Múltiplo sem Carteira Comercial ou Banco de Investimento ou Banco de Câmbio;set/20;2,21%;0,08%;0,10%;0,10%;0,09%;0,08%;0,06%;0,00%;0,09%;1,14%;0,43%;0,44%;0,40%;0,35%;0,07%;0,00%;0,43%;9,78%;12,67%;12,72%;12,03%;10,29%;7,35%;0,00%;12,17%;0,16%;0,04%;0,04%;0,03%;0,02%;0,01%;0,00%;0,02%;7,74%;3,97%;4,68%;7,20%;0,00%;0,00%;0,00%;4,50%;2,47%;1,12%;2,64%;5,03%;5,70%;2,16%;0,00%;3,57%;0,05%;0,49%;0,30%;0,48%;0,72%;1,17%;0,07%;0,47%;0,00%
