Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total_Carteira_PF;PF_Consignado_Vencido_15d;PF_Consignado_Vencer_90d;PF_Consignado_Vencer_91-360d;PF_Consignado_Vencer_361-1080d;PF_Consignado_Vencer_1081-1800d;PF_Consignado_Vencer_1801-5400d;PF_Consignado_Vencer_acima_5400d;PF_Consignado_TOTAL;PF_Não_Consignado_Vencido_15d;PF_Não_Consignado_Vencer_90d;PF_Não_Consignado_Vencer_91-360d;PF_Não_Consignado_Vencer_361-1080d;PF_Não_Consignado_Vencer_1081-1800d;PF_Não_Consignado_Vencer_1801-5400d;PF_Não_Consignado_Vencer_acima_5400d;PF_Não_Consignado_TOTAL;PF_Veículos_Vencido_15d;PF_Veículos_Vencer_90d;PF_Veículos_Vencer_91-360d;PF_Veículos_Vencer_361-1080d;PF_Veículos_Vencer_1081-1800d;PF_Veículos_Vencer_1801-5400d;PF_Veículos_Vencer_acima_5400d;PF_Veículos_TOTAL;PF_Hab_Vencido_15d;PF_Hab_Vencer_90d;PF_Hab_Vencer_91-360d;PF_Hab_Vencer_361-1080d;PF_Hab_Vencer_1081-1800d;PF_Hab_Vencer_1801-5400d;PF_Hab_Vencer_acima_5400d;PF_Hab_TOTAL;PF_Cartão_Vencido_15d;PF_Cartão_Vencer_90d;PF_Cartão_Vencer_91-360d;PF_Cartão_Vencer_361-1080d;PF_Cartão_Vencer_1081-1800d;PF_Cartão_Vencer_1801-5400d;PF_Cartão_Vencer_acima_5400d;PF_Cartão_TOTAL;PF_Rural_Vencido_15d;PF_Rural_Vencer_90d;PF_Rural_Vencer_91-360d;PF_Rural_Vencer_361-1080d;PF_Rural_Vencer_1081-1800d;PF_Rural_Vencer_1801-5400d;PF_Rural_Vencer_acima_5400d;PF_Rural_TOTAL;PF_Outros_Vencido_15d;PF_Outros_Vencer_90d;PF_Outros_Vencer_91-360d;PF_Outros_Vencer_361-1080d;PF_Outros_Vencer_1081-1800d;PF_Outros_Vencer_1801-5400d;PF_Outros_Vencer_acima_5400d;Outros_TOTAL;Total_Exterior_PF
CAIXA ECONOMICA FEDERAL;360305;b1;I;1;S1;6;BRASILIA;DF;01/06/2020;564740505;2520142;5079546;13221256;23237350;11700211;7884649;24;63643178;682809;780368;1491133;1431336;222334;8472;6284;4622736;39631;119444;160042;115824;17002;38;35;452017;688430;10975705;36681237;84888118;69128633;193073986;78273615;473709723;1505442;5468122;1877088;175950;20480;19227;0;9066309;136609;902138;1444434;547740;145132;61709;0;3237762;1680854;2809462;2158477;1780496;808531;732696;38265;10008780;0
BB;49906;b1;C;1;S1;199;BRASILIA;DF;01/06/2020;371116139;239554;4860226;14057202;30370933;20600384;15811484;188779;86128562;792138;3083110;8263633;11164493;5407654;2903955;430480;32045464;35572;407481;1098841;1694448;382430;37;109918;3728728;66629;430029;1310510;3521134;3475284;17780041;21054155;47637781;1412790;19094910;4573033;323052;233;0;198727;25602746;2020926;20137650;44652870;47131315;25978831;22551446;172536;162645574;627842;981660;3033499;2043231;1398635;1630915;140878;9856659;3470625
ITAU;10069;b1;C;2;S1;199;SAO PAULO;SP;01/06/2020;304509414;482805;4859137;12628990;20556682;9145219;2681510;11;50354354;420070;1586583;4084863;3095021;609214;12230;0;9807981;218548;2260988;6384542;9166752;1437380;5678;0;19473888;43542;1531360;4462937;10128509;7908133;19162555;5115609;48352645;7085475;43955051;20200503;1600816;49897;4;0;72891746;2174;396293;257510;110017;51596;23331;0;840921;2396901;7858089;10342130;9078416;2266234;349521;0;32291290;70496588
BRADESCO;10045;b1;C;2;S1;199;OSASCO;SP;01/06/2020;232782558;306300;5578054;15189197;25964791;12772190;5654423;414;65465369;1159867;5735512;9958030;8547901;1458654;526237;433;27386633;297636;3483543;9373510;13139641;1989073;8335;6;28291744;43214;1644606;4520029;10184186;7776194;19043444;5435106;48646780;4303907;20626103;7759211;935284;93963;13552;0;33732021;104892;2442972;4769649;4994315;1144698;450340;0;13906867;1368165;4749904;2739123;3541531;1323168;661646;17136;14400672;952474
SANTANDER;30379;b1;C;3;S1;199;SAO PAULO;SP;01/06/2020;207285749;753012;3528928;9474326;16581621;8558260;5435360;873;44332379;536131;1405551;3066174;4050202;1627555;446321;16895;11148828;618630;6262535;16305246;24130147;4579815;31261;4006;51931640;25196;1138243;3586417;8067479;6218281;14957932;4379065;38372613;1883697;19597970;7390508;1002924;272334;133824;36;30281295;51261;1126031;2048746;1999941;993653;633593;0;6853225;1508883;4488851;4744963;5554826;3282107;2195079;77305;21852014;2513757
VOTORANTIM;51011;b1;C;2;S2;199;SAO PAULO;SP;01/06/2020;43320208;64964;130335;291896;233607;13900;66;0;734768;46257;118338;304973;192660;58234;3413;0;723875;708881;4931369;12768762;18255739;2471351;3808;0;39139910;0;0;0;0;0;0;0;0;517700;1405707;629994;57523;0;0;0;2610924;0;1067;2242;3422;1576;0;0;8307;1234;23964;26715;29531;10849;9981;149;102423;0
BANRISUL;30173;b1;C;1;S2;199;PORTO ALEGRE;RS;01/06/2020;26640170;140533;1056620;3024296;6155161;3827466;2024616;188;16228879;31269;736583;766449;273498;54009;14622;14;1876444;183;1854;3993;6900;1660;10;0;14600;2109;65296;154961;405186;375771;1478470;1104993;3586787;66829;970957;268517;3698;0;0;0;1310001;45541;549098;503653;477052;243634;170354;74040;2063372;127269;891385;196091;178774;84033;82457;78;1560088;0
SAFRA;10083;b1;C;2;S2;199;SAO PAULO;SP;01/06/2020;24094735;30291;663167;1819423;3491026;1895893;593900;0;8493702;8255;216316;671640;509009;80736;2170;0;1488126;185820;1693941;4387824;6402312;720549;159;0;13390605;6;42;419;742;197;272;0;1678;7064;143548;46247;113;0;0;0;196972;181;60498;76064;60163;38164;13579;0;248649;14014;199379;46103;5040;0;0;0;264536;10467
PAN;31323;b1;C;2;S3;199;SAO PAULO;SP;01/06/2020;22811818;109177;770370;2088351;3851730;2044162;973564;0;9837354;2022;4938;6760;894;14;0;0;14628;326381;1271963;3088894;4231432;450694;105;0;9369469;992;3950;10105;21874;16067;33242;5135;91365;533409;2378761;238648;8785;295;0;0;3159898;0;0;0;0;0;0;0;0;15247;23027;53514;103877;63694;77734;2011;339104;0
BANCO RABOBANK INTERNATIONAL BRASIL S.A.;1023570;b1;I;3;S3;8;SAO PAULO;SP;01/06/2020;17539194;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;56428;888772;1865010;1458178;691203;428128;2657;5390376;275251;1912198;4431560;3736163;1435767;356655;1224;12148818;0
