Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total da Carteira de Pessoa Jurídica;Micro;Pequena;Média;Grande;Indisponível;Total não Individualizado Pessoa Jurídica;Total Exterior Pessoa Jurídica
ITAU;10069;b1;C;2;S1;199;SAO PAULO;SP;01/06/2020;436018146;5129531;21245180;54229403;83152342;896186;1460;271364044
BRADESCO;10045;b1;C;2;S1;199;OSASCO;SP;01/06/2020;291041108;13974070;30180382;49961484;88483093;22222759;699;86218621
BB;49906;b1;C;1;S1;199;BRASILIA;DF;01/06/2020;277449258;2500692;23643338;48860903;162003231;2421901;390;38018803
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;b4;I;1;S2;4;RIO DE JANEIRO;RJ;01/06/2020;272143324;0;1144827;3545405;260685862;6767231;0;0
SANTANDER;30379;b1;C;3;S1;199;SAO PAULO;SP;01/06/2020;175712620;6858979;19030377;36972675;56362396;1732589;2156;54753447
CAIXA ECONOMICA FEDERAL;360305;b1;I;1;S1;6;BRASILIA;DF;01/06/2020;147033944;12034289;15357557;24823626;94818299;0;172;0
SAFRA;10083;b1;C;2;S2;199;SAO PAULO;SP;01/06/2020;50985689;469235;2122672;11587563;27216317;370227;478;9219196
BTG PACTUAL;49944;b1;C;2;S1;199;RIO DE JANEIRO;RJ;01/06/2020;37710134;3649082;878280;1249258;16491341;0;0;15442174
CITIBANK;30403;b1;C;3;S2;199;SAO PAULO;SP;01/06/2020;18572189;90237;115460;1113091;16672455;580945;0;0
ABC-BRASIL;41856;b1;C;3;S3;199;SAO PAULO;SP;01/06/2020;17790297;247174;1808806;6201884;7104504;77416;2;2350511
DAYCOVAL;51987;b1;C;2;S3;199;SAO PAULO;SP;01/06/2020;14711613;226057;533774;5072196;7491885;746131;15;641554
BNP PARIBAS;51516;b1;C;3;S3;199;SAO PAULO;SP;01/06/2020;12604566;0;133555;1027407;11443604;0;0;0
VOTORANTIM;51011;b1;C;2;S2;199;SAO PAULO;SP;01/06/2020;12315813;1221389;91723;438877;8783436;2339;0;1778049
MERCEDES-BENZ;51262;b2;C;3;S3;198;SAO PAULO;SP;01/06/2020;11940523;494960;1575853;5222388;4646417;905;0;0
BANCO RABOBANK INTERNATIONAL BRASIL S.A.;1023570;b1;I;3;S3;8;SAO PAULO;SP;01/06/2020;10951467;204418;11552;1510642;9224856;0;0;0
BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL;92816560;b4;I;1;S3;5;PORTO ALEGRE;RS;01/06/2020;10435169;134899;781362;4125643;4783452;609813;0;0
CCB;32119;b1;C;3;S3;199;SAO PAULO;SP;01/06/2020;10313116;80824;267632;2665303;2814614;0;0;4484743
BANCO VOLKSWAGEN S.A.;59109165;b2;I;3;S3;8;SAO PAULO;SP;01/06/2020;9727470;659065;2341665;5596630;1130109;0;1;0
BANRISUL;30173;b1;C;1;S2;199;PORTO ALEGRE;RS;01/06/2020;9070878;308900;1344639;3061916;3939273;285846;34;130271
BANCO DO NORDESTE DO BRASIL S.A.;7237373;b1;I;1;S2;8;FORTALEZA;CE;01/06/2020;5366690;294393;404305;1754857;2534686;378446;2;0
BANCO VOLVO BRASIL S.A.;58017179;b2;I;3;S4;8;CURITIBA;PR;01/06/2020;5102968;348508;901610;3243848;582867;26135;0;0
BANCO CNH INDUSTRIAL CAPITAL S.A.;2992446;b2;I;3;S3;8;CURITIBA;PR;01/06/2020;5006027;599481;1027452;2809835;462815;106444;0;0
ORIGINAL;51781;b1;C;2;S3;199;SAO PAULO;SP;01/06/2020;4985469;26181;185495;592434;775945;1707402;469;1697543
ALFA;51293;b1;C;2;S3;199;SAO PAULO;SP;01/06/2020;4969661;205432;431963;1423384;2399318;509563;0;0
CREDIT AGRICOLE;51066;b1;C;3;S3;199;SAO PAULO;SP;01/06/2020;4837889;0;0;261623;4576265;0;0;0
CREDIT SUISSE;30771;b1;C;3;S3;199;SAO PAULO;SP;01/06/2020;4806662;17331;256403;548094;3074581;415520;0;494733
BANCO DE DESENVOLVIMENTO DE MINAS GERAIS S.A.-BDMG;38486817;b4;I;1;S3;5;BELO HORIZONTE;MG;01/06/2020;4756280;130440;404656;1898187;2216263;106733;1;0
ING;51073;b1;C;3;S3;199;SAO PAULO;SP;01/06/2020;4588164;0;0;513077;3875984;199103;0;0
BOCOM;52003;b1;C;3;S4;199;SALVADOR;BA;01/06/2020;4552683;1004;2835;664393;2173192;0;0;1711260
JP MORGAN CHASE;20107;b1;C;3;S3;199;SAO PAULO;SP;01/06/2020;4215260;14847;36630;906896;3256888;0;0;0
SCANIA BANCO S.A.;11417016;b2;I;3;S4;8;SAO BERNARDO DO CAMPO;SP;01/06/2020;4125103;215820;936794;2508201;458401;5887;0;0
