Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total Geral;AA;A;B;C;D;E;F;G;H;Total Exterior
ITAU;10069;b1;C;2;S1;199;SAO PAULO;SP;01/06/2020;740527560;173982380;139279338;22723169;26263901;8335440;4918344;4818918;5390526;12954911;341860632
CAIXA ECONOMICA FEDERAL;360305;b1;I;1;S1;6;BRASILIA;DF;01/06/2020;711774450;380963318;104395793;96100893;69236808;25297474;6636681;9509141;6291712;13342629;0
BB;49906;b1;C;1;S1;199;BRASILIA;DF;01/06/2020;648565397;279883388;64463068;143823030;64731891;11284234;8963938;3149774;4309726;26466919;41489428
BRADESCO;10045;b1;C;2;S1;199;OSASCO;SP;01/06/2020;523823665;141916984;157103941;51197994;44687591;9454148;7083029;3318205;3602146;18288531;87171095
SANTANDER;30379;b1;C;3;S1;199;SAO PAULO;SP;01/06/2020;382998369;115775388;118299128;34561905;24391254;11561332;4230195;3757536;3352636;9801793;57267203
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;b4;I;1;S2;4;RIO DE JANEIRO;RJ;01/06/2020;272144009;37979293;94401458;78512475;26766590;14992440;7142886;3497134;22484;8829248;0
SAFRA;10083;b1;C;2;S2;199;SAO PAULO;SP;01/06/2020;75080424;33818569;2951369;22383763;2868859;1143164;346728;1070691;163126;1104492;9229663
VOTORANTIM;51011;b1;C;2;S2;199;SAO PAULO;SP;01/06/2020;55636020;2515174;24032401;10144519;9546428;1827096;988021;642018;2138954;2023360;1778049
BTG PACTUAL;49944;b1;C;2;S1;199;RIO DE JANEIRO;RJ;01/06/2020;38759423;6483607;6942794;5659169;1341734;606918;482068;236066;991811;353861;15661394
BANRISUL;30173;b1;C;1;S2;199;PORTO ALEGRE;RS;01/06/2020;35711048;3832261;18588870;7187340;1670645;1086157;465784;339163;221740;2188818;130271
