Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total Geral;Prefixado;TR / TBF;TJLP;TLP;Libor;Outras Taxas Pós-Fixadas;Carteira ativa com indexador CDI;SELIC;Outras Taxas Flutuantes;IGPM;IPCA;IPCC;Outros Índices de Preço;Outros Indexadores;TCR pré;TCR pós;TRFC pré;TRFC pós;Total não Individualizado;Total Exterior
ITAU;10069;b1;C;2;S1;199;SAO PAULO;SP;01/06/2020;740527560;276626630;54365367;3077346;2430697;410443;17314033;43363822;694771;56514;85696;117695;0;0;4824;0;0;0;0;119091;341860632
CAIXA ECONOMICA FEDERAL;360305;b1;I;1;S1;6;BRASILIA;DF;01/06/2020;711774450;110661661;524972525;24269805;0;0;22;29469054;0;0;313199;11549038;0;0;10520358;0;0;0;0;18788;0
BB;49906;b1;C;1;S1;199;BRASILIA;DF;01/06/2020;648565397;395945192;60220727;9435287;7031513;41950;5541;81003123;0;48618958;1650034;141903;0;0;2960049;0;0;0;0;21692;41489428
BRADESCO;10045;b1;C;2;S1;199;OSASCO;SP;01/06/2020;523823665;264789288;60931057;4253627;6877629;17268;16439878;67958863;1495004;0;726306;94214;0;453624;0;12539617;0;0;0;76196;87171095
SANTANDER;30379;b1;C;3;S1;199;SAO PAULO;SP;01/06/2020;382998369;246139826;46467635;1776020;1462263;22557;52905;26417883;792265;0;716089;51734;0;0;1778418;0;0;0;0;53572;57267203
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;b4;I;1;S2;4;RIO DE JANEIRO;RJ;01/06/2020;272144009;42820257;75505;165611021;42693343;1818984;5820547;0;6684570;0;15329;6604453;0;0;0;0;0;0;0;0;0
SAFRA;10083;b1;C;2;S2;199;SAO PAULO;SP;01/06/2020;75080424;43263092;303519;526558;723804;0;1408;20632981;386593;0;9974;24;0;263;0;0;0;0;0;2546;9229663
VOTORANTIM;51011;b1;C;2;S2;199;SAO PAULO;SP;01/06/2020;55636020;47104121;873586;183113;226046;51248;971628;4321634;15997;0;0;69400;0;0;39841;0;0;0;0;1358;1778049
BTG PACTUAL;49944;b1;C;2;S1;199;RIO DE JANEIRO;RJ;01/06/2020;38759423;6372167;66855;2550450;0;220007;0;13278121;464289;0;20826;77567;0;0;47747;0;0;0;0;0;15661394
BANRISUL;30173;b1;C;1;S2;199;PORTO ALEGRE;RS;01/06/2020;35711048;26656042;5562924;136993;20909;0;7514;3107421;16390;0;25888;0;0;0;44310;0;0;0;0;2385;130271
BANCO RABOBANK INTERNATIONAL BRASIL S.A.;1023570;b1;I;3;S3;8;SAO PAULO;SP;01/06/2020;28490661;24581635;8723;125603;73602;0;0;3700245;0;0;0;0;0;0;853;0;0;0;0;0;0
PAN;31323;b1;C;2;S3;199;SAO PAULO;SP;01/06/2020;24409959;23772131;110753;0;0;0;0;203166;0;0;228456;42019;0;0;47426;0;0;0;0;6008;0
DAYCOVAL;51987;b1;C;2;S3;199;SAO PAULO;SP;01/06/2020;23325445;19236806;0;0;110609;0;42554;2149695;305822;236276;7;0;0;0;596940;0;0;0;0;5182;641554
BNP PARIBAS;51516;b1;C;3;S3;199;SAO PAULO;SP;01/06/2020;19529664;8557287;0;312;0;0;9707239;1250905;0;0;0;0;0;0;0;0;0;0;0;13921;0
CITIBANK;30403;b1;C;3;S2;199;SAO PAULO;SP;01/06/2020;18646376;12851189;0;911;0;0;0;5794222;52;0;0;0;0;0;0;0;0;0;0;0;0
ABC-BRASIL;41856;b1;C;3;S3;199;SAO PAULO;SP;01/06/2020;18218736;5030648;0;89606;233692;0;0;8818516;299446;0;0;417070;0;4714;882360;0;0;0;0;3;2442682
BANCO VOLKSWAGEN S.A.;59109165;b2;I;3;S3;8;SAO PAULO;SP;01/06/2020;17196729;13717171;0;495125;1008550;0;0;1821863;13691;0;0;0;0;0;140304;0;0;0;0;25;0
BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL;92816560;b4;I;1;S3;5;PORTO ALEGRE;RS;01/06/2020;13464453;7974670;57469;2673340;689880;0;0;0;1061029;0;266039;23012;0;88592;627595;0;2824;0;0;4;0
CCB;32119;b1;C;3;S3;199;SAO PAULO;SP;01/06/2020;12777659;2892572;7499;0;0;0;0;3217515;0;2174826;0;0;0;0;0;0;0;0;0;504;4484743
BRB;31976;b1;C;1;S3;199;BRASILIA;DF;01/06/2020;12685932;11136105;67;15296;0;0;1534408;0;0;0;0;0;0;0;0;0;0;0;0;56;0
BANCO COOPERATIVO SICREDI S.A.;1181521;b1;I;2;S3;11;PORTO ALEGRE;RS;01/06/2020;12508983;10241161;2273;178043;979092;0;416640;651832;0;0;0;0;0;0;0;0;39899;0;0;43;0
MERCEDES-BENZ;51262;b2;C;3;S3;198;SAO PAULO;SP;01/06/2020;12408852;10226015;240265;701079;1006411;0;0;34764;200319;0;0;0;0;0;0;0;0;0;0;0;0
BMG;30290;b1;C;2;S3;199;SAO PAULO;SP;01/06/2020;11946179;10907250;0;0;0;0;14275;229874;0;0;0;0;0;0;58948;0;0;0;0;2414;733418
BANCO DO NORDESTE DO BRASIL S.A.;7237373;b1;I;1;S2;8;FORTALEZA;CE;01/06/2020;10988649;7748918;26517;238990;49354;0;1400979;427005;0;24;1069809;0;0;26648;0;0;0;0;0;403;0
NU PAGAMENTOS S.A.;18236120;n4;I;2;S4;41;SAO PAULO;SP;01/06/2020;10769405;10559842;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;209562;0
BANCOOB;51750;b1;C;2;S3;199;BRASILIA;DF;01/06/2020;9994949;8559864;0;81368;0;0;0;1081450;10812;0;0;260739;0;0;220;0;0;0;0;497;0
BANCO CNH INDUSTRIAL CAPITAL S.A.;2992446;b2;I;3;S3;8;CURITIBA;PR;01/06/2020;9960288;9794598;0;163875;0;0;0;0;1815;0;0;0;0;0;0;0;0;0;0;0;0
BANCO CSF S.A.;8357240;b2;I;3;S3;8;SAO PAULO;SP;01/06/2020;9635543;9628626;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6918;0
ALFA;51293;b1;C;2;S3;199;SAO PAULO;SP;01/06/2020;8873149;6388945;0;163867;192777;0;2278;1957018;168196;0;0;0;0;0;0;0;0;0;0;69;0
ORIGINAL;51781;b1;C;2;S3;199;SAO PAULO;SP;01/06/2020;8691618;3684187;0;0;0;0;0;981128;0;0;3918;0;0;0;2324095;0;0;0;0;747;1697543
BANCO GM S.A.;59274605;b2;I;3;S3;8;SAO PAULO;SP;01/06/2020;8623627;8623625;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
BANCO JOHN DEERE S.A.;91884981;b1;I;3;S3;8;INDAIATUBA;SP;01/06/2020;8035962;6949965;0;27090;40736;998491;0;0;19680;0;0;0;0;0;0;0;0;0;0;0;0
PORTO SEGURO;51444;n1;C;2;S4;197;SAO PAULO;SP;01/06/2020;7640624;7639418;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1206;0
CREDIT SUISSE;30771;b1;C;3;S3;199;SAO PAULO;SP;01/06/2020;7033961;279533;0;0;0;933000;0;4066970;0;0;0;1259725;0;0;0;0;0;0;0;0;494733
BANCO DE LAGE LANDEN BRASIL S.A.;5040481;b2;I;3;S4;8;PORTO ALEGRE;RS;01/06/2020;6242843;6090102;0;22824;44934;0;0;82401;2582;0;0;0;0;0;0;0;0;0;0;0;0
BANCO TOYOTA DO BRASIL S.A.;3215790;b2;I;3;S4;8;SAO PAULO;SP;01/06/2020;6223962;6223962;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BANCO DO ESTADO DO PARÁ S.A.;4913711;b1;I;1;S3;8;BELEM;PA;01/06/2020;5897774;5887654;6428;0;0;0;95;0;0;0;3542;0;0;0;0;0;0;0;0;55;0
INTER;51884;b1;C;2;S4;199;BELO HORIZONTE;MG;01/06/2020;5623132;2722653;406347;0;0;0;2485437;7400;0;0;0;0;0;0;0;0;0;0;0;1294;0
BANCO VOLVO BRASIL S.A.;58017179;b2;I;3;S4;8;CURITIBA;PR;01/06/2020;5245985;4773975;0;400066;0;0;0;0;70591;0;1353;0;0;0;0;0;0;0;0;0;0
MERCANTIL DO BRASIL;20152;b1;C;2;S3;199;BELO HORIZONTE;MG;01/06/2020;5172887;4330673;100138;0;0;0;94029;615162;5192;0;0;197;0;0;0;0;0;0;0;1616;25879
