Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total da Carteira de Pessoa Jurídica;PJ_CG_Vencido_15d;PJ_CG_Vencer_90d;PJ_CG_Vencer_91-360d;PJ_CG_Vencer_361-1080d;PJ_CG_Vencer_1081-1800d;PJ_CG_Vencer_1801-5400d;PJ_CG_Vencer_acima_5400d;PJ_CG_TOTAL;PJ_I_Vencido_15d;PJ_I_Vencer_90d;PJ_I_Vencer_91-360d;PJ_I_Vencer_361-1080d;PJ_I_Vencer_1081-1800d;PJ_I_Vencer_1801-5400d;PJ_I_Vencer_acima_5400d;PJ_I_TOTAL;PJ_CGR_Vencido_15d;PJ_CGR_Vencer_90d;PJ_CGR_Vencer_91-360d;PJ_CGR_Vencer_361-1080d;PJ_CGR_Vencer_1081-1800d;PJ_CGR_Vencer_1801-5400d;PJ_CGR_Vencer_acima_5400d;PJ_CGR_TOTAL;PJ_Recebiveis_Vencido_15d;PJ_Recebiveis_Vencer_90d;PJ_Recebiveis_Vencer_91-360d;PJ_Recebiveis_Vencer_361-1080d;PJ_Recebiveis_Vencer_1081-1800d;PJ_Recebiveis_Vencer_1801-5400d;PJ_Recebiveis_Vencer_acima_5400d;PJ_Recebiveis_TOTAL;PJ_Comex_Vencido_15d;PJ_Comex_Vencer_90d;PJ_Comex_Vencer_91-360d;PJ_Comex_Vencer_361-1080d;PJ_Comex_Vencer_1081-1800d;PJ_Comex_Vencer_1801-5400d;PJ_Comex_Vencer_acima_5400d;PJ_Comex_TOTAL;PJ_Outros_Vencido_15d;PJ_Outros_Vencer_90d;PJ_Outros_Vencer_91-360d;PJ_Outros_Vencer_361-1080d;PJ_Outros_Vencer_1081-1800d;PJ_Outros_Vencer_1801-5400d;PJ_Outros_Vencer_acima_5400d;PJ_Outros_TOTAL;PJ_Infra_Vencido_15d;PJ_Infra_Vencer_90d;PJ_Infra_Vencer_91-360d;PJ_Infra_Vencer_361-1080d;PJ_Infra_Vencer_1081-1800d;PJ_Infra_Vencer_1801-5400d;PJ_Infra_Vencer_acima_5400d;PJ_Infra_TOTAL;PJ_Rural_Vencido_15d;PJ_Rural_Vencer_90d;PJ_Rural_Vencer_91-360d;PJ_Rural_Vencer_361-1080d;PJ_Rural_Vencer_1081-1800d;PJ_Rural_Vencer_1801-5400d;PJ_Rural_Vencer_acima_5400d;PJ_Rural_TOTAL;PJ_Hab_Vencido_15d;PJ_Hab_Vencer_90d;PJ_Hab_Vencer_91-360d;PJ_Hab_Vencer_361-1080d;PJ_Hab_Vencer_1081-1800d;PJ_Hab_Vencer_1801-5400d;PJ_Hab_Vencer_acima_5400d;PJ_Hab_TOTAL;Total Exterior Pessoa Jurídica;;;;;;;;;;;;
COOPERATIVA DE CRÉDITO DO NORTE E NOROESTE DE MINAS GERAIS LTDA. - SICOOB CREDIGERAIS;698609;b3S;I;2;S5;9;PARACATU;MG;01/03/2018;69339;1126;6769;10572;18273;3163;441;0;40346;17;302;770;1153;405;0;0;2648;0;10146;72;0;0;0;0;10218;458;11140;727;2;0;0;0;12327;0;0;0;0;0;0;0;0;386;421;15;9;0;0;0;832;36;116;114;14;0;0;0;280;0;847;1841;0;0;0;0;2688;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS DA GRANDE GETÚLIO VARGAS DO RIO GRANDE DO SUL - SICREDI ESTAÇÃO RS;87784088;b3S;I;2;S4;9;ESTACAO;RS;01/03/2018;68778;221;3697;13852;21334;1915;228;0;41247;24;1685;4752;2661;617;4;0;9743;156;2222;4948;5;0;0;0;7331;1;3031;108;0;0;0;0;3139;0;0;0;0;0;0;0;0;252;994;1144;2726;1056;931;1;7104;0;0;0;0;0;0;0;0;0;216;0;0;0;0;0;216;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
UNIPRIME ALLIANCE - COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO;1736243;b3S;I;2;S5;9;CASCAVEL;PR;01/03/2018;67917;38;3020;7253;7165;1155;0;0;18631;31;1465;4124;5837;2319;939;0;14716;305;4177;7556;704;0;0;0;12742;0;3064;397;0;0;0;0;3460;0;0;0;0;0;0;0;0;30;1178;3199;6215;3735;4005;0;18362;0;3;3;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
HONDA;51396;b2;C;3;S4;198;SAO PAULO;SP;01/03/2018;67913;2159;2037;0;0;0;0;0;4196;302;11841;27013;23925;636;0;0;63717;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO ALTO JACUÍ RS - SICREDI ALTO JACUÍ RS;87779625;b3S;I;2;S4;9;NAO-ME-TOQUE;RS;01/03/2018;67911;47;2696;6638;11387;2582;72;0;23421;4;408;1128;1322;261;0;0;3122;285;7397;21097;691;154;0;0;29625;188;4399;557;0;0;0;0;5144;0;0;0;0;0;0;0;0;330;1267;1321;2285;871;367;9;6450;0;0;0;0;0;0;0;0;0;112;37;0;0;0;0;149;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO GRANDES LAGOS DO PARANÁ E LITORAL PAULISTA – SICREDI GRANDES LAGOS PR/SP;81115149;b3S;I;2;S5;9;LARANJEIRAS DO SUL;PR;01/03/2018;67328;226;4645;8997;10607;1400;808;0;26683;43;681;1899;3497;735;0;0;6855;547;3000;9488;590;0;0;0;13626;54;4961;408;0;0;0;0;5423;0;0;0;0;0;0;0;0;440;3243;3944;4277;943;0;17;12864;0;0;0;0;0;0;0;0;0;942;935;0;0;0;0;1876;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO DO PLANALTO CENTRAL - SICREDI PLANALTO CENTRAL;10736214;b3S;I;2;S4;9;CRISTALINA;GO;01/03/2018;66903;64;4913;8685;8866;499;0;0;23027;0;188;505;755;93;0;0;1541;467;7398;6840;0;0;0;0;14705;75;12369;1810;0;0;0;0;14254;0;0;0;0;0;0;0;0;393;2372;2721;4750;1782;11;177;12206;0;2;0;0;0;0;0;2;0;739;429;0;0;0;0;1168;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS AURIVERDE   SICOOB CREDIAL/SC;78858107;b3S;I;2;S5;9;CUNHA PORA;SC;01/03/2018;66675;254;3395;11444;13182;3443;3679;0;35397;92;1667;4400;8869;3544;936;0;19507;0;708;49;226;4;0;0;986;64;9100;1412;63;0;0;0;10639;0;0;0;0;0;0;0;0;41;85;17;4;0;0;0;146;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
COOPERATIVA DE POUPANÇA E CRÉDITO DE LIVRE ADMISSÃO DO VALE DO RIO DOCE LTDA. - SICOOB CREDIRIODOCE;25606237;b3S;I;2;S5;9;GOVERNADOR VALADARES;MG;01/03/2018;65821;574;7107;17201;21576;7270;3182;0;56910;12;264;723;954;351;9;0;2314;0;1243;1800;0;0;0;0;3043;18;2485;474;95;0;0;0;3071;0;0;0;0;0;0;0;0;249;41;95;5;0;0;0;389;0;0;0;0;0;0;0;0;0;0;0;94;0;0;0;94;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS MÉDICOS DOS VALES DO TAQUARI E RIO PARDO E REGIÃO DA PRODUÇÃO LTDA;1635462;b3S;I;2;S5;9;LAJEADO;RS;01/03/2018;65602;77;1615;3628;6578;3764;2227;0;17889;24;2862;8516;15915;7950;6425;0;41691;0;513;4834;41;0;0;0;5388;0;379;62;1;0;0;0;442;0;0;0;0;0;0;0;0;3;28;35;73;49;4;0;192;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO DE CAMPO GRANDE E REGIÃO - SICREDI CAMPO GRANDE MS;3042597;b3S;I;2;S4;9;CAMPO GRANDE;MS;01/03/2018;65259;164;2801;5816;5899;1403;0;0;16082;7;250;589;862;166;0;0;1874;886;13334;8331;0;0;0;0;22551;23;3407;240;0;0;0;0;3670;0;0;0;0;0;0;0;0;803;3915;3816;5444;1800;14;11;15803;0;0;0;0;0;0;0;0;0;162;5116;0;0;0;0;5278;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
FATOR;50122;b1;C;2;S4;199;SAO PAULO;SP;01/03/2018;64979;629;4987;7150;0;0;0;0;12766;0;0;0;0;0;0;0;0;0;0;15013;0;0;0;0;15013;0;0;0;0;0;0;0;0;0;1447;4824;30930;0;0;0;37201;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO CELEIRO CENTRO OESTE – SICREDI CELEIRO CENTRO OESTE;3566655;b3S;I;2;S4;9;SAO GABRIEL DO OESTE;MS;01/03/2018;64177;119;5000;8266;7462;83;0;0;20929;25;213;466;539;38;0;0;1281;454;7843;14353;134;0;0;0;22783;200;10407;1060;0;0;0;0;11667;0;0;0;0;0;0;0;0;639;1962;2053;1962;583;143;24;7366;0;0;0;0;0;0;0;0;0;87;64;0;0;0;0;151;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
UNIPRIME PIONEIRA DO PARANÁ COOPERATIVA DE CRÉDITO LTDA;1286361;b3S;I;2;S5;9;TOLEDO;PR;01/03/2018;63852;2;148;305;286;56;0;0;797;22;2107;5675;11865;7436;9556;0;36661;0;1295;8568;248;0;0;0;10111;0;1544;96;0;0;0;0;1640;0;0;0;0;0;0;0;0;198;2220;4922;5861;1197;222;0;14620;0;5;11;7;0;0;0;23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS PROFISSIONAIS DO CREA DOS ESTADOS DE SANTA CATARINA E PARANÁ - CREDCREA;5979692;b3S;I;2;S5;9;FLORIANOPOLIS;SC;01/03/2018;63816;1186;6693;14405;12956;560;75;0;35876;326;2136;5126;7355;1733;771;0;17447;0;1189;2956;0;0;0;0;4146;0;2716;276;0;0;0;0;2992;0;0;0;0;0;0;0;0;1518;196;383;712;344;200;0;3354;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DA REGIÃO DO CIRCUITO CAMPOS DAS VERTENTES LTDA - SICOOB COPERMEC;2232383;b3S;I;2;S5;9;CLAUDIO;MG;01/03/2018;62286;142;6047;13135;14251;8190;79;0;41845;0;205;559;1014;215;0;0;1993;0;1906;4925;104;0;0;0;6934;99;10581;274;0;0;0;0;10954;0;0;0;0;0;0;0;0;29;13;0;0;0;0;0;42;0;0;0;0;0;0;0;0;0;0;518;0;0;0;0;518;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
SICOOB CREDINOVA - COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE NOVA SERRANA E REGIÃO CENTRO-OESTE LTDA.;1667766;b3S;I;2;S5;9;NOVA SERRANA;MG;01/03/2018;62019;49;5404;7569;19407;3384;0;0;35813;17;428;520;322;144;0;0;1431;0;1180;8;0;0;0;0;1188;177;21032;1919;0;0;0;0;23129;0;0;0;0;0;0;0;0;102;256;31;54;15;0;0;458;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO TERRA DOS PINHEIRAIS DO PARANÁ E NOROESTE PAULISTA - SICREDI PLANALTO DAS ÁGUAS PR/SP;77984870;b3S;I;2;S4;9;GUARAPUAVA;PR;01/03/2018;61868;208;2791;5593;4401;117;14;0;13124;4;292;691;998;92;0;0;2077;555;5684;13661;10;0;0;0;19910;46;7716;796;0;0;0;0;8558;0;0;0;0;0;0;0;0;353;2113;3507;4594;1081;254;8;11910;0;0;0;0;0;0;0;0;0;0;6289;0;0;0;0;6289;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO DE ASSOCIADOS DO NOROESTE DE MATO GROSSO E ACRE – SICREDI NOROESTE MT E ACRE;33022690;b3S;I;2;S4;9;ARAPUTANGA;MT;01/03/2018;61696;29;3795;8418;9300;1032;341;0;22915;23;407;1142;2253;672;0;0;4497;457;3848;7285;0;0;0;0;11591;88;11519;829;0;0;0;0;12436;0;0;0;0;0;0;0;0;691;2288;2848;3223;1079;24;103;10257;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
COOPERATIVA DE CRÉDITO DO NORTE DE RONDÔNIA LTDA. – CREDISIS CREDIARI;3222753;b3S;I;2;S5;9;ARIQUEMES;RO;01/03/2018;61125;586;12371;21815;8322;46;0;0;43141;12;952;1562;1032;0;0;0;3558;0;1090;520;0;0;0;0;1610;37;11960;515;0;0;0;0;12513;0;0;0;0;0;0;0;0;16;287;0;0;0;0;0;303;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS MÉDICOS E DEMAIS PROFISSIONAIS DA SAÚDE DO VALE DO PARAÍBA LTDA - SICOOB VALE DO PARAIBA;2197569;b3S;I;2;S5;9;SAO JOSE DOS CAMPOS;SP;01/03/2018;60942;372;4383;12263;16239;8068;3352;0;44677;1;547;1406;1439;642;61;0;4095;0;1621;2836;0;0;0;0;4457;191;1135;81;0;0;0;0;1406;0;0;0;0;0;0;0;0;77;119;180;930;930;4070;0;6306;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
COOPERATIVA DE CRÉDITO DO VALE DO ITAJAÍ E VALE DO ITAPOCÚ - SICOOB MULTICREDI;2883398;b3S;I;2;S5;9;BLUMENAU;SC;01/03/2018;60620;154;8380;16288;19470;4007;75;0;48376;49;593;1465;2824;565;83;0;5580;0;920;1284;0;0;0;0;2204;101;4008;276;1;0;0;0;4386;0;0;0;0;0;0;0;0;69;6;0;0;0;0;0;76;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
COOPERATIVA DE CRÉDITO DOS EMPRESÁRIOS DE TRANSPORTES DO SUL DO BRASIL - TRANSPOCRED;8075352;b3S;I;2;S5;9;FLORIANOPOLIS;SC;01/03/2018;59818;140;2890;6159;5782;645;0;0;15615;186;3862;8201;10915;2442;71;0;25677;0;1218;2886;0;0;0;0;4105;0;11422;169;0;0;0;0;11591;0;0;0;0;0;0;0;0;350;661;610;836;200;2;0;2659;0;8;22;56;58;27;0;171;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DA UNIÃO DOS VALES DO PIRANGA E MATIPÓ LTDA.   SICOOB UNIÃO;1060307;b3S;I;2;S5;9;RAUL SOARES;MG;01/03/2018;59016;938;5046;16572;15074;2797;221;0;40648;66;648;1803;2565;394;1;0;5476;0;1665;1980;0;0;0;0;3646;111;7622;815;0;0;0;0;8548;0;0;0;0;0;0;0;0;109;76;0;0;0;0;0;184;0;0;0;0;0;0;0;0;0;0;515;0;0;0;0;515;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO PAJEÚ, AGRESTE E RECIFE - SICOOB PERNAMBUCO;3732359;b3S;I;2;S5;9;SAO JOSE DO EGITO;PE;01/03/2018;58657;2312;4589;9514;11521;4734;2167;19;34857;34;305;541;945;85;0;0;1911;0;3706;25;10;0;0;0;3741;662;14298;889;2;0;0;0;15851;0;0;0;0;0;0;0;0;504;107;0;0;0;0;0;610;0;0;0;0;0;0;0;0;170;1056;11;450;0;0;0;1687;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS VALE DO JAGUARI - SICREDI VALE DO JAGUARI RS;87780284;b3S;I;2;S4;9;SANTIAGO;RS;01/03/2018;58290;20;5047;7274;10893;3567;91;0;26892;4;321;860;1503;427;11;0;3125;242;6048;8603;1981;0;0;0;16874;2;1794;98;0;0;0;0;1894;0;0;0;0;0;0;0;0;644;2160;1507;2950;1388;829;27;9504;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
SICOOB AC CREDI - COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO LESTE E NORDESTE MINEIRO LTDA.;1559914;b3S;I;2;S5;9;GOVERNADOR VALADARES;MG;01/03/2018;58080;414;4188;10286;15702;3470;0;0;34060;31;339;903;1722;517;0;0;3513;0;3312;46;476;4;0;0;3837;67;14865;910;0;0;0;0;15842;0;0;0;0;0;0;0;0;417;112;287;2;0;0;0;818;1;8;1;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO UNICRED REGIÃO DA CAMPANHA LTDA - UNICRED REGIÃO DA CAMPANHA;1705236;b3S;I;2;S5;9;SANTANA DO LIVRAMENTO;RS;01/03/2018;57983;328;5602;12607;19454;5876;1118;0;44986;13;698;1680;2294;201;0;0;4887;0;1554;1611;0;0;0;0;3165;36;2274;1307;2;0;0;0;3620;0;0;0;0;0;0;0;0;20;163;345;470;244;82;0;1325;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO INTEGRAÇÃO - SICREDI INTEGRAÇÃO PR/SC;81054686;b3S;I;2;S4;9;LAPA;PR;01/03/2018;57847;304;5746;12311;11022;689;1;0;30073;16;712;4283;2586;481;0;0;8078;364;2197;205;0;0;0;0;2767;13;5419;441;0;0;0;0;5874;0;0;0;0;0;0;0;0;401;1625;1596;1927;439;0;44;6032;0;0;0;0;0;0;0;0;0;390;4635;0;0;0;0;5024;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO CENTRO SERRA - SICREDI CENTRO SERRA RS;87067757;b3S;I;2;S4;9;AGUDO;RS;01/03/2018;57684;282;1314;4283;4273;1123;298;0;11572;204;1534;5724;7137;3458;2652;0;20710;143;2387;4928;512;0;0;0;7970;10;9769;530;0;0;0;0;10309;0;0;0;0;0;0;0;0;51;1193;1280;2712;1779;47;32;7094;0;0;0;0;0;0;0;0;0;22;7;0;0;0;0;30;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO DO SUL DE MATO GROSSO – SICREDI SUL MT;26549311;b3S;I;2;S4;9;RONDONOPOLIS;MT;01/03/2018;57344;86;2723;6299;7989;474;0;0;17571;23;553;1265;2079;380;1;0;4301;466;5318;13597;0;0;0;0;19381;83;2948;230;0;0;0;0;3260;0;0;0;0;0;0;0;0;768;2309;1916;2864;1346;3608;19;12830;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO TRÊS FRONTEIRAS - SICOOB TRÊS FRONTEIRAS;4876393;b3S;I;2;S5;9;FOZ DO IGUACU;PR;01/03/2018;57320;552;7008;12345;13011;870;2;0;33787;7;278;715;861;315;11;0;2186;0;778;4967;62;0;0;0;5807;727;10614;941;0;0;0;0;12282;0;0;0;0;0;0;0;0;977;226;0;0;0;0;0;1203;0;0;0;0;0;0;0;0;0;0;2055;0;0;0;0;2055;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
COOPERATIVA DE POUPANCA E CRÉDITO MÚTUO DOS EMPRESÁRIOS E PROFISSIONAIS LIBERAIS DO OESTE PAULISTA - SICOOB PAULISTA;10262276;b3S;I;2;S5;9;PRESIDENTE PRUDENTE;SP;01/03/2018;56732;722;4855;14245;11520;2352;30;0;33725;0;64;192;552;0;0;0;808;0;2265;2614;0;0;0;0;4879;160;14024;1237;1;0;0;0;15421;0;0;0;0;0;0;0;0;340;377;41;103;0;0;0;862;0;0;0;0;0;0;0;0;0;0;1037;0;0;0;0;1037;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
COOPERATIVA DE CRÉDITO DAS MATAS DE MINAS LTDA. - SICOOB CREDISUDESTE;22656789;b3S;I;2;S5;9;MURIAE;MG;01/03/2018;56549;263;4742;9691;11066;3578;0;0;29341;19;829;2003;4210;1995;10;0;9067;0;2237;3935;0;0;0;0;6172;44;7918;1394;0;0;0;0;9356;0;0;0;0;0;0;0;0;137;879;339;218;122;0;0;1695;0;0;0;0;0;0;0;0;0;86;826;4;2;0;0;918;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
COOPERATIVA DE CRÉDITO DOS LOJISTAS DO DISTRITO FEDERAL - SICOOB CREDILOJISTA;7836458;b3S;I;2;S5;9;BRASILIA;DF;01/03/2018;56511;15584;16696;5353;7749;222;0;0;45604;3;30;38;20;0;0;0;91;0;1264;2774;0;0;0;0;4038;1219;2518;154;0;0;0;0;3891;0;0;0;0;0;0;0;0;2584;300;0;0;0;0;0;2884;4;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
COOPERATIVA DE CREDITO, POUPANCA E INVESTIMENTO DO RIO DE JANEIRO - SICREDI RIO RJ;72128440;b3S;I;2;S5;9;RIO DE JANEIRO;RJ;01/03/2018;55803;183;5971;11658;19587;3609;67;0;41074;42;212;441;722;105;3;0;1526;334;3304;1728;150;0;0;0;5516;262;1424;50;0;0;0;0;1736;0;0;0;0;0;0;0;0;143;969;2014;2444;344;0;36;5950;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO PONTAL DO TRIANGULO LTDA - SICOOB CREDIPONTAL;26178533;b3S;I;2;S5;9;ITUIUTABA;MG;01/03/2018;54695;276;3919;7740;9025;2917;0;0;23876;0;118;283;289;42;0;0;732;0;4512;1266;0;50;0;0;5827;601;21877;830;0;0;0;0;23307;0;0;0;0;0;0;0;0;47;72;90;91;2;0;0;302;0;0;0;0;0;0;0;0;0;0;185;464;0;0;0;649;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
COOPERATIVA DE CRÉDITO MÚTUO SERRA MAR LTDA. - UNICRED SERRA MAR;86803939;b3S;I;2;S5;9;NOVA IGUACU;RJ;01/03/2018;54640;179;5646;11663;16386;4281;471;0;38627;250;2089;4291;5159;847;688;0;13324;0;1222;819;0;0;0;0;2041;0;307;58;0;0;0;0;365;0;0;0;0;0;0;0;0;95;58;76;55;0;0;0;284;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO NOVOS HORIZONTES - SICREDI NOVOS HORIZONTES PR/SP;7206072;b3S;I;2;S5;9;ARAPOTI;PR;01/03/2018;54370;123;3799;9163;12510;1592;249;0;27437;20;522;1265;1452;275;33;0;3566;195;3592;4034;5;0;0;0;7826;40;5751;387;0;0;0;0;6179;0;0;0;0;0;0;0;0;201;1447;1999;2764;2055;453;12;8930;0;0;0;0;0;0;0;0;0;433;0;0;0;0;0;433;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
LECCA;51523;n1;C;2;S4;197;RIO DE JANEIRO;RJ;01/03/2018;54313;1227;16023;24084;3345;0;0;0;44679;0;0;0;0;0;0;0;0;0;2619;0;0;0;0;0;2619;0;6833;182;0;0;0;0;7015;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
STARA FINANCEIRA S.A. - CRÉDITO FINANCIAMENTO E INVESTIMENTO;17359351;n1;I;2;S4;14;NAO-ME-TOQUE;RS;01/03/2018;53567;0;0;0;0;0;0;0;0;608;28809;22813;386;14;0;0;52631;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;267;0;447;223;0;0;936;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
AGÊNCIA DE FOMENTO DO ESTADO DO AMAZONAS S.A. - AFEAM;3183937;n1;I;1;S4;30;MANAUS;AM;01/03/2018;53523;0;0;0;0;0;0;0;0;81;2432;4520;4320;911;5;0;12269;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;170;344;1031;1251;0;0;0;2796;2669;829;3623;7764;5249;18325;0;38459;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS VALE DO RIO DO PEIXE - SICOOB CREDIRIO SC;78865995;b3S;I;2;S5;9;JOACABA;SC;01/03/2018;53418;359;5161;10112;13134;7374;732;0;36872;2;438;997;1283;74;0;0;2793;0;1374;5;0;0;0;0;1379;31;11179;503;0;0;0;0;11713;0;0;0;0;0;0;0;0;81;132;0;0;0;0;0;213;0;0;0;0;0;0;0;0;0;0;228;221;0;0;0;449;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE  LAGOA DA PRATA E REGIÃO LTDA.   SICOOB LAGOACRED GERAIS;1739375;b3S;I;2;S5;9;LAGOA DA PRATA;MG;01/03/2018;52826;44;3772;10174;16055;1467;10;0;31521;2;67;189;486;261;3;0;1007;0;6709;97;0;0;0;0;6806;56;11509;1654;0;0;0;0;13219;0;0;0;0;0;0;0;0;43;198;31;0;0;0;0;273;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
COOPERATIVA DE CRÉDITO DOS PROFISSIONAIS DA SAÚDE DA ZONA DA MATA MINEIRA E SUL DO ESPÍRITO SANTO;86389236;b3S;I;2;S5;9;UBA;MG;01/03/2018;52397;616;4213;14787;16951;8627;3546;0;48740;9;238;574;863;75;28;0;1787;0;557;10;0;0;0;0;567;44;925;115;0;0;0;0;1084;0;0;0;0;0;0;0;0;110;49;33;26;0;0;0;218;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
