Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total da Carteira de Pessoa Jurídica;Micro;Pequena;Média;Grande;Indisponível;Total não Individualizado Pessoa Jurídica;Total Exterior Pessoa Jurídica;;;;;
DEUTSCHE BANK S.A. - BANCO ALEMAO;62331228;b1;I;3;S3;8;SAO PAULO;SP;01/03/2018;2053273;0;42352;964215;1046706;0;0;0;;;;;
BANCO DA AMAZONIA S.A.;4902979;b1;I;1;S3;2;BELEM;PA;01/03/2018;1998943;11122;143783;189492;1654541;0;4;0;;;;;
MERCANTIL DO BRASIL;20152;b1;C;2;S3;199;BELO HORIZONTE;MG;01/03/2018;1909813;128551;306486;1291857;182905;0;13;0;;;;;
BANCO GMAC S.A.;59274605;b2;I;3;S3;8;SAO PAULO;SP;01/03/2018;1905559;510687;268658;1052287;73927;0;0;0;;;;;
SCANIA BANCO S.A.;11417016;b2;I;3;S4;8;SAO BERNARDO DO CAMPO;SP;01/03/2018;1851793;111905;367144;1183027;189716;0;0;0;;;;;
BANCO SUMITOMO MITSUI BRASILEIRO S.A.;60518222;b1;I;3;S3;8;SAO PAULO;SP;01/03/2018;1782925;0;3668;365144;1161845;0;0;252268;;;;;
BANCO COOPERATIVO SICREDI S.A.;1181521;b1;I;2;S3;11;PORTO ALEGRE;RS;01/03/2018;1771674;253354;408888;1067913;41499;0;20;0;;;;;
JOHN DEERE;50071;b1;C;3;S4;199;INDAIATUBA;SP;01/03/2018;1713180;14651;90681;1062084;545765;0;0;0;;;;;
BANESTES;30159;b1;C;1;S3;199;VITORIA;ES;01/03/2018;1659993;54744;292554;976706;335977;0;11;0;;;;;
BANCO CATERPILLAR S.A.;2658435;b2;I;3;S4;8;SAO PAULO;SP;01/03/2018;1643819;197968;270596;720498;454756;0;0;0;;;;;
BANCO DE TOKYO-MITSUBISHI UFJ BRASIL S.A.;60498557;b1;I;3;S3;8;SAO PAULO;SP;01/03/2018;1621293;792;10707;211979;1397814;0;0;0;;;;;
BADESUL DESENVOLVIMENTO S.A - AGÊNCIA DE FOMENTO/RS;2885855;n1;I;1;S4;30;PORTO ALEGRE;RS;01/03/2018;1472388;98856;48904;754115;570512;0;0;0;;;;;
INDUSTRIAL DO BRASIL;50988;b1;C;2;S4;199;SAO PAULO;SP;01/03/2018;1449971;16948;29934;724248;617091;0;0;61750;;;;;
CREDIT AGRICOLE;51066;b1;C;3;S3;199;SAO PAULO;SP;01/03/2018;1430408;0;718;202165;1227525;0;0;0;;;;;
BANCO TRIANGULO S.A.;17351180;b1;I;2;S4;8;UBERLANDIA;MG;01/03/2018;1266292;8966;168331;961539;127344;0;112;0;;;;;
