Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Qt_Clientes;Qt_Operações
ITAU;10069;b1;C;2;S1;199;SAO PAULO;SP;mar/18;25.697.408;88.122.205
BRADESCO;10045;b1;C;2;S1;199;OSASCO;SP;mar/18;23.528.532;87.624.642
CAIXA ECONOMICA FEDERAL;360305;b1;I;1;S1;6;BRASILIA;DF;mar/18;14.622.841;33.977.966
SANTANDER;30379;b1;C;3;S1;199;SAO PAULO;SP;mar/18;13.913.377;36.259.103
BB;49906;b1;C;1;S1;199;BRASILIA;DF;mar/18;11.807.885;32.170.065
MIDWAY S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;9464032;n1;I;2;S4;14;SAO PAULO;SP;mar/18;3.216.719;20.019.362
BANCO CSF S.A.;8357240;b2;I;3;S3;8;SAO PAULO;SP;mar/18;3.089.405;6.101.285
VOTORANTIM;51011;b1;C;2;S2;199;SAO PAULO;SP;mar/18;3.059.203;4.516.818
BMG;30290;b1;C;2;S3;199;SAO PAULO;SP;mar/18;3.042.133;6.822.914
BNP PARIBAS;51516;b1;C;3;S3;199;SAO PAULO;SP;mar/18;2.717.682;8.201.181
PAN;31323;b1;C;2;S3;199;SAO PAULO;SP;mar/18;2.337.845;5.290.432
PERNAMBUCANAS FINANCIADORA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;43180355;n1;I;2;S4;14;SAO PAULO;SP;mar/18;2.323.241;5.772.470
BANRISUL;30173;b1;C;1;S2;199;PORTO ALEGRE;RS;mar/18;1.824.349;9.682.395
NU PAGAMENTOS S.A.;18236120;n4;I;2;;41;SAO PAULO;SP;mar/18;1.564.235;53.752.669
PORTO SEGURO;51444;n1;C;2;S4;197;SAO PAULO;SP;mar/18;1.270.255;2.087.525
SAFRA;10083;b1;C;2;S2;199;SAO PAULO;SP;mar/18;1.066.027;1.672.052
BANCOOB;51750;b1;C;2;S3;199;BRASILIA;DF;mar/18;976.796;1.534.862
MERCANTIL DO BRASIL;20152;b1;C;2;S3;199;BELO HORIZONTE;MG;mar/18;831.952;1.967.209
