Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;a1;a2;a3;a4;a5;a6;a;b1;b2;b3;b4;b5;b;c;d1;d2;d3;d4;d5;d6;d7;d8;d;e;f;g;h;i;j;k
ITAU;10069;b1;S1;C;2;SAO PAULO;SP;01/03/2018;18990259;388866;9276460;1327152;0;1360626;31343365;-13192948;-1352083;-276212;-94604;-3994226;-18910074;12433290;4802731;3026411;-4530296;-4858309;-1368456;1402419;7022031;-6737348;-1240818;11192473;113675;11306147;-2228492;-3540662;5536993;-7434559
BB;49906;b1;S1;C;1;BRASILIA;DF;01/03/2018;18196909;61251;9509175;-106911;30427;703012;28393862;-15372325;-2594837;-41044;0;-5517832;-23526038;4867824;3162129;2476216;-4912729;-3412664;-995733;1397067;4956899;-3993669;-1322483;3545341;-10337;3535003;-393432;-356605;2784966;-823473
BRADESCO;10045;b1;S1;C;2;OSASCO;SP;01/03/2018;16833187;369780;7810827;930572;0;915561;26859927;-10887842;-878143;-296929;-54943;-4593432;-16711289;10148638;3033561;2526586;-4153602;-5253613;-1069216;2405571;2029616;-3463116;-3944213;6204424;-190651;6013774;-1531799;0;4481975;-1787537
CAIXA ECONOMICA FEDERAL;360305;b1;S1;I;1;BRASILIA;DF;01/03/2018;19861700;0;6950694;-2242045;71219;1862345;26503912;-10727855;-4131411;0;0;-3737648;-18596915;7906997;4720948;1668530;-5136670;-2405474;-939215;379514;2207515;-4408293;-3913144;3993853;-495887;3497966;-206985;-486484;2804497;-635126
SANTANDER;30379;b1;S1;C;3;SAO PAULO;SP;01/03/2018;11683646;463626;6499517;-837029;631107;895228;19336094;-7868044;-780470;-377243;0;-2918189;-11943946;7392148;2435083;1164128;-1834729;-2188761;-854513;236964;3153227;-4792308;-2680909;4711239;11096;4722335;-1372175;-454046;2896114;-600000
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;b4;S2;I;1;RIO DE JANEIRO;RJ;01/03/2018;9938149;0;3819513;-556155;9371;0;13210878;-585092;-10750646;0;0;463102;-10872636;2338242;53175;0;-308186;-88013;-95177;1107221;226425;-252547;642898;2981140;142744;3123883;-1060311;-3;2063569;0
SAFRA;10083;b1;S2;C;2;SAO PAULO;SP;01/03/2018;1877013;196161;1850122;46704;69988;64694;4104684;-2361804;-184967;-165579;0;-194560;-2906910;1197774;212755;96985;-693823;-495426;-98135;172543;495157;-259917;-569861;627913;-585;627328;-110020;0;517308;0
VOTORANTIM;51011;b1;S2;C;2;SAO PAULO;SP;01/03/2018;2505567;47590;652971;-135941;26461;1148;3097796;-1441269;-80634;-40107;0;-400365;-1962375;1135421;115336;212315;-262899;-300696;-88580;79915;297437;-623744;-570917;564504;-3226;561278;-239363;-67328;254586;0
BANRISUL;30173;b1;S2;C;1;PORTO ALEGRE;RS;01/03/2018;1609733;5975;376907;-70339;14168;190472;2126915;-807880;-64965;-4512;0;44907;-832449;1294466;38059;242973;-471964;-356397;-91903;74842;146986;-489088;-906494;387972;-1849;386122;-112595;-29563;243964;-84500
BTG PACTUAL;49944;b1;S1;C;2;RIO DE JANEIRO;RJ;01/03/2018;227576;0;503152;803331;203766;15431;1753255;-1069824;-1202505;0;0;-62663;-2334992;-581737;353684;2324;-149872;-249633;-26456;306094;1501624;-237661;1500104;918368;7259;925626;-47826;-399896;477904;0
PAN;31323;b1;S3;C;2;SAO PAULO;SP;01/03/2018;1447951;394;38987;-98590;1976;0;1390718;-611166;-5;-389;0;-294757;-906317;484401;27171;55168;-99447;-456683;-41392;9111;234545;-96972;-368499;115902;-3148;112754;-56203;0;56551;-22121
