Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total_Carteira_PF;PF_Consignado_Vencido_15d;PF_Consignado_Vencer_90d;PF_Consignado_Vencer_91-360d;PF_Consignado_Vencer_361-1080d;PF_Consignado_Vencer_1081-1800d;PF_Consignado_Vencer_1801-5400d;PF_Consignado_Vencer_acima_5400d;PF_Consignado_TOTAL;PF_Não_Consignado_Vencido_15d;PF_Não_Consignado_Vencer_90d;PF_Não_Consignado_Vencer_91-360d;PF_Não_Consignado_Vencer_361-1080d;PF_Não_Consignado_Vencer_1081-1800d;PF_Não_Consignado_Vencer_1801-5400d;PF_Não_Consignado_Vencer_acima_5400d;PF_Não_Consignado_TOTAL;PF_Veículos_Vencido_15d;PF_Veículos_Vencer_90d;PF_Veículos_Vencer_91-360d;PF_Veículos_Vencer_361-1080d;PF_Veículos_Vencer_1081-1800d;PF_Veículos_Vencer_1801-5400d;PF_Veículos_Vencer_acima_5400d;PF_Veículos_TOTAL;PF_Hab_Vencido_15d;PF_Hab_Vencer_90d;PF_Hab_Vencer_91-360d;PF_Hab_Vencer_361-1080d;PF_Hab_Vencer_1081-1800d;PF_Hab_Vencer_1801-5400d;PF_Hab_Vencer_acima_5400d;PF_Hab_TOTAL;PF_Cartão_Vencido_15d;PF_Cartão_Vencer_90d;PF_Cartão_Vencer_91-360d;PF_Cartão_Vencer_361-1080d;PF_Cartão_Vencer_1081-1800d;PF_Cartão_Vencer_1801-5400d;PF_Cartão_Vencer_acima_5400d;PF_Cartão_TOTAL;PF_Rural_Vencido_15d;PF_Rural_Vencer_90d;PF_Rural_Vencer_91-360d;PF_Rural_Vencer_361-1080d;PF_Rural_Vencer_1081-1800d;PF_Rural_Vencer_1801-5400d;PF_Rural_Vencer_acima_5400d;PF_Rural_TOTAL;PF_Outros_Vencido_15d;PF_Outros_Vencer_90d;PF_Outros_Vencer_91-360d;PF_Outros_Vencer_361-1080d;PF_Outros_Vencer_1081-1800d;PF_Outros_Vencer_1801-5400d;PF_Outros_Vencer_acima_5400d;Outros_TOTAL;Total_Exterior_PF;;;;;;;;;;;
COOPERATIVA DE CRÉDITO UNICRED SUL CATARINENSE LTDA - UNICRED SUL CATARINENSE;75847;b3S;I;2;S5;9;CRICIUMA;SC;01/03/2018;194231;0;0;0;0;0;0;0;0;755;16609;39813;60067;24476;18060;28;159809;141;3786;8912;11509;1418;0;0;25767;0;20;56;158;160;643;13;1050;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;237;4230;1986;369;385;400;0;7606;0;;;;;;;;;;;
COOPERATIVA DE ECONOMIA E CREDITO MUTUO DOS MEDICOS E DEMAIS PROFISSIONAIS DA AREA DE SAUDE DO ESTADO DE SAO PAULO LTDA    UNICRED DO ESTADO DE SAO PAULO;71884498;b3S;I;2;S5;9;CAMPINAS;SP;01/03/2018;193500;0;0;0;0;0;0;0;0;270;13401;30735;48121;22268;21899;5;136699;46;2025;4404;5966;1525;6;0;13973;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;248;7882;8683;11538;6589;7878;11;42829;0;;;;;;;;;;;
COOPERATIVA DE CREDITO DE LIVRE ADMISSÃO DE ASSOCIADOS ITAIPU SICOOB CREDITAIPU;81014060;b3S;I;2;S5;9;PINHALZINHO;SC;01/03/2018;192320;2;104;284;485;50;0;0;924;1918;13261;27192;45027;20057;12012;0;119467;147;1225;2951;4771;1064;0;0;10157;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;264;8192;20796;9024;6043;3529;0;47849;645;6280;1498;2058;1550;1891;0;13922;0;;;;;;;;;;;
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO PROGRESSO - SICREDI PROGRESSO PR/SP;76059997;b3S;I;2;S4;9;TOLEDO;PR;01/03/2018;190849;48;749;2085;3659;1792;1229;0;9562;349;5476;9976;10675;2425;37;0;28937;62;1673;4226;7108;1532;5;0;14606;0;0;0;0;0;0;0;0;713;7586;2182;15;1;0;0;10497;456;34341;38944;3582;1533;213;0;79069;2108;12544;16280;9668;5101;2435;45;48180;0;;;;;;;;;;;
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO INTEGRAÇÃO DE ESTADOS DO RIO GRANDE DO SUL E SANTA CATARINA - SICREDI INTEGRAÇÃO DE ESTADOS RS/SC;87781530;b3S;I;2;S4;9;PASSO FUNDO;RS;01/03/2018;187187;23;350;913;1302;120;0;0;2708;542;6965;11143;13830;2770;371;0;35621;40;833;2154;2944;521;2;0;6495;0;0;0;0;0;0;0;0;859;8282;2368;8;1;0;0;11518;127;71694;32029;258;10;18;0;104136;1102;16010;3237;3907;1460;902;91;26709;0;;;;;;;;;;;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO VALE DO PARANAÍBA LTDA.;24799033;b3S;I;2;S5;9;QUIRINOPOLIS;GO;01/03/2018;184239;0;90;244;317;86;0;0;737;4631;12368;19193;22252;6269;471;350;65534;20;649;1465;1617;125;0;0;3876;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;525;18519;46897;40750;0;0;0;106691;335;5131;1449;486;1;0;0;7401;0;;;;;;;;;;;
COOPERATIVA DE CRÉDITO DOS MÉDICOS, PROFISSIONAIS DA SAÚDE E EMPRESÁRIOS DE MATO GROSSO;36900256;b3S;I;2;S5;9;CUIABA;MT;01/03/2018;183767;0;0;0;0;0;0;0;0;869;13373;32652;47241;18030;10489;0;122653;134;5351;12885;18735;3502;9;0;40617;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;928;5527;6464;4467;1882;1228;0;20496;0;;;;;;;;;;;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DA ZONA DA MATA DE MINAS LTDA - SICOOB CREDILIVRE;41697103;b3S;I;2;S5;9;MANHUACU;MG;01/03/2018;179785;0;0;0;0;0;0;0;0;749;6253;8538;6219;385;0;0;22144;95;735;1910;2669;250;0;0;5659;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1180;1433;113591;15880;1382;90;0;133555;900;6935;4508;4758;583;744;0;18427;0;;;;;;;;;;;
COOPERATIVA DE CREDITO RURAL DE PRIMAVERA DO LESTE;26563270;b3S;I;2;S5;9;PRIMAVERA DO LESTE;MT;01/03/2018;177768;0;137;347;285;0;0;0;769;2271;63171;18059;17673;726;193;0;102093;1;40;79;43;0;0;0;164;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10288;54346;66;0;0;0;64700;956;8032;1053;0;0;0;0;10042;0;;;;;;;;;;;
DESENBAHIA - AGENCIA DE FOMENTO DO ESTADO DA BAHIA S.A.;15163587;n1;I;1;S4;30;SALVADOR;BA;01/03/2018;177308;0;0;0;0;0;0;0;0;0;0;65;62;0;0;0;127;1146;3580;7854;4431;150;0;0;17161;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5511;5102;21039;41179;32521;29329;0;134681;1216;8450;13813;1860;0;0;0;25340;0;;;;;;;;;;;
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO ALIANÇA RS/SC - SICREDI ALIANÇA RS/SC;87795639;b3S;I;2;S4;9;MARAU;RS;01/03/2018;176879;5;194;545;740;218;11;0;1713;294;5280;9665;13384;1865;13;0;30501;68;1342;3396;4273;740;17;0;9835;0;0;0;0;0;0;0;0;735;7361;1930;3;1;0;0;10030;380;15253;75647;4978;1025;21;0;97305;1278;9052;8806;5388;2043;866;61;27495;0;;;;;;;;;;;
SAX S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;7747410;n1;I;2;S4;14;BARUERI;SP;01/03/2018;173033;576;2455;3712;902;9;0;0;7654;40029;69744;55456;149;0;0;0;165379;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;
FINAMAX S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTO;411939;n1;I;2;S4;14;JUNDIAI;SP;01/03/2018;168702;95;1109;2219;1231;15;0;0;4670;4386;12907;18532;9457;485;0;0;45767;5255;20199;43370;45633;3667;1;0;118124;0;0;0;0;0;0;0;0;0;61;0;0;0;0;0;61;0;0;0;0;0;0;0;0;10;25;38;7;0;0;0;80;0;;;;;;;;;;;
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO DO NORTE DO PARANÁ E SUL DE SÃO PAULO - SICREDI NORTE SUL PR/SP;79063574;b3S;I;2;S4;9;SANTO ANTONIO DA PLATINA;PR;01/03/2018;167612;5;162;439;729;210;2;0;1548;2319;9887;14186;11573;1636;138;0;39738;17;941;2384;3187;420;1;0;6950;0;0;0;0;0;0;0;0;981;9704;3273;52;2;0;0;14013;657;14509;40580;5826;220;102;0;61893;3006;21882;15442;2156;762;156;66;43470;0;;;;;;;;;;;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS DO ALTO URUGUAI CATARINENSE - SICOOB - CREDIAUC/SC;78840071;b3S;I;2;S5;9;CONCORDIA;SC;01/03/2018;166621;5;270;673;1471;549;3;0;2971;982;8109;16766;24062;5710;1132;0;56762;152;2511;6952;14630;4053;21;0;28318;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;343;7523;27899;12714;7055;3636;0;59171;816;8367;4580;4346;1284;6;0;19399;0;;;;;;;;;;;
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO PARANAPANEMA PR/SP - SICREDI PARANAPANEMA PR/SP;79086997;b3S;I;2;S4;9;CAMBARA;PR;01/03/2018;166539;39;1349;3857;7769;4121;3603;0;20738;400;10435;9935;9712;1840;172;0;32494;11;305;791;1525;270;0;0;2903;0;0;0;0;0;0;0;0;1078;7577;2442;9;0;0;0;11107;459;25518;28777;824;160;80;0;55819;3196;15064;17376;6237;1367;131;108;43479;0;;;;;;;;;;;
HS FINANCEIRA S/A CREDITO, FINANCIAMENTO E INVESTIMENTOS;7512441;n1;I;2;S4;14;DOIS IRMAOS;RS;01/03/2018;165565;51;348;594;269;19;0;0;1280;597;539;214;6;0;0;0;1357;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9450;19528;16258;3053;0;0;0;48290;0;0;0;0;0;0;0;0;16442;52789;43613;1791;3;0;0;114638;0;;;;;;;;;;;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO NORTE DO PARANÁ - SICOOB NORTE DO PARANÁ;5582619;b3S;I;2;S5;9;LONDRINA;PR;01/03/2018;164410;85;2320;5289;12575;10089;19059;0;49417;1486;11223;19466;23848;9508;8020;0;73552;4;116;290;470;116;0;0;996;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;113;10796;17160;2389;863;111;0;31433;1566;2318;4883;181;65;0;0;9013;0;;;;;;;;;;;
SICREDI CREDUNI - COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS SERV DAS INST PÚBLICAS DE ENSINO SUPERIOR DO ESTADO DA PARAÍBA E DAS DEMAIS INSTITUIÇÕES E ÓRGÃOS PÚBLICOS NO ESTADO DA PARAIBA LTDA.;3428338;b3S;I;2;S5;9;CAMPINA GRANDE;PB;01/03/2018;162359;339;13296;34407;59291;29861;16296;0;153489;13;1428;2721;2009;330;185;0;6686;0;136;293;278;20;0;0;728;0;0;0;0;0;0;0;0;6;340;53;0;0;0;0;399;0;0;0;0;0;0;0;0;3;262;474;161;94;62;0;1056;0;;;;;;;;;;;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO VALE DO JAMARI - SICOOB VALE DO JAMARI;5203605;b3S;I;2;S5;9;BURITIS;RO;01/03/2018;160840;0;0;0;0;0;0;0;0;908;10486;7811;3793;109;2;0;23110;56;726;1778;1878;9;0;0;4446;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;232;15320;60604;36767;210;15;0;113149;804;18265;1063;3;0;0;0;20136;0;;;;;;;;;;;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO SUL DO ESPÍRITO SANTO - SICOOB SUL;32467086;b3S;I;2;S5;9;CACHOEIRO DE ITAPEMIRIM;ES;01/03/2018;157871;46;717;1961;3197;633;36;0;6590;1026;6844;10829;13726;3497;45;0;35968;236;2032;5015;6828;616;19;0;14745;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;562;11580;41958;19014;10638;385;0;84136;1582;11875;2815;147;12;0;0;16431;0;;;;;;;;;;;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS DA GRANDE GETÚLIO VARGAS DO RIO GRANDE DO SUL - SICREDI ESTAÇÃO RS;87784088;b3S;I;2;S4;9;ESTACAO;RS;01/03/2018;156961;1;101;251;411;84;0;0;849;109;5774;5361;6183;872;102;0;18401;42;721;1798;3247;874;1;0;6683;0;0;0;0;0;0;0;0;176;3122;953;10;0;0;0;4261;50;63919;12708;2208;380;0;0;79265;1370;10962;9515;14173;6527;4851;104;47502;0;;;;;;;;;;;
COOPERATIVA DE CRÉDITO DO NORTE CATARINENSE E SUL PARANAENSE - SICOOB CREDINORTE;81011686;b3S;I;2;S5;9;MAFRA;SC;01/03/2018;156657;5;39;100;172;59;31;0;405;1785;31370;10307;17712;4119;1132;0;66424;136;4281;2657;6940;689;0;0;14703;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;228;46800;13105;7549;3606;829;0;72117;218;1777;990;23;0;0;0;3008;0;;;;;;;;;;;
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO TERRA DOS PINHEIRAIS DO PARANÁ E NOROESTE PAULISTA - SICREDI PLANALTO DAS ÁGUAS PR/SP;77984870;b3S;I;2;S4;9;GUARAPUAVA;PR;01/03/2018;156345;9;336;912;1421;165;1;0;2844;755;3382;5672;4655;389;6;0;14858;43;558;1401;1989;343;0;0;4334;0;0;0;0;0;0;0;0;796;7142;2173;6;0;0;0;10118;258;38723;47711;1080;0;0;0;87772;1510;13651;14313;4632;1509;791;14;36420;0;;;;;;;;;;;
BANCO RIBEIRAO PRETO S.A.;517645;b1;I;2;S4;8;RIBEIRAO PRETO;SP;01/03/2018;153638;25;377;705;274;0;0;0;1381;0;605;4793;6535;2873;25;0;14831;0;0;0;0;0;0;0;0;2426;6726;18005;34747;22754;27737;0;112396;0;0;0;0;0;0;0;0;0;6245;12918;2045;1664;221;0;23094;0;382;1555;0;0;0;0;1937;0;;;;;;;;;;;
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO DO VALE DO RIO PARDO - SICREDI VALE DO RIO PARDO RS;95424891;b3S;I;2;S4;9;SANTA CRUZ DO SUL;RS;01/03/2018;151113;18;458;1184;2014;351;0;0;4026;386;4738;6749;5838;601;0;0;18312;199;2752;4262;5318;927;12;0;13470;0;0;0;0;0;0;0;0;495;5645;1457;1;0;0;0;7598;1733;17545;43901;5228;1060;50;0;69518;1686;13746;12976;6730;2159;853;37;38189;0;;;;;;;;;;;
COOPERATIVA DE CRÉDITO DAS MATAS DE MINAS LTDA. - SICOOB CREDISUDESTE;22656789;b3S;I;2;S5;9;MURIAE;MG;01/03/2018;151097;5;315;864;1775;624;3;0;3587;972;5511;18569;7122;2970;6;0;35150;53;918;2570;4873;1453;9;0;9877;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;208;7003;55442;17800;10548;180;0;91181;988;2784;3910;2293;1279;48;0;11302;0;;;;;;;;;;;
LEBES FINANCEIRA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;11271860;n1;I;2;S4;14;ELDORADO;RS;01/03/2018;149856;0;0;0;0;0;0;0;0;13040;53593;71355;11868;0;0;0;149856;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO CAMPOS DAS VERTENTES LTDA. - SICOOB CREDIVERTENTES;22724710;b3S;I;2;S5;9;SAO TIAGO;MG;01/03/2018;149686;3;331;888;1713;504;1;0;3441;1169;8168;12515;19837;9706;2419;0;53815;22;766;1832;2716;314;0;0;5650;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;382;13624;31484;29647;4678;9;0;79824;176;5163;1603;13;0;1;0;6956;0;;;;;;;;;;;
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO ALTO JACUÍ RS - SICREDI ALTO JACUÍ RS;87779625;b3S;I;2;S4;9;NAO-ME-TOQUE;RS;01/03/2018;149480;3;209;563;935;207;15;0;1932;151;3336;5011;5456;854;7;0;14814;28;643;1485;2267;405;3;0;4830;0;0;0;0;0;0;0;0;375;5979;1782;18;1;0;0;8154;52;52081;29438;1924;108;0;0;83604;752;14724;14473;4254;1465;426;51;36145;0;;;;;;;;;;;
C H B - COMPANHIA HIPOTECARIA BRASILEIRA;10694628;n1;I;2;S4;29;NATAL;RN;01/03/2018;149102;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1084;11124;24139;15896;14810;46601;3922;117576;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;437;925;1646;4586;4967;18232;732;31526;0;;;;;;;;;;;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO ALTO VALE DO ITAJAÍ - VIACREDI ALTO VALE;16779741;b3S;I;2;S5;9;IBIRAMA;SC;01/03/2018;148878;0;62;170;183;0;0;0;415;856;13843;30793;34412;4096;488;0;84488;34;722;1807;2167;364;1;0;5095;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1000;10136;22602;20229;3535;1377;0;58880;0;;;;;;;;;;;
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO GRANDES LAGOS DO PARANÁ E LITORAL PAULISTA – SICREDI GRANDES LAGOS PR/SP;81115149;b3S;I;2;S5;9;LARANJEIRAS DO SUL;PR;01/03/2018;148203;7;659;1734;2749;881;142;0;6172;348;4906;9064;8366;815;1;0;23500;29;1042;2599;4277;794;2;0;8743;0;0;0;0;0;0;0;0;539;6999;2021;23;0;0;0;9581;460;23189;28955;14545;5069;868;0;73086;1732;10875;10049;3046;1030;343;48;27122;0;;;;;;;;;;;
AGORACRED S/A SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO;36321990;n1;I;2;S4;14;VITORIA;ES;01/03/2018;146120;0;0;0;0;0;0;0;0;33489;56097;52871;3663;0;0;0;146120;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE UNAÍ E NOROESTE DE MINAS LTDA. - SICOOB NOROESTE DE MINAS;86564051;b3S;I;2;S5;9;UNAI;MG;01/03/2018;145281;0;46;131;91;0;0;0;268;630;6352;10901;10943;2429;0;0;31255;19;307;726;946;85;0;0;2083;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;902;30533;41465;27325;2865;11;0;103101;403;5462;2615;0;0;93;0;8573;0;;;;;;;;;;;
COOPERATIVA DE CREDITO RURAL COM INTERACAO SOLIDARIA PIONEIRA - CRESOL PIONEIRA;971300;b3S;I;2;S5;9;DOIS VIZINHOS;PR;01/03/2018;143098;0;0;0;0;0;0;0;0;198;1886;3875;5768;2263;16;0;14007;17;273;647;1271;265;1;0;2475;0;0;0;0;0;0;0;0;20;359;46;0;0;0;0;426;347;7837;37284;24464;19316;31336;0;120583;209;1323;1208;1416;883;1;567;5608;0;;;;;;;;;;;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO LESTE DE MINAS LTDA. - SICOOB CREDICAF;25395435;b3S;I;2;S5;9;LAJINHA;MG;01/03/2018;142853;0;0;0;0;0;0;0;0;1491;4293;35165;29315;2293;100;0;72657;25;252;680;788;61;0;0;1806;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;576;1644;43859;10865;684;181;0;57808;598;2903;5277;1693;87;23;0;10581;0;;;;;;;;;;;
SICREDI ALAGOAS - COOPERATIVA DE CRÉDITO;41180092;b3S;I;2;S5;9;MACEIO;AL;01/03/2018;139950;59;4220;11618;21662;11972;8523;0;58055;148;10070;20082;18751;3403;1195;90;53739;37;2621;5950;6671;1050;0;0;16329;0;0;0;0;0;0;0;0;170;4862;1517;1;0;0;0;6551;0;0;0;0;0;0;0;0;35;1463;3367;345;66;0;0;5276;0;;;;;;;;;;;
COOPERATIVA DE CRÉDITO SICREDI RECIFE - SICREDI RECIFE;70241658;b3S;I;2;S5;9;RECIFE;PE;01/03/2018;138622;103;8581;23771;43426;21853;8598;0;106331;38;4490;8476;6185;414;0;0;19604;25;1649;3742;3736;436;1;0;9589;0;0;0;0;0;0;0;0;35;797;239;0;0;0;0;1071;0;0;0;0;0;0;0;0;36;950;894;117;31;0;0;2027;0;;;;;;;;;;;
NOVO BANCO CONTINENTAL S.A. - BANCO MÚLTIPLO;74828799;b1;I;3;S4;8;PORTO ALEGRE;RS;01/03/2018;138437;68;8875;26643;48650;30137;16812;0;131185;19;255;485;625;51;0;0;1435;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;656;1105;368;0;0;0;0;2130;0;0;0;0;0;0;0;0;9;1438;1322;426;300;193;0;3688;0;;;;;;;;;;;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS AURIVERDE   SICOOB CREDIAL/SC;78858107;b3S;I;2;S5;9;CUNHA PORA;SC;01/03/2018;137773;0;0;0;0;0;0;0;0;217;5620;15452;20956;6403;3262;0;51909;155;2267;5824;9035;1022;13;0;18316;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;57;21462;29599;8589;1783;521;0;62010;87;4513;512;268;54;104;0;5538;0;;;;;;;;;;;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO CENTRO GOIANO LTDA.;3730508;b3S;I;2;S5;9;GOIANIA;GO;01/03/2018;135548;4;267;770;1509;165;0;0;2714;3504;14645;11073;7168;598;4;0;36991;0;35;69;148;8;0;0;261;0;0;0;0;0;0;0;0;120;49;0;0;0;0;0;170;1842;37628;25768;15921;807;0;0;81966;502;12533;389;22;1;0;0;13447;0;;;;;;;;;;;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DA REGIÃO DE VARGINHA LTDA - SICOOB CREDIVAR;25798596;b3S;I;2;S5;9;VARGINHA;MG;01/03/2018;135495;0;7;2;0;0;0;0;9;251;7898;54611;5580;118;0;0;68457;20;358;907;1195;52;0;0;2532;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;431;1119;33042;6728;302;442;0;42063;2271;7275;5059;3515;1588;2727;0;22434;0;;;;;;;;;;;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS OESTE CATARINENSE;78825023;b3S;I;2;S5;9;PALMITOS;SC;01/03/2018;135482;0;44;109;227;125;60;0;564;853;6487;16070;24291;6469;5022;0;59191;66;1183;3028;5687;1401;4;0;11369;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;319;22349;27156;5520;3694;1133;0;60170;273;1301;2605;7;1;0;0;4187;0;;;;;;;;;;;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DA REGIÃO DO ALTO PARANAÍBA LTDA - SICOOB CREDISG;3645752;b3S;I;2;S5;9;SAO GOTARDO;MG;01/03/2018;135227;0;0;0;0;0;0;0;0;533;8727;18186;12050;635;32;0;40163;18;583;1459;1561;190;0;0;3811;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;292;13495;57941;12039;1545;0;0;85313;188;5252;500;0;0;0;0;5940;0;;;;;;;;;;;
SANTINVEST S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTOS;122327;n1;I;2;S4;14;FLORIANOPOLIS;SC;01/03/2018;134310;607;12871;32981;52635;23771;11405;0;134270;2;2;27;6;2;1;0;40;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;
COOPERATIVA DE CREDITO, POUPANÇA E INVESTIMENTO RIO PARANA - SICREDI RIO PARANA PR/SP;81206039;b3S;I;2;S5;9;NOVA LONDRINA;PR;01/03/2018;134152;17;716;1935;2883;774;168;0;6493;941;8107;12513;11756;960;1;0;34278;11;565;1587;2530;403;1;0;5096;0;0;0;0;0;0;0;0;1263;8779;2602;15;0;0;0;12660;0;7528;17834;18568;942;70;0;44942;1983;12767;13691;1713;409;31;89;30683;0;;;;;;;;;;;
SICREDI CEARÁ CENTRO NORTE - COOPERATIVA DE CRÉDITO DA REGIÃO CENTRO NORTE DO CEARÁ;72257793;b3S;I;2;S5;9;FORTALEZA;CE;01/03/2018;133859;0;472;1348;2059;761;436;0;5076;841;16770;35787;39844;5381;370;0;98992;336;3355;7092;6270;477;0;0;17531;0;0;0;0;0;0;0;0;170;2608;637;1;0;0;0;3415;0;0;0;0;0;0;0;0;263;2539;3861;1556;515;111;0;8845;0;;;;;;;;;;;
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO DO CERRADO DE GOIÁS - SICREDI CERRADO GO;6332931;b3S;I;2;S4;9;RIO VERDE;GO;01/03/2018;133170;9;228;622;1015;82;0;0;1955;350;4934;5048;6175;1070;0;0;17577;20;269;757;900;23;0;0;1969;0;0;0;0;0;0;0;0;804;5446;1583;42;5;0;0;7880;750;21609;38277;6229;0;0;0;66865;2163;16173;15453;2544;540;0;50;36923;0;;;;;;;;;;;
TODESCREDI S/A - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;9473806;n1;I;2;S4;14;BENTO GONCALVES;RS;01/03/2018;132308;2;204;300;8;0;0;0;514;6249;49606;57912;17992;34;0;0;131794;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;
COOPERATIVA REGIONAL DE CRÉDITO DE LIVRE ADMISSÃO DO SUDOESTE MINEIRO E NORDESTE PAULISTA LTDA. - SICOOB NOSSOCRÉDITO;22760839;b3S;I;2;S5;9;SAO SEBASTIAO DO PARAISO;MG;01/03/2018;132091;4;18;42;72;20;0;0;155;226;4420;20018;17943;11540;363;0;54512;35;452;1184;1556;152;0;0;3378;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;501;2271;24873;19229;0;2241;0;49116;895;6278;7321;5918;2877;1642;0;24931;0;;;;;;;;;;;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS DO VALE DO CANOINHAS - SICOOB CREDICANOINHAS/SC;78834975;b3S;I;2;S5;9;CANOINHAS;SC;01/03/2018;131237;1;240;633;961;132;4;0;1971;2187;11280;17320;11422;3568;17;0;45794;44;541;1071;1287;18;0;0;2960;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;247;64195;10985;725;100;50;0;76302;236;2854;1120;0;0;0;0;4210;0;;;;;;;;;;;
SANTANA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;5503849;n1;I;2;S4;14;SAO PAULO;SP;01/03/2018;130520;0;0;0;0;0;0;0;0;290;1264;2773;3018;162;0;0;7507;6208;19991;45049;48837;2621;0;0;122705;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;307;0;0;0;0;0;307;0;;;;;;;;;;;
