Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total_Carteira_PF;PF_Consignado_Vencido_15d;PF_Consignado_Vencer_90d;PF_Consignado_Vencer_91-360d;PF_Consignado_Vencer_361-1080d;PF_Consignado_Vencer_1081-1800d;PF_Consignado_Vencer_1801-5400d;PF_Consignado_Vencer_acima_5400d;PF_Consignado_TOTAL;PF_Não_Consignado_Vencido_15d;PF_Não_Consignado_Vencer_90d;PF_Não_Consignado_Vencer_91-360d;PF_Não_Consignado_Vencer_361-1080d;PF_Não_Consignado_Vencer_1081-1800d;PF_Não_Consignado_Vencer_1801-5400d;PF_Não_Consignado_Vencer_acima_5400d;PF_Não_Consignado_TOTAL;PF_Veículos_Vencido_15d;PF_Veículos_Vencer_90d;PF_Veículos_Vencer_91-360d;PF_Veículos_Vencer_361-1080d;PF_Veículos_Vencer_1081-1800d;PF_Veículos_Vencer_1801-5400d;PF_Veículos_Vencer_acima_5400d;PF_Veículos_TOTAL;PF_Hab_Vencido_15d;PF_Hab_Vencer_90d;PF_Hab_Vencer_91-360d;PF_Hab_Vencer_361-1080d;PF_Hab_Vencer_1081-1800d;PF_Hab_Vencer_1801-5400d;PF_Hab_Vencer_acima_5400d;PF_Hab_TOTAL;PF_Cartão_Vencido_15d;PF_Cartão_Vencer_90d;PF_Cartão_Vencer_91-360d;PF_Cartão_Vencer_361-1080d;PF_Cartão_Vencer_1081-1800d;PF_Cartão_Vencer_1801-5400d;PF_Cartão_Vencer_acima_5400d;PF_Cartão_TOTAL;PF_Rural_Vencido_15d;PF_Rural_Vencer_90d;PF_Rural_Vencer_91-360d;PF_Rural_Vencer_361-1080d;PF_Rural_Vencer_1081-1800d;PF_Rural_Vencer_1801-5400d;PF_Rural_Vencer_acima_5400d;PF_Rural_TOTAL;PF_Outros_Vencido_15d;PF_Outros_Vencer_90d;PF_Outros_Vencer_91-360d;PF_Outros_Vencer_361-1080d;PF_Outros_Vencer_1081-1800d;PF_Outros_Vencer_1801-5400d;PF_Outros_Vencer_acima_5400d;Outros_TOTAL;Total_Exterior_PF;;;;;;;;;;;
BNP PARIBAS;51516;b1;C;3;S3;199;SAO PAULO;SP;01/03/2018;9641241;65511;584686;1633566;2784593;1175275;183477;0;6427109;8498;43884;83378;18514;0;0;0;154274;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;152676;2002229;617533;97166;291;0;0;2869896;0;0;10619;2095;1048;0;0;13762;27841;36496;57196;54065;602;0;0;176200;0;;;;;;;;;;;
BRB;31976;b1;C;1;S3;199;BRASILIA;DF;01/03/2018;7769925;20482;373250;906790;1851128;952280;360865;0;4464794;13567;283881;467246;716427;312311;122619;0;1916051;2503;14594;32583;35657;4304;0;0;89640;579;28537;82515;215766;203769;235349;0;766515;4;619;51;0;0;0;0;675;4641;19307;80446;53784;33068;23475;0;214722;6045;61048;98007;21734;10929;4895;114870;317528;0;;;;;;;;;;;
BMG;30290;b1;C;2;S3;199;SAO PAULO;SP;01/03/2018;7620237;17115;57607;128274;136063;35803;10982;54;385898;112074;152132;166332;63760;119;0;0;494416;2780;3653;5199;1477;21;0;0;13129;0;0;0;0;0;0;0;0;371496;5993215;91706;55879;7448;0;0;6519744;0;0;0;0;0;0;0;0;6494;1764;7654;15963;4846;12435;0;49155;157894;;;;;;;;;;;
BANCO COOPERATIVO SICREDI S.A.;1181521;b1;I;2;S3;11;PORTO ALEGRE;RS;01/03/2018;7320859;1;17093;43386;61397;19749;2586;0;144211;0;32;63;46;46;46;0;233;0;4966;12483;23542;16715;5737;0;63443;0;2484;4135;10474;10326;44683;36249;108351;0;0;0;0;0;0;0;0;0;441557;894328;2339054;1770428;1546828;0;6992195;304;1898;3922;3916;857;1529;0;12426;0;;;;;;;;;;;
BANCO GMAC S.A.;59274605;b2;I;3;S3;8;SAO PAULO;SP;01/03/2018;6750395;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;78550;1094597;2511185;2713498;352103;463;0;6750395;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;
BANCO CSF S.A.;8357240;b2;I;3;S3;8;SAO PAULO;SP;01/03/2018;6432852;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;870636;3691997;1623555;246663;0;0;0;6432852;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;
PORTO SEGURO;51444;n1;C;2;S4;197;SAO PAULO;SP;01/03/2018;5788601;1577;10164;28037;27332;3958;7;0;71076;1049;12900;29535;14680;2;0;0;58165;9621;92640;216895;279010;40241;55;0;638462;0;0;0;0;0;0;0;0;373567;3377364;1210652;55012;4303;0;0;5020898;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;
DAYCOVAL;51987;b1;C;2;S3;199;SAO PAULO;SP;01/03/2018;5743929;69205;357106;974788;1850462;963680;355449;0;4570689;8089;13107;82850;12968;578;7;0;117599;25583;99763;215383;223727;18998;1;0;583455;0;0;0;0;0;0;0;0;17013;306004;3977;515;76;0;0;327585;0;0;282;0;0;0;0;282;16098;26015;39305;22929;6106;27069;45;137566;6753;;;;;;;;;;;
JOHN DEERE;50071;b1;C;3;S4;199;INDAIATUBA;SP;01/03/2018;5484115;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23197;1253693;103271;1996039;1332969;571445;0;5280615;3841;82396;31608;83308;2176;171;0;203500;0;;;;;;;;;;;
BANCO VOLKSWAGEN S.A.;59109165;b2;I;3;S3;8;SAO PAULO;SP;01/03/2018;5075749;933;9775;22793;24573;1990;0;0;60064;305;478;1124;850;21;0;0;2779;61201;757582;1825453;2127482;240643;545;0;5012906;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;
