Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total Geral;AA;A;B;C;D;E;F;G;H;Total Exterior;;;;;;;;;;;;;
JOHN DEERE;50071;b1;C;3;S4;199;INDAIATUBA;SP;01/03/2018;7197296;428214;2592271;2404947;1228167;151817;110955;35789;70769;174367;0;;;;;;;;;;;;;
BANCO CSF S.A.;8357240;b2;I;3;S3;8;SAO PAULO;SP;01/03/2018;6432852;0;5129768;154653;141176;162115;176285;113301;89985;465570;0;;;;;;;;;;;;;
PORTO SEGURO;51444;n1;C;2;S4;197;SAO PAULO;SP;01/03/2018;6058299;73975;5284446;154174;119186;85795;65766;49891;36287;188780;0;;;;;;;;;;;;;
BANCOOB;51750;b1;C;2;S3;199;BRASILIA;DF;01/03/2018;6008624;8848;5082939;640017;228894;22260;15034;1861;1017;7754;0;;;;;;;;;;;;;
MERCANTIL DO BRASIL;20152;b1;C;2;S3;199;BELO HORIZONTE;MG;01/03/2018;5968704;419909;3431186;507615;210913;399164;291534;263681;106645;338056;0;;;;;;;;;;;;;
BANCO DE DESENVOLVIMENTO DE MINAS GERAIS S.A.-BDMG;38486817;b4;I;1;S3;5;BELO HORIZONTE;MG;01/03/2018;5826717;2126990;646674;954423;852794;349773;268623;63801;36572;527067;0;;;;;;;;;;;;;
BANCO DE LAGE LANDEN BRASIL S.A.;5040481;b2;I;3;S4;8;PORTO ALEGRE;RS;01/03/2018;5017369;0;3204637;1153516;471907;32179;19952;17892;28742;88544;0;;;;;;;;;;;;;
BANCO TOYOTA DO BRASIL S.A.;3215790;b2;I;3;S4;8;SAO PAULO;SP;01/03/2018;4960568;293275;3339492;681278;553590;55445;14799;4453;3882;14354;0;;;;;;;;;;;;;
CREDIT SUISSE;30771;b1;C;3;S3;199;SAO PAULO;SP;01/03/2018;4579195;206031;2649647;0;317378;13876;67994;13027;0;139160;1172081;;;;;;;;;;;;;
ORIGINAL;51781;b1;C;2;S3;199;SAO PAULO;SP;01/03/2018;4510365;604433;2706003;527551;329813;69135;108760;11058;59400;57588;36624;;;;;;;;;;;;;
NU PAGAMENTOS S.A.;18236120;n4;I;2;;41;SAO PAULO;SP;01/03/2018;4318184;0;4001971;82678;49747;28046;26926;24698;23043;81075;0;;;;;;;;;;;;;
BANCO FIDIS S/A;62237425;b2;I;3;S4;8;BETIM;MG;01/03/2018;4272416;0;2749556;1021766;368279;83620;19627;1623;18084;9862;0;;;;;;;;;;;;;
BANESTES;30159;b1;C;1;S3;199;VITORIA;ES;01/03/2018;4024149;2007554;905346;430096;168201;153656;60268;36941;45355;216733;0;;;;;;;;;;;;;
BANCO DO ESTADO DO PARÁ S.A.;4913711;b1;I;1;S4;8;BELEM;PA;01/03/2018;3901499;0;3631289;15988;96872;14845;17193;23575;11258;90480;0;;;;;;;;;;;;;
PARANÁ BANCO;30881;b1;C;2;S4;199;CURITIBA;PR;01/03/2018;3587609;0;3062136;119287;52632;31972;78185;106040;80911;56447;0;;;;;;;;;;;;;
PINE;50304;b1;C;2;S3;199;SAO PAULO;SP;01/03/2018;3573392;370650;512689;779040;932977;184501;209121;0;191699;137829;254886;;;;;;;;;;;;;
BANCO FIBRA S.A.;58616418;b1;I;2;S3;8;SAO PAULO;SP;01/03/2018;3519902;598146;662205;1028179;96615;141666;99638;76592;44297;64090;708473;;;;;;;;;;;;;
HONDA;51396;b2;C;3;S4;198;SAO PAULO;SP;01/03/2018;3429226;0;1548003;552982;923913;170798;57095;35099;27634;113703;0;;;;;;;;;;;;;
MIDWAY S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;9464032;n1;I;2;S4;14;SAO PAULO;SP;01/03/2018;3279343;0;2199923;145648;149374;111146;78288;75726;77065;442173;0;;;;;;;;;;;;;
BANCO DA AMAZONIA S.A.;4902979;b1;I;1;S3;2;BELEM;PA;01/03/2018;3143334;474903;1075690;1007668;178782;68417;152788;16369;24425;144291;0;;;;;;;;;;;;;
BOCOM;52003;b1;C;3;S4;199;SALVADOR;BA;01/03/2018;3076218;553843;1326683;557119;184166;0;0;2736;49680;21950;380041;;;;;;;;;;;;;
BANCO VOLVO BRASIL S.A.;58017179;b2;I;3;S4;8;CURITIBA;PR;01/03/2018;2972334;280881;1071146;925393;353070;215393;32084;34007;4525;55834;0;;;;;;;;;;;;;
COOPERATIVA DE CREDITO CREDICITRUS;54037916;b3S;I;2;S4;9;BEBEDOURO;SP;01/03/2018;2809962;91261;1586992;662475;230139;103038;56185;17133;9636;53103;0;;;;;;;;;;;;;
SOFISA;31873;b1;C;2;S4;199;SAO PAULO;SP;01/03/2018;2786124;0;1711328;680899;324537;32251;19428;2978;4599;10104;0;;;;;;;;;;;;;
INTER;51884;b1;C;2;S4;199;BELO HORIZONTE;MG;01/03/2018;2670910;387297;1874886;181060;90990;40523;23945;15693;15798;40717;0;;;;;;;;;;;;;
BADESUL DESENVOLVIMENTO S.A - AGÊNCIA DE FOMENTO/RS;2885855;n1;I;1;S4;30;PORTO ALEGRE;RS;01/03/2018;2467788;506225;803425;575016;239840;123701;31957;86933;27911;72780;0;;;;;;;;;;;;;
ING;51073;b1;C;3;S3;199;SAO PAULO;SP;01/03/2018;2406671;784929;554311;962581;33034;0;71817;0;0;0;0;;;;;;;;;;;;;
COOPERATIVA DE CREDITO VALE DO ITAJAI - VIACREDI;82639451;b3S;I;2;S5;9;BLUMENAU;SC;01/03/2018;2377855;0;1641201;333208;146597;75382;48759;37755;23697;71256;0;;;;;;;;;;;;;
BANCO IBM S.A.;34270520;b2;I;3;S4;8;RIO DE JANEIRO;RJ;01/03/2018;2351971;1141531;581702;108986;334004;28017;31971;5757;67244;52759;0;;;;;;;;;;;;;
PERNAMBUCANAS FINANCIADORA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;43180355;n1;I;2;S4;14;SAO PAULO;SP;01/03/2018;2309120;1;1325015;110705;120754;128689;87228;75559;75076;386093;0;;;;;;;;;;;;;
BANCO DO ESTADO DE SERGIPE S.A.;13009717;b1;I;1;S4;8;ARACAJU;SE;01/03/2018;2248303;484435;901944;524689;177794;55850;21596;12201;33926;35866;0;;;;;;;;;;;;;
CREFISA;52010;b1;C;2;S4;199;SAO PAULO;SP;01/03/2018;2244043;0;1121450;68972;343574;93578;102078;79219;67000;368172;0;;;;;;;;;;;;;
OMNI;50940;b1;C;2;S4;199;SAO PAULO;SP;01/03/2018;2088275;0;724196;609096;245574;139867;64340;48163;44720;212318;0;;;;;;;;;;;;;
SOCIETE GENERALE;31859;b1;C;3;S3;199;SAO PAULO;SP;01/03/2018;2056175;832268;739384;376423;44611;14938;12150;3712;0;32691;0;;;;;;;;;;;;;
DEUTSCHE BANK S.A. - BANCO ALEMAO;62331228;b1;I;3;S3;8;SAO PAULO;SP;01/03/2018;2053273;1834701;121146;55679;20442;0;17906;0;0;3399;0;;;;;;;;;;;;;
INDUSTRIAL DO BRASIL;50988;b1;C;2;S4;199;SAO PAULO;SP;01/03/2018;1884492;864765;775398;104598;41569;9795;1708;2135;2220;20554;61750;;;;;;;;;;;;;
SCANIA BANCO S.A.;11417016;b2;I;3;S4;8;SAO BERNARDO DO CAMPO;SP;01/03/2018;1874276;48703;465764;1183919;123688;17483;1326;802;30859;1731;0;;;;;;;;;;;;;
BANCO CARGILL S.A.;3609817;b1;I;3;S4;8;SAO PAULO;SP;01/03/2018;1837425;636012;796855;87551;2184;56695;0;76832;62275;119022;0;;;;;;;;;;;;;
SICOOB COCRED COOPERATIVA DE CRÉDITO;71328769;b3S;I;2;S4;9;SERTAOZINHO;SP;01/03/2018;1792008;0;832911;516543;211483;40088;36009;23612;53925;77437;0;;;;;;;;;;;;;
BANCO SUMITOMO MITSUI BRASILEIRO S.A.;60518222;b1;I;3;S3;8;SAO PAULO;SP;01/03/2018;1782925;1473149;3221;57;54230;0;0;0;0;0;252268;;;;;;;;;;;;;
ASSOCIACAO DE POUPANCA E EMPRESTIMO - POUPEX;655522;n1;I;2;S3;25;BRASILIA;DF;01/03/2018;1732384;920870;434970;121948;52773;17423;154070;8648;4021;17659;0;;;;;;;;;;;;;
BANCO TRIANGULO S.A.;17351180;b1;I;2;S4;8;UBERLANDIA;MG;01/03/2018;1698251;35218;1247047;109674;123056;40230;19896;13962;18738;90430;0;;;;;;;;;;;;;
BANCO CATERPILLAR S.A.;2658435;b2;I;3;S4;8;SAO PAULO;SP;01/03/2018;1664194;323704;896150;183559;93433;51808;27634;15548;6843;65516;0;;;;;;;;;;;;;
BANCO DE TOKYO-MITSUBISHI UFJ BRASIL S.A.;60498557;b1;I;3;S3;8;SAO PAULO;SP;01/03/2018;1621293;1566623;16523;10756;3083;15262;0;0;0;9045;0;;;;;;;;;;;;;
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO UNIÃO PARANÁ/SÃO PAULO - SICREDI UNIÃO PR/SP;79342069;b3S;I;2;S4;9;MARINGA;PR;01/03/2018;1617326;53;838862;504326;133658;53031;21408;16877;7836;41274;0;;;;;;;;;;;;;
COOPERFORTE - COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS FUNCIONÁRIOS DE INSTITUIÇÕES FINANCEIRAS PÚBLICAS FEDERAIS LTDA.;1658426;b3S;I;2;S5;9;BRASILIA;DF;01/03/2018;1526771;0;1350386;55885;29253;30391;12985;10829;9535;27507;0;;;;;;;;;;;;;
CREDIT AGRICOLE;51066;b1;C;3;S3;199;SAO PAULO;SP;01/03/2018;1433001;1329213;0;0;0;0;0;0;103787;0;0;;;;;;;;;;;;;
BMW;51420;n1;C;3;S4;197;SAO PAULO;SP;01/03/2018;1385971;262432;468153;245017;179381;137855;81345;2570;956;8262;0;;;;;;;;;;;;;
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO OURO VERDE DO MATO GROSSO - SICREDI OURO VERDE MT;26529420;b3S;I;2;S4;9;LUCAS DO RIO VERDE;MT;01/03/2018;1380109;34;294790;668742;193629;84832;34481;32404;6503;64692;0;;;;;;;;;;;;;
