Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total Geral;Prefixado;TR / TBF;TJLP;TLP;Libor;Outras Taxas Pós-Fixadas;Carteira ativa com indexador CDI;SELIC;Outras Taxas Flutuantes;IGPM;IPCA;IPCC;Outros Índices de Preço;Outros Indexadores;Total não Individualizado;Total Exterior;;;
COOPERATIVA DE CRÉDITO MÚTUO SERRA MAR LTDA. - UNICRED SERRA MAR;86803939;b3S;I;2;S5;9;NOVA IGUACU;RJ;01/03/2018;121192;90894;0;0;0;0;0;6247;0;24043;0;0;0;0;0;8;0;;;
COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS MÉDICOS E DEMAIS PROFISSIONAIS DA SAÚDE DO VALE DO PARAÍBA LTDA - SICOOB VALE DO PARAIBA;2197569;b3S;I;2;S5;9;SAO JOSE DOS CAMPOS;SP;01/03/2018;119565;110163;0;0;0;0;0;9389;0;0;0;0;0;0;0;13;0;;;
COOPERATIVA DE CREDITO DE LIVRE ADMISSÃO DO VALE DO SÃO PATRICIO LTDA.;968602;b3S;I;2;S5;9;GOIANESIA;GO;01/03/2018;119308;103239;0;0;0;0;0;16069;0;0;0;0;0;0;0;0;0;;;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DAS MICRO-REGIÕES DE GOIÂNIA E ANÁPOLIS LTDA;2935307;b3S;I;2;S5;9;GOIANIA;GO;01/03/2018;119266;117229;2013;0;0;0;0;23;0;0;0;0;0;0;0;1;0;;;
BANCO ARBI S.A.;54403563;b1;I;2;S4;2;RIO DE JANEIRO;RJ;01/03/2018;119178;110970;0;0;0;0;0;8201;0;0;0;0;0;0;0;7;0;;;
COOPERATIVA DE CRÉDITO RURAL COOPAVEL;76461557;b3S;I;2;S5;9;CASCAVEL;PR;01/03/2018;118523;91163;0;0;0;0;0;27343;0;0;0;0;0;0;0;17;0;;;
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO VALOR SUSTENTÁVEL - SICREDI VALOR SUSTENTÁVEL PR/SP;81706616;b3S;I;2;S5;9;JANDAIA DO SUL;PR;01/03/2018;118475;115608;0;0;0;0;660;2137;0;0;0;0;0;0;0;71;0;;;
COOPERATIVA DE CRÉDITO DO SERVIDOR FEDERAL LTDA   SICOOB CREDFAZ SERVIDOR FEDERAL;952415;b3S;I;2;S5;9;BRASILIA;DF;01/03/2018;117209;117208;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;;;
SENFF S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;11970623;n1;I;2;S5;14;CURITIBA;PR;01/03/2018;116715;109748;0;0;0;0;0;0;0;0;0;0;0;0;0;6967;0;;;
UNIPRIME CENTRO-OESTE DO BRASIL - COOPERATIVA DE CRÉDITO;73647935;b3S;I;2;S5;9;CAMPO GRANDE;MS;01/03/2018;116680;67662;0;0;0;0;0;0;0;49010;0;0;0;0;0;8;0;;;
COOPERATIVA DE CRÉDITO RURAL COM INTERAÇÃO SOLIDÁRIA OESTE CATARINENSE - CRESOL OESTE CATARINENSE;3965737;b3S;I;2;S5;9;XAXIM;SC;01/03/2018;116264;112522;0;3734;0;0;0;0;0;0;0;0;0;0;0;8;0;;;
COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO UNICRED REGIÃO DA CAMPANHA LTDA - UNICRED REGIÃO DA CAMPANHA;1705236;b3S;I;2;S5;9;SANTANA DO LIVRAMENTO;RS;01/03/2018;116054;32278;0;0;0;0;0;83768;0;0;0;0;0;0;0;7;0;;;
COOPERATIVA DE CRÉDITO SICOOB ALIANÇA;6174009;b3S;I;2;S5;9;APUCARANA;PR;01/03/2018;115563;75763;0;0;0;0;0;39793;0;0;0;0;0;0;0;8;0;;;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DA REGIÃO DE ITAÚNA LTDA. - SICOOB CREDIUNA;64237530;b3S;I;2;S5;9;ITAUNA;MG;01/03/2018;115381;114642;0;0;0;0;0;732;0;0;0;0;0;0;0;8;0;;;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DA REGIÃO DO CIRCUITO CAMPOS DAS VERTENTES LTDA - SICOOB COPERMEC;2232383;b3S;I;2;S5;9;CLAUDIO;MG;01/03/2018;115155;114955;66;0;0;0;0;130;0;0;0;0;0;0;0;5;0;;;
COOPERATIVA DE CRÉDITO RURAL COM INTERAÇÃO SOLIDÁRIA UNIÃO DOS PINHAIS - CRESOL UNIÃO DOS PINHAIS;2446089;b3S;I;2;S5;9;CORONEL VIVIDA;PR;01/03/2018;115056;113460;0;1591;0;0;0;0;0;0;0;0;0;0;0;6;0;;;
AGENCIA DE FOMENTO DE GOIAS S/A;3918382;n1;I;1;S4;30;GOIANIA;GO;01/03/2018;114371;105184;0;9187;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
COOPERATIVA CENTRAL DE CRÉDITO DO NORTE/NORDESTE - CENTRAL SICREDI NORTE/NORDESTE;70119680;b3C;I;2;S4;9;CABEDELO;PB;01/03/2018;113844;99681;0;0;0;0;0;14163;0;0;0;0;0;0;0;0;0;;;
COOPERATIVA DE CREDITO, POUPANCA E INVESTIMENTO DO RIO DE JANEIRO - SICREDI RIO RJ;72128440;b3S;I;2;S5;9;RIO DE JANEIRO;RJ;01/03/2018;113425;72712;0;0;0;0;0;40676;0;0;0;0;0;0;0;37;0;;;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DA REGIÃO METROPOLITANA DE GOIÂNIA LTDA. - SECOVICRED;7599206;b3S;I;2;S5;9;GOIANIA;GO;01/03/2018;112986;56308;0;0;0;0;0;56676;0;0;0;0;0;0;0;3;0;;;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE  LAGOA DA PRATA E REGIÃO LTDA.   SICOOB LAGOACRED GERAIS;1739375;b3S;I;2;S5;9;LAGOA DA PRATA;MG;01/03/2018;112621;103868;0;0;0;0;0;8666;0;0;0;0;0;0;0;87;0;;;
COOPERATIVA DE CREDITO RURAL COM INTERACAO SOLIDARIA DE ERECHIM - CRESOL ERECHIM;2910987;b3S;I;2;S5;9;ERECHIM;RS;01/03/2018;112484;99792;0;204;0;0;0;12483;0;0;0;0;0;0;0;6;0;;;
SOCINAL S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;3881423;n1;I;2;S4;14;ARARUAMA;RJ;01/03/2018;111316;86200;0;0;0;0;0;0;0;0;25113;0;0;0;0;2;0;;;
OURINVEST;51901;b1;C;2;S4;199;SAO PAULO;SP;01/03/2018;109974;97538;0;0;0;0;0;9749;174;0;2513;0;0;0;0;0;0;;;
COOPERATIVA DE CREDITO RURAL COM INTERACAO SOLIDARIA DE FRANCISCO BELTRAO - CRESOL FRANCISCO BELTRAO;2698001;b3S;I;2;S5;9;FRANCISCO BELTRAO;PR;01/03/2018;108473;106369;0;2101;0;0;0;0;0;0;0;0;0;0;0;3;0;;;
COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO BRF - CREDIBRF;82096447;b3S;I;2;S5;9;CURITIBA;PR;01/03/2018;107976;42744;65186;0;0;0;0;0;0;0;0;0;0;0;0;46;0;;;
BANCO KEB HANA DO BRASIL S.A.;2318507;b1;I;3;S4;2;SAO PAULO;SP;01/03/2018;106704;1724;0;0;0;34740;70241;0;0;0;0;0;0;0;0;0;0;;;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS ITAPIRANGA - SICOOB CREDITAPIRANGA SC/RS;78483310;b3S;I;2;S5;9;ITAPIRANGA;SC;01/03/2018;105185;53239;846;2890;0;0;0;48201;0;0;0;0;0;0;0;9;0;;;
COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS FUNCIONÁRIOS DA SECRETARIA DE ESTADO DA FAZENDA DE MINAS GERAIS E ÓRGÃOS OFICIAIS DO ESTADO DE MINAS GERAIS LTDA   SICOOB COOPSEF;16721078;b3S;I;2;S5;9;BELO HORIZONTE;MG;01/03/2018;104528;104524;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;;;
COOPERATIVA DE CRÉDITO MÚTUO DOS TRANSPORTADORES RODOVIÁRIOS DE VEÍCULOS DO ABCD, MAÚA, RIBEIRÃO PIRES E VALE DO PARAÍBA - SICOOB CREDCEG;7789195;b3S;I;2;S5;9;SAO BERNARDO DO CAMPO;SP;01/03/2018;104400;94403;0;854;0;0;0;9142;0;0;0;0;0;0;0;1;0;;;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE BELO HORIZONTE E CIDADES POLO DO ESTADO DE MINAS GERAIS LTDA. – SICOOB NOSSACOOP;1760242;b3S;I;2;S5;9;BELO HORIZONTE;MG;01/03/2018;103693;102967;0;0;0;0;0;722;0;0;0;0;0;0;0;4;0;;;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO TRÊS FRONTEIRAS - SICOOB TRÊS FRONTEIRAS;4876393;b3S;I;2;S5;9;FOZ DO IGUACU;PR;01/03/2018;103508;102216;0;0;0;0;0;1277;0;0;0;0;0;0;0;16;0;;;
COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS PROFISSIONAIS DO CREA DOS ESTADOS DE SANTA CATARINA E PARANÁ - CREDCREA;5979692;b3S;I;2;S5;9;FLORIANOPOLIS;SC;01/03/2018;101963;92900;9028;0;0;0;0;0;0;0;0;0;0;0;0;35;0;;;
COOPERATIVA DE CREDITO CECRES - SICOOB CECRES;54603022;b3S;I;2;S5;9;SAO PAULO;SP;01/03/2018;100369;100366;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;;;
COOPERATIVA DE CREDITO RURAL COM INTERACAO SOLIDARIA DE CASCAVEL - CRESOL CASCAVEL;2448310;b3S;I;2;S5;9;CASCAVEL;PR;01/03/2018;99461;95637;0;3817;0;0;0;0;0;0;0;0;0;0;0;7;0;;;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO PAJEÚ, AGRESTE E RECIFE - SICOOB PERNAMBUCO;3732359;b3S;I;2;S5;9;SAO JOSE DO EGITO;PE;01/03/2018;99438;99429;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;;;
COOPERATIVA DE CRÉDITO TEIXEIRA DE FREITAS LTDA. – SICOOB EXTREMO SUL;2447120;b3S;I;2;S5;9;TEIXEIRA DE FREITAS;BA;01/03/2018;99392;93040;6305;0;0;0;0;42;0;0;0;0;0;0;0;6;0;;;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO CREDIEMBRAPA LTDA - SICOOB.;2338666;b3S;I;2;S5;9;BRASILIA;DF;01/03/2018;99122;99117;0;0;0;0;0;3;0;0;0;0;0;0;0;2;0;;;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DA REGIÃO DE ITURAMA LTDA. - SICOOB CREDIRAMA;3412878;b3S;I;2;S5;9;ITURAMA;MG;01/03/2018;99120;96288;0;2516;0;0;0;313;0;0;0;0;0;0;0;4;0;;;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DA REGIÃO CENTRAL DE RONDÔNIA   SICOOB OUROCREDI;2144899;b3S;I;2;S5;9;OURO PRETO DO OESTE;RO;01/03/2018;98804;96714;1000;0;0;0;0;1088;0;0;0;0;0;0;0;2;0;;;
COOPERATIVA DE CRÉDITO DA FOZ DO RIO ITAJAÍ AÇU - CREDIFOZ;9512539;b3S;I;2;S5;9;ITAJAI;SC;01/03/2018;98501;89026;9399;0;0;0;0;0;0;0;0;0;0;0;0;76;0;;;
COOPERATIVA DE CREDITO DE LIVRE ADMISSÃO DA ALTA PAULISTA - SICOOB COCREALPA;59869560;b3S;I;2;S5;9;ADAMANTINA;SP;01/03/2018;98441;98437;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;;;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO SUL E SUDOESTE DE MINAS GERAIS, BAIXA MOGIANA E REGIÃO LTDA. - SICOOB CREDINTER;24048910;b3S;I;2;S5;9;GUARANESIA;MG;01/03/2018;97261;92104;0;0;0;0;0;5150;0;0;0;0;0;0;0;6;0;;;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE PARAÍSO DO TOCANTINS E REGIÃO LTDA;26960328;b3S;I;2;S5;9;PARAISO DO NORTE DO TOCANTINS;TO;01/03/2018;96392;91219;484;0;0;0;0;4686;0;0;0;0;0;0;0;3;0;;;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE SANTO ANTÔNIO DO MONTE LTDA.   SICOOB CREDIMONTE;41707258;b3S;I;2;S5;9;SANTO ANTONIO DO MONTE;MG;01/03/2018;96062;71613;0;20830;0;0;0;3610;0;0;0;0;0;0;0;9;0;;;
BANCO WOORI BANK DO BRASIL S.A.;15357060;b1;I;3;S4;8;SAO PAULO;SP;01/03/2018;95796;46679;0;0;0;0;5059;44057;0;0;0;0;0;0;0;0;0;;;
COOPERATIVA DE CRÉDITO DOS INTEGRANTES DO PODER JUDICIÁRIO E DO MINISTÉRIO PÚBLICO DO ESTADO DE MINAS GERAIS LTDA. - SICOOB JUS-MP;3519240;b3S;I;2;S5;9;BELO HORIZONTE;MG;01/03/2018;95688;86404;0;0;0;0;0;9282;0;0;0;0;0;0;0;1;0;;;
COOPERATIVA DE CRÉDITO DOS EMPREGADOS DO GRUPO VALLOUREC NO BRASIL - COOVALL LTDA.;64293582;b3S;I;2;S5;9;BELO HORIZONTE;MG;01/03/2018;95345;95286;0;0;0;0;0;0;0;0;0;0;0;0;0;59;0;;;
COOPERATIVA DE CREDITO DE LIVRE ADMISSAO DE FORMIGA LTDA - SICOOB CREDIFOR;41931445;b3S;I;2;S5;9;FORMIGA;MG;01/03/2018;94660;94619;0;32;0;0;0;0;0;0;0;0;0;0;0;9;0;;;
COOPERATIVA DE CRÉDITO DOS EMPRESÁRIOS DE TRANSPORTES DO SUL DO BRASIL - TRANSPOCRED;8075352;b3S;I;2;S5;9;FLORIANOPOLIS;SC;01/03/2018;94345;87899;6429;0;0;0;0;0;0;0;0;0;0;0;0;17;0;;;
COOPERATIVA ECONOMIA CRÉDITO MÚTUO SERVIDORES PODER JUDICIÁRIO, TRIBUNAL CONTAS ESTADUAL E SERVIDORES ÓRGÃOS ENTIDADES ÁREA CIÊNCIA TECNOLOGIA NO ESTADO DO RIO DE JANEIRO LTDA.;2000895;b3S;I;2;S5;9;RIO DE JANEIRO;RJ;01/03/2018;94289;94287;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;;;
BANCO NEON S.A.;253448;b1;I;2;S4;2;BELO HORIZONTE;MG;01/03/2018;93048;68540;0;0;0;0;0;0;0;0;0;0;0;0;24503;5;0;;;
COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS MÉDICOS E DEMAIS PROFISSIONAIS DA SAÚDE, ENGENHARIA, ARQUITETURA, CONTABILIDADE, ADMINISTRAÇÃO E ECONOMIA DE ERECHIM LTDA.;1572667;b3S;I;2;S5;9;ERECHIM;RS;01/03/2018;91940;5013;0;0;0;0;0;86925;0;0;0;0;0;0;0;2;0;;;
CENTRAL DAS COOPERATIVAS DE ECONOMIA E CREDITO DO ESTADO DE MINAS GERAIS LTDA. - SICOOB CENTRAL CECREMGE;309024;b3C;I;2;S4;9;BELO HORIZONTE;MG;01/03/2018;90792;0;0;0;0;0;164;90627;0;0;0;0;0;0;0;0;0;;;
COOPERATIVA CENTRAL DE CRÉDITO DE SANTA CATARINA E RIO GRANDE DO SUL - SICOOB CENTRAL SC/RS;80160260;b3C;I;2;S4;9;FLORIANOPOLIS;SC;01/03/2018;90608;62183;0;2257;0;0;0;26169;0;0;0;0;0;0;0;0;0;;;
COOPERATIVA DE CREDITO DE LIVRE ADMISSÃO DO NORDESTE DE MINAS GERAIS LTDA - SICOOB CARLOS CHAGAS;41753500;b3S;I;2;S5;9;CARLOS CHAGAS;MG;01/03/2018;89650;88013;0;1634;0;0;0;0;0;0;0;0;0;0;0;2;0;;;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS VALE DO RIO DO PEIXE - SICOOB CREDIRIO SC;78865995;b3S;I;2;S5;9;JOACABA;SC;01/03/2018;89238;89220;11;0;0;0;0;0;0;0;0;0;0;0;0;7;0;;;
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO VERDE PARÁ - SICREDI VERDE PARÁ;10772401;b3S;I;2;S4;9;PARAGOMINAS;PA;01/03/2018;89065;59999;0;0;0;0;138;28911;0;0;0;0;0;0;0;17;0;;;
COOPERATIVA DE CRÉDITO ALTO VALE DO ITAJAÍ - SICOOB ALTO VALE;80959612;b3S;I;2;S5;9;RIO DO SUL;SC;01/03/2018;87490;79939;0;0;0;0;0;7547;0;0;0;0;0;0;0;5;0;;;
COOPERATIVA DE CRÉDITO MÚTUO DOS ADVOGADOS DE SANTA CATARINA;5861932;b3S;I;2;S5;9;FLORIANOPOLIS;SC;01/03/2018;87247;71772;0;0;0;0;0;15469;0;0;0;0;0;0;0;6;0;;;
COOPERATIVA DE CRÉDITO DO NORTE CATARINENSE - ACREDICOOP;3461243;b3S;I;2;S5;9;JOINVILLE;SC;01/03/2018;86399;82613;3755;0;0;0;0;0;0;0;0;0;0;0;0;30;0;;;
COOPERATIVA DE CRÉDITO DO NORDESTE E CENTROS NORTE E SUL DA BAHIA LTDA. - SICOOB COOPERE;73398646;b3S;I;2;S5;9;VALENTE;BA;01/03/2018;85573;85562;0;0;0;0;0;0;0;0;0;0;0;0;0;11;0;;;
DOMUS COMPANHIA HIPOTECÁRIA;10372647;n1;I;2;S4;29;RIO DE JANEIRO;RJ;01/03/2018;84997;2371;0;0;0;0;82626;0;0;0;0;0;0;0;0;0;0;;;
COOPERATIVA DE CRÉDITO COOCRELIVRE;53935029;b3S;I;2;S4;9;ORLANDIA;SP;01/03/2018;84283;60765;0;0;0;0;0;23512;0;0;0;0;0;0;0;7;0;;;
COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS PROFISSIONAIS DA SAÚDE DA REGIÃO DA ALTA MOGIANA   SICOOB CREDIMOGIANA;69346856;b3S;I;2;S5;9;FRANCA;SP;01/03/2018;83439;52402;3099;0;0;0;0;27934;0;0;0;0;0;0;0;4;0;;;
COOPERATIVA DE CRÉDITO DA REGIÃO DO CONTESTADO - SCRCRED;10218474;b3S;I;2;S5;9;SAO BENTO DO SUL;SC;01/03/2018;83376;79199;4054;0;0;0;0;60;0;0;0;0;0;0;0;63;0;;;
FINSOL SOCIEDADE DE CRÉDITO AO MICROEMPREENDEDOR E À EMPRESA DE PEQUENO PORTE S.A.;18810553;n1;I;3;S5;10;RECIFE;PE;01/03/2018;83292;83111;0;0;0;0;0;0;0;0;0;0;0;0;0;181;0;;;
COOPERATIVA DE CRÉDITO DO SERTÃO BAIANO LTDA - SICOOB SERTÃO;2057584;b3S;I;2;S5;9;PINTADAS;BA;01/03/2018;83139;81405;0;0;0;0;0;1703;0;0;0;0;0;0;0;31;0;;;
BRASIL PLURAL;51839;b1;C;2;S4;199;RIO DE JANEIRO;RJ;01/03/2018;83080;7699;0;0;0;0;0;48299;0;27082;0;0;0;0;0;0;0;;;
CENTROCRED S.A. CRÉDITO, FINANCIAMENTO E INVESTIMENTOS;26225776;n1;I;2;S4;14;SANTA CRUZ DO SUL;RS;01/03/2018;82996;82330;0;0;0;0;0;0;0;0;0;0;0;0;0;665;0;;;
COOPERATIVA DE POUPANCA E CRÉDITO MÚTUO DOS EMPRESÁRIOS E PROFISSIONAIS LIBERAIS DO OESTE PAULISTA - SICOOB PAULISTA;10262276;b3S;I;2;S5;9;PRESIDENTE PRUDENTE;SP;01/03/2018;82672;82054;0;0;0;0;0;608;0;0;0;0;0;0;0;9;0;;;
COOPERATIVA DE CRÉDITO DOS PROFISSIONAIS DA SAÚDE DA ZONA DA MATA MINEIRA E SUL DO ESPÍRITO SANTO;86389236;b3S;I;2;S5;9;UBA;MG;01/03/2018;81852;17230;0;0;0;0;0;64617;0;0;0;0;0;0;0;5;0;;;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO SICOOB UNIMAIS CENTRO LESTE PAULISTA - SICOOB UNIMAIS CENTRO LESTE PAULISTA;1259518;b3S;I;2;S5;9;RIO CLARO;SP;01/03/2018;80646;38405;0;0;0;0;0;42234;0;0;0;0;0;0;0;7;0;;;
JSL ARRENDAMENTO MERCANTIL S.A.;1852137;n1;I;3;S4;19;BARUERI;SP;01/03/2018;80415;80415;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
COOPERATIVA DE ECONOMIA E CREDITO MÚTUO DOS MÉDICOS DO PLANALTO MÉDIO DO RIO GRANDE DO SUL LTDA - CREDIPLAN;97259253;b3S;I;2;S5;9;PASSO FUNDO;RS;01/03/2018;80218;2894;0;0;0;0;0;77323;0;0;0;0;0;0;0;1;0;;;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO MÉDIO LESTE DE MATO GROSSO - SICOOB PRIMAVERA MT;5241619;b3S;I;2;S5;9;PRIMAVERA DO LESTE;MT;01/03/2018;80132;78586;0;0;0;0;602;940;0;0;0;0;0;0;0;4;0;;;
COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS MÉDICOS E DEMAIS PROFISSIONAIS DA REGIÃO DOS VALES DO SINOS, PARANHANA E CAÍ LTDA - UNICRED REGIÃO DOS VALES;1796302;b3S;I;2;S5;9;NOVO HAMBURGO;RS;01/03/2018;80050;13806;0;1;0;0;0;66237;0;0;0;0;0;0;0;6;0;;;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DA REGIÃO DE ARAXÁ LTDA. - SICOOB CREDIARA;66398496;b3S;I;2;S5;9;ARAXA;MG;01/03/2018;79052;77295;0;1418;0;0;0;329;0;0;0;0;0;0;0;10;0;;;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO ESTADO DO RIO DE JANEIRO - SICOOB FLUMINENSE;2931668;b3S;I;2;S5;9;CAMPOS DOS GOYTACAZES;RJ;01/03/2018;79021;77331;817;0;0;0;0;857;0;0;0;0;0;0;0;17;0;;;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS DE MANAUS;1566038;b3S;I;2;S5;9;MANAUS;AM;01/03/2018;79020;79020;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;;;
COOPERATIVA DE CRÉDITO POUPANÇA E INVESTIMENTO DA ALTA NOROESTE DE SÃO PAULO - SICREDI ALTA NOROESTE SP;4484490;b3S;I;2;S5;9;BIRIGUI;SP;01/03/2018;78275;75283;0;0;0;0;0;2974;0;0;0;0;0;0;0;18;0;;;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS NOVA TRENTO   SICOOB TRENTOCREDI SC;2641969;b3S;I;2;S5;9;NOVA TRENTO;SC;01/03/2018;78137;78130;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;;;
COOPERATIVA DE CRÉDITO DOS EMPRESÁRIOS INDUSTRIAIS VINCULADOS À FIEMG LTDA - SICOOB CREDIFIEMG;7469260;b3S;I;2;S5;9;BELO HORIZONTE;MG;01/03/2018;78082;16572;0;0;0;0;0;61508;0;0;0;0;0;0;0;1;0;;;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DA REGIÃO DE FRUTAL LTDA.   SICOOB FRUTAL;71419600;b3S;I;2;S5;9;FRUTAL;MG;01/03/2018;77967;77963;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;;;
COOPERATIVA DE CRÉDITO DE SETE LAGOAS LTDA. - SICOOB CREDISETE;22753982;b3S;I;2;S5;9;SETE LAGOAS;MG;01/03/2018;77957;74904;0;3043;0;0;0;0;0;0;0;0;0;0;0;11;0;;;
COOPERATIVA DE CREDITO RURAL COM INTERAÇÃO SOLIDÁRIA DE TENENTE PORTELA - CRESOL TENENTE PORTELA;4622657;b3S;I;2;S5;9;TENENTE PORTELA;RS;01/03/2018;77775;72087;0;213;0;0;0;5465;0;0;0;0;0;0;0;10;0;;;
COOPERATIVA DE CRÉDITO DO VALE DO ITAJAÍ E VALE DO ITAPOCÚ - SICOOB MULTICREDI;2883398;b3S;I;2;S5;9;BLUMENAU;SC;01/03/2018;77771;41036;0;575;0;0;0;36157;0;0;0;0;0;0;0;3;0;;;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DA REGIÃO DE UMUARAMA - SICOOB ARENITO;7026923;b3S;I;2;S5;9;UMUARAMA;PR;01/03/2018;77188;73771;345;0;0;0;0;3064;0;0;0;0;0;0;0;10;0;;;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO MÉDIO OESTE - SICOOB MÉDIO OESTE;7318874;b3S;I;2;S5;9;ASSIS CHATEAUBRIAND;PR;01/03/2018;77148;75639;37;0;0;0;0;1462;0;0;0;0;0;0;0;10;0;;;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS DO MEIO OESTE CATARINENSE - SICOOB CREDIMOC SC;80959638;b3S;I;2;S5;9;XANXERE;SC;01/03/2018;77147;41543;739;0;0;0;0;34860;0;0;0;0;0;0;0;5;0;;;
COOPERATIVA DE CREDITO RURAL COM INTERACAO SOLIDARIA DE ITAPEJARA D`OESTE - CRESOL ITAPEJARA D`OESTE;4973378;b3S;I;2;S5;9;ITAPEJARA D'OESTE;PR;01/03/2018;77132;75407;0;1719;0;0;0;0;0;0;0;0;0;0;0;6;0;;;
SICOOB CREDINOVA - COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE NOVA SERRANA E REGIÃO CENTRO-OESTE LTDA.;1667766;b3S;I;2;S5;9;NOVA SERRANA;MG;01/03/2018;76510;76410;0;0;0;0;0;97;0;0;0;0;0;0;0;4;0;;;
COOPERATIVA DE CRÉDITO RURAL COM INTERAÇÃO SOLIDÁRIA DE ÁGUAS MORNAS - CRESOL ÁGUAS MORNAS;7512780;b3S;I;2;S5;9;AGUAS MORNAS;SC;01/03/2018;76267;73041;0;3215;0;0;0;0;0;0;0;0;0;0;0;10;0;;;
COOPERATIVA DE CRÉDITO DO DISTRITO FEDERAL E ENTORNO LTDA. - SICOOB;1187961;b3S;I;2;S5;9;BRASILIA;DF;01/03/2018;76027;72249;153;0;0;0;0;3606;16;0;0;0;0;0;0;3;0;;;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DA REGIÃO DO ALTO SÃO FRANCISCO LTDA. - SICOOB CREDIPRATA;26178111;b3S;I;2;S5;9;LAGOA DA PRATA;MG;01/03/2018;74971;57200;0;17768;0;0;0;0;0;0;0;0;0;0;0;3;0;;;
COOPERATIVA DE CRÉDITO DO OESTE MINEIRO E REGIÃO METROPOLITANA DE BELO HORIZONTE LTDA. - SICOOB CREDIOESTE;25420696;b3S;I;2;S5;9;ABAETE;MG;01/03/2018;74808;74126;0;0;0;0;0;674;0;0;0;0;0;0;0;8;0;;;
COOPERATIVA DE CRÉDITO RURAL COM INTERAÇÃO SOLIDÁRIA SUL PARANAENSE - CRESOL SUL PARANAENSE;5277312;b3S;I;2;S5;9;CRUZ MACHADO;PR;01/03/2018;74543;72654;0;1883;0;0;0;0;0;0;0;0;0;0;0;6;0;;;
COOPERATIVA DE CRÉDITO SICREDI CENTRO PERNAMBUCANA;41255225;b3S;I;2;S5;9;CARUARU;PE;01/03/2018;74344;73661;0;0;0;0;0;673;0;0;0;0;0;0;0;10;0;;;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE MONTE CARMELO E REGIÃO LTDA - SICOOB MONTECREDI;71392047;b3S;I;2;S5;9;MONTE CARMELO;MG;01/03/2018;73553;73332;0;0;0;0;0;219;0;0;0;0;0;0;0;1;0;;;
