Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total Geral;Prefixado;TR / TBF;TJLP;TLP;Libor;Outras Taxas Pós-Fixadas;Carteira ativa com indexador CDI;SELIC;Outras Taxas Flutuantes;IGPM;IPCA;IPCC;Outros Índices de Preço;Outros Indexadores;Total não Individualizado;Total Exterior;;;
JOHN DEERE;50071;b1;C;3;S4;199;INDAIATUBA;SP;01/03/2018;7197296;6723427;0;161863;0;282274;0;0;29731;0;0;0;0;0;0;0;0;;;
BANCO CSF S.A.;8357240;b2;I;3;S3;8;SAO PAULO;SP;01/03/2018;6432852;6402988;0;0;0;0;0;0;0;0;0;0;0;0;0;29864;0;;;
PORTO SEGURO;51444;n1;C;2;S4;197;SAO PAULO;SP;01/03/2018;6058299;6048403;0;0;0;0;0;0;0;0;0;0;0;0;0;9896;0;;;
BANCOOB;51750;b1;C;2;S3;199;BRASILIA;DF;01/03/2018;6008624;5559647;0;228372;0;0;0;194276;15247;0;0;2911;0;0;0;8171;0;;;
MERCANTIL DO BRASIL;20152;b1;C;2;S3;199;BELO HORIZONTE;MG;01/03/2018;5968704;4866364;107037;0;0;0;282607;697777;0;0;5436;0;0;1780;0;7702;0;;;
BANCO DE DESENVOLVIMENTO DE MINAS GERAIS S.A.-BDMG;38486817;b4;I;1;S3;5;BELO HORIZONTE;MG;01/03/2018;5826717;1946951;133999;1565064;0;0;113;25407;600604;11733;195814;409220;0;12421;925390;0;0;;;
BANCO DE LAGE LANDEN BRASIL S.A.;5040481;b2;I;3;S4;8;PORTO ALEGRE;RS;01/03/2018;5017369;4900102;0;51005;417;0;0;54504;11341;0;0;0;0;0;0;0;0;;;
BANCO TOYOTA DO BRASIL S.A.;3215790;b2;I;3;S4;8;SAO PAULO;SP;01/03/2018;4960568;4940088;0;0;0;0;0;20480;0;0;0;0;0;0;0;1;0;;;
CREDIT SUISSE;30771;b1;C;3;S3;199;SAO PAULO;SP;01/03/2018;4579195;199623;0;0;0;380691;0;1571084;0;0;0;1255716;0;0;0;0;1172081;;;
ORIGINAL;51781;b1;C;2;S3;199;SAO PAULO;SP;01/03/2018;4510365;2647081;0;0;0;0;0;1099240;0;0;2932;0;0;0;722969;1520;36624;;;
NU PAGAMENTOS S.A.;18236120;n4;I;2;;41;SAO PAULO;SP;01/03/2018;4318184;1986948;0;0;0;0;0;0;0;0;0;0;0;0;0;2331236;0;;;
BANCO FIDIS S/A;62237425;b2;I;3;S4;8;BETIM;MG;01/03/2018;4272416;4272353;0;0;0;0;62;0;0;0;0;0;0;0;0;1;0;;;
BANESTES;30159;b1;C;1;S3;199;VITORIA;ES;01/03/2018;4024149;2384439;474859;43643;0;0;2488;944731;0;0;12159;0;0;0;160176;1654;0;;;
BANCO DO ESTADO DO PARÁ S.A.;4913711;b1;I;1;S4;8;BELEM;PA;01/03/2018;3901499;3896625;0;0;0;0;565;0;0;0;4089;0;0;0;0;219;0;;;
PARANÁ BANCO;30881;b1;C;2;S4;199;CURITIBA;PR;01/03/2018;3587609;3494521;0;0;0;0;2801;55177;1195;0;31817;0;0;0;0;2098;0;;;
PINE;50304;b1;C;2;S3;199;SAO PAULO;SP;01/03/2018;3573392;1410797;13415;32248;0;0;15304;1438291;0;0;0;23118;0;0;385332;0;254886;;;
BANCO FIBRA S.A.;58616418;b1;I;2;S3;8;SAO PAULO;SP;01/03/2018;3519902;1392524;0;0;0;0;313963;1104901;0;0;0;0;0;0;0;41;708473;;;
HONDA;51396;b2;C;3;S4;198;SAO PAULO;SP;01/03/2018;3429226;3429172;0;0;0;0;0;0;0;0;0;0;0;0;0;54;0;;;
MIDWAY S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;9464032;n1;I;2;S4;14;SAO PAULO;SP;01/03/2018;3279343;3138222;0;0;0;0;0;0;0;0;0;0;0;0;0;141122;0;;;
BANCO DA AMAZONIA S.A.;4902979;b1;I;1;S3;2;BELEM;PA;01/03/2018;3143334;1027789;470716;349015;0;0;462674;750525;13651;440;34013;0;0;0;34468;42;0;;;
BOCOM;52003;b1;C;3;S4;199;SALVADOR;BA;01/03/2018;3076218;426716;0;0;0;0;0;1713337;0;0;131;3503;0;0;552479;11;380041;;;
BANCO VOLVO BRASIL S.A.;58017179;b2;I;3;S4;8;CURITIBA;PR;01/03/2018;2972334;1706839;0;1265495;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
COOPERATIVA DE CREDITO CREDICITRUS;54037916;b3S;I;2;S4;9;BEBEDOURO;SP;01/03/2018;2809962;2025938;4065;2;0;0;0;779929;0;0;0;0;0;0;0;28;0;;;
SOFISA;31873;b1;C;2;S4;199;SAO PAULO;SP;01/03/2018;2786124;598644;0;802;0;0;0;2030776;0;0;0;6349;0;0;149542;12;0;;;
INTER;51884;b1;C;2;S4;199;BELO HORIZONTE;MG;01/03/2018;2670910;1118430;106451;1794;0;0;1441254;1244;0;0;0;0;0;0;0;1736;0;;;
BADESUL DESENVOLVIMENTO S.A - AGÊNCIA DE FOMENTO/RS;2885855;n1;I;1;S4;30;PORTO ALEGRE;RS;01/03/2018;2467788;1655019;35087;465292;3013;0;0;0;276262;0;9403;1308;0;0;22404;0;0;;;
ING;51073;b1;C;3;S3;199;SAO PAULO;SP;01/03/2018;2406671;29523;0;0;0;0;0;95077;0;2282062;0;0;0;0;9;0;0;;;
COOPERATIVA DE CREDITO VALE DO ITAJAI - VIACREDI;82639451;b3S;I;2;S5;9;BLUMENAU;SC;01/03/2018;2377855;2219613;145497;0;0;0;0;11719;0;0;0;0;0;0;0;1026;0;;;
BANCO IBM S.A.;34270520;b2;I;3;S4;8;RIO DE JANEIRO;RJ;01/03/2018;2351971;581859;0;0;0;0;0;1763149;0;0;0;0;0;0;6963;0;0;;;
PERNAMBUCANAS FINANCIADORA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;43180355;n1;I;2;S4;14;SAO PAULO;SP;01/03/2018;2309120;2232149;0;0;0;0;0;0;0;0;0;0;0;0;0;76972;0;;;
BANCO DO ESTADO DE SERGIPE S.A.;13009717;b1;I;1;S4;8;ARACAJU;SE;01/03/2018;2248303;1726315;412837;923;0;0;0;83769;0;0;1919;0;0;0;18247;4292;0;;;
CREFISA;52010;b1;C;2;S4;199;SAO PAULO;SP;01/03/2018;2244043;2217540;0;0;0;0;0;23223;0;0;1666;0;0;0;0;1614;0;;;
OMNI;50940;b1;C;2;S4;199;SAO PAULO;SP;01/03/2018;2088275;2076350;0;0;0;0;0;0;0;0;0;0;0;0;0;11925;0;;;
SOCIETE GENERALE;31859;b1;C;3;S3;199;SAO PAULO;SP;01/03/2018;2056175;1193780;0;0;0;0;49672;812724;0;0;0;0;0;0;0;0;0;;;
DEUTSCHE BANK S.A. - BANCO ALEMAO;62331228;b1;I;3;S3;8;SAO PAULO;SP;01/03/2018;2053273;462095;0;0;0;0;0;217640;0;1373538;0;0;0;0;0;0;0;;;
INDUSTRIAL DO BRASIL;50988;b1;C;2;S4;199;SAO PAULO;SP;01/03/2018;1884492;979738;0;4321;0;0;34965;32806;627117;0;9018;0;0;0;134627;150;61750;;;
SCANIA BANCO S.A.;11417016;b2;I;3;S4;8;SAO BERNARDO DO CAMPO;SP;01/03/2018;1874276;1865111;0;0;0;0;9165;0;0;0;0;0;0;0;0;0;0;;;
BANCO CARGILL S.A.;3609817;b1;I;3;S4;8;SAO PAULO;SP;01/03/2018;1837425;817666;0;0;0;0;0;0;0;0;0;0;0;0;1019759;0;0;;;
SICOOB COCRED COOPERATIVA DE CRÉDITO;71328769;b3S;I;2;S4;9;SERTAOZINHO;SP;01/03/2018;1792008;1122779;1025;13290;0;0;2998;592895;0;0;34345;0;0;0;24666;11;0;;;
BANCO SUMITOMO MITSUI BRASILEIRO S.A.;60518222;b1;I;3;S3;8;SAO PAULO;SP;01/03/2018;1782925;510428;0;13553;0;100256;57;906363;0;0;0;0;0;0;0;0;252268;;;
ASSOCIACAO DE POUPANCA E EMPRESTIMO - POUPEX;655522;n1;I;2;S3;25;BRASILIA;DF;01/03/2018;1732384;365501;1366881;0;0;0;0;0;0;0;0;0;0;0;0;1;0;;;
BANCO TRIANGULO S.A.;17351180;b1;I;2;S4;8;UBERLANDIA;MG;01/03/2018;1698251;1279427;0;79605;2107;0;0;251333;59111;0;0;0;0;0;0;26668;0;;;
BANCO CATERPILLAR S.A.;2658435;b2;I;3;S4;8;SAO PAULO;SP;01/03/2018;1664194;1151190;0;300701;0;0;0;168415;0;0;0;0;0;0;43889;0;0;;;
BANCO DE TOKYO-MITSUBISHI UFJ BRASIL S.A.;60498557;b1;I;3;S3;8;SAO PAULO;SP;01/03/2018;1621293;891252;0;38094;0;0;2554;268148;0;0;0;0;0;0;421244;0;0;;;
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO UNIÃO PARANÁ/SÃO PAULO - SICREDI UNIÃO PR/SP;79342069;b3S;I;2;S4;9;MARINGA;PR;01/03/2018;1617326;1389930;0;0;0;0;76573;149500;0;0;0;0;0;733;0;590;0;;;
COOPERFORTE - COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS FUNCIONÁRIOS DE INSTITUIÇÕES FINANCEIRAS PÚBLICAS FEDERAIS LTDA.;1658426;b3S;I;2;S5;9;BRASILIA;DF;01/03/2018;1526771;53243;1473522;0;0;0;0;0;0;0;0;0;0;0;0;6;0;;;
CREDIT AGRICOLE;51066;b1;C;3;S3;199;SAO PAULO;SP;01/03/2018;1433001;0;0;0;0;0;0;295011;0;0;0;0;0;0;1137990;0;0;;;
BMW;51420;n1;C;3;S4;197;SAO PAULO;SP;01/03/2018;1385971;1385971;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO OURO VERDE DO MATO GROSSO - SICREDI OURO VERDE MT;26529420;b3S;I;2;S4;9;LUCAS DO RIO VERDE;MT;01/03/2018;1380109;947551;0;290;0;0;132029;300065;0;0;0;0;0;0;0;174;0;;;
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO VANGUARDA DA REGIÃO DAS CATARATAS DO IGUAÇU E VALE DO PARAÍBA - SICREDI VANGUARDA PR/SP/RJ;78414067;b3S;I;2;S4;9;MEDIANEIRA;PR;01/03/2018;1347768;1014138;0;0;0;0;33982;299338;0;0;0;0;0;0;0;309;0;;;
AGIBANK;51956;b1;C;2;S4;199;PORTO ALEGRE;RS;01/03/2018;1319729;1319128;0;0;0;0;0;0;0;0;0;0;0;0;0;601;0;;;
JP MORGAN CHASE;20107;b1;C;3;S3;199;SAO PAULO;SP;01/03/2018;1234753;611080;0;0;0;0;0;623673;0;0;0;0;0;0;0;0;0;;;
BANCO RODOBENS S.A.;33603457;b1;I;2;S4;8;SAO PAULO;SP;01/03/2018;1211917;698008;225909;110747;0;0;51951;5989;12717;0;46825;40403;0;14163;5206;0;0;;;
HP FINANCIAL SERVICES ARRENDAMENTO MERCANTIL S.A.;97406706;n1;I;3;S4;19;BARUERI;SP;01/03/2018;1204360;717069;0;0;0;0;0;480502;0;0;0;0;0;0;6788;0;0;;;
DESENVOLVE SP - AGÊNCIA DE FOMENTO DO ESTADO DE SÃO PAULO S.A.;10663610;n1;I;1;S4;30;SAO PAULO;SP;01/03/2018;1162719;71815;0;399586;17903;0;0;0;35959;0;0;203271;0;434184;0;0;0;;;
BANCO ABN AMRO S.A.;3532415;b1;I;3;S4;8;SAO PAULO;SP;01/03/2018;1157481;455500;0;0;0;0;0;129411;0;0;0;0;0;0;572570;0;0;;;
AGÊNCIA DE FOMENTO DO PARANÁ S.A.;3584906;n1;I;1;S4;30;CURITIBA;PR;01/03/2018;1137337;124644;1551;579360;1806;0;10569;0;27158;0;0;392246;0;0;0;2;0;;;
COOPERATIVA DE CRÉDITO MAXI ALFA DE LIVRE ADMISSÃO DE ASSOCIADOS - SICOOB MAXICRÉDITO;78825270;b3S;I;2;S5;9;CHAPECO;SC;01/03/2018;1117091;936225;1262;401;0;0;0;179125;0;0;0;0;0;0;0;78;0;;;
REALIZE CRÉDITO, FINANCIAMENTO E INVESTIMENTO S.A.;27351731;n1;I;3;S4;14;PORTO ALEGRE;RS;01/03/2018;1103872;1085765;0;0;0;0;0;0;0;0;0;0;0;0;0;18106;0;;;
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO VALE DO PIQUIRI ABCD - SICREDI VALE DO PIQUIRI ABCD PR/SP;81099491;b3S;I;2;S4;9;PALOTINA;PR;01/03/2018;1098770;1012769;0;0;0;0;16736;68979;0;0;0;0;0;0;0;286;0;;;
SCOTIABANK BRASIL S.A. BANCO MÚLTIPLO;29030467;b1;I;3;S4;8;SAO PAULO;SP;01/03/2018;1089925;290445;0;0;0;0;671414;128066;0;0;0;0;0;0;0;0;0;;;
BANCO DE DESENVOLVIMENTO DO ESPIRITO SANTO S.A.;28145829;b4;I;1;S4;5;VITORIA;ES;01/03/2018;1077955;956773;23282;46560;0;0;51340;0;0;0;0;0;0;0;0;0;0;;;
BANCO LUSO BRASILEIRO S.A.;59118133;b1;I;2;S4;8;SAO PAULO;SP;01/03/2018;1072907;439248;1058;0;0;0;0;510502;0;0;20209;0;0;190;101686;15;0;;;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS SERRO AZUL - SICREDI UNIÃO RS;88894548;b3S;I;2;S4;9;CERRO LARGO;RS;01/03/2018;1034160;725416;0;0;0;0;25843;282639;0;0;0;0;0;0;0;262;0;;;
BANCO FORD S.A.;90731688;b2;I;3;S4;8;SAO PAULO;SP;01/03/2018;1033485;6413;0;0;0;0;0;0;0;1027072;0;0;0;0;0;0;0;;;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO CENTRO BRASILEIRA LTDA.;37395399;b3S;I;2;S5;9;GOIANIA;GO;01/03/2018;979518;586085;0;0;0;0;0;393416;0;0;0;0;0;0;0;18;0;;;
BANCO A.J. RENNER S.A.;92874270;b1;I;2;S4;8;PORTO ALEGRE;RS;01/03/2018;949444;878155;0;0;0;0;0;71281;0;0;0;0;0;0;0;7;0;;;
CREDICOAMO CREDITO RURAL COOPERATIVA;81723108;b3S;I;2;S4;9;CAMPO MOURAO;PR;01/03/2018;921608;921413;0;0;0;0;0;0;0;0;0;0;0;161;0;34;0;;;
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO CAMPOS GERAIS - SICREDI CAMPOS GERAIS PR/SP;81466286;b3S;I;2;S4;9;PONTA GROSSA;PR;01/03/2018;920744;696499;0;0;0;0;14180;209912;0;0;0;0;0;0;0;153;0;;;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO LESTE CAPIXABA - SICOOB LESTE CAPIXABA;32430233;b3S;I;2;S5;9;LINHARES;ES;01/03/2018;890163;596504;702;0;0;0;0;292912;0;0;0;0;0;0;0;44;0;;;
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO DO ARAGUAIA E XINGU - SICREDI ARAXINGU;33021064;b3S;I;2;S4;9;CANARANA;MT;01/03/2018;873545;524648;0;0;0;0;32559;316257;0;0;0;0;0;0;0;81;0;;;
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO DO CENTRO SUL DO MATO GROSSO DO SUL – SICREDI CENTRO-SUL MS;26408161;b3S;I;2;S4;9;DOURADOS;MS;01/03/2018;869952;755085;0;0;0;0;1091;113606;0;0;0;0;0;0;0;170;0;;;
GRUPO BONSUCESSO - BS2;52034;b1;C;2;S4;199;BELO HORIZONTE;MG;01/03/2018;856622;85931;0;0;0;0;5417;261508;0;0;0;503465;0;0;0;301;0;;;
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO SICREDI PIONEIRA RS - SICREDI PIONEIRA RS;91586982;b3S;I;2;S4;9;NOVA PETROPOLIS;RS;01/03/2018;847734;360034;0;29;0;0;34901;451991;0;0;0;0;0;511;0;268;0;;;
SICOOB CREDICOM - COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS MÉDICOS E PROFISSIONAIS DA ÁREA DE SAÚDE DE MINAS GERAIS LTDA.;42898825;b3S;I;2;S4;9;BELO HORIZONTE;MG;01/03/2018;846005;313802;0;0;0;0;0;532149;0;0;0;0;0;0;0;54;0;;;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS DO NORTE DO RIO GRANDE DO SUL E OESTE DE SANTA CATARINA - SICREDI NORTE RS/SC;87780268;b3S;I;2;S4;9;ERECHIM;RS;01/03/2018;828289;612888;0;0;0;0;32054;183120;0;0;0;0;0;0;0;227;0;;;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS PLANALTO   SICREDI PLANALTO RS/SC;88038260;b3S;I;2;S4;9;CRUZ ALTA;RS;01/03/2018;826642;580824;0;0;0;0;4685;233183;0;0;0;0;0;7825;3;122;0;;;
BANCO YAMAHA MOTOR DO BRASIL S.A.;10371492;b2;I;3;S4;8;GUARULHOS;SP;01/03/2018;805162;805145;0;0;0;0;0;0;0;0;0;0;0;0;0;16;0;;;
BANCO CBSS S.A.;27098060;b2;I;3;S4;8;BARUERI;SP;01/03/2018;805129;792107;0;0;0;0;0;0;0;0;0;0;0;0;0;13022;0;;;
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO DE CARLOS BARBOSA - SICREDI SERRANA RS;90608712;b3S;I;2;S4;9;CARLOS BARBOSA;RS;01/03/2018;777429;305707;0;0;0;0;66902;404645;0;0;0;0;0;0;0;175;0;;;
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO PAMPA GAÚCHO - SICREDI PAMPA GAÚCHO;87733077;b3S;I;2;S4;9;ITAQUI;RS;01/03/2018;755483;407638;0;0;0;0;16342;330667;0;0;0;0;0;709;0;127;0;;;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO NORTE DO ESPÍRITO SANTO - SICOOB NORTE;31815293;b3S;I;2;S5;9;SAO GABRIEL DA PALHA;ES;01/03/2018;752562;582917;24;0;0;0;0;169595;0;0;0;0;0;0;0;26;0;;;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO SUL-SERRANA DO ESPÍRITO SANTO;815319;b3S;I;2;S5;9;VENDA NOVA DO IMIGRANTE;ES;01/03/2018;741856;478701;159;0;0;0;0;262904;35;0;0;0;0;0;0;58;0;;;
DESENBAHIA - AGENCIA DE FOMENTO DO ESTADO DA BAHIA S.A.;15163587;n1;I;1;S4;30;SALVADOR;BA;01/03/2018;739192;256456;0;482429;0;0;0;0;0;0;0;0;0;0;290;17;0;;;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS DA REGIÃO CENTRO DO RGS - SICREDI REGIÃO CENTRO;95594941;b3S;I;2;S4;9;SANTA MARIA;RS;01/03/2018;731220;438001;0;0;0;0;36959;250950;0;0;0;0;0;5105;0;205;0;;;
