Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Ativo Total;Carteira de Crédito Classificada;Passivo Circulante e Exigível a Longo Prazo e Resultados de Exercícios Futuros;Captações;Patrimônio Líquido;Lucro Líquido;Patrimônio de Referência para Comparação com o RWA;Índice de Basileia;Índice de Imobilização;Número de Agências;Número de Postos de Atendimento
BB - PRUDENCIAL;1000080329;b1;S1;C;1;BRASILIA;DF;43070;1367922566;632446322;1279854608;1064903913;88067958;6044872;135511422;0,1964;0,1602;4835;1282
ITAU - PRUDENCIAL;1000080099;b1;S1;C;2;SAO PAULO;SP;43070;1324222212;493597595;1183874222;900415106;140347990;10550986;142251973;0,188;0,2392;3386;1042
CAIXA ECONÔMICA FEDERAL - PRUDENCIAL;1000080738;b1;S1;C;1;BRASILIA;DF;43070;1261489914;706275523;1227082063;1055750795;34407851;8387663;93464469;0,1765;0,1103;3407;808
BRADESCO - PRUDENCIAL;1000080075;b1;S1;C;2;OSASCO;SP;43070;990312323;369474577;879836718;711895025;110475605;6676652;104672834;0,1712;0,4335;4788;1523
BNDES - PRUDENCIAL;1000081847;b4;S2;C;1;RIO DE JANEIRO;RJ;43070;867517060;321028294;804680753;467989887;62836307;4838496;146368386;0,2751;0,086;5;0
SANTANDER - PRUDENCIAL;1000080185;b1;S1;C;3;SAO PAULO;SP;43070;682985479;272562232;621093433;460086970;61892046;4488927;60626099;0,1585;0,1515;2680;1219
SAFRA - PRUDENCIAL;1000080109;b1;S2;C;2;SAO PAULO;SP;43070;152052676;59808570;142284128;126043382;9768548;1067823;12758840;0,1372;0,3175;115;5
BTG PACTUAL - PRUDENCIAL;1000080336;b1;S1;C;2;RIO DE JANEIRO;RJ;43070;126196048;14079191;107726719;58400559;18469329;1157117;17142654;0,1806;0,3079;15;0
CIELO - PRUDENCIAL;1000084710;n4;;C;2;BARUERI;SP;43070;95939956;0;82133908;7919328;13806048;2140824;NA;NA%;NA%;0;0
VOTORANTIM - PRUDENCIAL;1000080484;b1;S2;C;2;SAO PAULO;SP;43070;93093338;48226370;84474764;62386462;8618574;281117;9233159;0,1554;0,1863;92;0
BANRISUL - PRUDENCIAL;1000080154;b1;S2;C;1;PORTO ALEGRE;RS;43070;73340306;31369133;66305427;56921189;7034879;736831;6578696;0,1698;0,0867;541;152
CITIBANK - PRUDENCIAL;1000080192;b1;S2;C;3;SAO PAULO;SP;43070;61719709;10885724;53502018;33549263;8217691;310104;8007558;0,1594;0,022;135;22
BCO DO NORDESTE DO BRASIL S.A. - PRUDENCIAL;1000081593;b1;S2;I;1;FORTALEZA;CE;43070;54046937;10958079;50504900;17091176;3542037;383704;6300032;0,1589;0,0278;316;2
BANCOOB - PRUDENCIAL;1000080879;b1;S3;C;2;BRASILIA;DF;43070;43664878;5773031;42105720;36939013;1559158;74161;1511021;0,1847;0,1085;7;0
SICREDI - PRUDENCIAL;1000080745;b1;S3;C;2;PORTO ALEGRE;RS;43070;41272827;8655746;40062353;38045640;1210475;34545;1368189;0,209;0,0866;7;0
CREDIT SUISSE - PRUDENCIAL;1000080219;b1;S2;C;3;SAO PAULO;SP;43070;38854395;4889769;35553087;21126836;3301308;-509007;4408254;0,1594;0,0244;10;0
BNP PARIBAS - PRUDENCIAL;1000080673;b1;S3;C;3;SAO PAULO;SP;43070;36865590;15815847;33442354;17874048;3423235;307513;4065479;0,1638;0,0179;7;0
