Instituição financeira;Código;TCB;TD;TC;Cidade;UF;Data;Instituição Sujeita à Apuração da Exposição Total;Instituição Sujeita à Apuração do Patrimônio de Referência;Instituição Utiliza Metodologia Simplificada;Exposição Total ou Ativo Total (R$ mil);Total de Ativos Consolidados no Exterior (US$ mil);Data da Última Alteração de Segmento;SR
BRADESCO - PRUDENCIAL;1000080075;b1;C;2;OSASCO;SP;43070;Sim;Sim;Não;1063817563;29689279;42736;S1
ITAU - PRUDENCIAL;1000080099;b1;C;2;SAO PAULO;SP;43070;Sim;Sim;Não;1379768056;133668330;42736;S1
SANTANDER - PRUDENCIAL;1000080185;b1;C;3;SAO PAULO;SP;43070;Sim;Sim;Não;634791519;28168302;42736;S1
BB - PRUDENCIAL;1000080329;b1;C;1;BRASILIA;DF;43070;Sim;Sim;Não;1124406609;46939439;42736;S1
BTG PACTUAL - PRUDENCIAL;1000080336;b1;C;2;RIO DE JANEIRO;RJ;43070;Sim;Sim;Não;125129202;12424871;42736;S1
CAIXA ECONÔMICA FEDERAL - PRUDENCIAL;1000080738;b1;C;1;BRASILIA;DF;43070;Sim;Sim;Não;1310760854;NI;42736;S1
SAFRA - PRUDENCIAL;1000080109;b1;C;2;SAO PAULO;SP;43070;Sim;Sim;Não;176810987;5593087;42736;S2
BANRISUL - PRUDENCIAL;1000080154;b1;C;1;PORTO ALEGRE;RS;43070;Sim;Sim;Não;76228499;127233;42736;S2
CITIBANK - PRUDENCIAL;1000080192;b1;C;3;SAO PAULO;SP;43070;Sim;Sim;Não;68968796;NI;42736;S2
CREDIT SUISSE - PRUDENCIAL;1000080219;b1;C;3;SAO PAULO;SP;43070;Sim;Sim;Não;49490835;1617269;42736;S2
VOTORANTIM - PRUDENCIAL;1000080484;b1;C;2;SAO PAULO;SP;43070;Sim;Sim;Não;109596018;1468843;42736;S2
BCO DO NORDESTE DO BRASIL S.A. - PRUDENCIAL;1000081593;b1;I;1;FORTALEZA;CE;43070;Sim;Sim;Não;77083190;NI;42736;S2
BNDES - PRUDENCIAL;1000081847;b4;C;1;RIO DE JANEIRO;RJ;43070;Sim;Sim;Não;930635740;NI;42736;S2
COOPERATIVA CENTRAL DE CRÉDITO, POUPANÇA E INVESTIMENTO DOS ESTADOS DO PARANÁ, SÃO PAULO E RIO DE JANEIRO - CENTRAL SICREDI PR/SP/RJ;80230774;b3C;I;2;CURITIBA;PR;43070;Sim;Sim;Não;6691866;NI;42736;S3
COOPERATIVA CENTRAL DE CRÉDITO, POUPANÇA E INVESTIMENTO DO SUL E SUDESTE - CENTRAL SICREDI SUL/SUDESTE;87437687;b3C;I;2;PORTO ALEGRE;RS;43070;Sim;Sim;Não;11735579;NI;42736;S3
JP MORGAN CHASE - PRUDENCIAL;1000080116;b1;C;3;SAO PAULO;SP;43070;Sim;Sim;Não;27416631;NI;42736;S3
MERCANTIL DO BRASIL - PRUDENCIAL;1000080123;b1;C;2;BELO HORIZONTE;MG;43070;Sim;Sim;Não;9828835;14683;42736;S3
BANESTES - PRUDENCIAL;1000080147;b1;C;1;VITORIA;ES;43070;Sim;Sim;Não;20687537;NI;42736;S3
BMG - PRUDENCIAL;1000080178;b1;C;2;SAO PAULO;SP;43070;Sim;Sim;Não;15432818;67266;42736;S3
VOLKSWAGEN - PRUDENCIAL;1000080202;b2;C;3;SAO PAULO;SP;43070;Sim;Sim;Não;15272675;NI;42736;S3
PAN - PRUDENCIAL;1000080257;b1;C;2;SAO PAULO;SP;43070;Sim;Sim;Não;24723422;NI;42736;S3
SOCIETE GENERALE - PRUDENCIAL;1000080264;b1;C;3;SAO PAULO;SP;43070;Sim;Sim;Não;8840936;NI;42736;S3
BRB - PRUDENCIAL;1000080288;b1;C;1;BRASILIA;DF;43070;Sim;Sim;Não;15932601;NI;42736;S3
CCB - PRUDENCIAL;1000080295;b1;C;3;SAO PAULO;SP;43070;Sim;Sim;Não;16612652;1286312;42736;S3
ABC-BRASIL - PRUDENCIAL;1000080312;b1;C;3;SAO PAULO;SP;43070;Sim;Sim;Não;37123822;1326837;42736;S3
PINE - PRUDENCIAL;1000080374;b1;C;2;SAO PAULO;SP;43070;Sim;Sim;Não;9617956;101419;42736;S3
CREDIT AGRICOLE - PRUDENCIAL;1000080491;b1;C;3;SAO PAULO;SP;43070;Sim;Sim;Não;13560565;NI;42736;S3
ING - PRUDENCIAL;1000080501;b1;C;3;SAO PAULO;SP;43070;Sim;Sim;Não;6517853;NI;42736;S3
DEUTSCHE - PRUDENCIAL;1000080532;b1;C;3;SAO PAULO;SP;43070;Sim;Sim;Não;9553519;8;42736;S3
