Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Patrimônio de Referência para Comparação com o RWA;;;;;Ativos Ponderados pelo Risco (RWA);;;;;;;;Exposição Total (j);Índice de Capital Principal (k) = (a) / (i);Índice de Capital Nível I (l) = (c) / (i);Índice de Basileia (m) = (e) / (i);Razão de Alavancagem (n) = (c) / (j);Índice de Imobilização (o)
;;;;;;;;;Patrimônio de Referência Nível I para Comparação com RWA;;;Capital Nível II (d);Patrimônio de Referência para Comparação com o RWA;RWA para Risco de Crédito (f);RWA para Risco de Mercado;;;;;RWA para Risco Operacional (h);Ativos Ponderados pelo Risco (RWA) (i) = (f) + (g) + (h);;;;;;
;;;;;;;;;Capital Principal para Comparação com RWA (a);Capital Complementar (b);Patrimônio de Referência Nível I para Comparação com RWA (c) = (a) + (b);;;;RWAcam (g1);RWAcom (g2);RWAjur (g3);RWAacs (g4);RWA para Risco de Mercado (g) = (g1) + (g2) + (g3) + (g4);;;;;;;;
ITAU - PRUDENCIAL;1000080099;b1;S1;C;2;SAO PAULO;SP;43070;122396265;57062;122453327;19798646;142251973;660516354;4372429;1055701;22112546;5374178;32914854;63276519;756707728;1379768056;0,1617;0,1618;0,188;0,0887;0,2392
BB - PRUDENCIAL;1000080329;b1;S1;C;1;BRASILIA;DF;43070;72320060;22907900;95227960;40283462;135511422;616822462;10040694;272;7290024;0;17330990;55737907;689891358;1124406609;0,1048;0,138;0,1964;0,0847;0,1602
BRADESCO - PRUDENCIAL;1000080075;b1;S1;C;2;OSASCO;SP;43070;75079777;5004967;80084744;24588090;104672834;554928771;2729035;335386;5367858;475926;8908205;47605162;611442139;1063817563;0,1228;0,131;0,1712;0,0753;0,4335
BNDES - PRUDENCIAL;1000081847;b4;S2;C;1;RIO DE JANEIRO;RJ;43070;97578924;0;97578924;48789462;146368386;478160751;13478477;0;4986566;0;18465044;35384881;532010675;930635740;0,1834;0,1834;0,2751;0,1049;0,086
CAIXA ECONÔMICA FEDERAL - PRUDENCIAL;1000080738;b1;S1;C;1;BRASILIA;DF;43070;59387930;0;59387930;34076539;93464469;458355599;3049143;1709383;4706200;192542;9657268;61489448;529502315;1310760854;0,1122;0,1122;0,1765;0,0453;0,1103
SANTANDER - PRUDENCIAL;1000080185;b1;S1;C;3;SAO PAULO;SP;43070;52186544;4189108;56375652;4250447;60626099;324126453;2822201;0;22378573;656335;25857109;32579126;382562688;634791519;0,1364;0,1474;0,1585;0,0888;0,1515
BTG PACTUAL - PRUDENCIAL;1000080336;b1;S1;C;2;RIO DE JANEIRO;RJ;43070;11752635;3020603;14773238;2369416;17142654;55997138;2349903;4905546;17950303;9087351;34293103;4615858;94906099;125129202;0,1238;0,1557;0,1806;0,1181;0,3079
SAFRA - PRUDENCIAL;1000080109;b1;S2;C;2;SAO PAULO;SP;43070;9635555;990733;10626287;2132553;12758840;82559535;1340108;0;1436941;698638;3475686;6946190;92981412;176810987;0,1036;0,1143;0,1372;0,0601;0,3175
