Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Resultado de Intermediação Financeira;;;;;;;;;;;;;;Outras Receitas/Despesas Operacionais;;;;;;;;;Resultado Operacional (e) = (c) + (d);Resultado Não Operacional (f);Resultado antes da Tributação, Lucro e Participação (g) = (e) + (f);Imposto de Renda e Contribuição Social (h);Participação nos Lucros (i);Lucro Líquido (j) = (g) + (h) + (i);Juros Sobre Capital Próprio (k)
BANRISUL - PRUDENCIAL;1000080154;b1;S2;C;1;PORTO ALEGRE;RS;43070;3309187;16075;1020772;-41799;28404;444381;4777020;-1896227;-202207;-12433;0;-149582;-2260448;2516572;156516;745217;-919006;-868373;-228541;17870;324177;-890639;-1662779;853792;255824;1109616;-298582;-74203;736831;-237256
BTG PACTUAL - PRUDENCIAL;1000080336;b1;S1;C;2;RIO DE JANEIRO;RJ;43070;713255;0;1765248;1549467;161387;53152;4242509;-2491209;-1759724;0;0;337434;-3913499;329009;739211;7022;-280957;-2214352;-192085;391596;2259652;-610522;99565;428574;-19295;409279;1126425;-378587;1157117;-599929
PAN - PRUDENCIAL;1000080257;b1;S3;C;2;SAO PAULO;SP;43070;2947577;2126;106927;-193020;5301;0;2868911;-1382462;-9356;-2024;0;-542551;-1936393;932518;82643;101003;-215674;-865570;-80571;10253;512157;-488587;-944347;-11829;157506;145677;20466;0;166143;-69800
CITIBANK - PRUDENCIAL;1000080192;b1;S2;C;3;SAO PAULO;SP;43070;878367;25622;1678564;-79508;216031;128709;2847786;-913140;-394343;-20880;0;-199612;-1527976;1319810;753216;130038;-548255;-767533;-130076;25778;251219;-605067;-890680;429130;268045;697175;-300356;-86715;310104;0
BCO DO NORDESTE DO BRASIL S.A. - PRUDENCIAL;1000081593;b1;S2;I;1;FORTALEZA;CE;43070;1050342;0;1509334;-11852;47816;23626;2619266;-476133;-978333;0;0;-165973;-1620439;998827;1092892;33503;-983790;-638999;-150579;0;1056411;-548904;-139467;859360;16570;875930;-468281;-23945;383704;-95781
CREDIT SUISSE - PRUDENCIAL;1000080219;b1;S2;C;3;SAO PAULO;SP;43070;517754;0;1315154;475739;44968;0;2353616;-1064777;-820195;0;0;-123889;-2008861;344754;475593;0;-480278;-176226;-53831;14026;169241;-83907;-135382;209372;198;209571;-718578;0;-509007;0
BCO DAYCOVAL S.A - PRUDENCIAL;1000081744;b1;S3;C;2;SAO PAULO;SP;43070;1388489;159208;277810;-84721;70325;0;1811110;-621165;-60355;-110408;0;-238880;-1030808;780302;23842;46837;-151754;-243686;-89380;19240;183915;-114421;-325408;454894;6024;460918;-154656;-32666;273596;-92307
BMG - PRUDENCIAL;1000080178;b1;S3;C;2;SAO PAULO;SP;43070;1555877;1097;150474;-81820;2616;0;1628245;-633122;-27147;-1110;0;-268707;-930087;698158;10987;7660;-86908;-449033;-41160;-1447;316090;-460079;-703891;-5733;-2594;-8327;33943;-13277;12339;-45000
CREFISA S.A. CFI - PRUDENCIAL;1000083632;b1;S4;C;2;SAO PAULO;SP;43070;1482456;0;115678;0;189;0;1598322;-4855;-24;0;0;-323712;-328591;1269731;245;2878;-15154;-546729;-80367;0;230072;-20169;-429224;840507;-82;840425;-337125;-222;503077;-124814
BANCOOB - PRUDENCIAL;1000080879;b1;S3;C;2;BRASILIA;DF;43070;470363;0;1085873;0;0;18319;1574556;-1296416;-46308;0;0;-14604;-1357327;217228;381031;31;-57852;-86588;-70753;6396;220645;-465899;-72991;144238;-906;143332;-63490;-5681;74161;0
SICREDI - PRUDENCIAL;1000080745;b1;S3;C;2;PORTO ALEGRE;RS;43070;667354;0;827529;105;13027;46712;1554726;-1082010;-131405;0;0;4753;-1208661;346065;120798;91;-56730;-310738;-23881;2357;56787;-81522;-292837;53227;-10;53217;-18672;0;34545;-10000
BNP PARIBAS - PRUDENCIAL;1000080673;b1;S3;C;3;SAO PAULO;SP;43070;1207576;0;395798;-268779;200374;0;1534969;-462765;-73773;0;0;-83084;-619623;915347;290414;73602;-207286;-590082;-85465;2532;315568;-261570;-462286;453061;-1226;451835;-127127;-17194;307513;-140000
MERCANTIL DO BRASIL - PRUDENCIAL;1000080123;b1;S3;C;2;BELO HORIZONTE;MG;43070;1252211;0;105397;3890;3143;5258;1369899;-318836;-39;0;0;-331459;-650334;719564;18325;106841;-191408;-345992;-59001;2519;37612;-209496;-640601;78964;-26799;52164;-27867;-5930;18368;-14541
BRB - PRUDENCIAL;1000080288;b1;S3;C;1;BRASILIA;DF;43070;1243525;0;96440;0;1522;15774;1357261;-349462;-1743;0;0;-97598;-448803;908458;39710;79298;-403360;-237073;-60916;16217;64789;-113211;-614547;293911;-1110;292801;-89310;-27110;176382;0
VOLKSWAGEN - PRUDENCIAL;1000080202;b2;S3;C;3;SAO PAULO;SP;43070;1287189;56882;30645;-57482;0;0;1317234;-259643;-144653;-37126;0;-171005;-612427;704807;113997;29568;-1390;-128814;-96131;0;150786;-390846;-322830;381978;-15997;365981;-83656;0;282325;-187247
BANESTES - PRUDENCIAL;1000080147;b1;S3;C;1;VITORIA;ES;43070;409691;6475;829423;-4;6675;17774;1270034;-815898;-7543;-5549;0;-88289;-917279;352755;95377;55624;-181817;-131046;-33902;17446;11632;-38519;-205204;147550;3723;151274;-39016;-21802;90456;-34390
JP MORGAN CHASE - PRUDENCIAL;1000080116;b1;S3;C;3;SAO PAULO;SP;43070;43476;0;1215906;-157630;130790;4062;1236604;-554569;-314064;0;0;2273;-866360;370244;326617;306;-337394;-118158;-47055;0;64185;-81479;-192977;177266;-524;176742;-64150;-7413;105179;0
ABC-BRASIL - PRUDENCIAL;1000080312;b1;S3;C;3;SAO PAULO;SP;43070;611755;0;519087;-21995;41945;0;1150792;-604507;-194355;0;0;-48643;-847505;303287;142098;12780;-102308;-55972;-35777;0;98487;-54776;4531;307817;-18709;289109;-9054;-65315;214739;-102878
BCO RABOBANK INTL BRASIL S.A. - PRUDENCIAL;1000081555;b1;S3;I;3;SAO PAULO;SP;43070;638717;0;186115;60524;43259;0;928616;-135170;-281367;0;0;-243419;-659956;268660;43333;8080;-95395;-58193;-26239;0;7864;-8331;-128880;139779;-60;139720;1402;-27386;113735;-145007
GM - PRUDENCIAL;1000080848;b2;S3;C;3;SAO PAULO;SP;43070;880442;2603;18954;0;0;0;901998;-384476;0;-1714;0;-106632;-492822;409176;113940;50980;-62561;-235474;-39149;13467;61593;-62165;-159370;249806;2767;252573;-44395;-9711;198468;-124600
BCO CSF S.A. - PRUDENCIAL;1000081610;b2;S3;I;3;SAO PAULO;SP;43070;838740;0;10123;0;0;0;848863;-27124;0;0;0;-372370;-399494;449369;208202;177263;-72728;-372753;-80994;0;48056;-141004;-233959;215411;3;215413;-99439;0;115975;0
PERNAMBUCANAS - PRUDENCIAL;1000080305;n1;S4;I;2;SAO PAULO;SP;43070;814535;0;10849;0;14;0;825398;-24544;0;0;0;-431258;-455802;369596;45384;51452;-33790;-90284;-25059;0;28630;-304657;-328323;41273;119;41392;-20426;0;20966;0
BOFA MERRILL LYNCH - PRUDENCIAL;1000080556;b1;S3;C;3;SAO PAULO;SP;43070;53805;0;528946;24461;206789;0;814000;-408973;-25323;0;0;913;-433383;380617;355742;3540;-244886;-93342;-40916;0;63308;-203624;-160179;220438;-5;220434;-46159;0;174275;-140301
BCO DO EST. DO PA S.A. - PRUDENCIAL;1000081586;b1;S4;I;1;BELEM;PA;43070;720768;0;75452;0;950;4065;801235;-170127;-81;0;0;-39406;-209614;591622;6101;42393;-164126;-154832;-33889;0;20902;-96460;-379911;211711;-8103;203608;-20020;-18366;165222;-44026
BANCO IBM S.A. - PRUDENCIAL;1000081689;b2;S4;I;3;RIO DE JANEIRO;RJ;43070;61193;701186;35979;0;0;0;798358;-120841;0;-587078;0;2183;-705736;92623;0;0;0;-21211;-4014;0;1771;-20620;-44074;48549;0;48549;-23883;0;24666;0
OMNI - PRUDENCIAL;1000080460;b1;S4;C;2;SAO PAULO;SP;43070;757447;5927;11007;6806;0;0;781187;-111866;0;-4065;0;-139184;-255115;526072;22911;24634;-32420;-212975;-23278;-746;28895;-279573;-472552;53519;110;53629;-19298;0;34331;0
MIDWAY S.A. - SCFI - PRUDENCIAL;1000083553;n1;S4;I;2;SAO PAULO;SP;43070;749451;0;26130;0;0;0;775582;-46789;0;0;-7;-325289;-372086;403496;123781;35103;-10287;-259075;-48144;0;10198;-97945;-246368;157128;937;158065;-69743;-1;88321;0
ALFA - PRUDENCIAL;1000080570;b1;S3;C;2;SAO PAULO;SP;43070;524636;109811;205971;-77839;11829;0;774409;-341768;-70871;-89077;0;22108;-479607;294801;29715;18748;-91578;-63689;-17934;7891;78336;-232020;-270531;24270;44447;68717;8743;-4300;73160;-20381
BD REGIONAL DO EXTREMO SUL - PRUDENCIAL;1000081311;b4;S3;C;1;PORTO ALEGRE;RS;43070;587129;0;117789;-926;0;0;703991;0;-307203;0;0;-162994;-470196;233795;16351;0;-92665;-27537;-16600;0;36272;-24888;-109067;124728;-292;124436;-70203;0;54234;0
BCO DA AMAZONIA S.A. - PRUDENCIAL;1000081249;b1;S3;I;1;BELEM;PA;43070;220803;0;451525;-917;2136;0;673547;-115158;-245520;0;0;-68575;-429253;244294;280821;57318;-284305;-139614;-51864;0;531924;-354322;39959;284253;1224;285477;-231067;-2365;52045;-18627
SOCIETE GENERALE - PRUDENCIAL;1000080264;b1;S3;C;3;SAO PAULO;SP;43070;25377;254866;338075;-141189;150642;0;627772;-81316;-189843;-207534;0;-1650;-480342;147430;7188;21;-44147;-36577;-7340;12619;41169;-48254;-75320;72110;1588;73699;-39506;0;34193;0
AGIPLAN - PRUDENCIAL;1000083694;b1;S4;C;2;PORTO ALEGRE;RS;43070;564721;0;9166;0;17;0;573905;-29955;0;0;0;-134706;-164660;409245;4829;17904;-24897;-237395;-26828;0;584;-13255;-279058;130186;-356;129830;-49842;0;79988;-16849
ORIGINAL - PRUDENCIAL;1000080903;b1;S3;C;2;SAO PAULO;SP;43070;316609;0;223176;5814;7566;0;553165;-226667;-4642;0;0;-46070;-277379;275786;19491;4090;-127569;-185582;-16962;-202;66514;-32555;-272775;3012;-6144;-3133;26486;-24749;-1396;-4544
PARANÁ BANCO - PRUDENCIAL;1000080233;b1;S4;C;2;CURITIBA;PR;43070;481695;0;46636;723;161;0;529215;-180104;-733;0;0;-78119;-258956;270259;4388;1310;-25383;-105506;-13762;24014;2852;-15748;-127836;142423;196;142619;-12260;-7698;122662;-85142
BCO DES. DE MG S.A. - PRUDENCIAL;1000081328;b4;S3;I;1;BELO HORIZONTE;MG;43070;462800;0;46362;-3870;31;4;505327;-19650;-152653;0;0;-387950;-560253;-54926;10512;4270;-56044;-23804;-9711;-56223;46448;-44910;-129462;-184388;5729;-178659;37455;0;-141204;0
COOPERATIVA CENTRAL DE CRÉDITO, POUPANÇA E INVESTIMENTO DO SUL E SUDESTE - CENTRAL SICREDI SUL/SUDESTE;87437687;b3C;S3;I;2;PORTO ALEGRE;RS;43070;10820;0;466096;0;0;0;476916;-466028;0;0;0;-49;-466077;10839;0;0;-11197;148712;0;171;730;-149237;-10822;17;-17;0;0;0;0;0
MERCEDES-BENZ - PRUDENCIAL;1000080563;b2;S3;C;3;SAO PAULO;SP;43070;446112;25967;2368;0;0;0;474448;-47692;-161802;-17513;0;-58053;-285061;189387;8;7808;-39438;-50273;-10832;0;39696;-71412;-124443;64944;-2444;62500;-44342;0;18158;0
BANCO CNH INDUSTRIAL CAPITAL S.A - PRUDENCIAL;1000081407;b2;S3;I;3;CURITIBA;PR;43070;425652;10006;23676;-3604;0;0;455729;-41605;-99300;-7887;0;-66664;-215456;240273;2557;18;-24507;-43627;-11490;2832;20679;-16343;-69881;170392;-1924;168468;-34243;-2945;131280;-85488
HP FINANCIAL SERVICES AM S.A - PRUDENCIAL;1000082987;n1;S4;I;3;BARUERI;SP;43070;454;450609;0;0;0;0;451063;0;-29088;-369965;0;-5771;-404824;46239;0;0;-8;-14105;-3595;0;2981;-681;-15409;30830;3026;33856;-28520;0;5335;0
PORTO SEGURO - PRUDENCIAL;1000080642;n1;S4;C;2;SAO PAULO;SP;43070;423228;0;17306;-4875;0;0;435659;-45771;-1642;0;0;-188582;-235995;199664;316398;74623;-63490;-205706;-56064;0;44553;-152005;-41693;157971;0;157971;-56069;-7682;94220;0
HONDA - PRUDENCIAL;1000080611;b2;S4;C;3;SAO PAULO;SP;43070;394174;0;51770;-14436;0;0;431508;-136729;0;0;0;-73774;-210504;221004;434610;33779;-11454;-449019;-67478;0;80987;-31377;-9950;211054;1421;212475;-94171;0;118305;0
BCO MUFG BRASIL S.A. - PRUDENCIAL;1000081713;b1;S3;I;3;SAO PAULO;SP;43070;62774;0;314423;-41103;86483;0;422577;-112952;-319727;0;0;-9363;-442042;-19465;17832;515;-68986;-12430;-8528;0;215431;-29790;114043;94579;-4;94575;-49648;0;44926;0
BCO FIBRA S.A. - PRUDENCIAL;1000081483;b1;S3;C;2;SAO PAULO;SP;43070;248805;0;106526;55070;7549;0;417950;-241962;-47267;0;0;-71939;-361168;56782;10852;3831;-55424;-27042;-5995;360;53214;-73535;-93738;-36955;-168;-37124;13723;-297;-23697;0
MORGAN STANLEY - PRUDENCIAL;1000080628;b1;S3;C;3;SAO PAULO;SP;43070;4437;0;1115195;-738780;0;0;380852;-186528;-14262;0;-6430;0;-207220;173632;130366;0;-164888;-148774;-23477;0;57250;-11944;-161467;12165;101415;113581;34182;0;147763;-193015
COOPERATIVA DE CREDITO VALE DO ITAJAI - VIACREDI;82639451;b3S;S5;I;2;BLUMENAU;SC;43070;286350;0;93279;0;0;0;379630;-104799;-8460;0;0;-51881;-165140;214490;28539;14264;-53305;-64922;-274;0;8118;-16723;-84303;130187;-716;129471;0;-5243;124228;-64204
BCO DO EST. DE SE S.A. - PRUDENCIAL;1000081634;b1;S4;C;1;ARACAJU;SE;43070;277419;0;72440;-17;0;11163;361005;-117707;-2720;0;0;-25100;-145527;215478;40176;21181;-84389;-79868;-18025;264;24205;-19553;-116009;99469;1520;100989;-34098;-8520;58371;-11375
BCO TOYOTA DO BRASIL S.A. - PRUDENCIAL;1000081562;b2;S4;I;3;SAO PAULO;SP;43070;406678;31785;23195;-109387;0;0;352271;-80945;-11379;-21722;0;-10420;-124467;227804;0;31277;-27084;-88369;-19808;0;10523;-13743;-107205;120599;-3179;117419;-54975;-3416;59028;0
JOHN DEERE - PRUDENCIAL;1000080343;b1;S4;C;3;INDAIATUBA;SP;43070;343791;0;7355;645;0;0;351790;-8450;-113568;0;0;-91610;-213629;138162;23224;124;-16709;-13581;-10063;0;106;-1092;-17991;120171;-1950;118220;-53440;-2857;61924;0
COOPERATIVA DE CREDITO CREDICITRUS;54037916;b3S;S4;I;2;BEBEDOURO;SP;43070;232849;0;103955;0;0;0;336805;-96534;-42204;0;0;-37129;-175867;160938;6858;899;-52613;-34696;-876;0;23103;-6646;-63971;96966;-618;96348;74;-4419;92002;-66884
XP INVESTIMENTOS CCTVM S/A - PRUDENCIAL;1000082475;n2;S4;C;2;RIO DE JANEIRO;RJ;43070;234;0;231336;78927;7230;0;317726;-45380;-10137;0;0;-461;-55977;261749;508281;165490;-75195;-479518;-65098;7900;68928;-107871;22916;284665;-1216;283449;-69658;-96456;117335;0
APE POUPEX - PRUDENCIAL;1000081184;n1;S3;I;2;BRASILIA;DF;43070;128296;0;150334;0;0;32164;310794;-185429;0;0;0;-5759;-191188;119606;0;2377;-57381;-17727;-6540;0;2821;-14482;-90933;28673;1901;30574;0;0;30574;0
PINE - PRUDENCIAL;1000080374;b1;S3;C;2;SAO PAULO;SP;43070;213738;0;86592;3189;7213;0;310732;-272699;-21839;0;0;-307947;-602486;-291754;36747;3444;-46156;-52227;-7450;387;11787;-47974;-101443;-393196;5673;-387523;154196;-8818;-242145;0
SOFISA - PRUDENCIAL;1000080271;b1;S4;C;2;SAO PAULO;SP;43070;220885;449;65554;4326;8897;0;300110;-141061;-3025;-422;0;-9109;-153617;146493;545;14713;-33641;-45540;-10775;1379;12185;-9958;-71092;75402;2105;77506;-18143;-10041;49322;-28130
BCO DE LAGE LANDEN BRASIL S.A. - PRUDENCIAL;1000081421;b2;S4;I;3;PORTO ALEGRE;RS;43070;212812;69455;17618;0;0;0;299885;-1870;-73834;-55938;0;-21235;-152876;147009;0;132;-27889;-24308;-6727;1705;15498;-14244;-55833;91176;438;91614;-17711;0;73903;-58266
BOCOM - PRUDENCIAL;1000084624;b1;S4;C;3;SALVADOR;BA;43070;142835;0;85276;20639;33029;0;281779;-129887;-70024;0;0;-12502;-212413;69365;22340;3538;-37918;-25972;-12176;-71;74086;-50301;-26473;42892;-1620;41272;-4840;-16211;20221;-20570
COOPERATIVA CENTRAL DE CRÉDITO, POUPANÇA E INVESTIMENTO DOS ESTADOS DO PARANÁ, SÃO PAULO E RIO DE JANEIRO - CENTRAL SICREDI PR/SP/RJ;80230774;b3C;S3;I;2;CURITIBA;PR;43070;5570;0;270301;0;0;0;275871;-270301;0;0;0;4;-270297;5573;0;0;-11395;108051;0;87;1172;-103479;-5564;9;-9;0;0;0;0;0
BANCO CBSS - PRUDENCIAL;1000084655;b2;S4;I;3;BARUERI;SP;43070;267493;0;6604;0;0;0;274097;-27565;0;0;-38;-133375;-160979;113118;9858;21982;-11755;-124529;-14754;0;34458;-82591;-167332;-54214;0;-54214;16224;-885;-38875;0
DEUTSCHE - PRUDENCIAL;1000080532;b1;S3;C;3;SAO PAULO;SP;43070;118120;0;129740;-26140;44249;0;265968;-94376;-84828;0;0;21466;-157739;108229;77133;762;-63866;-43502;-8236;0;71114;-60379;-26975;81254;-611;80643;-38180;0;42463;0
INTER - PRUDENCIAL;1000080996;b1;S4;C;2;BELO HORIZONTE;MG;43070;227207;0;36255;10;447;0;263920;-116817;-1565;0;0;-20249;-138630;125289;7731;4466;-40562;-56936;-7306;6910;3148;-5346;-87895;37394;-4757;32637;-6533;0;26104;-12309
COOPERATIVA CENTRAL DE CRÉDITO DE SANTA CATARINA E RIO GRANDE DO SUL - SICOOB CENTRAL SC/RS;80160260;b3C;S4;I;2;FLORIANOPOLIS;SC;43070;11318;0;239452;0;0;132;250901;-242221;-12236;0;0;-269;-254726;-3825;256;0;-8500;-7407;-71;0;19468;-83;3663;-162;281;120;-120;0;0;0
ING - PRUDENCIAL;1000080501;b1;S3;C;3;SAO PAULO;SP;43070;15264;0;129282;35313;68116;0;247976;-60811;-151574;0;0;-56574;-268959;-20984;26615;0;-34811;-8142;-5067;0;13474;-2959;-10890;-31873;10512;-21361;28946;-1085;6499;-55396
CIELO - PRUDENCIAL;1000084710;n4;;C;2;BARUERI;SP;43070;0;0;221329;25940;0;0;247269;0;-272802;0;0;-998;-273800;-26531;6246835;0;-249314;-820232;-559603;-43235;1177765;-2510209;3242007;3215476;-74441;3141035;-958827;-41385;2140824;0
BANCO FIDIS - PRUDENCIAL;1000081751;b2;S4;I;3;BETIM;MG;43070;225782;0;19462;759;0;0;246002;-122691;-374;-26;0;-37192;-160284;85719;12385;2;-9182;-20051;-6328;0;24823;-6953;-5305;80413;-17243;63170;-7984;-617;54568;-44918
VOLVO - PRUDENCIAL;1000080769;b2;S4;C;3;CURITIBA;PR;43070;206988;22342;16259;0;0;0;245589;-519;-87517;-16829;0;27018;-77847;167742;32853;2487;-19782;-53520;-10039;-745;11236;-7541;-45049;122693;-688;122004;-28346;-1763;91895;-53200
BCO TRIANGULO S.A. - PRUDENCIAL;1000081438;b1;S4;C;2;UBERLANDIA;MG;43070;217307;0;24022;0;0;0;241329;-47952;-6097;0;0;-72298;-126347;114982;43597;54533;-71284;-99092;-18005;3557;40694;-13112;-59113;55869;-4181;51688;-7235;-9922;34531;-15709
GOLDMAN SACHS - PRUDENCIAL;1000080714;b2;S3;C;3;SAO PAULO;SP;43070;0;0;275224;-46613;12402;0;241013;-21003;-93858;0;0;0;-114861;126152;206352;0;-114629;-55154;-21088;0;20933;-14737;21678;147830;-125;147705;62044;-2104;207646;-80000
COOPERATIVA CENTRAL DE CRÉDITO DE MINAS GERAIS LTDA. - SICOOB CENTRAL CREDIMINAS;25683434;b3C;S4;I;2;BELO HORIZONTE;MG;43070;6232;0;224170;0;0;0;230401;-214665;-9650;0;0;486;-223829;6572;217;0;-14046;-7836;-21;11462;22879;-1945;10710;17282;1;17283;-41;-588;16654;0
SICOOB COCRED COOPERATIVA DE CRÉDITO;71328769;b3S;S4;I;2;SERTAOZINHO;SP;43070;131265;0;99234;-342;0;0;230157;-55798;-34671;0;0;-41924;-132393;97765;4765;1860;-23414;-19885;-232;0;21067;-21376;-37216;60549;-39;60509;-630;0;59879;-12075
BCO CATERPILLAR S.A. - PRUDENCIAL;1000081397;b2;S4;C;3;SAO PAULO;SP;43070;220136;11200;79;-12882;0;0;218534;-13355;-54386;-9482;0;-49196;-126420;92114;9324;856;-27298;-18133;-5804;0;32423;-4510;-13142;78972;-5268;73703;-11041;0;62662;-48800
RENDIMENTO - PRUDENCIAL;1000080659;b1;S4;C;2;SAO PAULO;SP;43070;66920;0;20132;-3490;127879;0;211441;-23203;-2510;0;0;-4899;-30612;180829;30989;16061;-75023;-78452;-13978;0;27864;-33134;-125672;55157;-450;54708;-18697;-2893;33118;-8285
COOPERATIVA CENTRAL DE CRÉDITO DO ESTADO DE SÃO PAULO - SICOOB SÃO PAULO;63917579;b3C;S4;I;2;RIBEIRAO PRETO;SP;43070;52;0;208120;0;0;0;208172;-201265;0;0;0;0;-201265;6907;0;0;-2043;-1310;-12;7511;316;-2530;1931;8838;0;8838;0;0;8838;-15772
CREDIT AGRICOLE - PRUDENCIAL;1000080491;b1;S3;C;3;SAO PAULO;SP;43070;19036;0;112236;-37278;113554;0;207548;-36928;-92502;0;0;-2255;-131685;75863;25454;88;-42579;-28376;-6480;-248;11961;-29306;-69486;6377;75;6452;-14505;-1062;-9116;0
HAITONG - PRUDENCIAL;1000080666;b2;S3;C;3;SAO PAULO;SP;43070;20221;0;137863;45113;671;0;203868;-221791;-9216;0;0;-20050;-251058;-47190;5392;0;-24943;-17720;-2676;-19;449;-7591;-47108;-94298;12;-94286;42093;0;-52193;0
REALIZE CFI - PRUDENCIAL;1000084703;n1;S4;I;3;PORTO ALEGRE;RS;43070;201598;0;1485;0;0;0;203083;-5478;0;0;0;-118629;-124108;78975;22518;38473;-6957;-51279;-15075;0;20;-10624;-22924;56052;0;56052;-22183;0;33869;0
SOCOPA - PRUDENCIAL;1000080381;b1;S4;C;2;SAO PAULO;SP;43070;34252;0;67519;3337;96478;0;201586;-72196;-6307;0;0;3196;-75307;126280;62765;26281;-52945;-82264;-14079;0;2693;-17304;-74854;51426;-324;51103;-16058;-2533;32512;-14000
BCO SUMITOMO MITSUI BRASIL S.A. - PRUDENCIAL;1000081720;b1;S3;C;3;SAO PAULO;SP;43070;71921;0;162235;-47105;4412;0;191463;-96919;-38626;0;0;22283;-113262;78201;15150;9;-29278;-15488;-4989;0;11929;-20209;-42876;35325;-172;35153;2995;-1266;36882;-40000
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO UNIÃO PARANÁ/SÃO PAULO - SICREDI UNIÃO PR/SP;79342069;b3S;S4;I;2;MARINGA;PR;43070;157799;0;30655;0;0;64;188518;-40440;-19677;0;0;-23335;-83452;105067;38323;13381;-48469;-50293;-2137;0;7000;-31259;-73455;31612;814;32425;0;0;32425;-15823
