cat;Categoria;Data;Total da Carteira de Pessoa Jurídica;PJ_CG_Vencido_15d;PJ_CG_Vencer_90d;PJ_CG_Vencer_91-360d;PJ_CG_Vencer_361-1080d;PJ_CG_Vencer_1081-1800d;PJ_CG_Vencer_1801-5400d;PJ_CG_Vencer_acima_5400d;PJ_CG_TOTAL;PJ_I_Vencido_15d;PJ_I_Vencer_90d;PJ_I_Vencer_91-360d;PJ_I_Vencer_361-1080d;PJ_I_Vencer_1081-1800d;PJ_I_Vencer_1801-5400d;PJ_I_Vencer_acima_5400d;PJ_I_TOTAL;PJ_CGR_Vencido_15d;PJ_CGR_Vencer_90d;PJ_CGR_Vencer_91-360d;PJ_CGR_Vencer_361-1080d;PJ_CGR_Vencer_1081-1800d;PJ_CGR_Vencer_1801-5400d;PJ_CGR_Vencer_acima_5400d;PJ_CGR_TOTAL;PJ_Recebiveis_Vencido_15d;PJ_Recebiveis_Vencer_90d;PJ_Recebiveis_Vencer_91-360d;PJ_Recebiveis_Vencer_361-1080d;PJ_Recebiveis_Vencer_1081-1800d;PJ_Recebiveis_Vencer_1801-5400d;PJ_Recebiveis_Vencer_acima_5400d;PJ_Recebiveis_TOTAL;PJ_Comex_Vencido_15d;PJ_Comex_Vencer_90d;PJ_Comex_Vencer_91-360d;PJ_Comex_Vencer_361-1080d;PJ_Comex_Vencer_1081-1800d;PJ_Comex_Vencer_1801-5400d;PJ_Comex_Vencer_acima_5400d;PJ_Comex_TOTAL;PJ_Outros_Vencido_15d;PJ_Outros_Vencer_90d;PJ_Outros_Vencer_91-360d;PJ_Outros_Vencer_361-1080d;PJ_Outros_Vencer_1081-1800d;PJ_Outros_Vencer_1801-5400d;PJ_Outros_Vencer_acima_5400d;PJ_Outros_TOTAL;PJ_Infra_Vencido_15d;PJ_Infra_Vencer_90d;PJ_Infra_Vencer_91-360d;PJ_Infra_Vencer_361-1080d;PJ_Infra_Vencer_1081-1800d;PJ_Infra_Vencer_1801-5400d;PJ_Infra_Vencer_acima_5400d;PJ_Infra_TOTAL;PJ_Rural_Vencido_15d;PJ_Rural_Vencer_90d;PJ_Rural_Vencer_91-360d;PJ_Rural_Vencer_361-1080d;PJ_Rural_Vencer_1081-1800d;PJ_Rural_Vencer_1801-5400d;PJ_Rural_Vencer_acima_5400d;PJ_Rural_TOTAL;PJ_Hab_Vencido_15d;PJ_Hab_Vencer_90d;PJ_Hab_Vencer_91-360d;PJ_Hab_Vencer_361-1080d;PJ_Hab_Vencer_1081-1800d;PJ_Hab_Vencer_1801-5400d;PJ_Hab_Vencer_acima_5400d;PJ_Hab_TOTAL;Total Exterior Pessoa Jurídica
1;1 - Público;set/17;840.948.132;5.674.848;11.889.237;24.775.217;45.568.487;9.960.574;5.326.769;1.849.674;105.044.806;520.823;2.545.769;5.603.006;16.314.187;12.486.044;22.865.520;2.186.711;62.522.060;855.403;2.425.168;3.215.579;180.813;0;0;124.333;6.801.296;318.908;5.328.506;1.407.343;541.504;74.450;0;0;7.670.712;868.764;10.258.301;16.270.835;13.155.589;10.841.248;4.021.786;3.153.863;58.570.386;4.993.781;4.096.137;3.918.638;7.539.466;4.729.024;4.064.683;1.415.885;30.757.613;4.046.670;25.883.631;57.507.502;115.047.258;82.454.071;164.587.439;42.171.452;491.698.024;122.328;5.361.643;10.305.704;7.703.124;2.513.496;3.345.424;5.951;29.357.669;802.574;3.916.677;5.842.209;6.332.648;455.827;285.820;37.753;17.673.509;
1%;1 - Público;set/17;48,81%;52,08%;24,63%;30,98%;44,01%;44,98%;59,64%;84,67%;38,07%;37,40%;25,46%;30,62%;55,49%;85,45%;94,01%;83,45%;62,12%;34,17%;10,00%;35,61%;25,19%;0,00%;0,00%;46,04%;18,03%;34,26%;9,74%;7,44%;25,93%;20,52%;0,00%;0,00%;9,89%;49,13%;25,51%;28,42%;36,26%;68,24%;46,08%;100,00%;35,87%;55,97%;30,39%;25,12%;38,27%;51,43%;60,86%;77,64%;40,79%;88,13%;72,61%;66,64%;76,22%;84,54%;90,71%;90,57%;81,54%;89,73%;50,16%;45,68%;58,43%;61,54%;80,15%;69,99%;53,54%;62,54%;61,44%;47,46%;43,43%;18,38%;59,73%;95,19%;47,07%;
2;2 - Privado Nacional;set/17;658.564.651;3.533.118;25.347.042;41.489.466;44.314.873;8.680.227;2.434.238;7.451;125.806.414;694.166;3.788.343;7.194.862;7.067.062;1.158.309;365.727;2.561;20.271.031;1.390.489;17.747.308;3.984.832;237.557;12.578;759.995;3.800;24.136.558;394.592;28.640.808;6.499.377;918.513;204.821;141.673;445.016;37.244.799;520.087;18.421.091;23.487.680;15.357.758;2.902.138;4.042.930;0;64.731.684;2.849.358;6.671.155;9.294.032;9.363.607;3.386.866;2.335.197;303.515;34.203.729;240.351;6.281.591;18.609.579;24.350.695;11.505.015;13.478.968;2.432.229;76.898.428;8.190;3.204.994;6.731.388;3.149.474;884.385;473.233;724;14.452.388;290.921;1.130.978;4.077.994;7.506.901;1.979.598;185.705;865;15.172.962;
2%;2 - Privado Nacional;set/17;38,22%;32,42%;52,51%;51,88%;42,80%;39,20%;27,25%;0,34%;45,59%;49,85%;37,88%;39,32%;24,04%;7,93%;1,50%;0,10%;20,14%;55,55%;73,19%;44,13%;33,10%;8,96%;92,81%;1,41%;63,98%;42,40%;52,37%;34,37%;43,99%;56,44%;94,14%;97,36%;48,00%;29,41%;45,81%;41,03%;42,33%;18,27%;46,32%;0,00%;39,65%;31,94%;49,50%;59,57%;47,53%;36,84%;34,97%;16,64%;45,36%;5,23%;17,62%;21,57%;16,13%;11,80%;7,43%;5,22%;12,75%;6,01%;29,98%;29,84%;23,89%;21,65%;11,34%;8,52%;26,36%;22,67%;17,74%;33,13%;51,49%;79,84%;38,81%;2,18%;40,41%;
3;3 - Privado com Controle Estrangeiro;set/17;223.500.449;1.689.007;11.032.191;13.708.904;13.666.215;3.502.424;1.170.401;327.544;45.096.686;177.599;3.666.501;5.500.441;6.020.407;967.368;1.090.820;431.121;17.854.258;257.263;4.075.824;1.828.388;299.306;127.751;58.905;141.919;6.789.356;217.241;20.721.272;11.004.497;627.971;83.599;8.815;12.063;32.675.458;379.385;11.530.262;17.484.985;7.766.026;2.143.901;664.003;0;39.968.562;1.078.696;2.710.133;2.388.990;2.798.889;1.078.492;278.562;104.266;10.438.028;304.834;3.484.390;10.174.264;11.541.554;3.578.405;3.372.712;1.958.157;34.414.317;5.809;2.122.161;5.522.128;2.329.901;686.637;355.289;1.827;11.023.752;189.897;1.326.912;2.388.998;740.143;44.098;6.968;1.043;4.698.059;
3%;3 - Privado com Controle Estrangeiro;set/17;12,97%;15,50%;22,86%;17,14%;13,20%;15,82%;13,10%;14,99%;16,34%;12,75%;36,66%;30,06%;20,48%;6,62%;4,48%;16,45%;17,74%;10,28%;16,81%;20,25%;41,70%;91,04%;7,19%;52,55%;18,00%;23,34%;37,89%;58,19%;30,08%;23,04%;5,86%;2,64%;42,11%;21,46%;28,68%;30,54%;21,41%;13,49%;7,61%;0,00%;24,48%;12,09%;20,11%;15,31%;14,21%;11,73%;4,17%;5,72%;13,84%;6,64%;9,77%;11,79%;7,65%;3,67%;1,86%;4,21%;5,71%;4,26%;19,85%;24,48%;17,67%;16,81%;8,51%;21,49%;20,10%;14,80%;20,82%;19,41%;5,08%;1,78%;1,46%;2,63%;12,51%;
b1;b1 - Banco Comercial, Banco Múltiplo com Carteira Comercial ou Caixa Econômica;set/17;1.311.081.584;10.433.294;43.441.885;72.263.436;95.724.053;20.087.790;8.274.742;2.178.434;252.403.635;1.231.393;6.743.013;13.419.298;23.412.019;13.214.134;23.894.684;2.616.160;84.530.702;2.423.778;22.783.047;7.305.817;646.542;127.751;808.184;266.252;34.361.372;799.196;45.886.851;14.609.120;1.993.360;335.407;148.980;457.075;64.229.990;1.764.967;40.209.343;57.217.202;36.279.372;15.887.288;8.709.211;3.153.863;163.221.247;8.714.452;12.854.862;14.646.052;18.659.985;8.805.490;6.489.504;1.807.172;71.977.518;1.820.247;18.133.698;46.250.788;68.631.391;35.328.547;66.739.917;21.327.870;258.232.457;109.443;10.215.311;21.006.833;11.019.225;2.605.449;2.610.346;8.360;47.574.968;1.280.559;6.371.149;12.286.402;14.573.663;2.479.446;478.131;39.658;37.509.007;
b1%;b1 - Banco Comercial, Banco Múltiplo com Carteira Comercial ou Caixa Econômica;set/17;76,09%;95,74%;90,00%;90,36%;92,44%;90,72%;92,65%;99,71%;91,47%;88,42%;67,43%;73,34%;79,63%;90,44%;98,24%;99,84%;83,99%;96,83%;93,96%;80,92%;90,09%;91,04%;98,69%;98,59%;91,08%;85,87%;83,90%;77,25%;95,47%;92,43%;99,00%;100,00%;82,78%;99,82%;100,00%;99,95%;100,00%;100,00%;99,78%;100,00%;99,97%;97,68%;95,38%;93,87%;94,71%;95,77%;97,17%;99,10%;95,46%;39,64%;50,87%;53,60%;45,47%;36,22%;36,78%;45,81%;42,82%;80,28%;95,57%;93,12%;83,59%;63,79%;62,54%;98,33%;86,76%;99,78%;99,95%;99,81%;99,96%;100,00%;99,92%;99,99%;99,91%;
b2;b2 - Banco Múltiplo sem Carteira Comercial ou Banco de Investimento ou Banco de Câmbio;set/17;37.480.534;100.610;1.481.933;1.086.549;870.504;275.176;25.223;0;3.839.994;74.372;2.217.295;2.383.581;2.310.908;310.627;13.836;0;7.310.620;0;0;0;0;0;0;0;0;38.852;4.986.210;3.974.616;89.612;27.426;1.508;0;9.118.223;3.215;170;25.975;0;0;19.508;0;48.869;41.571;87.155;115.103;54.056;14.211;4.308;0;316.404;222.048;2.200.980;5.137.464;6.846.389;1.755.218;290.352;15.617;16.468.068;1.170;31.956;84.537;160.452;80.116;20.125;0;378.356;0;0;0;0;0;0;0;0;
b2%;b2 - Banco Múltiplo sem Carteira Comercial ou Banco de Investimento ou Banco de Câmbio;set/17;2,18%;0,92%;3,07%;1,36%;0,84%;1,24%;0,28%;0,00%;1,39%;5,34%;22,17%;13,03%;7,86%;2,13%;0,06%;0,00%;7,26%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;4,17%;9,12%;21,02%;4,29%;7,56%;1,00%;0,00%;11,75%;0,18%;0,00%;0,05%;0,00%;0,00%;0,22%;0,00%;0,03%;0,47%;0,65%;0,74%;0,27%;0,15%;0,06%;0,00%;0,42%;4,84%;6,17%;5,95%;4,54%;1,80%;0,16%;0,03%;2,73%;0,86%;0,30%;0,37%;1,22%;1,96%;0,48%;0,00%;0,69%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;
b3S;b3S - Cooperativa de Crédito Singulares;set/17;30.849.776;314.867;2.661.074;5.647.696;6.289.446;1.639.176;512.706;6.234;17.071.199;24.332;365.385;918.199;1.103.006;286.077;125.489;1.194;2.823.681;79.377;1.458.732;1.718.984;66.670;11.579;10.717;3.800;3.349.858;83.283;3.306.912;280.385;1.573;24;0;4;3.672.181;0;0;0;0;0;0;0;0;161.064;511.696;778.417;910.408;348.036;178.282;16.280;2.904.183;1.048;20.039;29.546;31.272;3.579;1.097;0;86.581;1.359;225.841;629.298;79.931;4.392;1.272;0;942.093;0;0;0;0;0;0;0;0;
b3S%;b3S - Cooperativa de Crédito Singulares;set/17;1,79%;2,89%;5,51%;7,06%;6,07%;7,40%;5,74%;0,29%;6,19%;1,75%;3,65%;5,02%;3,75%;1,96%;0,52%;0,05%;2,81%;3,17%;6,02%;19,04%;9,29%;8,25%;1,31%;1,41%;8,88%;8,95%;6,05%;1,48%;0,08%;0,01%;0,00%;0,00%;4,73%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;1,81%;3,80%;4,99%;4,62%;3,79%;2,67%;0,89%;3,85%;0,02%;0,06%;0,03%;0,02%;0,00%;0,00%;0,00%;0,01%;1,00%;2,11%;2,79%;0,61%;0,11%;0,03%;0,00%;1,72%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;
b3C;b3C - Central e Confederação de Cooperativas de Crédito;set/17;1.089.409;0;408.746;444.421;118.005;29.929;6.213;0;1.007.314;0;863;2.563;4.870;380;724;0;9.401;0;0;1.008;0;999;0;0;2.007;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;525;10.451;30.859;15.235;62;12;164;57.309;2.164;4.354;3.013;2.504;1.343;0;0;13.380;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
