cat;Categoria;Total da Carteira de Pessoa Jurídica;PJ_CG_Vencido_15d;PJ_CG_Vencer_90d;PJ_CG_Vencer_91-360d;PJ_CG_Vencer_361-1080d;PJ_CG_Vencer_1081-1800d;PJ_CG_Vencer_1801-5400d;PJ_CG_Vencer_acima_5400d;PJ_CG_TOTAL;PJ_I_Vencido_15d;PJ_I_Vencer_90d;PJ_I_Vencer_91-360d;PJ_I_Vencer_361-1080d;PJ_I_Vencer_1081-1800d;PJ_I_Vencer_1801-5400d;PJ_I_Vencer_acima_5400d;PJ_I_TOTAL;PJ_CGR_Vencido_15d;PJ_CGR_Vencer_90d;PJ_CGR_Vencer_91-360d;PJ_CGR_Vencer_361-1080d;PJ_CGR_Vencer_1081-1800d;PJ_CGR_Vencer_1801-5400d;PJ_CGR_Vencer_acima_5400d;PJ_CGR_TOTAL;PJ_Recebiveis_Vencido_15d;PJ_Recebiveis_Vencer_90d;PJ_Recebiveis_Vencer_91-360d;PJ_Recebiveis_Vencer_361-1080d;PJ_Recebiveis_Vencer_1081-1800d;PJ_Recebiveis_Vencer_1801-5400d;PJ_Recebiveis_Vencer_acima_5400d;PJ_Recebiveis_TOTAL;PJ_Comex_Vencido_15d;PJ_Comex_Vencer_90d;PJ_Comex_Vencer_91-360d;PJ_Comex_Vencer_361-1080d;PJ_Comex_Vencer_1081-1800d;PJ_Comex_Vencer_1801-5400d;PJ_Comex_Vencer_acima_5400d;PJ_Comex_TOTAL;PJ_Outros_Vencido_15d;PJ_Outros_Vencer_90d;PJ_Outros_Vencer_91-360d;PJ_Outros_Vencer_361-1080d;PJ_Outros_Vencer_1081-1800d;PJ_Outros_Vencer_1801-5400d;PJ_Outros_Vencer_acima_5400d;PJ_Outros_TOTAL;PJ_Infra_Vencido_15d;PJ_Infra_Vencer_90d;PJ_Infra_Vencer_91-360d;PJ_Infra_Vencer_361-1080d;PJ_Infra_Vencer_1081-1800d;PJ_Infra_Vencer_1801-5400d;PJ_Infra_Vencer_acima_5400d;PJ_Infra_TOTAL;PJ_Rural_Vencido_15d;PJ_Rural_Vencer_90d;PJ_Rural_Vencer_91-360d;PJ_Rural_Vencer_361-1080d;PJ_Rural_Vencer_1081-1800d;PJ_Rural_Vencer_1801-5400d;PJ_Rural_Vencer_acima_5400d;PJ_Rural_TOTAL;PJ_Hab_Vencido_15d;PJ_Hab_Vencer_90d;PJ_Hab_Vencer_91-360d;PJ_Hab_Vencer_361-1080d;PJ_Hab_Vencer_1081-1800d;PJ_Hab_Vencer_1801-5400d;PJ_Hab_Vencer_acima_5400d;PJ_Hab_TOTAL;Total Exterior Pessoa Jurídica
1;1 - Público;set/16;956.426.251;5.141.011;22.372.779;31.627.893;44.666.269;19.040.571;4.003.853;1.008.902;127.861.278;281.816;1.088.432;3.292.255;8.191.482;5.433.150;20.752.416;4.199.523;43.239.075;1.257.753;3.958.202;5.166.153;357.319;2.433;0;83.614;10.825.475;566.675;7.074.466;1.844.765;570.805;171.269;54.455;192;10.282.627;565.118;11.443.311;19.826.130;14.916.507;11.155.362;5.129.648;0;63.036.076;5.759.551;6.442.920;10.177.755;18.909.798;18.747.406;8.025.521;441.642;68.504.593;4.142.299;26.734.624;62.192.199;128.308.840;93.080.323;185.376.751;44.989.316;544.824.352;330.925;6.049.028;7.771.024;6.726.272;2.653.114;4.022.976;16.683;27.570.021;315.653;4.735.376;5.760.663;7.277.925;710.041;394.118;6.509;19.200.285
1%;1 - Público;set/16;48,64%;49,75%;35,62%;35,15%;43,39%;60,04%;55,35%;79,32%;41,74%;23,70%;11,96%;18,29%;35,63%;69,51%;93,86%;89,53%;50,34%;32,04%;12,72%;47,82%;46,60%;1,20%;0,00%;28,97%;22,78%;33,90%;13,18%;11,04%;41,02%;16,91%;15,24%;1,23%;13,74%;30,40%;29,28%;32,26%;39,54%;60,26%;67,00%;0,00%;37,90%;50,06%;37,64%;43,30%;60,45%;82,27%;79,50%;60,36%;58,54%;80,01%;72,21%;70,10%;72,51%;84,64%;91,18%;90,70%;81,22%;78,68%;45,59%;27,98%;50,58%;51,08%;84,00%;73,97%;42,57%;40,75%;62,89%;40,15%;39,77%;20,39%;20,73%;69,31%;41,43%
2;2 - Privado Nacional;set/16;777.035.247;4.360.465;28.133.906;43.832.031;45.353.536;8.982.798;2.081.896;12.335;132.756.968;709.744;5.049.548;9.392.293;8.847.177;1.384.678;232.233;7.785;25.623.458;2.334.771;21.415.306;3.934.882;78.556;44.732;360.127;4.628;28.173.002;770.553;28.939.732;5.268.341;584.671;294.055;267.907;2.413;36.127.673;637.778;14.611.343;23.080.635;16.216.138;5.836.606;1.508.669;36.462;61.927.632;4.679.393;7.534.951;9.547.149;9.125.546;2.983.758;1.815.134;41.783;35.727.713;532.311;6.853.498;17.875.718;33.515.082;13.167.023;15.359.247;2.731.442;90.034.320;52.721;5.646.052;16.262.276;4.997.057;1.890.853;442.046;92;29.291.096;245.670;1.484.687;5.247.043;8.733.368;2.559.985;162.883;1.325;18.434.961
2%;2 - Privado Nacional;set/16;39,51%;42,20%;44,79%;48,71%;44,05%;28,33%;28,78%;0,97%;43,34%;59,69%;55,49%;52,19%;38,48%;17,71%;1,05%;0,17%;29,83%;59,48%;68,82%;36,42%;10,24%;22,01%;86,43%;1,60%;59,28%;46,10%;53,90%;31,53%;42,01%;29,04%;74,96%;15,47%;48,27%;34,31%;37,39%;37,56%;42,99%;31,53%;19,70%;89,02%;37,23%;40,67%;44,03%;40,61%;29,17%;13,09%;17,98%;5,71%;30,53%;10,28%;18,51%;20,15%;18,94%;11,97%;7,55%;5,51%;13,42%;12,53%;42,55%;58,55%;37,58%;36,40%;9,23%;0,41%;45,22%;31,72%;19,72%;36,57%;47,73%;73,50%;8,57%;14,11%;39,78%
3;3 - Privado com Controle Estrangeiro;set/16;232.976.448;831.224;12.302.080;14.529.628;12.927.864;3.687.815;1.148.173;250.757;45.677.541;197.480;2.961.471;5.310.972;5.951.469;998.920;1.124.507;483.122;17.027.939;333.024;5.743.608;1.703.013;330.965;156.035;56.554;200.418;8.523.619;334.228;17.674.136;9.596.504;236.175;547.294;35.033;12.996;28.436.364;656.072;13.028.171;18.542.501;6.590.441;1.520.528;1.018.431;4.498;41.360.641;1.065.938;3.137.206;3.782.050;3.245.299;1.056.648;254.798;248.307;12.790.246;502.356;3.436.073;8.651.547;15.133.491;3.724.619;2.580.431;1.879.125;35.907.643;36.949;1.574.375;3.740.773;1.574.950;650.263;324.428;5.779;7.907.518;213.221;1.309.482;3.341.327;2.287.383;212.926;1.344.534;1.557;8.710.430
3%;3 - Privado com Controle Estrangeiro;set/16;11,85%;8,04%;19,59%;16,15%;12,56%;11,63%;15,87%;19,71%;14,91%;16,61%;32,55%;29,51%;25,89%;12,78%;5,09%;10,30%;19,83%;8,48%;18,46%;15,76%;43,16%;76,79%;13,57%;69,43%;17,94%;20,00%;32,92%;57,43%;16,97%;54,05%;9,80%;83,30%;37,99%;35,29%;33,33%;30,18%;17,47%;8,21%;13,30%;10,98%;24,87%;9,27%;18,33%;16,09%;10,37%;4,64%;2,52%;33,93%;10,93%;9,70%;9,28%;9,75%;8,55%;3,39%;1,27%;3,79%;5,35%;8,78%;11,86%;13,47%;11,84%;12,52%;6,77%;25,62%;12,21%;27,53%;17,39%;23,29%;12,50%;6,11%;70,71%;16,58%;18,79%
b1;b1 - Banco Comercial, Banco Múltiplo com Carteira Comercial ou Caixa Econômica;set/16;1.508.953.028;9.719.233;58.308.985;83.220.936;96.564.920;30.041.597;6.684.532;1.268.921;285.809.123;1.000.948;6.631.226;13.413.058;16.819.036;6.282.640;21.672.267;4.678.403;70.497.579;3.837.464;29.482.835;9.151.716;705.034;184.269;410.454;284.032;44.055.803;1.418.069;46.160.969;12.306.789;1.328.664;998.096;335.285;15.600;62.563.472;1.853.299;39.060.726;61.449.258;37.723.087;18.512.497;7.638.990;38.987;166.276.843;11.319.768;16.374.453;22.175.344;30.329.896;22.490.905;9.919.975;707.572;113.317.913;3.662.949;17.862.808;43.425.116;82.774.020;38.267.367;67.513.746;22.497.590;276.003.596;397.855;12.775.454;26.342.645;11.405.709;3.604.120;3.010.651;22.029;57.558.463;774.536;7.472.233;14.335.066;18.295.868;3.480.155;1.901.408;9.392;46.268.659
b1%;b1 - Banco Comercial, Banco Múltiplo com Carteira Comercial ou Caixa Econômica;set/16;76,74%;94,06%;92,84%;92,48%;93,80%;94,74%;92,41%;99,76%;93,31%;84,18%;72,88%;74,54%;73,16%;80,37%;98,02%;99,74%;82,08%;97,76%;94,75%;84,71%;91,94%;90,68%;98,51%;98,40%;92,71%;84,84%;85,98%;73,65%;95,47%;98,57%;93,81%;100,00%;83,59%;99,70%;99,94%;100,00%;100,00%;100,00%;99,77%;95,18%;99,97%;98,39%;95,67%;94,34%;96,96%;98,70%;98,26%;96,70%;96,83%;70,75%;48,25%;48,95%;46,78%;34,80%;33,21%;45,36%;41,15%;94,59%;96,28%;94,85%;85,77%;69,39%;62,86%;97,67%;88,87%;100,00%;99,24%;99,90%;99,98%;99,92%;99,99%;100,00%;99,83%
b2;b2 - Banco Múltiplo sem Carteira Comercial ou Banco de Investimento ou Banco de Câmbio;set/16;41.149.946;106.156;1.442.600;1.132.607;767.303;342.120;56.486;0;3.847.273;94.028;1.501.818;2.395.806;2.627.382;373.796;518;0;6.993.348;0;0;0;0;0;0;0;0;99.099;3.745.066;4.058.198;51.561;14.070;21.404;0;7.989.397;5.669;22.099;8;0;0;17.758;1.973;47.507;13.772;104.274;293.118;77.867;17.099;787;0;506.917;410.532;2.437.845;6.374.732;9.485.727;2.250.465;413.550;25.215;21.398.067;646;22.604;68.792;135.890;68.018;17.667;0;313.617;0;0;0;0;0;0;0;0
b2%;b2 - Banco Múltiplo sem Carteira Comercial ou Banco de Investimento ou Banco de Câmbio;set/16;2,09%;1,03%;2,30%;1,26%;0,75%;1,08%;0,78%;0,00%;1,26%;7,91%;16,50%;13,31%;11,43%;4,78%;0,00%;0,00%;8,14%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;5,93%;6,98%;24,29%;3,70%;1,39%;5,99%;0,00%;10,67%;0,30%;0,06%;0,00%;0,00%;0,00%;0,23%;4,82%;0,03%;0,12%;0,61%;1,25%;0,25%;0,08%;0,01%;0,00%;0,43%;7,93%;6,58%;7,19%;5,36%;2,05%;0,20%;0,05%;3,19%;0,15%;0,17%;0,25%;1,02%;1,31%;0,37%;0,00%;0,48%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%
