cat;Categoria;Data;Total_Carteira_PF;PF_Consignado_Vencido_15d;PF_Consignado_Vencer_90d;PF_Consignado_Vencer_91-360d;PF_Consignado_Vencer_361-1080d;PF_Consignado_Vencer_1081-1800d;PF_Consignado_Vencer_1801-5400d;PF_Consignado_Vencer_acima_5400d;PF_Consignado_TOTAL;PF_Não_Consignado_Vencido_15d;PF_Não_Consignado_Vencer_90d;PF_Não_Consignado_Vencer_91-360d;PF_Não_Consignado_Vencer_361-1080d;PF_Não_Consignado_Vencer_1081-1800d;PF_Não_Consignado_Vencer_1801-5400d;PF_Não_Consignado_Vencer_acima_5400d;PF_Não_Consignado_TOTAL;PF_Veículos_Vencido_15d;PF_Veículos_Vencer_90d;PF_Veículos_Vencer_91-360d;PF_Veículos_Vencer_361-1080d;PF_Veículos_Vencer_1081-1800d;PF_Veículos_Vencer_1801-5400d;PF_Veículos_Vencer_acima_5400d;PF_Veículos_TOTAL;PF_Hab_Vencido_15d;PF_Hab_Vencer_90d;PF_Hab_Vencer_91-360d;PF_Hab_Vencer_361-1080d;PF_Hab_Vencer_1081-1800d;PF_Hab_Vencer_1801-5400d;PF_Hab_Vencer_acima_5400d;PF_Hab_TOTAL;PF_Cartão_Vencido_15d;PF_Cartão_Vencer_90d;PF_Cartão_Vencer_91-360d;PF_Cartão_Vencer_361-1080d;PF_Cartão_Vencer_1081-1800d;PF_Cartão_Vencer_1801-5400d;PF_Cartão_Vencer_acima_5400d;PF_Cartão_TOTAL;PF_Rural_Vencido_15d;PF_Rural_Vencer_90d;PF_Rural_Vencer_91-360d;PF_Rural_Vencer_361-1080d;PF_Rural_Vencer_1081-1800d;PF_Rural_Vencer_1801-5400d;PF_Rural_Vencer_acima_5400d;PF_Rural_TOTAL;PF_Outros_Vencido_15d;PF_Outros_Vencer_90d;PF_Outros_Vencer_91-360d;PF_Outros_Vencer_361-1080d;PF_Outros_Vencer_1081-1800d;PF_Outros_Vencer_1801-5400d;PF_Outros_Vencer_acima_5400d;Outros_TOTAL;Total_Exterior_PF
1;1 - Público;set/16;845.022.790;2.483.914;11.761.571;30.558.716;54.664.033;28.403.977;14.788.361;326.804;142.987.377;1.997.955;5.623.933;12.160.104;12.952.270;4.727.981;1.983.743;774.025;40.220.010;568.572;2.519.327;5.967.369;7.569.518;856.902;3.182;26.776;17.511.645;1.994.741;12.689.045;33.588.398;77.088.945;61.667.673;169.366.426;75.449.045;431.844.272;3.396.652;25.099.915;4.573.834;233.750;71;0;587.312;33.891.535;2.935.823;16.469.792;41.208.887;36.486.043;23.223.996;24.790.039;1.180.651;146.295.230;3.700.104;8.258.353;7.892.280;4.880.359;2.565.946;2.486.883;405.237;30.189.161;2.083.560
1%;1 - Público;set/16;52,40%;64,65%;45,58%;45,99%;47,78%;52,12%;70,96%;99,58%;49,97%;26,72%;27,68%;37,82%;42,65%;55,65%;75,60%;97,47%;39,34%;16,54%;11,13%;11,44%;12,05%;13,03%;6,98%;92,05%;11,86%;90,31%;83,91%;85,45%;85,20%;84,90%;81,81%;74,22%;81,72%;17,92%;21,37%;13,79%;13,96%;0,05%;0,00%;95,59%;19,70%;76,90%;62,90%;63,82%;69,74%;76,22%;85,21%;99,96%;70,46%;35,86%;28,26%;32,73%;23,69%;31,42%;54,97%;79,65%;30,98%;2,94%
2;2 - Privado Nacional;set/16;577.337.014;979.212;11.506.189;29.366.002;49.721.581;22.176.866;4.970.853;1.163;118.721.867;4.997.968;13.444.185;16.936.994;14.187.701;3.015.562;574.175;19.955;53.176.541;1.959.617;12.190.311;27.868.478;34.299.772;3.689.793;25.968;4;80.033.942;164.419;1.309.430;3.018.069;7.740.734;6.834.834;27.535.081;21.873.632;68.476.198;12.566.555;71.541.845;22.736.706;534.380;10.795;110;27.065;107.417.457;645.530;7.568.747;18.102.523;9.130.520;3.889.233;2.972.054;418;42.309.025;4.788.621;15.367.329;10.633.534;9.987.989;3.337.791;1.291.120;97.054;45.503.439;61.698.546
2%;2 - Privado Nacional;set/16;35,80%;25,49%;44,59%;44,20%;43,46%;40,69%;23,85%;0,35%;41,49%;66,84%;66,18%;52,67%;46,72%;35,49%;21,88%;2,51%;52,02%;57,00%;53,84%;53,42%;54,62%;56,11%;56,99%;0,01%;54,19%;7,44%;8,66%;7,68%;8,55%;9,41%;13,30%;21,52%;12,96%;66,29%;60,90%;68,54%;31,92%;7,74%;0,27%;4,41%;62,43%;16,91%;28,91%;28,03%;17,45%;12,76%;10,22%;0,04%;20,38%;46,40%;52,58%;44,10%;48,49%;40,88%;28,54%;19,08%;46,69%;87,06%
3;3 - Privado com Controle Estrangeiro;set/16;190.197.483;378.856;2.535.945;6.516.717;10.019.999;3.916.505;1.080.432;207;24.448.660;481.339;1.247.630;3.057.319;3.227.216;752.793;66.049;162;8.832.508;909.746;7.933.128;18.330.782;20.931.934;2.028.923;16.418;2.307;50.153.238;49.714;1.123.442;2.702.309;5.654.487;4.135.581;10.121.564;4.331.658;28.118.754;2.994.678;20.833.523;5.859.991;905.739;128.584;41.481;24;30.764.021;236.595;2.144.674;5.263.841;6.701.203;3.357.474;1.331.430;0;19.035.218;1.830.692;5.598.421;5.585.822;5.728.851;2.261.628;746.013;6.450;21.757.876;7.087.208
3%;3 - Privado com Controle Estrangeiro;set/16;11,79%;9,86%;9,83%;9,81%;8,76%;7,19%;5,18%;0,06%;8,54%;6,44%;6,14%;9,51%;10,63%;8,86%;2,52%;0,02%;8,64%;26,46%;35,04%;35,14%;33,33%;30,86%;36,03%;7,93%;33,96%;2,25%;7,43%;6,87%;6,25%;5,69%;4,89%;4,26%;5,32%;15,80%;17,73%;17,67%;54,11%;92,21%;99,73%;0,00%;17,88%;6,20%;8,19%;8,15%;12,81%;11,02%;4,58%;0,00%;9,17%;17,74%;19,16%;23,17%;27,81%;27,70%;16,49%;1,27%;22,33%;10,00%
b1;b1 - Banco Comercial, Banco Múltiplo com Carteira Comercial ou Caixa Econômica;set/16;1.501.434.350;3.806.690;25.138.555;64.822.404;111.919.112;53.510.933;20.430.948;327.716;279.956.358;4.886.893;15.396.750;25.257.896;25.183.341;7.251.845;2.159.913;780.082;80.916.720;3.027.194;18.519.189;42.548.851;52.100.277;5.614.704;40.986;29.087;121.880.287;2.201.746;15.042.441;39.136.465;90.068.856;72.313.433;206.536.147;101.401.897;526.700.985;16.731.104;109.095.396;30.276.033;1.450.454;138.661;41.592;613.955;158.347.195;3.456.491;21.405.279;50.289.256;44.677.557;26.883.664;26.522.386;1.180.912;174.415.545;9.663.593;25.840.954;21.133.580;19.219.990;7.748.202;4.297.958;443.668;88.347.945;70.869.314
b1%;b1 - Banco Comercial, Banco Múltiplo com Carteira Comercial ou Caixa Econômica;set/16;93,11%;99,08%;97,42%;97,56%;97,83%;98,19%;98,04%;99,86%;97,83%;65,36%;75,79%;78,55%;82,93%;85,35%;82,31%;98,23%;79,15%;88,05%;81,79%;81,56%;82,96%;85,39%;89,94%;100,00%;82,52%;99,68%;99,47%;99,56%;99,54%;99,55%;99,76%;99,75%;99,67%;88,25%;92,87%;91,27%;86,65%;99,43%;100,00%;99,93%;92,02%;90,53%;81,75%;77,88%;85,40%;88,23%;91,16%;99,99%;84,00%;93,64%;88,42%;87,65%;93,31%;94,89%;95,00%;87,21%;90,66%;100,00%
b2;b2 - Banco Múltiplo sem Carteira Comercial ou Banco de Investimento ou Banco de Câmbio;set/16;32.697.702;1.097;8.246;22.350;24.528;2.550;0;0;58.770;15.669;22.214;39.371;35.399;3.660;798;0;117.112;280.701;3.296.856;7.599.023;8.297.142;735.401;707;0;20.209.829;0;0;0;0;0;0;0;0;1.007.143;2.817.480;1.048.106;173.952;0;0;0;5.046.681;76.910;416.686;1.665.636;2.989.053;1.502.062;450.505;0;7.100.852;9.058;34.243;59.744;49.812;10.080;1.521;0;164.458;0
b2%;b2 - Banco Múltiplo sem Carteira Comercial ou Banco de Investimento ou Banco de Câmbio;set/16;2,03%;0,03%;0,03%;0,03%;0,02%;0,00%;0,00%;0,00%;0,02%;0,21%;0,11%;0,12%;0,12%;0,04%;0,03%;0,00%;0,11%;8,16%;14,56%;14,57%;13,21%;11,18%;1,55%;0,00%;13,68%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;5,31%;2,40%;3,16%;10,39%;0,00%;0,00%;0,00%;2,93%;2,01%;1,59%;2,58%;5,71%;4,93%;1,55%;0,00%;3,42%;0,09%;0,12%;0,25%;0,24%;0,12%;0,03%;0,00%;0,17%;0,00%
