cat;Categoria;Data;Total_Carteira_PF;PF_Consignado_Vencido_15d;PF_Consignado_Vencer_90d;PF_Consignado_Vencer_91-360d;PF_Consignado_Vencer_361-1080d;PF_Consignado_Vencer_1081-1800d;PF_Consignado_Vencer_1801-5400d;PF_Consignado_Vencer_acima_5400d;PF_Consignado_TOTAL;PF_Não_Consignado_Vencido_15d;PF_Não_Consignado_Vencer_90d;PF_Não_Consignado_Vencer_91-360d;PF_Não_Consignado_Vencer_361-1080d;PF_Não_Consignado_Vencer_1081-1800d;PF_Não_Consignado_Vencer_1801-5400d;PF_Não_Consignado_Vencer_acima_5400d;PF_Não_Consignado_TOTAL;PF_Veículos_Vencido_15d;PF_Veículos_Vencer_90d;PF_Veículos_Vencer_91-360d;PF_Veículos_Vencer_361-1080d;PF_Veículos_Vencer_1081-1800d;PF_Veículos_Vencer_1801-5400d;PF_Veículos_Vencer_acima_5400d;PF_Veículos_TOTAL;PF_Hab_Vencido_15d;PF_Hab_Vencer_90d;PF_Hab_Vencer_91-360d;PF_Hab_Vencer_361-1080d;PF_Hab_Vencer_1081-1800d;PF_Hab_Vencer_1801-5400d;PF_Hab_Vencer_acima_5400d;PF_Hab_TOTAL;PF_Cartão_Vencido_15d;PF_Cartão_Vencer_90d;PF_Cartão_Vencer_91-360d;PF_Cartão_Vencer_361-1080d;PF_Cartão_Vencer_1081-1800d;PF_Cartão_Vencer_1801-5400d;PF_Cartão_Vencer_acima_5400d;PF_Cartão_TOTAL;PF_Rural_Vencido_15d;PF_Rural_Vencer_90d;PF_Rural_Vencer_91-360d;PF_Rural_Vencer_361-1080d;PF_Rural_Vencer_1081-1800d;PF_Rural_Vencer_1801-5400d;PF_Rural_Vencer_acima_5400d;PF_Rural_TOTAL;PF_Outros_Vencido_15d;PF_Outros_Vencer_90d;PF_Outros_Vencer_91-360d;PF_Outros_Vencer_361-1080d;PF_Outros_Vencer_1081-1800d;PF_Outros_Vencer_1801-5400d;PF_Outros_Vencer_acima_5400d;Outros_TOTAL;Total_Exterior_PF
1;1 - Público;set/15;799.707.424;2.352.091;10.500.926;29.003.504;56.880.968;28.374.269;9.302.153;220.528;136.634.440;1.990.720;5.946.118;12.758.255;14.163.747;4.515.210;1.901.380;261.265;41.536.695;520.839;2.646.171;6.524.934;9.047.074;1.288.353;4.300;21.458;20.053.129;2.058.560;12.285.532;32.004.155;72.860.391;58.022.316;156.289.929;67.075.180;400.596.064;3.768.134;23.665.028;4.308.536;259.856;383;0;208.446;32.210.382;2.611.763;15.873.186;37.700.184;31.702.265;22.253.332;25.607.246;77.097;135.825.072;3.088.998;8.738.716;8.600.345;4.742.092;2.425.773;2.309.007;303.338;30.208.269;2.643.374
1%;1 - Público;set/15;51,59%;64,38%;44,54%;46,16%;50,22%;54,63%;60,60%;99,46%;50,45%;29,15%;27,77%;37,68%;42,95%;54,72%;72,92%;94,82%;39,11%;14,34%;10,43%;11,01%;12,30%;15,68%;8,28%;90,89%;11,79%;92,37%;84,17%;85,97%;85,99%;85,65%;82,59%;74,71%;82,50%;21,23%;22,03%;13,85%;16,80%;0,30%;0,00%;99,66%;20,36%;80,57%;61,93%;61,87%;66,40%;74,47%;85,38%;99,93%;68,77%;33,51%;27,50%;35,77%;23,92%;31,91%;58,89%;73,22%;31,21%;4,07%
2;2 - Privado Nacional;set/15;533.762.509;889.393;10.874.545;28.111.517;47.572.693;20.499.881;5.295.400;918;113.244.347;3.648.057;12.805.200;16.274.537;13.741.884;2.601.001;640.825;8.718;49.720.222;2.214.385;13.733.638;31.652.380;39.075.232;4.214.754;38.304;1;90.928.695;119.976;1.160.057;2.477.844;6.010.669;5.563.712;20.844.942;16.937.139;53.114.338;10.859.868;61.493.269;21.540.313;478.813;11.417;23;573;94.384.277;405.351;7.023.322;16.882.639;8.960.262;4.137.169;3.023.821;53;40.432.617;3.977.690;16.550.314;9.393.709;9.283.792;2.793.451;987.245;98.195;43.084.396;48.853.617
2%;2 - Privado Nacional;set/15;34,43%;24,34%;46,12%;44,74%;42,00%;39,47%;34,50%;0,41%;41,81%;53,41%;59,80%;48,06%;41,67%;31,52%;24,57%;3,16%;46,81%;60,95%;54,11%;53,40%;53,11%;51,30%;73,78%;0,00%;53,44%;5,38%;7,95%;6,66%;7,09%;8,21%;11,01%;18,87%;10,94%;61,20%;57,25%;69,25%;30,95%;8,97%;0,09%;0,27%;59,67%;12,50%;27,40%;27,70%;18,77%;13,84%;10,08%;0,07%;20,47%;43,15%;52,09%;39,07%;46,82%;36,75%;25,18%;23,70%;44,51%;75,25%
3;3 - Privado com Controle Estrangeiro;set/15;216.690.894;411.972;2.201.834;5.720.150;8.806.880;3.063.203;752.510;277;20.956.826;1.191.118;2.662.417;4.827.078;5.072.818;1.135.756;65.442;5.553;14.960.184;897.690;9.002.837;21.093.635;25.453.041;2.713.093;9.311;2.149;59.171.755;50.040;1.151.349;2.743.937;5.858.111;4.160.668;12.109.509;5.768.175;31.841.790;3.117.656;22.252.077;5.256.407;808.506;115.407;26.992;137;31.577.181;224.406;2.733.416;6.354.427;7.084.615;3.492.019;1.360.514;0;21.249.396;2.152.047;6.484.270;6.048.605;5.801.418;2.382.100;624.890;12.753;23.506.083;13.427.679
3%;3 - Privado com Controle Estrangeiro;set/15;13,98%;11,28%;9,34%;9,10%;7,78%;5,90%;4,90%;0,13%;7,74%;17,44%;12,43%;14,26%;15,38%;13,76%;2,51%;2,02%;14,08%;24,71%;35,47%;35,59%;34,59%;33,02%;17,93%;9,10%;34,78%;2,25%;7,89%;7,37%;6,91%;6,14%;6,40%;6,42%;6,56%;17,57%;20,72%;16,90%;52,26%;90,72%;99,91%;0,07%;19,96%;6,92%;10,66%;10,43%;14,84%;11,69%;4,54%;0,00%;10,76%;23,34%;20,41%;25,16%;29,26%;31,34%;15,94%;3,08%;24,28%;20,68%
b1;b1 - Banco Comercial, Banco Múltiplo com Carteira Comercial ou Caixa Econômica;set/15;1.439.974.027;3.623.461;22.999.940;61.411.725;111.017.538;51.056.587;15.016.194;221.044;265.346.490;4.947.880;16.536.434;27.642.883;28.069.358;6.970.597;2.115.059;266.830;86.549.040;3.241.053;20.578.712;47.969.123;59.942.581;6.714.134;45.509;23.608;138.514.718;2.222.595;14.511.845;37.088.938;84.430.425;67.478.495;188.897.874;89.659.423;484.289.596;15.627.255;99.811.766;28.311.658;1.354.348;118.823;27.011;208.464;145.459.325;2.943.884;21.534.409;48.378.643;40.196.716;26.238.375;27.243.908;77.147;166.613.082;8.683.672;28.319.180;21.190.427;18.748.630;7.282.066;3.706.038;347.093;88.277.107;64.924.669
b1%;b1 - Banco Comercial, Banco Múltiplo com Carteira Comercial ou Caixa Econômica;set/15;92,89%;99,18%;97,55%;97,73%;98,02%;98,30%;97,82%;99,69%;97,97%;72,44%;77,22%;81,64%;85,11%;84,47%;81,11%;96,84%;81,48%;89,21%;81,07%;80,93%;81,47%;81,72%;87,66%;100,00%;81,41%;99,73%;99,42%;99,63%;99,65%;99,60%;99,82%;99,87%;99,74%;88,06%;92,93%;91,02%;87,54%;93,41%;99,99%;99,67%;91,96%;90,82%;84,02%;79,39%;84,19%;87,81%;90,84%;100,00%;84,36%;94,20%;89,13%;88,14%;94,56%;95,80%;94,51%;83,78%;91,20%;100,00%
b2;b2 - Banco Múltiplo sem Carteira Comercial ou Banco de Investimento ou Banco de Câmbio;set/15;37.599.276;618;7.762;20.760;22.102;2.087;0;0;53.328;8.285;23.847;47.151;49.440;6.206;1.602;0;136.532;257.580;3.995.664;9.266.306;10.899.869;1.203.821;1.315;0;25.624.554;0;0;0;0;0;0;0;0;904.174;2.590.237;1.030.361;129.614;0;0;118;4.654.504;77.096;432.053;1.549.432;2.862.304;1.542.766;472.716;0;6.936.367;17.306;47.853;57.992;58.197;9.842;2.801;0;193.991;0
b2%;b2 - Banco Múltiplo sem Carteira Comercial ou Banco de Investimento ou Banco de Câmbio;set/15;2,43%;0,02%;0,03%;0,03%;0,02%;0,00%;0,00%;0,00%;0,02%;0,12%;0,11%;0,14%;0,15%;0,08%;0,06%;0,00%;0,13%;7,09%;15,74%;15,63%;14,81%;14,65%;2,53%;0,00%;15,06%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;5,10%;2,41%;3,31%;8,38%;0,00%;0,00%;0,06%;2,94%;2,38%;1,69%;2,54%;5,99%;5,16%;1,58%;0,00%;3,51%;0,19%;0,15%;0,24%;0,29%;0,13%;0,07%;0,00%;0,20%;0,00%
