cat;Categoria;Total da Carteira de Pessoa Jurídica;PJ_CG_Vencido_15d;PJ_CG_Vencer_90d;PJ_CG_Vencer_91-360d;PJ_CG_Vencer_361-1080d;PJ_CG_Vencer_1081-1800d;PJ_CG_Vencer_1801-5400d;PJ_CG_Vencer_acima_5400d;PJ_CG_TOTAL;PJ_I_Vencido_15d;PJ_I_Vencer_90d;PJ_I_Vencer_91-360d;PJ_I_Vencer_361-1080d;PJ_I_Vencer_1081-1800d;PJ_I_Vencer_1801-5400d;PJ_I_Vencer_acima_5400d;PJ_I_TOTAL;PJ_CGR_Vencido_15d;PJ_CGR_Vencer_90d;PJ_CGR_Vencer_91-360d;PJ_CGR_Vencer_361-1080d;PJ_CGR_Vencer_1081-1800d;PJ_CGR_Vencer_1801-5400d;PJ_CGR_Vencer_acima_5400d;PJ_CGR_TOTAL;PJ_Recebiveis_Vencido_15d;PJ_Recebiveis_Vencer_90d;PJ_Recebiveis_Vencer_91-360d;PJ_Recebiveis_Vencer_361-1080d;PJ_Recebiveis_Vencer_1081-1800d;PJ_Recebiveis_Vencer_1801-5400d;PJ_Recebiveis_Vencer_acima_5400d;PJ_Recebiveis_TOTAL;PJ_Comex_Vencido_15d;PJ_Comex_Vencer_90d;PJ_Comex_Vencer_91-360d;PJ_Comex_Vencer_361-1080d;PJ_Comex_Vencer_1081-1800d;PJ_Comex_Vencer_1801-5400d;PJ_Comex_Vencer_acima_5400d;PJ_Comex_TOTAL;PJ_Outros_Vencido_15d;PJ_Outros_Vencer_90d;PJ_Outros_Vencer_91-360d;PJ_Outros_Vencer_361-1080d;PJ_Outros_Vencer_1081-1800d;PJ_Outros_Vencer_1801-5400d;PJ_Outros_Vencer_acima_5400d;PJ_Outros_TOTAL;PJ_Infra_Vencido_15d;PJ_Infra_Vencer_90d;PJ_Infra_Vencer_91-360d;PJ_Infra_Vencer_361-1080d;PJ_Infra_Vencer_1081-1800d;PJ_Infra_Vencer_1801-5400d;PJ_Infra_Vencer_acima_5400d;PJ_Infra_TOTAL;PJ_Rural_Vencido_15d;PJ_Rural_Vencer_90d;PJ_Rural_Vencer_91-360d;PJ_Rural_Vencer_361-1080d;PJ_Rural_Vencer_1081-1800d;PJ_Rural_Vencer_1801-5400d;PJ_Rural_Vencer_acima_5400d;PJ_Rural_TOTAL;PJ_Hab_Vencido_15d;PJ_Hab_Vencer_90d;PJ_Hab_Vencer_91-360d;PJ_Hab_Vencer_361-1080d;PJ_Hab_Vencer_1081-1800d;PJ_Hab_Vencer_1801-5400d;PJ_Hab_Vencer_acima_5400d;PJ_Hab_TOTAL;Total Exterior Pessoa Jurídica
1;1 - Público;set/15;1.029.412.549;5.247.484;19.026.342;42.020.730;55.256.185;24.541.630;2.948.965;339.962;149.381.299;700.166;3.185.851;5.734.031;15.038.950;17.300.436;25.843.106;5.838.410;73.640.951;1.329.894;4.880.804;5.538.969;516.000;7.731;0;24.841;12.298.239;743.408;9.857.619;2.347.673;259.061;282.931;832.658;278.403;14.601.752;429.051;8.970.916;15.793.729;3.445.482;4.246.731;3.002.974;3.806;35.892.689;3.815.820;6.622.745;12.265.819;14.395.633;17.114.304;11.220.685;228.348;65.663.354;1.364.218;28.341.207;69.892.824;132.478.021;98.502.748;195.714.525;44.773.882;571.067.425;199.581;4.877.659;5.931.742;3.651.161;2.584.731;3.809.708;15.380;21.069.962;87.007;4.925.603;4.721.275;6.813.233;1.156.372;438.950;414;18.142.855
1%;1 - Público;set/15;47,01%;49,81%;28,28%;38,48%;47,96%;63,03%;49,28%;36,54%;42,91%;49,94%;26,25%;24,23%;43,14%;81,57%;94,74%;86,40%;57,84%;34,28%;13,11%;44,02%;47,44%;3,37%;0,00%;11,30%;22,20%;44,63%;16,30%;13,29%;14,11%;22,65%;86,17%;99,19%;17,35%;23,22%;24,89%;26,04%;13,88%;31,41%;52,62%;6,83%;25,16%;46,49%;36,60%;49,36%;55,13%;83,50%;88,83%;34,20%;59,13%;56,84%;70,28%;67,85%;72,74%;83,76%;93,41%;95,26%;81,35%;75,95%;36,15%;21,48%;39,45%;48,39%;79,01%;93,12%;34,65%;26,91%;66,28%;34,49%;28,24%;18,47%;6,54%;0,16%;30,85%
2;2 - Privado Nacional;set/15;846.396.845;3.746.212;31.238.600;45.535.462;43.377.174;9.424.828;2.140.455;196.201;135.658.933;482.973;5.588.161;11.307.497;12.934.511;2.578.701;308.080;7.795;33.207.718;2.006.745;24.566.846;4.384.153;147.096;73.588;87.892;4.697;31.271.017;667.043;27.904.932;4.484.671;785.407;378.806;102.109;481;34.323.449;847.380;11.240.097;20.292.321;13.444.126;7.789.622;1.335.112;0;54.948.657;2.839.640;8.540.747;8.936.816;7.168.544;2.264.216;1.153.989;339.548;31.243.500;477.733;7.617.980;21.586.984;31.203.755;13.056.678;10.853.434;2.186.012;86.982.577;27.228;6.153.404;16.941.305;4.425.312;2.233.378;711.895;475;30.492.998;101.617;1.418.522;5.265.994;12.951.375;4.882.403;4.806.198;261.999;29.688.108
2%;2 - Privado Nacional;set/15;38,65%;35,56%;46,42%;41,70%;37,65%;24,20%;35,77%;21,09%;38,97%;34,45%;46,04%;47,78%;37,10%;12,16%;1,13%;0,12%;26,08%;51,73%;65,97%;34,84%;13,52%;32,10%;57,44%;2,14%;56,45%;40,04%;46,13%;25,39%;42,78%;30,33%;10,57%;0,17%;40,79%;45,86%;31,19%;33,46%;54,17%;57,61%;23,39%;0,00%;38,52%;34,59%;47,20%;35,97%;27,45%;11,05%;9,14%;50,85%;28,13%;19,90%;18,89%;20,96%;17,13%;11,10%;5,18%;4,65%;12,39%;10,36%;45,61%;61,33%;47,82%;41,81%;14,76%;2,87%;50,14%;31,43%;19,09%;38,47%;53,69%;78,00%;71,59%;99,07%;50,48%
3;3 - Privado com Controle Estrangeiro;set/15;314.117.905;1.540.608;17.023.845;21.637.965;16.590.763;4.971.206;894.252;394.253;63.052.892;218.864;3.364.389;6.623.499;6.885.863;1.331.161;1.127.258;911.472;20.462.506;542.933;7.792.612;2.659.720;424.564;147.928;65.125;190.327;11.823.210;255.412;22.730.814;10.831.999;791.322;587.136;31.575;1.784;35.230.042;571.143;15.830.934;24.557.537;7.927.226;1.484.442;1.369.355;51.953;51.792.590;1.553.108;2.931.524;3.645.620;4.546.344;1.117.449;257.147;99.793;14.150.986;558.217;4.368.476;11.523.757;18.450.263;6.036.239;2.962.614;43.337;43.942.903;35.969;2.460.932;4.748.104;1.177.734;523.394;300.276;662;9.247.071;134.725;1.087.499;3.702.440;4.358.788;220.798;1.468.802;2.037;10.975.089
3%;3 - Privado com Controle Estrangeiro;set/15;14,34%;14,62%;25,30%;19,82%;14,40%;12,77%;14,94%;42,37%;18,11%;15,61%;27,72%;27,99%;19,75%;6,28%;4,13%;13,49%;16,07%;13,99%;20,93%;21,14%;39,03%;64,53%;42,56%;86,57%;21,34%;15,33%;37,58%;61,32%;43,11%;47,01%;3,27%;0,64%;41,86%;30,91%;43,92%;40,49%;31,94%;10,98%;23,99%;93,17%;36,31%;18,92%;16,20%;14,67%;17,41%;5,45%;2,04%;14,95%;12,74%;23,26%;10,83%;11,19%;10,13%;5,13%;1,41%;0,09%;6,26%;13,69%;18,24%;17,19%;12,73%;9,80%;6,23%;4,01%;15,21%;41,67%;14,63%;27,05%;18,07%;3,53%;21,88%;0,77%;18,66%
b1;b1 - Banco Comercial, Banco Múltiplo com Carteira Comercial ou Caixa Econômica;set/15;1.707.430.945;10.083.273;62.938.370;103.364.099;109.448.306;37.803.516;5.596.776;929.034;330.163.374;1.245.530;9.581.537;18.522.984;28.762.370;19.645.203;26.826.713;6.732.079;111.316.416;3.791.295;35.672.343;11.043.363;1.056.793;207.169;145.993;215.167;52.132.124;1.463.371;52.353.792;12.400.369;1.303.033;1.242.451;963.538;280.340;70.006.894;1.836.955;36.005.035;60.505.099;24.811.656;13.509.196;5.687.281;50.718;142.405.939;8.080.355;17.249.252;23.668.015;25.224.058;20.270.508;12.540.650;649.629;107.682.468;1.668.869;22.153.889;53.631.803;82.701.307;39.498.907;60.675.668;20.685.892;281.016.335;238.433;13.076.239;26.374.714;7.641.920;3.931.839;3.263.872;15.839;54.542.856;323.347;7.431.576;13.594.514;24.121.316;6.259.324;6.713.871;264.451;58.708.400
b1%;b1 - Banco Comercial, Banco Múltiplo com Carteira Comercial ou Caixa Econômica;set/15;77,97%;95,72%;93,53%;94,66%;94,99%;97,09%;93,53%;99,85%;94,85%;88,84%;78,94%;78,27%;82,51%;92,62%;98,34%;99,62%;87,44%;97,72%;95,79%;87,77%;97,16%;90,37%;95,41%;97,86%;94,11%;87,84%;86,54%;70,20%;70,98%;99,49%;99,71%;99,88%;83,19%;99,43%;99,90%;99,77%;99,98%;99,91%;99,65%;90,96%;99,84%;98,44%;95,33%;95,25%;96,60%;98,90%;99,28%;97,30%;96,96%;69,53%;54,93%;52,07%;45,41%;33,59%;28,96%;44,01%;40,03%;90,74%;96,92%;95,49%;82,58%;73,61%;67,69%;95,90%;89,69%;100,00%;100,00%;99,30%;99,99%;100,00%;100,00%;100,00%;99,83%
b2;b2 - Banco Múltiplo sem Carteira Comercial ou Banco de Investimento ou Banco de Câmbio;set/15;49.957.395;39.377;1.605.641;1.118.779;802.183;125.846;13.582;0;3.705.410;86.799;1.679.069;3.034.004;2.759.326;432.504;14.554;0;8.006.257;0;0;0;0;0;0;0;0;92.926;4.622.877;4.901.578;517.390;5.668;0;0;10.140.438;10.620;36.912;138.489;5.178;11.598;20.161;5.040;227.998;21.552;286.274;82.887;212.873;10.871;1.200;0;615.658;448.523;2.808.184;7.296.344;12.036.906;3.485.802;597.750;32.733;26.706.243;5.311;24.868;71.551;135.892;76.155;23.227;0;337.003;0;0;0;0;0;0;0;0
b2%;b2 - Banco Múltiplo sem Carteira Comercial ou Banco de Investimento ou Banco de Câmbio;set/15;2,28%;0,37%;2,39%;1,02%;0,70%;0,32%;0,23%;0,00%;1,06%;6,19%;13,83%;12,82%;7,92%;2,04%;0,05%;0,00%;6,29%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;5,58%;7,64%;27,75%;28,18%;0,45%;0,00%;0,00%;12,05%;0,57%;0,10%;0,23%;0,02%;0,09%;0,35%;9,04%;0,16%;0,26%;1,58%;0,33%;0,82%;0,05%;0,01%;0,00%;0,55%;18,69%;6,96%;7,08%;6,61%;2,96%;0,29%;0,07%;3,80%;2,02%;0,18%;0,26%;1,47%;1,43%;0,48%;0,00%;0,55%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%
b3S;b3S - Cooperativa de Crédito Singulares;set/15;24.014.437;242.930;1.994.305;3.718.896;4.121.624;928.548;263.170;1.380;11.270.854;23.434;301.408;759.512;1.168.421;315.361;150.720;3.392;2.722.250;88.277;1.545.593;1.536.976;30.867;22.077;7.024;4.697;3.235.512;97.632;3.080.760;309.408;1.827;34;1;0;3.489.661;0;0;0;0;0;0;0;0;101.340;487.718;971.349;560.098;204.081;88.457;17.847;2.430.889;4.749;63.810;24.661;19.551;2.284;92;0;115.147;2.309;237.240;420.499;80.815;7.852;1.411;0;750.125;0;0;0;0;0;0;0;0
b3S%;b3S - Cooperativa de Crédito Singulares;set/15;1,10%;2,31%;2,96%;3,41%;3,58%;2,38%;4,40%;0,15%;3,24%;1,67%;2,48%;3,21%;3,35%;1,49%;0,55%;0,05%;2,14%;2,28%;4,15%;12,21%;2,84%;9,63%;4,59%;2,14%;5,84%;5,86%;5,09%;1,75%;0,10%;0,00%;0,00%;0,00%;4,15%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;1,23%;2,70%;3,91%;2,15%;1,00%;0,70%;2,67%;2,19%;0,20%;0,16%;0,02%;0,01%;0,00%;0,00%;0,00%;0,02%;0,88%;1,76%;1,52%;0,87%;0,15%;0,03%;0,00%;1,23%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%
b3C;b3C - Central e Confederação de Cooperativas de Crédito;set/15;1.100.865;0;371.446;336.443;92.248;13.282;960;0;814.379;0;769;2.280;3.096;0;0;0;6.144;0;21.521;263;0;0;0;0;21.784;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;55.923;98.304;66.308;222;0;164;220.924;0;13.488;13.022;7.584;1.984;1.556;0;37.634;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
