Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Resultado de Intermediação Financeira;;;;;;;;;;;;;;Outras Receitas/Despesas Operacionais;;;;;;;;;Resultado Operacional (e) = (c) + (d);Resultado Não Operacional (f);Resultado antes da Tributação, Lucro e Participação (g) = (e) + (f);Imposto de Renda e Contribuição Social (h);Participação nos Lucros (i);Lucro Líquido (j) = (g) + (h) + (i);Juros Sobre Capital Próprio (k)
BANRISUL - PRUDENCIAL;1000080154;b1;;C;1;PORTO ALEGRE;RS;42614;1776722;9671;730166;58715;46330;311402;2933005;-1408005;-82030;-7361;0;-280883;-1778279;1154726;73075;365543;-456182;-402652;-108585;10915;103045;-534072;-948912;205814;-3231;202583;-70664;-26899;105020;-78062
CITIBANK - PRUDENCIAL;1000080192;b1;;C;3;SAO PAULO;SP;42614;792836;34657;1133503;313272;0;105159;2379426;-821369;-170265;-25290;-94950;-353664;-1465538;913888;233478;86430;-351239;-356783;-85681;19516;218271;-290114;-526122;387766;-7811;379956;-142669;-37345;199942;0
BTG PACTUAL - PRUDENCIAL;1000080336;b1;;C;2;RIO DE JANEIRO;RJ;42614;393007;0;2224288;-853448;347901;45249;2156996;-1783731;-353079;0;0;-38840;-2175650;-18654;651344;48510;-426534;-666964;-249906;294101;7444309;-6180598;914262;895608;72578;968187;-105156;-145951;717080;0
PAN;1000080257;b1;;C;2;SAO PAULO;SP;42614;1690998;5108;100205;-22738;3403;0;1776977;-1130649;-6667;-4952;0;-246329;-1388597;388380;40927;78578;-88626;-662825;-53867;41121;362003;-153703;-436392;-48012;-14062;-62075;49108;0;-12967;0
CREDIT SUISSE - PRUDENCIAL;1000080219;b1;;C;3;SAO PAULO;SP;42614;262188;0;1030920;331935;17792;0;1642834;-808445;-503464;0;0;-112987;-1424896;217938;145374;0;-128914;-87087;-17005;15433;34752;-48145;-85592;132346;3002;135348;-54860;0;80488;0
BCO DO NORDESTE DO BRASIL S.A. - PRUDENCIAL;1000081593;b1;;I;1;FORTALEZA;CE;42614;477568;0;914557;39152;22390;11753;1465419;-376166;-548534;0;0;-236277;-1160977;304442;453890;14839;-424191;-301781;-65668;0;354465;-430208;-398655;-94213;275;-93938;41141;0;-52797;0
BOFA MERRILL LYNCH - PRUDENCIAL;1000080556;b1;;C;3;SAO PAULO;SP;42614;27911;0;258625;46091;801842;0;1134469;-168869;-21285;0;0;138;-190016;944452;175699;965;-130003;-40857;-27292;0;6227;-790693;-805954;138498;47;138545;-64999;0;73546;0
SICREDI - PRUDENCIAL;1000080745;b1;;C;2;PORTO ALEGRE;RS;42614;248874;0;851869;-1226;4323;15065;1118905;-923321;-35086;0;0;-590;-958997;159907;55069;21;-29295;-120570;-11745;2671;22820;-20771;-101800;58107;89;58196;-24960;0;33236;0
BCO DAYCOVAL S.A - PRUDENCIAL;1000081744;b1;;C;2;SAO PAULO;SP;42614;741671;62578;179664;17937;35650;0;1037499;-494082;-53367;-44169;0;-162187;-753805;283693;7229;16298;-69415;-126497;-40846;4505;94080;-33546;-148191;135502;-2224;133278;-30815;-11898;90565;-48588
JP MORGAN CHASE - PRUDENCIAL;1000080116;b1;;C;3;SAO PAULO;SP;42614;51831;0;989123;-261575;204094;0;983473;-243073;-455046;0;0;3177;-694943;288530;117464;142;-181591;-61547;-24336;0;27920;-23786;-145734;142796;-345;142450;-60046;-5109;77295;0
BNP PARIBAS - PRUDENCIAL;1000080673;b1;;C;3;SAO PAULO;SP;42614;574092;0;275371;26490;75977;0;951930;-370038;-122264;0;0;-119634;-611936;339994;83635;38167;-98253;-252410;-31859;1391;151434;-141407;-249301;90694;-127;90567;-34932;-6598;49037;0
BANCOOB - PRUDENCIAL;1000080879;b1;;C;2;BRASILIA;DF;42614;246865;0;612309;0;0;5115;864289;-754776;-18179;0;0;-3860;-776814;87475;123196;16;-27167;-49907;-19562;1296;53621;-86448;-4954;82521;265;82786;-35217;-2431;45138;0
MERCANTIL DO BRASIL - PRUDENCIAL;1000080123;b1;;C;2;BELO HORIZONTE;MG;42614;690581;0;101987;3516;2483;9220;807787;-315385;-1326;0;0;-173316;-490028;317759;14112;46500;-89164;-141166;-28676;2992;9418;-131027;-317011;749;4976;5725;-1336;0;4389;0
CREFISA S.A. CFI - PRUDENCIAL;1000083632;n1;;I;2;SAO PAULO;SP;42614;720052;0;78371;0;0;0;798422;0;0;0;0;-165854;-165854;632568;0;0;-5338;-241414;-41990;0;133548;-3395;-158589;473979;-96;473883;-161541;0;312342;-79200
BMG - PRUDENCIAL;1000080178;b1;;C;2;SAO PAULO;SP;42614;725466;293;76249;-59096;13823;0;756735;-411297;-19679;-221;0;-138066;-569263;187472;6234;4083;-35615;-251194;-13313;18318;58192;-121166;-334461;-146989;162166;15176;-6514;0;8663;0
MORGAN STANLEY - PRUDENCIAL;1000080628;b1;;C;3;SAO PAULO;SP;42614;634;0;609932;145980;0;0;756546;-98383;-13512;0;-12228;0;-124123;632422;64431;0;-80246;-25360;-6483;705;1176;-536382;-582160;50263;0;50263;-21360;0;28903;0
BANESTES - PRUDENCIAL;1000080147;b1;;C;1;VITORIA;ES;42614;208486;12475;510355;0;1317;10093;742726;-535678;-4789;-11549;0;-39679;-591695;151031;46659;24200;-80367;-65900;-14854;3981;7542;-18062;-96800;54232;-694;53537;-14595;-5271;33672;-14100
BRB - PRUDENCIAL;1000080288;b1;;C;1;BRASILIA;DF;42614;650294;0;77227;2;753;6401;734677;-276469;-2190;0;0;-108440;-387099;347578;20560;39610;-204884;-115083;-26031;6802;163393;-76100;-191732;155846;-1058;154788;-19567;-18425;116796;0
VOLKSWAGEN - PRUDENCIAL;1000080202;b2;;C;3;SAO PAULO;SP;42614;662940;29000;55433;-40647;0;0;706726;-210310;-106033;-23509;0;-180901;-520754;185972;60379;15681;-740;-73172;-36775;0;51734;-143370;-126262;59710;-7256;52455;-9616;0;42838;0
BCO RABOBANK INTL BRASIL S.A. - PRUDENCIAL;1000081555;b1;;I;3;SAO PAULO;SP;42614;439109;0;151890;64163;36544;0;691706;-118660;-239361;0;0;-157818;-515839;175867;25824;5471;-38953;-23985;-13155;0;24521;-6150;-26427;149440;4;149444;-64107;-5599;79738;0
ABC-BRASIL - PRUDENCIAL;1000080312;b1;;C;3;SAO PAULO;SP;42614;330610;0;353237;-19261;584;0;665170;-369019;-109882;0;0;-49477;-528378;136792;61230;4775;-45341;-26064;-12793;11349;23434;-15130;1461;138253;-1510;136743;-8982;-24974;102787;-47540
ALFA - PRUDENCIAL;1000080570;b1;;C;2;SAO PAULO;SP;42614;314479;47317;183334;-24187;1004;0;521946;-295359;-35107;-36338;0;-28950;-395754;126192;10328;7308;-42155;-26210;-9869;6308;24098;-45453;-75645;50547;-666;49881;-17710;-2358;29813;0
BANCO IBM S.A. - PRUDENCIAL;1000081689;b2;;I;3;RIO DE JANEIRO;RJ;42614;42495;431559;42274;0;0;0;516329;-109229;-1303;-369751;0;-3733;-484016;32313;0;0;0;-10048;-1769;0;2778;-1065;-10103;22210;0;22210;-11484;0;10726;0
GMAC - PRUDENCIAL;1000080848;b2;;C;3;SAO PAULO;SP;42614;498207;2784;15110;0;0;0;516101;-302757;0;-2775;0;-58178;-363710;152391;45118;17673;-29657;-97260;-32462;5412;29447;-22315;-84043;68349;682;69031;2040;-4019;67052;-60000
BCO CSF S.A. - PRUDENCIAL;1000081610;b2;;I;3;SAO PAULO;SP;42614;495232;0;14269;0;0;0;509501;-10203;0;0;0;-253594;-263797;245704;82206;76908;-28823;-134895;-42988;0;16311;-60355;-91636;154068;0;154068;-70868;0;83200;0
CCB - PRUDENCIAL;1000080295;b1;;C;3;SAO PAULO;SP;42614;263693;15791;155099;-37033;18298;72;415919;-202242;-276746;-10340;0;-120449;-609777;-193858;15395;1291;-57884;-45036;-17466;338;238053;-98103;36588;-157270;2744;-154526;43134;0;-111392;0
MIDWAY S.A. - SCFI - PRUDENCIAL;1000083553;n1;;I;2;SAO PAULO;SP;42614;382602;0;22701;-4960;0;0;400343;-28396;-4538;0;-7;-153212;-186153;214190;53551;6479;-4453;-67010;-22688;0;6101;-81524;-109545;104644;15;104659;-46580;-65;58015;0
SOCIETE GENERALE - PRUDENCIAL;1000080264;b1;;C;3;SAO PAULO;SP;42614;22294;120315;265817;-75137;65579;0;398867;-50657;-140152;-89913;0;1884;-278839;120029;3901;20;-27299;-26470;-7442;-4699;15414;-25678;-72252;47777;-593;47184;-33101;0;14083;0
BCO DA AMAZONIA S.A. - PRUDENCIAL;1000081249;b1;;I;1;BELEM;PA;42614;128747;0;256213;-446;3410;0;387924;-83391;-89849;0;0;-35355;-208595;179329;121027;22298;-141932;-66223;-24915;0;161936;-224858;-152666;26662;85;26747;-90248;0;-63500;0
BCO DO EST. DO PA S.A. - PRUDENCIAL;1000081586;b1;;I;1;BELEM;PA;42614;328275;0;46479;0;523;1046;376323;-125447;1;0;0;-18709;-144157;232167;2595;17423;-73345;-66881;-13558;0;3249;-14219;-144737;87430;-2744;84686;-44289;-5834;34563;-12851
COOPERATIVA CENTRAL DE CRÉDITO DO RIO GRANDE DO SUL E SANTA CATARINA - CENTRAL SICREDI SUL;87437687;b3C;;I;2;PORTO ALEGRE;RS;42614;10790;0;353167;0;0;0;363958;-353094;0;0;0;-1;-353095;10862;0;0;-5283;56257;0;0;154;-61989;-10862;0;0;0;0;0;0;0
BD REGIONAL DO EXTREMO SUL - PRUDENCIAL;1000081311;b4;;C;1;PORTO ALEGRE;RS;42614;258539;0;90475;-99;0;0;348915;0;-147418;0;0;-159674;-307092;41823;11150;0;-41544;-11480;-9505;0;4639;-6101;-52841;-11018;-455;-11473;4209;0;-7264;0
OMNI - PRUDENCIAL;1000080460;n1;;C;2;SAO PAULO;SP;42614;304206;3002;5505;777;0;0;313490;-83006;0;-1829;0;-44822;-129657;183833;8090;20051;-9503;-86755;-8732;-97;13006;-108558;-172497;11335;-172;11164;921;0;12084;0
PERNAMBUCANAS - PRUDENCIAL;1000080305;n1;;C;2;SAO PAULO;SP;42614;304758;0;7727;0;1;0;312486;-14155;0;0;0;-153293;-167448;145038;15174;29113;-21412;-49061;-12947;0;13752;-56612;-81993;63045;-18546;44499;-24081;0;20418;0
HAITONG - PRUDENCIAL;1000080666;b2;;C;3;SAO PAULO;SP;42614;17032;0;232352;54781;1433;0;305599;-275016;-5141;0;0;-3445;-283603;21996;4380;0;-13892;-10463;-1657;3551;1978;-11287;-27389;-5394;-107;-5500;4825;-563;-1239;-4500
J.MALUCELLI - PRUDENCIAL;1000080233;b1;;C;2;CURITIBA;PR;42614;247706;0;48932;157;2024;0;298819;-160759;-1771;0;0;-46941;-209470;89348;1900;962;-11598;-48927;-6232;11007;663;-9163;-61388;27960;57;28018;-7752;0;20266;0
ORIGINAL - PRUDENCIAL;1000080903;b1;;C;2;SAO PAULO;SP;42614;197369;0;68273;28168;4984;0;298794;-168955;-10553;0;0;-39928;-219435;79359;10372;251;-66788;-105704;-6512;1401;4439;-7031;-169571;-90212;-368;-90581;51546;-17210;-56245;0
CREDIT AGRICOLE - PRUDENCIAL;1000080491;b1;;C;3;SAO PAULO;SP;42614;18197;0;95621;5658;169619;0;289094;-47236;-499565;0;0;15678;-531124;-242030;10649;63;-21441;-11277;-4762;159;470464;-168790;275065;33035;-3;33033;-18933;0;14099;0
MERCEDES-BENZ - PRUDENCIAL;1000080563;b2;;C;3;SAO PAULO;SP;42614;224169;7559;11798;0;0;0;243526;-34240;-84438;-5094;0;-7818;-131591;111935;7;1981;-17129;-30848;-9385;0;22899;-17644;-50118;61817;-18806;43011;-24257;0;18754;0
PINE - PRUDENCIAL;1000080374;b1;;C;2;SAO PAULO;SP;42614;115248;0;99338;12338;9838;0;236762;-184355;-26121;0;0;-17118;-227594;9167;18645;97;-21326;-17075;-2585;583;4929;-2713;-19445;-10278;2795;-7483;4672;-3792;-6603;0
HP FINANCIAL SERVICES AM S.A - PRUDENCIAL;1000082987;n1;;I;3;BARUERI;SP;42614;778;233197;0;0;0;0;233975;0;-20523;-185064;0;-15836;-221423;12552;0;0;0;-7064;-1940;0;2158;-1635;-8481;4071;1383;5454;-2810;0;2644;0
HONDA - PRUDENCIAL;1000080611;b2;;C;3;SAO PAULO;SP;42614;194545;0;45860;-7878;0;0;232527;-75616;0;0;0;-27361;-102977;129550;244000;13239;-5215;-214536;-36960;0;39587;-23816;16300;145850;482;146331;-58849;0;87482;0
BCO TOYOTA DO BRASIL S.A. - PRUDENCIAL;1000081562;b2;;I;3;SAO PAULO;SP;42614;186585;16670;29253;-5884;0;0;226623;-54051;-72579;-10676;0;-7940;-145246;81377;0;12031;-11579;-32611;-9606;0;7652;-8158;-42273;39104;-4946;34159;-13709;-4867;15583;0
PORTO SEGURO - PRUDENCIAL;1000080642;n1;;C;2;SAO PAULO;SP;42614;211041;0;11944;0;0;0;222985;-37424;0;0;0;-94500;-131924;91061;130443;33969;-28308;-81945;-24348;0;11713;-63721;-22198;68863;0;68863;-26901;-3473;38489;0
BCO DES. DE MG S.A. - PRUDENCIAL;1000081328;b4;;I;1;BELO HORIZONTE;MG;42614;172328;0;35927;4783;9;0;213047;-19852;-97969;0;0;-39736;-157558;55489;7142;3293;-29737;-9619;-5254;0;4274;-14186;-44086;11403;58;11460;-9460;-727;1274;0
COOPERATIVA CENTRAL DE CRÉDITO E INVESTIMENTO DOS ESTADOS DO PARANÁ, SÃO PAULO E RIO DE JANEIRO - CENTRAL SICREDI PR/SP/RJ;80230774;b3C;;I;2;CURITIBA;PR;42614;4959;0;198236;0;0;0;203195;-198236;0;0;0;-1;-198237;4958;0;0;-4840;37642;0;0;94;-37907;-5012;-54;0;-55;0;0;-55;0
APE POUPEX - PRUDENCIAL;1000081184;n1;;I;2;BRASILIA;DF;42614;77899;0;104622;0;0;20479;203000;-113923;0;0;0;-9557;-123480;79520;0;1142;-28590;-13234;-4808;0;792;-7441;-52138;27382;316;27697;0;0;27697;0
BANCO CNH INDUSTRIAL CAPITAL S.A - PRUDENCIAL;1000081407;b2;;I;3;CURITIBA;PR;42614;173832;9362;18278;544;0;0;202016;-34019;-30495;-7661;0;-60155;-132330;69686;2248;14;-11711;-18369;-5685;0;7283;-8251;-34470;35216;-5031;30185;-6154;-1294;22737;0
BCO TOKYO-MITSUBISHI BM S.A. - PRUDENCIAL;1000081713;b1;;I;3;SAO PAULO;SP;42614;20061;0;215599;-57736;10274;0;188197;-64817;-58412;0;0;-235;-123465;64733;1736;262;-35120;-18236;-2739;0;16694;-691;-38093;26640;227;26866;-13594;0;13273;0
COOPERATIVA DE CREDITO VALE DO ITAJAI - VIACREDI;82639451;b3S;;I;2;BLUMENAU;SC;42614;134419;0;50351;0;0;0;184770;-70828;-3013;0;0;-34873;-108713;76056;10372;6204;-23160;-30102;-125;0;579;-3760;-39992;36065;-236;35829;0;-2361;33468;0
SOFISA - PRUDENCIAL;1000080271;b1;;C;2;SAO PAULO;SP;42614;111955;357;62719;2605;5054;0;182690;-115043;-3698;-270;0;-14200;-133210;49480;216;5670;-15698;-16962;-3665;322;4116;-1415;-27416;22064;-153;21911;-8620;-2151;11140;0
COOPERATIVA DE CREDITO CREDICITRUS;54037916;b3S;;I;2;BEBEDOURO;SP;42614;119245;0;63384;0;0;0;182630;-61457;-19542;0;0;-15955;-96954;85675;1464;403;-21654;-17007;-234;0;1994;-818;-35852;49823;-214;49609;-395;-1866;47348;0
BANCO FIDIS - PRUDENCIAL;1000081751;b2;;I;3;BETIM;MG;42614;144763;164;17640;10174;0;0;172740;-101694;-2050;-157;0;-14409;-118309;54431;2698;10;-5127;-9736;-2592;0;3326;-22977;-34398;20033;-5059;14974;-7046;-370;7558;0
BCO DO EST. DE SE S.A. - PRUDENCIAL;1000081634;b1;;C;1;ARACAJU;SE;42614;120968;0;48213;0;0;1548;170729;-77316;-1302;0;0;-40472;-119089;51640;33520;6110;-48156;-39409;-12390;16568;38945;-11017;-15831;35809;4991;40800;-11690;-2719;26391;0
DEUTSCHE - PRUDENCIAL;1000080532;b1;;C;3;SAO PAULO;SP;42614;68090;0;89108;-37852;45675;0;165020;-59106;-34812;0;0;-29916;-123834;41186;34019;567;-60317;-27442;-4120;0;18215;-7857;-46936;-5749;46;-5703;-9027;0;-14730;0
INTERMEDIUM - PRUDENCIAL;1000080996;b1;;C;2;BELO HORIZONTE;MG;42614;136849;0;21729;2284;150;0;161012;-84640;-728;0;0;-21199;-106567;54445;1870;1451;-14679;-24071;-3652;-425;749;-1862;-40621;13824;-1961;11863;-2274;0;9589;-6083
ING - PRUDENCIAL;1000080501;b1;;C;3;SAO PAULO;SP;42614;23591;0;85836;-19497;70929;0;160859;-18941;-96139;0;0;-68328;-183408;-22549;5846;0;-20541;-2212;-3060;0;4965;-3024;-18026;-40575;0;-40575;18211;-471;-22835;0
BCO FIBRA S.A. - PRUDENCIAL;1000081483;b1;;C;2;SAO PAULO;SP;42614;125212;0;62889;-33183;4319;0;159237;-138208;-19683;0;0;-19622;-177512;-18275;7716;2173;-25418;-17486;-1534;207;15056;-22465;-41752;-60027;-24;-60051;48281;-113;-11882;0
COOPERATIVA CENTRAL DE CRÉDITO DE SANTA CATARINA E RIO GRANDE DO SUL - SICOOB CENTRAL SC/RS;80160260;b3C;;I;2;FLORIANOPOLIS;SC;42614;1370;0;155624;0;0;2040;159034;-157006;-2113;0;0;214;-158905;129;17;0;-3575;-3339;-20;0;7037;-242;-122;7;1;8;-8;0;0;0
AGIPLAN FINANCEIRA S.A. - CFI - PRUDENCIAL;1000083694;b1;;C;3;PORTO ALEGRE;RS;42614;150210;0;7918;27;0;0;158155;-18680;-116;0;0;-33600;-52396;105759;1926;3587;-8053;-58982;-6806;0;14114;-8674;-62888;42871;13933;56804;-18530;0;38274;0
COOPERATIVA CENTRAL DE CRÉDITO DE MINAS GERAIS LTDA. - SICOOB CENTRAL CREDIMINAS;25683434;b3C;;I;2;BELO HORIZONTE;MG;42614;380;0;151140;0;0;3720;155240;-144465;-5278;0;0;16;-149728;5512;43;0;-6353;-2981;-4;6619;9852;-1480;5696;11208;2;11211;-9;-98;11104;0
BCO SUMITOMO MITSUI BRASIL S.A. - PRUDENCIAL;1000081720;b1;;I;3;SAO PAULO;SP;42614;65959;0;91416;-18330;11830;0;150875;-60971;-35301;0;0;1320;-94952;55923;3433;4;-13626;-5786;-1777;0;1613;-8309;-24448;31475;10;31485;-5370;-469;25646;0
COOPERATIVA CENTRAL DE CRÉDITO DO ESTADO DE SÃO PAULO - SICOOB SÃO PAULO;63917579;b3C;;I;2;RIBEIRAO PRETO;SP;42614;1;0;150550;0;0;0;150551;-144898;0;0;0;0;-144898;5653;0;0;-994;-666;-6;4093;935;-1189;2174;7827;0;7827;0;0;7827;0
BCO DE LAGE LANDEN BRASIL S.A. - PRUDENCIAL;1000081421;b2;;I;3;PORTO ALEGRE;RS;42614;99567;36121;14364;0;0;0;150052;0;-23643;-31829;0;-18515;-73987;76065;6056;29;-12602;-18524;-4049;376;7044;-9986;-31656;44409;-509;43900;-10362;0;33538;-20371
BCO TRIANGULO S.A. - PRUDENCIAL;1000081438;b1;;C;2;UBERLANDIA;MG;42614;117895;0;23113;-26;0;0;140982;-44996;-3250;0;0;-31669;-79915;61067;19112;24499;-31634;-39353;-8377;1299;8235;-4649;-30868;30199;211;30411;-6853;-5230;18328;-7500
JOHN DEERE - PRUDENCIAL;1000080343;b1;;C;3;INDAIATUBA;SP;42614;128422;0;3479;-600;0;0;131301;-3121;-31876;0;0;-56626;-91623;39678;9007;106;-8432;-5301;-4349;0;194;-32;-8808;30870;9;30879;-14298;-919;15662;0
BBM - PRUDENCIAL;1000080161;b1;;C;2;SALVADOR;BA;42614;52785;0;57042;5587;11514;0;126927;-74723;-20024;0;0;1075;-93672;33256;4167;122;-16837;-10243;-2102;6963;552;-77;-17455;15800;-2764;13037;-833;-1573;10630;-12238
INDUSVAL - PRUDENCIAL;1000080415;b1;;C;2;SAO PAULO;SP;42614;57027;0;59076;3771;3940;0;123815;-102232;-1885;0;0;-28878;-132995;-9180;13957;5793;-19814;-21447;-2545;647;8115;-13983;-29276;-38457;-1255;-39712;18466;-3630;-24877;0
CENTRAL DAS COOPERATIVAS DE ECONOMIA E CREDITO DO ESTADO DE MINAS GERAIS LTDA. - SICOOB CENTRAL CECREMGE;309024;b3C;;I;2;BELO HORIZONTE;MG;42614;2581;0;117827;0;0;0;120408;-117922;0;0;0;233;-117689;2718;0;0;-2543;-1122;-15;3033;2645;-152;1847;4565;-5;4561;0;-88;4472;0
VOLVO - PRUDENCIAL;1000080769;b2;;C;3;CURITIBA;PR;42614;96960;6558;14845;0;0;0;118363;-248;-44542;-5705;0;-3927;-54422;63941;13634;1376;-9292;-26796;-5093;-81;5528;-2403;-23127;40814;238;41052;-17527;-468;23057;0
GOLDMAN SACHS - PRUDENCIAL;1000080714;b2;;C;3;SAO PAULO;SP;42614;0;0;172671;-56661;156;0;116167;-32231;-18663;0;0;0;-50894;65272;64495;0;-59551;-21851;-8268;0;12703;-1977;-14449;50823;376;51199;-20401;-956;29842;0
COOPERATIVA CENTRAL DE CRÉDITO DO CENTRO NORTE DO BRASIL   CENTRAL SICREDI CENTRO NORTE;33667205;b3C;;I;2;CUIABA;MT;42614;2890;0;105873;0;0;0;108763;-105661;0;0;0;1;-105661;3102;0;0;-4445;20713;0;0;99;-19353;-2987;115;-107;8;0;0;8;0
BCO CATERPILLAR S.A. - PRUDENCIAL;1000081397;b2;;C;3;SAO PAULO;SP;42614;100575;8925;12;-912;0;0;108600;-14786;-19430;-7103;0;-7400;-48719;59881;431;447;-9923;-8203;-2877;0;7336;-191;-12980;46902;48;46950;-21971;0;24978;0
RENDIMENTO - PRUDENCIAL;1000080659;b1;;C;2;SAO PAULO;SP;42614;24752;0;14294;1261;65552;0;105860;-16150;-629;0;0;-2840;-19619;86241;18939;429;-34325;-30189;-5336;0;6886;-25214;-68810;17430;-139;17291;-7690;-579;9022;0
SOCOPA - PRUDENCIAL;1000080381;b1;;C;2;SAO PAULO;SP;42614;20040;0;47208;10621;27769;0;105638;-59624;-2284;0;0;-4290;-66197;39440;23650;8942;-20318;-31358;-6535;54;3076;-5558;-28046;11395;56;11451;-5059;-1142;5249;0
MIZUHO - PRUDENCIAL;1000080697;b1;;C;3;SAO PAULO;SP;42614;18966;0;85918;-7665;6928;0;104146;-65747;-10894;0;0;32;-76610;27537;2182;39;-15679;-7115;-2046;2030;6915;-12061;-25734;1803;72;1875;-465;-656;754;0
INDUSTRIAL DO BRASIL - PRUDENCIAL;1000080477;b1;;C;2;SAO PAULO;SP;42614;75192;0;21736;-331;6890;0;103488;-55719;-8789;0;0;3970;-60538;42950;2565;928;-13235;-6792;-3338;154;1224;-6;-18500;24450;533;24983;-7987;0;16996;-7000
BCO CARGILL S.A. - PRUDENCIAL;1000081414;b1;;I;3;SAO PAULO;SP;42614;47185;0;14194;1139;38513;0;101030;-22077;-40405;0;0;-71205;-133688;-32658;1;0;-5614;-2819;-4311;0;1;-3245;-15987;-48645;27;-48619;21883;0;-26736;0
RODOBENS - PRUDENCIAL;1000080855;b1;;C;2;SAO PAULO;SP;42614;54595;14654;30343;1307;0;0;100900;-28291;-5092;-10343;0;4129;-39598;61301;112227;644;-20779;-56318;-13054;-1741;15576;-13329;23227;84528;-64;84465;-12928;-2836;68701;-37400
