Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Patrimônio de Referência para Comparação com o RWA;;;;;Ativos Ponderados pelo Risco (RWA);;;;;;;;Exposição Total (j);Índice de Capital Principal (k) = (a) / (i);Índice de Capital Nível I (l) = (c) / (i);Índice de Basileia (m) = (e) / (i);Razão de Alavancagem (n) = (c) / (j);Índice de Imobilização (o)
;;;;;;;;;Patrimônio de Referência Nível I para Comparação com RWA;;;Capital Nível II (d);Patrimônio de Referência para Comparação com o RWA;RWA para Risco de Crédito (f);RWA para Risco de Mercado;;;;;RWA para Risco Operacional (h);Ativos Ponderados pelo Risco (RWA) (i) = (f) + (g) + (h);;;;;;
;;;;;;;;;Capital Principal para Comparação com RWA (a);Capital Complementar (b);Patrimônio de Referência Nível I para Comparação com RWA (c) = (a) + (b);;;;RWAcam (g1);RWAcom (g2);RWAjur (g3);RWAacs (g4);RWA para Risco de Mercado (g) = (g1) + (g2) + (g3) + (g4);;;;;;;;
ITAU - PRUDENCIAL;1000080099;b1;;C;2;SAO PAULO;SP;42614;115364144;571403;115935547;23621589;139557136;673404102;2401449;735714;19361187;2192101;24690451;37826292;735920845;1304148955;0,1568;0,1575;0,1896;0,0889;0,236
BB - PRUDENCIAL;1000080329;b1;;C;1;BRASILIA;DF;42614;65500135;22475780;87975915;39084774;127060689;668871950;8866827;1923;7549210;0;16417959;37151992;722441901;1201276434;0,0907;0,1218;0,1759;0,0732;0,1564
BNDES - PRUDENCIAL;1000081847;b4;;C;1;RIO DE JANEIRO;RJ;42614;86587234;0;86587234;43293617;129880851;568153371;62179750;0;7556713;0;69736463;32338860;670228694;942276701;0,1292;0,1292;0,1938;0,0919;0,0949
BRADESCO - PRUDENCIAL;1000080075;b1;;C;2;OSASCO;SP;42614;72654258;0;72654258;22401334;95055592;588914119;2947880;40035;14772919;29877;17790711;50443507;657148336;1089655114;0,1106;0,1106;0,1446;0,0667;0,444
CAIXA ECONÔMICA FEDERAL - PRUDENCIAL;1000080738;b1;;C;1;BRASILIA;DF;42614;53760608;0;53760608;22981547;76742155;511280239;319641;1922727;3743481;0;5985849;52781594;570047682;1314733939;0,0943;0,0943;0,1346;0,0409;0,1461
SANTANDER - PRUDENCIAL;1000080185;b1;;C;3;SAO PAULO;SP;42614;55002769;4109871;59112640;4189561;63302201;304446620;3563852;0;20789316;684820;25037989;30086072;359570681;615244819;0,153;0,1644;0,176;0,0961;0,1678
BTG PACTUAL - PRUDENCIAL;1000080336;b1;;C;2;RIO DE JANEIRO;RJ;42614;18691605;4183533;22875139;3420868;26296006;98224298;4494704;25651484;27718319;4990673;62855180;3385968;164465446;194409387;0,1137;0,1391;0,1599;0,1177;0,3153
SAFRA - PRUDENCIAL;1000080109;b1;;C;2;SAO PAULO;SP;42614;9652925;989150;10642075;2107762;12749838;73656215;314775;0;2942218;84405;3341397;5255002;82252615;173783851;0,1174;0,1294;0,155;0,0612;0,2649
