Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Disponibilidades (a);Aplicações Interfinanceiras de Liquidez (b);TVM e Instrumentos Financeiros Derivativos (c);Operações de Crédito;;;Arrendamento Mercantil;;;;;Outros Créditos - Líquido de Provisão (f);Outros Ativos Realizáveis (g);Permanente Ajustado (h);Ativo Total Ajustado (i) = (a) + (b) + (c) + (d) + (e) + (f) + (g) + (h);Credores por Antecipação de Valor Residual (j);Ativo Total (k) = (i) - (j)
;;;;;;;;;;;;Operações de Crédito (d1);Provisão sobre Operações de Crédito (d2);Operações de Crédito Líquidas de Provisão (d);Arrendamento Mercantil a Receber (e1);Imobilizado de Arrendamento (e2);Credores por Antecipação de Valor Residual (e3);Provisão sobre Arrendamento Mercantil (e4);Arrendamento Mercantil Líquido de Provisão (e);;;;;;
BB - PRUDENCIAL;1000080329;b1;;C;1;BRASILIA;DF;42614;13092371;428208323;125453129;619326365;-36643420;582682945;304851;671512;306688;-72462;1210588;198714649;72952781;27713270;1450028055;306688;1449721368
ITAU - PRUDENCIAL;1000080099;b1;;C;2;SAO PAULO;SP;42614;19965080;274416787;206640799;431897353;-34548285;397349068;7047212;5196105;3218127;-364964;15096479;217683534;84269047;43528809;1258949603;3218127;1255731476
CAIXA ECONÔMICA FEDERAL - PRUDENCIAL;1000080738;b1;;C;1;BRASILIA;DF;42614;9483375;146154009;181319949;687568542;-36231596;651336946;0;0;0;0;0;78876505;151368083;13432079;1231970946;0;1231970946
BRADESCO - PRUDENCIAL;1000080075;b1;;C;2;OSASCO;SP;42614;13327122;177057607;214347903;353431684;-35837654;317594030;42857;5187912;2539917;-231308;7539378;147476704;69141221;59122968;1005606934;2539917;1003067017
BNDES - PRUDENCIAL;1000081847;b4;;C;1;RIO DE JANEIRO;RJ;42614;18905;96214181;177753697;375874713;-10474067;365400645;0;0;0;0;0;36139297;271082767;13089851;959699344;0;959699344
SANTANDER - PRUDENCIAL;1000080185;b1;;C;3;SAO PAULO;SP;42614;6081558;63890731;149199642;209402288;-16567883;192834405;20882;5013084;2413437;-45123;7402280;161621998;67030671;15294014;663355299;2413437;660941862
BTG PACTUAL - PRUDENCIAL;1000080336;b1;;C;2;RIO DE JANEIRO;RJ;42614;13647422;30315575;58669973;40738591;-955819;39782772;0;0;0;0;0;44743937;2068317;9286176;198514173;0;198514173
SAFRA - PRUDENCIAL;1000080109;b1;;C;2;SAO PAULO;SP;42614;981304;38097600;49691298;40121261;-2489889;37631372;36864;2604364;1297736;-79934;3859031;8807667;2404323;3416115;144888711;1297736;143590975
VOTORANTIM - PRUDENCIAL;1000080484;b1;;C;2;SAO PAULO;SP;42614;175832;17093468;30453310;44341264;-2811911;41529353;1546;96830;9859;-6711;101524;11941757;857458;1532547;103685248;9859;103675389
CITIBANK - PRUDENCIAL;1000080192;b1;;C;3;SAO PAULO;SP;42614;848742;12190190;27391636;14780410;-1019102;13761308;1739;182312;24419;-4157;204312;20612345;5647709;641389;81297632;24419;81273213
BANRISUL - PRUDENCIAL;1000080154;b1;;C;1;PORTO ALEGRE;RS;42614;840760;1048100;20838887;27530572;-2409308;25121263;478;114999;57588;-8310;164756;7713200;10738033;1532812;67997810;57588;67940221
CREDIT SUISSE - PRUDENCIAL;1000080219;b1;;C;3;SAO PAULO;SP;42614;2801540;18643497;11204366;6433931;-450113;5983818;0;0;0;0;0;5954205;7541;590886;45185852;0;45185852
BCO DO NORDESTE DO BRASIL S.A. - PRUDENCIAL;1000081593;b1;;I;1;FORTALEZA;CE;42614;138137;7963572;20128273;12363618;-1171569;11192049;0;0;0;0;0;3540686;383818;221074;43567609;0;43567609
JP MORGAN CHASE - PRUDENCIAL;1000080116;b1;;C;3;SAO PAULO;SP;42614;108920;17535269;13375040;942235;-2228;940007;0;0;0;0;0;9552143;21058;109240;41641678;0;41641678
SICREDI - PRUDENCIAL;1000080745;b1;;C;2;PORTO ALEGRE;RS;42614;72717;12962691;10990159;14628114;-8722;14619391;0;0;0;0;0;956445;779363;114144;40494910;0;40494910
BNP PARIBAS - PRUDENCIAL;1000080673;b1;;C;3;SAO PAULO;SP;42614;43296;5365306;6875239;7603649;-458103;7145546;0;0;0;0;0;17832380;416687;92743;37771196;0;37771196
BANCOOB - PRUDENCIAL;1000080879;b1;;C;2;BRASILIA;DF;42614;5340;8709074;10316250;9513291;-37942;9475349;0;0;0;0;0;3043622;1287883;104026;32941544;0;32941544
PAN;1000080257;b1;;C;2;SAO PAULO;SP;42614;19995;1254538;2687811;17690909;-1112277;16578633;148;13777;11069;-885;24108;6005635;741813;638084;27950618;11069;27939549
