Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Qt_Clientes;Qt_Operações
ITAU;10069;b1;C;2;S1;199;SAO PAULO;SP;01/09/2019;30436397;95955107
BRADESCO;10045;b1;C;2;S1;199;OSASCO;SP;01/09/2019;27621512;86078133
SANTANDER;30379;b1;C;3;S1;199;SAO PAULO;SP;01/09/2019;17790940;42626697
CAIXA ECONOMICA FEDERAL;360305;b1;I;1;S1;6;BRASILIA;DF;01/09/2019;14508448;31352355
BB;49906;b1;C;1;S1;199;BRASILIA;DF;01/09/2019;13681227;36527395
NU PAGAMENTOS S.A.;18236120;n4;I;2;;41;SAO PAULO;SP;01/09/2019;7118481;12900778
MIDWAY S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;9464032;n1;I;2;S4;14;SAO PAULO;SP;01/09/2019;4935799;24547274
BANCO CSF S.A.;8357240;b2;I;3;S3;8;SAO PAULO;SP;01/09/2019;4532474;7789624
BMG;30290;b1;C;2;S3;199;SAO PAULO;SP;01/09/2019;3688132;7818570
REALIZE CRÉDITO, FINANCIAMENTO E INVESTIMENTO S.A.;27351731;n1;I;3;S4;14;PORTO ALEGRE;RS;01/09/2019;3598819;9585741
VOTORANTIM;51011;b1;C;2;S2;199;SAO PAULO;SP;01/09/2019;3023131;4264703
PAN;31323;b1;C;2;S3;199;SAO PAULO;SP;01/09/2019;2992498;6579682
BNP PARIBAS;51516;b1;C;3;S3;199;SAO PAULO;SP;01/09/2019;2743134;8494975
PERNAMBUCANAS FINANCIADORA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;43180355;n1;I;2;S4;14;SAO PAULO;SP;01/09/2019;2470505;6554947
BANRISUL;30173;b1;C;1;S2;199;PORTO ALEGRE;RS;01/09/2019;2142807;10162170
SAFRA;10083;b1;C;2;S2;199;SAO PAULO;SP;01/09/2019;1527218;2436470
PORTO SEGURO;51444;n1;C;2;S4;197;SAO PAULO;SP;01/09/2019;1487919;2131077
BANCOOB;51750;b1;C;2;S3;199;BRASILIA;DF;01/09/2019;1478901;2028922
BANCO TRIANGULO S.A.;17351180;b1;I;2;S4;8;UBERLANDIA;MG;01/09/2019;1185594;2042609
BANCO DIGIO S.A.;27098060;b2;I;3;S4;8;BARUERI;SP;01/09/2019;1045534;1753060
OMNI;50940;b1;C;2;S4;199;SAO PAULO;SP;01/09/2019;920126;1856970
MERCANTIL DO BRASIL;20152;b1;C;2;S3;199;BELO HORIZONTE;MG;01/09/2019;844999;1863615
DAYCOVAL;51987;b1;C;2;S3;199;SAO PAULO;SP;01/09/2019;732362;1603165
BANCO DO NORDESTE DO BRASIL S.A.;7237373;b1;I;1;S2;8;FORTALEZA;CE;01/09/2019;713580;873399
AVISTA S.A. CRÉDITO, FINANCIAMENTO E INVESTIMENTO;23862762;n1;I;2;S4;14;VITORIA;ES;01/09/2019;689237;1182366
CREFISA;52010;b1;C;2;S4;199;SAO PAULO;SP;01/09/2019;685227;892068
AGIBANK;51956;b1;C;2;S4;199;PORTO ALEGRE;RS;01/09/2019;681252;1492966
SAX S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;7747410;n1;I;2;S4;14;BARUERI;SP;01/09/2019;669030;3425991
INTER;51884;b1;C;2;S4;199;BELO HORIZONTE;MG;01/09/2019;647515;907262
DACASA FINANCEIRA;51891;n1;C;2;S4;197;VITORIA;ES;01/09/2019;432304;812342
SOROCRED   CRÉDITO, FINANCIAMENTO E INVESTIMENTO S.A.;4814563;n1;I;2;S4;14;SOROCABA;SP;01/09/2019;415353;895912
HONDA;51396;b2;C;3;S4;198;SAO PAULO;SP;01/09/2019;383120;385919
CREDI SHOP SA ADMINISTRADORA DE CARTOES DE CREDITO;62895230;n4;I;2;;41;TERESINA;PI;01/09/2019;361015;384198
BANCO GMAC S.A.;59274605;b2;I;3;S3;8;SAO PAULO;SP;01/09/2019;331507;396028
ZEMA CRÉDITO, FINANCIAMENTO E INVESTIMENTO S/A;5351887;n1;I;2;S4;14;ARAXA;MG;01/09/2019;311113;440911
BANCO VOLKSWAGEN S.A.;59109165;b2;I;3;S3;8;SAO PAULO;SP;01/09/2019;308196;381051
ORIGINAL;51781;b1;C;2;S3;199;SAO PAULO;SP;01/09/2019;275996;1116832
BANCO DO ESTADO DE SERGIPE S.A.;13009717;b1;I;1;S4;8;ARACAJU;SE;01/09/2019;273181;493572
PARANÁ BANCO;30881;b1;C;2;S4;199;CURITIBA;PR;01/09/2019;257478;655053
BANESTES;30159;b1;C;1;S3;199;VITORIA;ES;01/09/2019;242569;558571
COOPERATIVA DE CREDITO VALE DO ITAJAI - VIACREDI;82639451;b3S;I;2;S5;9;BLUMENAU;SC;01/09/2019;231797;593850
BANCO SEMEAR S.A.;795423;b1;I;2;S4;8;BELO HORIZONTE;MG;01/09/2019;225633;317179
BRB;31976;b1;C;1;S3;199;BRASILIA;DF;01/09/2019;212374;752214
VIA CERTA FINANCIADORA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTOS;5192316;n1;I;2;S4;14;SANTO CRISTO;RS;01/09/2019;203956;589974
CCB;32119;b1;C;3;S3;199;SAO PAULO;SP;01/09/2019;184660;255650
AGORACRED S/A SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO;36321990;n1;I;2;S5;14;VITORIA;ES;01/09/2019;181664;287245
BANCO DO ESTADO DO PARÁ S.A.;4913711;b1;I;1;S3;8;BELEM;PA;01/09/2019;173906;627864
NEGRESCO S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTOS;4379829;n1;I;2;S5;14;CURITIBA;PR;01/09/2019;168341;222906
BANCO TOYOTA DO BRASIL S.A.;3215790;b2;I;3;S4;8;SAO PAULO;SP;01/09/2019;158395;170732
LEBES FINANCEIRA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;11271860;n1;I;2;S5;14;ELDORADO;RS;01/09/2019;156712;279188
KREDILIG S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;6040559;n1;I;2;S5;14;BIGUACU;SC;01/09/2019;142601;295868
BANCO COOPERATIVO SICREDI S.A.;1181521;b1;I;2;S3;11;PORTO ALEGRE;RS;01/09/2019;142551;212722
