Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total Geral;Prefixado;TR / TBF;TJLP;TLP;Libor;Outras Taxas Pós-Fixadas;Carteira ativa com indexador CDI;SELIC;Outras Taxas Flutuantes;IGPM;IPCA;IPCC;Outros Índices de Preço;Outros Indexadores;Total não Individualizado;Total Exterior
CAIXA ECONOMICA FEDERAL;360305;b1;I;1;S1;6;BRASILIA;DF;01/09/2019;673960896;107353167;502275813;25260195;0;0;22;23117451;0;0;360371;4423629;0;0;11154989;15258;0
ITAU;10069;b1;C;2;S1;199;SAO PAULO;SP;01/09/2019;653319683;269103271;49095725;4291132;2681755;534458;13386075;26234260;2282;121786;102634;48770;0;0;5449;129502;287582583
BB;49906;b1;C;1;S1;199;BRASILIA;DF;01/09/2019;618161289;383106042;62536857;12357178;6136935;47353;6053;70950896;0;40020842;1701723;170358;0;0;3044515;24069;38058468
BRADESCO;10045;b1;C;2;S1;199;OSASCO;SP;01/09/2019;514484849;269215104;58635566;6360764;4596984;15885;19373944;42539588;942416;0;1644618;96440;0;432315;0;77105;110554118
SANTANDER;30379;b1;C;3;S1;199;SAO PAULO;SP;01/09/2019;330124202;228222919;46042331;3816379;1389709;0;79535;16834301;710497;0;575217;138906;0;780;649755;41267;31622606
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;b4;I;1;S2;4;RIO DE JANEIRO;RJ;01/09/2019;274507222;42789622;40894;177851363;28133266;3273048;6304801;0;7812801;0;25261;8276166;0;0;0;0;0
SAFRA;10083;b1;C;2;S2;199;SAO PAULO;SP;01/09/2019;72818247;44147085;302506;739789;753590;0;2353;17879627;182247;0;18138;73;0;1201;0;1223;8790415
VOTORANTIM;51011;b1;C;2;S2;199;SAO PAULO;SP;01/09/2019;53081861;46040376;838382;309436;111206;60764;636848;3747981;29208;0;0;57224;0;0;192353;1356;1056729
BANRISUL;30173;b1;C;1;S2;199;PORTO ALEGRE;RS;01/09/2019;34204021;25381527;5487300;159320;22474;0;8680;2914466;17681;0;42513;0;0;0;48548;1913;119599
BTG PACTUAL;49944;b1;C;2;S1;199;RIO DE JANEIRO;RJ;01/09/2019;26033766;3888730;67429;2585692;0;273777;0;6924697;0;0;28623;124535;0;0;58738;0;12081543
PAN;31323;b1;C;2;S3;199;SAO PAULO;SP;01/09/2019;23239934;22347077;181474;0;0;0;0;344316;0;0;256896;52901;0;0;49148;8121;0
BANCO RABOBANK INTERNATIONAL BRASIL S.A.;1023570;b1;I;3;S3;8;SAO PAULO;SP;01/09/2019;22385142;18326380;0;192616;66651;0;0;3798339;0;0;0;0;0;0;1157;0;0
DAYCOVAL;51987;b1;C;2;S3;199;SAO PAULO;SP;01/09/2019;21437906;16533289;2984;0;153779;0;85348;2086685;372042;243408;65;0;0;0;660599;1026;1298681
BNP PARIBAS;51516;b1;C;3;S3;199;SAO PAULO;SP;01/09/2019;16811254;11104331;0;601;0;0;4784179;911862;0;0;0;0;0;0;0;10279;0
