Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total Geral;AA;A;B;C;D;E;F;G;H;Total Exterior
CAIXA ECONOMICA FEDERAL;360305;b1;I;1;S1;6;BRASILIA;DF;01/09/2019;673960896;331575974;97520340;95892656;83198477;28703939;9925801;9879753;2948325;14315631;0
ITAU;10069;b1;C;2;S1;199;SAO PAULO;SP;01/09/2019;653319683;136615951;153771993;24299510;18299813;7854733;4722388;3524780;4563428;12084504;287582583
BB;49906;b1;C;1;S1;199;BRASILIA;DF;01/09/2019;618161289;271428539;60464964;139976949;57623649;10552787;8331468;7445660;4525502;19753303;38058468
BRADESCO;10045;b1;C;2;S1;199;OSASCO;SP;01/09/2019;514484849;132322002;150449288;41401565;42289625;6570120;5349935;4619604;5258136;15670456;110554118
SANTANDER;30379;b1;C;3;S1;199;SAO PAULO;SP;01/09/2019;330124202;107805689;108125418;28469743;23839658;10577468;4747683;3604415;2853915;8477609;31622606
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;b4;I;1;S2;4;RIO DE JANEIRO;RJ;01/09/2019;274507222;40099095;93305426;88136850;34046640;2613234;8053581;1478780;0;6773614;0
SAFRA;10083;b1;C;2;S2;199;SAO PAULO;SP;01/09/2019;72818247;33322871;21416720;4916976;1787637;419149;915092;128871;112195;1008320;8790415
VOTORANTIM;51011;b1;C;2;S2;199;SAO PAULO;SP;01/09/2019;53081861;2678948;23569724;10741072;9300260;1359724;720263;507373;1416788;1730981;1056729
BANRISUL;30173;b1;C;1;S2;199;PORTO ALEGRE;RS;01/09/2019;34204021;3676142;17502745;6771694;1933197;1137712;392013;404585;655127;1611207;119599
BTG PACTUAL;49944;b1;C;2;S1;199;RIO DE JANEIRO;RJ;01/09/2019;26033766;1540930;5421786;3904419;860647;499853;441054;971643;142027;169864;12081543
PAN;31323;b1;C;2;S3;199;SAO PAULO;SP;01/09/2019;23239934;0;19927043;730750;618855;322047;203397;203625;204512;1029704;0
BANCO RABOBANK INTERNATIONAL BRASIL S.A.;1023570;b1;I;3;S3;8;SAO PAULO;SP;01/09/2019;22385142;3428917;3496005;12237425;1098437;984521;428321;425801;86810;198906;0
DAYCOVAL;51987;b1;C;2;S3;199;SAO PAULO;SP;01/09/2019;21437906;1697033;6676208;7888833;2394917;655857;91404;95028;24636;615308;1298681
BNP PARIBAS;51516;b1;C;3;S3;199;SAO PAULO;SP;01/09/2019;16811254;4602854;9928836;1353513;233389;90137;66558;188590;53181;294195;0
BANCO VOLKSWAGEN S.A.;59109165;b2;I;3;S3;8;SAO PAULO;SP;01/09/2019;16023435;1692763;9108780;2861532;1408244;347382;149504;137538;43170;274520;0
ABC-BRASIL;41856;b1;C;3;S3;199;SAO PAULO;SP;01/09/2019;14249075;1578979;4763741;4932695;1342447;286093;128290;158643;40938;73619;943630
BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL;92816560;b4;I;1;S3;5;PORTO ALEGRE;RS;01/09/2019;13354719;6619145;5143030;767293;327264;247796;19648;14583;52849;163111;0
