Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total_Carteira_PF;PF_Consignado_Vencido_15d;PF_Consignado_Vencer_90d;PF_Consignado_Vencer_91-360d;PF_Consignado_Vencer_361-1080d;PF_Consignado_Vencer_1081-1800d;PF_Consignado_Vencer_1801-5400d;PF_Consignado_Vencer_acima_5400d;PF_Consignado_TOTAL;PF_Não_Consignado_Vencido_15d;PF_Não_Consignado_Vencer_90d;PF_Não_Consignado_Vencer_91-360d;PF_Não_Consignado_Vencer_361-1080d;PF_Não_Consignado_Vencer_1081-1800d;PF_Não_Consignado_Vencer_1801-5400d;PF_Não_Consignado_Vencer_acima_5400d;PF_Não_Consignado_TOTAL;PF_Veículos_Vencido_15d;PF_Veículos_Vencer_90d;PF_Veículos_Vencer_91-360d;PF_Veículos_Vencer_361-1080d;PF_Veículos_Vencer_1081-1800d;PF_Veículos_Vencer_1801-5400d;PF_Veículos_Vencer_acima_5400d;PF_Veículos_TOTAL;PF_Hab_Vencido_15d;PF_Hab_Vencer_90d;PF_Hab_Vencer_91-360d;PF_Hab_Vencer_361-1080d;PF_Hab_Vencer_1081-1800d;PF_Hab_Vencer_1801-5400d;PF_Hab_Vencer_acima_5400d;PF_Hab_TOTAL;PF_Cartão_Vencido_15d;PF_Cartão_Vencer_90d;PF_Cartão_Vencer_91-360d;PF_Cartão_Vencer_361-1080d;PF_Cartão_Vencer_1081-1800d;PF_Cartão_Vencer_1801-5400d;PF_Cartão_Vencer_acima_5400d;PF_Cartão_TOTAL;PF_Rural_Vencido_15d;PF_Rural_Vencer_90d;PF_Rural_Vencer_91-360d;PF_Rural_Vencer_361-1080d;PF_Rural_Vencer_1081-1800d;PF_Rural_Vencer_1801-5400d;PF_Rural_Vencer_acima_5400d;PF_Rural_TOTAL;PF_Outros_Vencido_15d;PF_Outros_Vencer_90d;PF_Outros_Vencer_91-360d;PF_Outros_Vencer_361-1080d;PF_Outros_Vencer_1081-1800d;PF_Outros_Vencer_1801-5400d;PF_Outros_Vencer_acima_5400d;Outros_TOTAL;Total_Exterior_PF
CAIXA ECONOMICA FEDERAL;360305;b1;I;1;S1;6;BRASILIA;DF;01/09/2019;536325665;1866672;5293164;13590024;23282027;10933794;5985204;8414;60959299;626541;872720;1496854;1243480;135762;2988;8414;4386760;85928;297919;488822;224705;20566;83;306;1118327;1252190;13158793;35113746;80825625;65343626;179820508;69753003;445267491;1619651;6474791;1912505;141140;18913;18283;0;10185283;189751;478148;1366575;528374;162057;57614;0;2782519;1553854;3493966;2682322;2087107;942799;825120;40816;11625985;0
BB;49906;b1;C;1;S1;199;BRASILIA;DF;01/09/2019;356365934;264804;4655211;13073764;28342316;18421337;13044179;257437;78059048;622238;2995714;8940300;10758639;4918408;2477589;533493;31246380;37454;424682;1070918;1584080;319400;43;91142;3527719;67497;622366;1332105;3575964;3557059;17939238;21819272;48913501;1131310;22738475;4680851;296555;21;0;215227;29062439;2369506;17664988;48851667;39658554;25796564;20232818;176907;154751003;615466;1091074;2828506;1641626;1153478;1108987;130515;8569652;2236193
ITAU;10069;b1;C;2;S1;199;SAO PAULO;SP;01/09/2019;290795924;452566;4924907;12767496;20488217;8731465;1910514;33;49275199;489720;2875200;5607429;4799908;900091;19038;0;14691386;212893;2391625;5901489;8261988;1202008;1707;0;17971710;54114;1461232;4178709;9450526;7286213;16869001;4063752;43363545;6214452;53677379;22088004;1354819;15080;6;0;83349740;5112;369624;540776;155783;48659;24632;0;1144586;2385311;8222000;6133400;4723527;1004189;156445;0;22624872;58374885
BRADESCO;10045;b1;C;2;S1;199;OSASCO;SP;01/09/2019;219690607;257348;5345546;14498931;24266618;11487922;4407880;383;60264627;1116859;7313055;7949206;6538971;1018114;180265;268;24116739;260649;3616166;9036463;12629143;1931324;5794;1;27479539;69387;775207;1725522;4484446;4209001;17107787;14069499;42440851;3963873;24165715;7814284;497177;19351;3039;0;36463440;144786;1981788;5515183;4446544;1208367;520870;46;13817584;1503631;5193773;3285789;2922952;876729;389729;15001;14187605;920222
SANTANDER;30379;b1;C;3;S1;199;SAO PAULO;SP;01/09/2019;195927209;625994;3415414;8945818;15041407;7422855;3998669;793;39450950;887962;1354933;2961246;4062541;1580542;337811;17302;11202337;637963;6169863;15308615;22458885;3830254;19267;3755;48428602;43243;1280600;3366510;7375500;5544348;13245607;4633928;35489738;2335602;22694354;7302925;760496;167419;66888;30;33327715;53557;718553;2648664;1468676;806617;537490;0;6233557;2296040;5556622;4015282;4663249;2714963;1561760;37725;20845641;948670
VOTORANTIM;51011;b1;C;2;S2;199;SAO PAULO;SP;01/09/2019;41462838;65687;246082;572418;572612;97703;12623;0;1567125;28150;75160;228728;82231;12864;178;0;427310;673338;5066052;12039653;16825424;2137070;1490;0;36743028;0;0;0;0;0;0;0;0;416014;1517314;605378;20813;0;0;0;2559519;284;7384;14718;3675;3405;91;0;29556;3560;19408;39362;51576;11410;10754;230;136300;0
BANRISUL;30173;b1;C;1;S2;199;PORTO ALEGRE;RS;01/09/2019;25381816;148559;1054281;2914869;5766265;3585097;1794214;119;15263403;28399;852285;368604;239866;58897;8099;0;1556149;434;2454;5006;6998;1717;4;0;16613;3334;65203;150974;399262;370598;1453945;1090598;3533914;76151;1079352;265419;3208;0;0;0;1424130;30760;157586;907122;373256;247035;159112;8974;1883846;121940;1014418;212664;188811;89160;76684;84;1703761;0
SAFRA;10083;b1;C;2;S2;199;SAO PAULO;SP;01/09/2019;23005519;27349;701483;1917044;3668968;2014600;429918;0;8759363;2420;184714;331729;256024;61101;2779;0;838767;95432;1563453;3995422;6091198;844097;844;0;12590447;31;72;373;822;439;367;0;2103;7688;207063;62863;91;0;0;0;277705;0;37003;114478;44741;33528;11653;0;241403;4990;122346;145515;7763;4771;0;0;285386;10346
PAN;31323;b1;C;2;S3;199;SAO PAULO;SP;01/09/2019;21619999;114355;822290;2191895;4054954;2149337;827147;0;10159977;3742;11889;19162;6693;46;0;0;41531;234442;1122327;2677093;3732058;430189;101;0;8196210;867;4378;11083;24316;18025;37725;6133;102527;328268;2121958;221978;12297;922;1;0;2685423;0;0;0;0;0;0;0;0;55827;27962;62614;116644;74400;94229;2655;434331;0
BANCO RABOBANK INTERNATIONAL BRASIL S.A.;1023570;b1;I;3;S3;8;SAO PAULO;SP;01/09/2019;13610078;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;113100;1027256;1260499;1471577;707891;432753;0;5013076;174224;915103;3043344;2878427;1271311;314593;0;8597002;0
