Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total da Carteira de Pessoa Jurídica;PJ_CG_Vencido_15d;PJ_CG_Vencer_90d;PJ_CG_Vencer_91-360d;PJ_CG_Vencer_361-1080d;PJ_CG_Vencer_1081-1800d;PJ_CG_Vencer_1801-5400d;PJ_CG_Vencer_acima_5400d;PJ_CG_TOTAL;PJ_I_Vencido_15d;PJ_I_Vencer_90d;PJ_I_Vencer_91-360d;PJ_I_Vencer_361-1080d;PJ_I_Vencer_1081-1800d;PJ_I_Vencer_1801-5400d;PJ_I_Vencer_acima_5400d;PJ_I_TOTAL;PJ_CGR_Vencido_15d;PJ_CGR_Vencer_90d;PJ_CGR_Vencer_91-360d;PJ_CGR_Vencer_361-1080d;PJ_CGR_Vencer_1081-1800d;PJ_CGR_Vencer_1801-5400d;PJ_CGR_Vencer_acima_5400d;PJ_CGR_TOTAL;PJ_Recebiveis_Vencido_15d;PJ_Recebiveis_Vencer_90d;PJ_Recebiveis_Vencer_91-360d;PJ_Recebiveis_Vencer_361-1080d;PJ_Recebiveis_Vencer_1081-1800d;PJ_Recebiveis_Vencer_1801-5400d;PJ_Recebiveis_Vencer_acima_5400d;PJ_Recebiveis_TOTAL;PJ_Comex_Vencido_15d;PJ_Comex_Vencer_90d;PJ_Comex_Vencer_91-360d;PJ_Comex_Vencer_361-1080d;PJ_Comex_Vencer_1081-1800d;PJ_Comex_Vencer_1801-5400d;PJ_Comex_Vencer_acima_5400d;PJ_Comex_TOTAL;PJ_Outros_Vencido_15d;PJ_Outros_Vencer_90d;PJ_Outros_Vencer_91-360d;PJ_Outros_Vencer_361-1080d;PJ_Outros_Vencer_1081-1800d;PJ_Outros_Vencer_1801-5400d;PJ_Outros_Vencer_acima_5400d;PJ_Outros_TOTAL;PJ_Infra_Vencido_15d;PJ_Infra_Vencer_90d;PJ_Infra_Vencer_91-360d;PJ_Infra_Vencer_361-1080d;PJ_Infra_Vencer_1081-1800d;PJ_Infra_Vencer_1801-5400d;PJ_Infra_Vencer_acima_5400d;PJ_Infra_TOTAL;PJ_Rural_Vencido_15d;PJ_Rural_Vencer_90d;PJ_Rural_Vencer_91-360d;PJ_Rural_Vencer_361-1080d;PJ_Rural_Vencer_1081-1800d;PJ_Rural_Vencer_1801-5400d;PJ_Rural_Vencer_acima_5400d;PJ_Rural_TOTAL;PJ_Hab_Vencido_15d;PJ_Hab_Vencer_90d;PJ_Hab_Vencer_91-360d;PJ_Hab_Vencer_361-1080d;PJ_Hab_Vencer_1081-1800d;PJ_Hab_Vencer_1801-5400d;PJ_Hab_Vencer_acima_5400d;PJ_Hab_TOTAL;Total Exterior Pessoa Jurídica
ITAU;10069;b1;C;2;S1;199;SAO PAULO;SP;01/09/2019;362523760;376966;9484555;13226334;14491365;2668130;431531;0;40678881;14070;886545;2289876;3456472;858232;9938;0;7515134;689294;9493200;220576;0;0;0;0;10403070;100362;10601853;4129414;935560;868657;3833;0;16639680;14534;3729448;7421546;3998214;3987239;2353096;0;21504077;887590;3559913;4293291;3390574;985140;206327;0;13322836;28139;1807703;3455317;5210745;1992223;1795165;299136;14588427;372;955397;4196447;605757;236915;185617;0;6180505;153515;385397;775889;1048505;90178;29956;12;2483451;229207698
BRADESCO;10045;b1;C;2;S1;199;OSASCO;SP;01/09/2019;294794242;591499;8691876;13558083;17564494;3542395;468935;26;44417308;80393;2392757;5059572;6349298;1420326;140981;0;15443326;424639;6373293;1154407;240;0;0;0;7952578;311466;18748890;5186922;98845;5730;0;0;24351853;861786;11540064;14976681;4706467;4116998;6008408;0;42210403;1337777;4989216;4017803;2842319;1567404;1845274;849273;17449067;444014;1729401;3718055;7015671;4151980;7415862;319851;24794834;6339;400950;2435173;643686;142657;86701;0;3715506;170603;326712;802885;2542352;899505;76939;6474;4825470;109633897
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;b4;I;1;S2;4;RIO DE JANEIRO;RJ;01/09/2019;274505695;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;150779;9494353;24657935;53222431;40764708;115646664;30143744;274080613;0;20912;63348;144940;99056;96825;0;425082;0;0;0;0;0;0;0;0;0
BB;49906;b1;C;1;S1;199;BRASILIA;DF;01/09/2019;261795355;838611;6395572;15387289;18440150;4379313;1010297;413828;46865060;417651;1739871;4751198;11741318;8828648;26420372;80537;53979593;128419;1922531;664719;24162;0;0;21423;2761255;117584;4404086;1085128;156641;0;0;0;5763439;667857;10315461;12954974;4398696;7198454;1961426;0;37496869;1620593;4096378;2751403;3346175;2146390;3449459;865802;18276198;330301;2999111;7053074;10465703;6774048;14248390;5069236;46939863;61522;1386888;3705233;4048239;1228549;1379165;0;11809596;465287;100945;646868;826805;41300;0;0;2081206;35822275
CAIXA ECONOMICA FEDERAL;360305;b1;I;1;S1;6;BRASILIA;DF;01/09/2019;137635231;1498508;3247856;8403452;12120529;4408973;671614;2933;30353865;17415;50123;92001;300161;247262;133685;77;840723;254045;364025;998575;3576;0;0;0;1620221;15512;192386;15493;0;0;0;0;223391;49519;470425;1119695;204491;7432;0;0;1851563;1320766;777489;1164214;1150700;470840;231030;436;5115474;474799;5637789;9224021;17978790;12541192;33535603;8022321;87414516;1346;262303;1807711;28150;5626;2220;0;2107356;561722;1269502;2800537;3172261;168802;135299;0;8108124;0
SANTANDER;30379;b1;C;3;S1;199;SAO PAULO;SP;01/09/2019;134196994;532693;4906523;5900277;7132318;1765521;980194;192610;21410135;59102;1048994;2477150;3435051;791973;75052;487;7887809;271555;3910110;1254559;200516;71299;80424;9014;5797479;88836;17108905;9885380;388944;13858;12148;6120;27504192;104296;4613595;6733346;1958031;2540608;1290404;0;17240279;596859;1747754;2459642;2239934;767970;348211;148873;8309243;42437;632012;1376851;2408060;1300928;3050522;641914;9452725;5016;743227;3145024;359939;118744;46853;0;4418801;53816;245411;677437;479667;16166;29896;2;1502394;30673936
SAFRA;10083;b1;C;2;S2;199;SAO PAULO;SP;01/09/2019;49812727;33913;3190367;5510657;5588138;1140101;208800;0;15671976;4809;463222;983750;957055;201751;29499;0;2640086;39208;961124;73202;3;2252;0;0;1075790;7075;5140327;1676216;11458;0;0;0;6835076;5377;1774221;3756872;1793195;714606;1660217;0;9704487;33448;177802;712738;289899;5000;0;0;1218886;280;222340;432523;899347;429183;266097;0;2249769;0;137212;526362;319391;195606;157614;0;1336184;0;12978;49279;236789;1357;0;0;300403;8780069
BTG PACTUAL;49944;b1;C;2;S1;199;RIO DE JANEIRO;RJ;01/09/2019;25092354;598;337064;988886;1841968;451774;835186;0;4455475;0;0;0;0;0;0;0;0;0;0;14319;0;0;0;0;14319;506;847506;423757;20173;553;275;0;1292769;13140;390847;1688809;1368851;240594;20225;0;3722466;288171;142450;325695;217055;4709;1467;0;979547;0;26736;53924;147480;157548;1026440;1478484;2890611;0;0;5284;0;0;0;0;5284;0;0;0;0;0;0;0;0;11731883
DAYCOVAL;51987;b1;C;2;S3;199;SAO PAULO;SP;01/09/2019;14037789;29442;626866;1332642;1488580;170184;2800;0;3650514;2074;129719;326628;504472;110191;12174;29799;1115057;8097;746353;949180;14502;0;0;0;1718133;14739;3475146;638930;26021;2304;0;0;4157140;66654;492907;761971;219129;24592;0;0;1565253;2793;24979;61727;7417;1335;0;0;98251;833;45538;102855;102558;17938;400;0;270122;0;32201;135604;2085;0;0;0;169890;0;0;0;0;0;0;0;0;1293428
ABC-BRASIL;41856;b1;C;3;S3;199;SAO PAULO;SP;01/09/2019;13993043;23879;930780;1339869;1452360;214837;7638;0;3969363;0;213953;717171;681848;134154;3630;0;1750756;1250;80971;37229;0;0;0;0;119450;0;500410;319322;8541;0;0;0;828272;12199;753519;1653015;951178;227808;45163;0;3642882;93293;102327;322406;343186;139019;81367;0;1081598;3148;37050;111929;218515;91868;26220;0;488731;0;101114;525863;273575;145327;122486;0;1168364;0;0;0;0;0;0;0;0;943628
