Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Disponibilidades (a);Aplicações Interfinanceiras de Liquidez (b);TVM e Instrumentos Financeiros Derivativos (c);Operações de Crédito;;;Arrendamento Mercantil;;;;;Outros Créditos - Líquido de Provisão (f);Outros Ativos Realizáveis (g);Permanente Ajustado (h);Ativo Total Ajustado (i) = (a) + (b) + (c) + (d) + (e) + (f) + (g) + (h);Credores por Antecipação de Valor Residual (j);Ativo Total (k) = (i) - (j)
;;;;;;;;;;;;Operações de Crédito (d1);Provisão sobre Operações de Crédito (d2);Operações de Crédito Líquidas de Provisão (d);Arrendamento Mercantil a Receber (e1);Imobilizado de Arrendamento (e2);Credores por Antecipação de Valor Residual (e3);Provisão sobre Arrendamento Mercantil (e4);Arrendamento Mercantil Líquido de Provisão (e);;;;;;
BB;49906;b1;;C;1;BRASILIA;DF;41609;11398316;225506754;109653252;556945324;-20826384;536118940;340760;1076544;560439;-29023;1948720;165459293;96107225;29585391;1175777891;560439;1175217453
ITAU;10069;b1;;C;2;SAO PAULO;SP;41609;16400684;152366820;205825510;349182384;-24520438;324661946;1510736;22401883;13823087;-843175;36892530;161475004;80621874;62902726;1041147094;13823087;1027324008
CAIXA ECONOMICA FEDERAL;360305;b1;;I;1;BRASILIA;DF;41609;11480407;44904342;162666456;485487787;-23642527;461845259;0;0;0;0;0;58559210;109186624;9833057;858475356;0;858475356
BRADESCO;10045;b1;;C;2;OSASCO;SP;41609;11881792;135303782;160442709;290530767;-19938572;270592194;114296;11185008;5731463;-460555;16570210;83602780;60223325;43838962;782455756;5731463;776724294
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;b4;;I;1;RIO DE JANEIRO;RJ;41609;1452;327626;87761654;280631585;-2026931;278604655;0;0;0;0;0;22751596;286981984;86524142;762953109;0;762953109
SANTANDER;30379;b1;;C;3;SAO PAULO;SP;41609;5291427;47655144;81558184;195015019;-14405473;180609547;75066;8390168;4514077;-128750;12850561;112179980;37642194;22170954;499957991;4514077;495443913
HSBC;51152;b1;;C;3;CURITIBA;PR;41609;3045303;14835745;31248811;53720578;-3834821;49885757;20384;1486638;708467;-49051;2166437;44588408;10447321;4438923;160656705;708467;159948239
SAFRA;10083;b1;;C;2;SAO PAULO;SP;41609;706778;28827748;36820499;45678174;-1507790;44170385;35369;1318393;1005176;-34053;2324886;14579630;1568012;2118824;131116760;1005176;130111584
BTG PACTUAL;49944;b1;;C;2;RIO DE JANEIRO;RJ;41609;907632;27451418;41427321;14295977;-166241;14129736;0;0;0;0;0;25265813;293629;6426082;115901631;0;115901631
VOTORANTIM;51011;b1;;C;2;SAO PAULO;SP;41609;206299;11705500;32515903;52238488;-3722491;48515997;18978;2388194;1481469;-76617;3812023;10068241;1175530;457063;108456557;1481469;106975088
CITIBANK;30403;b1;;C;3;SAO PAULO;SP;41609;702172;8913639;17791825;10743227;-738135;10005092;2439;147660;19785;-2217;167667;13404960;2617911;713875;54317140;19785;54297355
BANRISUL;30173;b1;;C;1;PORTO ALEGRE;RS;41609;737919;509587;18356546;25407738;-1490019;23917719;162;133800;60662;-6488;188136;3772383;5070869;621991;53175150;60662;53114488
BANCO DO NORDESTE DO BRASIL S.A.;7237373;b1;;I;1;FORTALEZA;CE;41609;155909;7737065;12004013;11124768;-876385;10248383;0;0;0;0;0;2998492;438036;235604;33817503;0;33817503
CREDIT SUISSE;30771;b1;;C;3;SAO PAULO;SP;41609;2669327;13985943;5523344;4351537;-389850;3961687;0;0;0;0;0;4933509;73096;1246903;32393809;0;32393809
JP MORGAN CHASE;20107;b1;;C;3;SAO PAULO;SP;41609;145567;11160958;9909112;810014;-31757;778258;0;0;0;0;0;7806522;71118;82242;29953776;0;29953776
BMG;30290;b1;;C;2;SAO PAULO;SP;41609;81896;562731;2428967;20001601;-803439;19198162;147;11085;7176;-358;18049;3108027;1146646;1603478;28147955;7176;28140779
BANCO VOLKSWAGEN S.A.;59109165;b2;;I;3;SAO PAULO;SP;41609;33020;1728750;273769;22957881;-889712;22068168;3668;700450;455048;-24618;1134547;2244499;259229;164418;27906400;455048;27451352
BANCO COOPERATIVO SICREDI S.A.;1181521;b1;;I;2;PORTO ALEGRE;RS;41609;28610;8706049;3080814;10928338;-16073;10912265;0;0;0;0;0;292523;685619;106897;23812778;0;23812778
DEUTSCHE;51183;b1;;C;3;SAO PAULO;SP;41609;426257;3284494;2546525;1626626;-13788;1612838;0;0;0;0;0;14184182;115653;37630;22207579;0;22207579
PANAMERICANO;31323;b1;;C;2;SAO PAULO;SP;41609;43687;1230698;1376221;13376733;-894213;12482520;3398;394124;258320;-23353;632487;4521856;512811;1183900;21984180;258320;21725860
BNP PARIBAS;51516;b1;;C;3;SAO PAULO;SP;41609;35256;2150629;5502429;5828922;-300309;5528612;0;284185;0;0;284185;6924040;410638;96765;20932555;0;20932555
BANCOOB;51750;b1;;C;2;BRASILIA;DF;41609;3743;6312224;3814145;6721896;-34054;6687842;0;0;0;0;0;746219;484631;70998;18119803;0;18119803
ABC-BRASIL;41856;b1;;C;3;SAO PAULO;SP;41609;175347;2403403;2909059;9147274;-173664;8973610;0;0;0;0;0;2613433;98495;94422;17267769;0;17267769
BIC;32119;b1;;C;2;SAO PAULO;SP;41609;306969;990810;2024214;9185998;-368414;8817584;3084;467559;138809;-12703;596750;2120234;671100;218034;15745695;138809;15606886
BANCO RABOBANK INTERNATIONAL BRASIL S.A.;1023570;b1;;I;3;SAO PAULO;SP;41609;60652;2858003;1630812;7324813;-126297;7198516;0;0;0;0;0;3516922;8283;50206;15323393;0;15323393
BANCO DAYCOVAL S.A.;62232889;b1;;I;2;SAO PAULO;SP;41609;87634;2025809;1187921;8513228;-469089;8044140;0;0;0;0;0;2806861;556997;230915;14940278;0;14940278
BANESTES;30159;b1;;C;1;VITORIA;ES;41609;234707;3429025;4431456;3721402;-202144;3519258;409;153478;77985;-6977;224895;803256;1235587;207046;14085229;77985;14007244
ALFA;51293;b1;;C;2;SAO PAULO;SP;41609;13669;144084;5174894;7548053;-131691;7416362;17664;315925;42618;-3893;372314;359999;139261;262025;13882606;42618;13839988
MERCANTIL DO BRASIL;20152;b1;;C;2;BELO HORIZONTE;MG;41609;211576;2700945;501812;8804328;-593621;8210707;18;2726;1982;-13;4713;980213;650901;251424;13512291;1982;13510309
BANCO GMAC S.A.;59274605;b2;;I;3;SAO PAULO;SP;41609;9213;386000;216837;9949871;-160924;9788948;6051;348370;263174;-2901;614694;1857042;224335;163825;13260894;263174;12997720
SOCIETE GENERALE;31859;b1;;C;3;SAO PAULO;SP;41609;26307;815304;2457248;2208038;-215680;1992358;1741;575951;82063;-2487;657267;6655789;70563;46894;12721730;82063;12639668
BOFA MERRILL LYNCH;51255;b1;;C;3;SAO PAULO;SP;41609;24120;626029;4592738;247730;-23104;224626;0;0;0;0;0;6730431;47168;37830;12282941;0;12282941
BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL;92816560;b4;;I;1;PORTO ALEGRE;RS;41609;7;0;1706545;9641306;-304403;9336904;0;0;0;0;0;465910;4095;23971;11537432;0;11537432
BANCO DA AMAZONIA S.A.;4902979;b1;;I;1;BELEM;PA;41609;56554;1206875;5990448;2442371;-71088;2371283;0;0;0;0;0;1073194;384855;246898;11330107;0;11330107
BRB;31976;b1;;C;1;BRASILIA;DF;41609;166244;404404;935792;8002381;-335726;7666655;0;0;0;0;0;1076272;610117;212169;11071654;0;11071654
MERCEDES-BENZ;51262;b2;;C;3;SAO PAULO;SP;41609;88047;42246;0;8856032;-270623;8585410;990;118165;63485;-4122;178518;2060891;16690;4529;10976330;63485;10912845
PINE;50304;b1;;C;2;SAO PAULO;SP;41609;155955;667692;2603791;5673713;-165929;5507785;0;0;0;0;0;1354327;179468;89730;10558749;0;10558749
MORGAN STANLEY;51413;b1;;C;3;SAO PAULO;SP;41609;582;4899916;3816245;0;0;0;0;0;0;0;0;1436289;460;19833;10173325;0;10173325
BES;51482;b2;;C;3;SAO PAULO;SP;41609;71242;197375;5331756;1924342;-3634;1920708;0;0;0;0;0;500635;4705;156609;8183029;0;8183029
BARCLAYS;51705;b1;;C;3;SAO PAULO;SP;41609;43120;2062284;1170607;0;0;0;0;0;0;0;0;3538695;4493;43358;6862557;0;6862557
BANCO DE TOKYO-MITSUBISHI UFJ BRASIL S.A.;60498557;b1;;I;3;SAO PAULO;SP;41609;7789;2508589;1204145;953247;-11825;941422;0;0;0;0;0;1920626;68242;55159;6705972;0;6705972
COOPERATIVA CENTRAL DE CRÉDITO DO RIO GRANDE DO SUL E SANTA CATARINA - CENTRAL SICREDI SUL;87437687;b3C;;I;2;PORTO ALEGRE;RS;41609;3;1818864;4066466;201689;-129;201559;0;0;0;0;0;149581;89;87880;6324443;0;6324443
BANCO CNH CAPITAL S.A.;2992446;b2;;I;3;CURITIBA;PR;41609;1012;349742;5636;5106093;-269370;4836724;807;107992;41885;-4919;145766;768676;27703;31315;6166572;41885;6124687
BANCO CLASSICO S.A.;31597552;b1;;I;2;RIO DE JANEIRO;RJ;41609;284;108009;5749077;0;0;0;0;0;0;0;0;142624;7;80;6000082;0;6000082
BANCO DE LAGE LANDEN BRASIL S.A.;5040481;b2;;I;3;PORTO ALEGRE;RS;41609;1177;284675;16657;5024306;-261472;4762834;2559;599668;293352;-16335;879243;262149;14263;5812;6226810;293352;5933458
BANCO FIDIS S/A;62237425;b2;;I;3;BETIM;MG;41609;3047;157714;93811;5536411;-166935;5369476;171;8942;2414;-1713;9813;278218;14271;7330;5933679;2414;5931265
BANCO IBM S.A.;34270520;b2;;I;3;RIO DE JANEIRO;RJ;41609;19625;2331879;1;880831;-24000;856832;7267;2124267;4978;-30188;2106325;176531;95825;129925;5716942;4978;5711964
ASSOCIACAO DE POUPANCA E EMPRESTIMO - POUPEX;655522;n1;;I;2;BRASILIA;DF;41609;300;1961889;701328;1060282;-68212;992070;0;0;0;0;0;44424;1538746;30522;5269278;0;5269278
INDUSVAL;50531;b1;;C;2;SAO PAULO;SP;41609;38026;202571;1347254;2671221;-207815;2463406;0;0;0;0;0;698385;91599;109159;4950399;0;4950399
BANCO DE DESENVOLVIMENTO DE MINAS GERAIS S.A.-BDMG;38486817;b4;;I;1;BELO HORIZONTE;MG;41609;71483;28215;415378;4147555;-170289;3977266;0;0;0;0;0;312323;890;95497;4901053;0;4901053
GOLDMAN SACHS;51585;b2;;C;3;SAO PAULO;SP;41609;2047;911327;3421583;125746;-629;125117;0;0;0;0;0;345537;449;68281;4874342;0;4874342
