Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Patrimônio de Referência para Comparação com o RWA;;;;;Ativos Ponderados pelo Risco (RWA);;;;;;;;Exposição Total (j);Índice de Capital Principal (k) = (a) / (i);Índice de Capital Nível I (l) = (c) / (i);Índice de Basileia (m) = (e) / (i);Razão de Alavancagem (n) = (c) / (j);Índice de Imobilização (o)
;;;;;;;;;Patrimônio de Referência Nível I para Comparação com RWA;;;Capital Nível II (d);Patrimônio de Referência para Comparação com o RWA;RWA para Risco de Crédito (f);RWA para Risco de Mercado;;;;;RWA para Risco Operacional (h);Ativos Ponderados pelo Risco (RWA) (i) = (f) + (g) + (h);;;;;;
;;;;;;;;;Capital Principal para Comparação com RWA (a);Capital Complementar (b);Patrimônio de Referência Nível I para Comparação com RWA (c) = (a) + (b);;;;RWAcam (g1);RWAcom (g2);RWAjur (g3);RWAacs (g4);RWA para Risco de Mercado (g) = (g1) + (g2) + (g3) + (g4);;;;;;;;
BB;49906;b1;;C;1;BRASILIA;DF;41609;67055163;18445734;85500898;32733454;118234351;760878423;13533033;13868;1693075;0;15239976;36951723;813070121;NA;0,0825;0,1052;0,1454;NA%;0,2347
ITAU;10069;b1;;C;2;SAO PAULO;SP;41609;87409232;0;87409232;37734317;125143549;699318115;0;361673;22107273;2086064;24555009;36847149;760720273;NA;0,1149;0,1149;0,1645;NA%;0,4992
BRADESCO;10045;b1;;C;2;OSASCO;SP;41609;70808080;0;70808080;24995582;95803662;526108347;6537280;231910;19960226;604532;27333949;23334834;576777130;NA;0,1228;0,1228;0,1661;NA%;0,4538
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;b4;;I;1;RIO DE JANEIRO;RJ;41609;60418266;12028055;72446321;36223161;108669482;532080820;10982005;0;11562272;0;22544277;11036368;565661464;NA;0,1068;0,1281;0,1921;NA%;0,4091
CAIXA ECONOMICA FEDERAL;360305;b1;;I;1;BRASILIA;DF;41609;34437984;25080930;59518914;11922079;71440993;450874561;0;0;1447893;0;1447893;19752990;472075445;NA;0,073;0,1261;0,1513;NA%;0,1285
SANTANDER;30379;b1;;C;3;SAO PAULO;SP;41609;63486309;0;63486309;2701014;66187323;310974673;0;0;17658854;955645;18614499;15354431;344943603;NA;0,184;0,184;0,1919;NA%;0,2996
HSBC;51152;b1;;C;3;CURITIBA;PR;41609;9831979;0;9831979;2168923;12000902;85738088;0;0;6061334;455254;6516588;9909117;102163793;NA;0,0962;0,0962;0,1175;NA%;0,3517
BTG PACTUAL;49944;b1;;C;2;RIO DE JANEIRO;RJ;41609;11375535;0;11375535;5113625;16489160;57562788;0;5429873;22057342;4273967;31761182;3626438;92950408;NA;0,1224;0,1224;0,1774;NA%;0,368
