cat;Categoria;Data;Total_Carteira_PF;PF_Consignado_Vencido_15d;PF_Consignado_Vencer_90d;PF_Consignado_Vencer_91-360d;PF_Consignado_Vencer_361-1080d;PF_Consignado_Vencer_1081-1800d;PF_Consignado_Vencer_1801-5400d;PF_Consignado_Vencer_acima_5400d;PF_Consignado_TOTAL;PF_Não_Consignado_Vencido_15d;PF_Não_Consignado_Vencer_90d;PF_Não_Consignado_Vencer_91-360d;PF_Não_Consignado_Vencer_361-1080d;PF_Não_Consignado_Vencer_1081-1800d;PF_Não_Consignado_Vencer_1801-5400d;PF_Não_Consignado_Vencer_acima_5400d;PF_Não_Consignado_TOTAL;PF_Veículos_Vencido_15d;PF_Veículos_Vencer_90d;PF_Veículos_Vencer_91-360d;PF_Veículos_Vencer_361-1080d;PF_Veículos_Vencer_1081-1800d;PF_Veículos_Vencer_1801-5400d;PF_Veículos_Vencer_acima_5400d;PF_Veículos_TOTAL;PF_Hab_Vencido_15d;PF_Hab_Vencer_90d;PF_Hab_Vencer_91-360d;PF_Hab_Vencer_361-1080d;PF_Hab_Vencer_1081-1800d;PF_Hab_Vencer_1801-5400d;PF_Hab_Vencer_acima_5400d;PF_Hab_TOTAL;PF_Cartão_Vencido_15d;PF_Cartão_Vencer_90d;PF_Cartão_Vencer_91-360d;PF_Cartão_Vencer_361-1080d;PF_Cartão_Vencer_1081-1800d;PF_Cartão_Vencer_1801-5400d;PF_Cartão_Vencer_acima_5400d;PF_Cartão_TOTAL;PF_Rural_Vencido_15d;PF_Rural_Vencer_90d;PF_Rural_Vencer_91-360d;PF_Rural_Vencer_361-1080d;PF_Rural_Vencer_1081-1800d;PF_Rural_Vencer_1801-5400d;PF_Rural_Vencer_acima_5400d;PF_Rural_TOTAL;PF_Outros_Vencido_15d;PF_Outros_Vencer_90d;PF_Outros_Vencer_91-360d;PF_Outros_Vencer_361-1080d;PF_Outros_Vencer_1081-1800d;PF_Outros_Vencer_1801-5400d;PF_Outros_Vencer_acima_5400d;Outros_TOTAL;Total_Exterior_PF
1;1 - Público;mar/14;636.427.399;2.303.416;8.520.077;23.421.059;47.679.925;23.617.822;6.502.288;290;112.044.877;1.872.023;5.027.119;11.736.896;13.728.759;4.094.691;1.263.566;19;37.723.071;379.463;2.163.643;5.542.216;8.651.433;1.561.269;3.831;0;18.301.855;1.632.245;9.548.622;25.125.685;57.074.095;45.154.240;116.977.630;42.243.233;297.755.748;2.140.740;21.906.696;4.011.557;195.702;424;4;0;28.255.124;1.445.402;11.284.336;35.742.595;24.638.327;16.884.656;20.805.143;1.101.023;111.901.483;2.333.239;8.039.570;8.595.927;4.296.118;2.260.154;2.510.054;550.095;28.585.157;1.860.084
1%;1 - Público;mar/14;48,95%;61,05%;42,49%;43,91%;48,96%;56,84%;78,70%;3,69%;49,94%;31,89%;24,47%;33,60%;40,95%;55,08%;59,28%;0,26%;36,12%;8,34%;8,10%;8,46%;9,79%;14,30%;6,13%;0,00%;9,33%;91,28%;85,45%;86,43%;87,00%;86,77%;83,75%;74,23%;83,58%;16,11%;22,28%;14,07%;12,75%;0,20%;0,01%;0,00%;19,91%;82,12%;58,26%;63,19%;65,37%;71,98%;84,33%;99,51%;67,98%;34,89%;26,19%;40,12%;26,88%;37,61%;70,96%;48,36%;33,44%;6,95%
2;2 - Privado Nacional;mar/14;459.223.039;886.938;9.587.437;24.871.095;41.663.950;15.382.724;1.401.512;1.106;93.794.763;2.416.946;12.175.603;16.759.345;12.970.599;2.056.595;762.629;3.943;47.145.660;3.102.691;15.931.833;38.545.217;51.699.482;5.883.797;47.388;5;115.210.414;118.460;815.499;2.046.048;4.426.119;3.990.622;14.400.044;11.000.508;36.797.298;7.969.955;52.013.436;18.596.635;341.525;4.306;140;505;78.926.502;191.629;5.990.383;15.465.348;7.551.002;3.598.386;2.536.661;101;35.333.509;2.565.087;16.045.684;8.206.199;7.638.828;1.991.998;518.310;571.401;37.537.507;14.477.386
2%;2 - Privado Nacional;mar/14;35,32%;23,51%;47,81%;46,63%;42,78%;37,02%;16,96%;14,04%;41,80%;41,17%;59,27%;47,98%;38,69%;27,67%;35,78%;55,65%;45,14%;68,16%;59,61%;58,82%;58,50%;53,88%;75,83%;0,10%;58,73%;6,62%;7,30%;7,04%;6,75%;7,67%;10,31%;19,33%;10,33%;59,97%;52,89%;65,24%;22,24%;2,01%;0,35%;15,55%;55,61%;10,89%;30,93%;27,34%;20,03%;15,34%;10,28%;0,01%;21,46%;38,36%;52,27%;38,30%;47,79%;33,15%;14,65%;50,23%;43,92%;54,07%
3;3 - Privado com Controle Estrangeiro;mar/14;204.384.938;582.651;1.945.269;5.042.699;8.050.694;2.553.364;357.977;6.482;18.539.136;1.581.862;3.340.716;6.430.909;6.827.355;1.282.151;105.352;3.125;19.571.468;1.069.995;8.631.805;21.443.769;28.019.364;3.476.022;11.276;4.903;62.657.135;37.499;810.737;1.899.371;4.102.322;2.891.503;8.292.561;3.668.004;21.701.997;3.178.822;24.413.642;5.896.125;998.234;210.001;40.138;2.742;34.739.705;122.994;2.093.114;5.356.452;5.500.639;2.973.986;1.329.148;5.280;17.381.612;1.788.398;6.612.585;4.623.169;4.047.968;1.757.333;508.747;16.092;19.354.292;10.439.593
3%;3 - Privado com Controle Estrangeiro;mar/14;15,72%;15,44%;9,70%;9,45%;8,27%;6,14%;4,33%;82,27%;8,26%;26,94%;16,26%;18,41%;20,36%;17,25%;4,94%;44,09%;18,74%;23,51%;32,30%;32,72%;31,71%;31,83%;18,04%;99,90%;31,94%;2,10%;7,26%;6,53%;6,25%;5,56%;5,94%;6,45%;6,09%;23,92%;24,83%;20,69%;65,01%;97,80%;99,64%;84,45%;24,48%;6,99%;10,81%;9,47%;14,59%;12,68%;5,39%;0,48%;10,56%;26,75%;21,54%;21,58%;25,33%;29,24%;14,38%;1,41%;22,64%;38,99%
b1;b1 - Banco Comercial, Banco Múltiplo com Carteira Comercial ou Caixa Econômica;mar/14;1.205.241.690;3.745.802;19.544.656;52.060.029;95.431.175;40.842.866;8.086.095;6.843;219.717.465;4.833.425;16.467.062;29.901.803;29.313.532;6.350.063;1.630.363;3.246;88.499.494;4.248.653;22.650.558;55.147.760;74.828.768;9.156.671;54.457;4.908;166.091.774;1.781.427;11.101.684;28.963.440;65.388.476;51.874.059;139.301.968;56.833.042;355.244.097;12.070.009;92.552.395;26.330.043;1.441.598;212.416;40.273;2.742;132.649.476;1.591.821;14.323.744;47.362.627;31.453.244;20.308.487;21.783.995;1.101.316;137.925.232;6.401.605;27.717.620;19.493.150;15.018.532;5.717.685;3.400.190;588.307;78.337.089;26.777.063
b1%;b1 - Banco Comercial, Banco Múltiplo com Carteira Comercial ou Caixa Econômica;mar/14;92,71%;99,28%;97,47%;97,61%;97,98%;98,29%;97,87%;86,85%;97,92%;82,33%;80,16%;85,61%;87,43%;85,43%;76,49%;45,81%;84,74%;93,33%;84,75%;84,15%;84,68%;83,84%;87,14%;100,00%;84,67%;99,62%;99,35%;99,63%;99,67%;99,69%;99,74%;99,86%;99,72%;90,82%;94,12%;92,37%;93,89%;98,92%;99,98%;84,45%;93,47%;90,44%;73,96%;83,73%;83,45%;86,58%;88,30%;99,54%;83,79%;95,74%;90,29%;90,98%;93,97%;95,14%;96,13%;51,72%;91,65%;100,00%
b2;b2 - Banco Múltiplo sem Carteira Comercial ou Banco de Investimento ou Banco de Câmbio;mar/14;34.925.790;283;8.061;20.920;22.041;1.939;0;0;53.244;3.730;20.144;52.723;51.170;5.149;2.388;0;135.305;224.654;3.336.382;8.555.735;10.969.228;1.364.344;1.823;0;24.452.167;0;0;0;0;0;0;0;0;549.873;1.933.901;856.635;66.468;0;0;0;3.406.877;45.172;721.712;971.846;2.646.717;1.524.398;536.166;4.620;6.450.630;19.364;112.210;84.083;164.117;42.410;5.385;0;427.568;0
b2%;b2 - Banco Múltiplo sem Carteira Comercial ou Banco de Investimento ou Banco de Câmbio;mar/14;2,69%;0,01%;0,04%;0,04%;0,02%;0,00%;0,00%;0,00%;0,02%;0,06%;0,10%;0,15%;0,15%;0,07%;0,11%;0,00%;0,13%;4,94%;12,48%;13,06%;12,41%;12,49%;2,92%;0,00%;12,46%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;4,14%;1,97%;3,01%;4,33%;0,00%;0,00%;0,00%;2,40%;2,57%;3,73%;1,72%;7,02%;6,50%;2,17%;0,42%;3,92%;0,29%;0,37%;0,39%;1,03%;0,71%;0,15%;0,00%;0,50%;0,00%
