cat;Categoria;Data;Total da Carteira de Pessoa Jurídica;PJ_CG_Vencido_15d;PJ_CG_Vencer_90d;PJ_CG_Vencer_91-360d;PJ_CG_Vencer_361-1080d;PJ_CG_Vencer_1081-1800d;PJ_CG_Vencer_1801-5400d;PJ_CG_Vencer_acima_5400d;PJ_CG_TOTAL;PJ_I_Vencido_15d;PJ_I_Vencer_90d;PJ_I_Vencer_91-360d;PJ_I_Vencer_361-1080d;PJ_I_Vencer_1081-1800d;PJ_I_Vencer_1801-5400d;PJ_I_Vencer_acima_5400d;PJ_I_TOTAL;PJ_CGR_Vencido_15d;PJ_CGR_Vencer_90d;PJ_CGR_Vencer_91-360d;PJ_CGR_Vencer_361-1080d;PJ_CGR_Vencer_1081-1800d;PJ_CGR_Vencer_1801-5400d;PJ_CGR_Vencer_acima_5400d;PJ_CGR_TOTAL;PJ_Recebiveis_Vencido_15d;PJ_Recebiveis_Vencer_90d;PJ_Recebiveis_Vencer_91-360d;PJ_Recebiveis_Vencer_361-1080d;PJ_Recebiveis_Vencer_1081-1800d;PJ_Recebiveis_Vencer_1801-5400d;PJ_Recebiveis_Vencer_acima_5400d;PJ_Recebiveis_TOTAL;PJ_Comex_Vencido_15d;PJ_Comex_Vencer_90d;PJ_Comex_Vencer_91-360d;PJ_Comex_Vencer_361-1080d;PJ_Comex_Vencer_1081-1800d;PJ_Comex_Vencer_1801-5400d;PJ_Comex_Vencer_acima_5400d;PJ_Comex_TOTAL;PJ_Outros_Vencido_15d;PJ_Outros_Vencer_90d;PJ_Outros_Vencer_91-360d;PJ_Outros_Vencer_361-1080d;PJ_Outros_Vencer_1081-1800d;PJ_Outros_Vencer_1801-5400d;PJ_Outros_Vencer_acima_5400d;PJ_Outros_TOTAL;PJ_Infra_Vencido_15d;PJ_Infra_Vencer_90d;PJ_Infra_Vencer_91-360d;PJ_Infra_Vencer_361-1080d;PJ_Infra_Vencer_1081-1800d;PJ_Infra_Vencer_1801-5400d;PJ_Infra_Vencer_acima_5400d;PJ_Infra_TOTAL;PJ_Rural_Vencido_15d;PJ_Rural_Vencer_90d;PJ_Rural_Vencer_91-360d;PJ_Rural_Vencer_361-1080d;PJ_Rural_Vencer_1081-1800d;PJ_Rural_Vencer_1801-5400d;PJ_Rural_Vencer_acima_5400d;PJ_Rural_TOTAL;PJ_Hab_Vencido_15d;PJ_Hab_Vencer_90d;PJ_Hab_Vencer_91-360d;PJ_Hab_Vencer_361-1080d;PJ_Hab_Vencer_1081-1800d;PJ_Hab_Vencer_1801-5400d;PJ_Hab_Vencer_acima_5400d;PJ_Hab_TOTAL;Total Exterior Pessoa Jurídica
1;1 - Público;mar/14;826.207.494;3.514.947;20.256.613;47.012.272;59.502.193;13.855.176;3.154.387;118.805;147.414.392;564.370;2.384.403;6.183.412;8.041.748;10.486.986;23.529.681;3.943.654;55.134.254;1.007.157;5.626.839;5.918.476;650.710;37.664;0;0;13.240.846;677.094;14.346.706;3.781.921;958.535;7.423;718;409.309;20.181.706;99.462;5.381.011;9.400.625;1.201.186;5.926.128;3.550.360;0;25.558.772;983.471;4.418.337;2.600.247;3.065.392;1.455.960;5.452.272;139.639;18.115.319;745.311;18.540.320;48.355.867;111.450.039;73.014.937;151.370.925;33.922.315;437.399.713;155.558;8.346.685;15.200.052;15.622.081;4.433.608;7.360.622;127.449;51.246.054;28.234;2.435.975;3.181.981;4.367.304;956.087;364.520;13.043;11.347.143;
1%;1 - Público;mar/14;47,26%;44,42%;29,06%;40,01%;51,04%;56,72%;53,03%;46,29%;43,06%;43,28%;19,39%;22,93%;27,71%;71,68%;91,16%;87,55%;48,14%;31,10%;14,77%;39,98%;51,18%;13,01%;0,00%;0,00%;22,62%;44,53%;23,59%;22,93%;53,17%;4,08%;0,36%;98,65%;24,78%;13,51%;22,73%;22,44%;5,45%;53,71%;58,24%;0,00%;24,23%;24,52%;30,06%;20,03%;22,97%;32,91%;84,73%;59,86%;32,27%;63,75%;59,11%;61,20%;65,14%;78,20%;92,66%;95,49%;76,08%;83,72%;50,24%;45,53%;81,18%;67,68%;79,25%;100,00%;60,01%;14,52%;55,39%;27,48%;21,36%;15,96%;6,09%;9,91%;23,29%;
2;2 - Privado Nacional;mar/14;672.245.115;2.902.344;35.054.124;53.566.605;42.915.470;7.653.167;1.790.806;9.326;143.891.842;510.933;5.960.780;13.496.058;13.460.345;3.099.496;1.370.444;8.010;37.906.066;1.661.828;25.035.951;6.501.445;31.025;1.310;463;556.540;33.788.561;538.950;26.700.003;4.365.889;505.185;145.528;181.421;246;32.437.222;250.855;10.067.007;15.760.862;12.610.271;2.592.115;1.430.091;0;42.711.201;2.235.894;6.404.951;6.455.753;6.250.941;1.726.339;548.679;59.599;23.682.156;192.574;8.230.906;20.215.350;41.172.479;14.142.957;10.325.196;1.565.070;95.844.531;18.519;6.807.376;14.214.077;2.750.950;1.791.822;1.744.691;0;27.327.435;32.530;872.212;4.617.932;12.286.743;4.828.801;3.693.622;118.579;26.450.419;
2%;2 - Privado Nacional;mar/14;38,45%;36,68%;50,28%;45,59%;36,81%;31,33%;30,10%;3,63%;42,03%;39,18%;48,48%;50,04%;46,39%;21,18%;5,31%;0,18%;33,10%;51,32%;65,71%;43,92%;2,44%;0,45%;0,44%;75,74%;57,72%;35,44%;43,90%;26,47%;28,02%;80,04%;89,76%;0,06%;39,83%;34,08%;42,52%;37,63%;57,27%;23,49%;23,46%;0,00%;40,50%;55,75%;43,58%;49,72%;46,84%;39,02%;8,53%;25,55%;42,19%;16,47%;26,24%;25,59%;24,07%;15,15%;6,32%;4,41%;16,67%;9,97%;40,97%;42,57%;14,29%;27,35%;18,79%;0,00%;32,00%;16,73%;19,83%;39,89%;60,09%;80,59%;61,70%;90,09%;54,28%;
3;3 - Privado com Controle Estrangeiro;mar/14;249.864.346;1.495.043;14.401.019;16.921.199;14.171.555;2.917.576;1.003.380;128.547;51.038.319;228.701;3.949.701;7.288.526;7.514.753;1.044.390;910.872;552.588;21.489.531;569.268;7.436.694;2.383.045;589.604;250.452;104.896;178.223;11.512.184;304.596;19.767.727;8.344.865;338.958;28.866;19.977;5.361;28.810.350;385.799;8.228.466;16.725.152;8.209.013;2.516.331;1.115.335;13.150;37.193.247;791.239;3.874.960;3.928.904;4.029.251;1.241.467;433.965;34.027;14.333.815;231.229;4.593.109;10.435.910;18.465.889;6.213.936;1.673.710;36.850;41.650.632;11.723;1.461.122;3.972.459;871.777;325.796;182.226;0;6.825.103;133.691;1.089.461;3.777.857;3.794.869;207.177;1.928.575;0;10.931.631;
3%;3 - Privado com Controle Estrangeiro;mar/14;14,29%;18,90%;20,66%;14,40%;12,16%;11,94%;16,87%;50,08%;14,91%;17,54%;32,12%;27,03%;25,90%;7,14%;3,53%;12,27%;18,76%;17,58%;19,52%;16,10%;46,38%;86,53%;99,56%;24,26%;19,66%;20,03%;32,50%;50,60%;18,80%;15,88%;9,88%;1,29%;35,38%;52,41%;34,75%;39,93%;37,28%;22,80%;18,30%;100,00%;35,27%;19,73%;26,36%;30,26%;30,19%;28,06%;6,74%;14,59%;25,54%;19,78%;14,64%;13,21%;10,79%;6,66%;1,02%;0,10%;7,24%;6,31%;8,79%;11,90%;4,53%;4,97%;1,96%;0,00%;7,99%;68,75%;24,77%;32,63%;18,56%;3,46%;32,21%;0,00%;22,43%;
b1;b1 - Banco Comercial, Banco Múltiplo com Carteira Comercial ou Caixa Econômica;mar/14;1.369.215.763;7.662.095;66.603.083;112.390.782;111.960.992;23.426.352;5.608.429;255.263;327.906.996;1.159.303;9.630.394;21.123.156;22.326.870;13.221.462;25.268.996;4.499.511;97.229.693;3.188.449;37.161.489;13.604.757;1.256.994;288.116;104.896;178.243;55.782.945;1.328.951;52.539.266;11.594.322;1.678.032;180.709;201.999;414.916;67.938.194;736.116;23.632.087;41.746.926;21.886.232;11.034.154;6.087.485;7.616;105.130.616;3.939.789;13.257.795;12.289.404;12.955.534;4.328.958;6.363.833;217.935;53.353.250;919.872;18.797.025;44.443.300;88.901.354;34.584.839;48.749.201;15.303.251;251.698.842;180.820;16.303.108;32.622.412;17.986.286;5.694.075;8.126.948;127.082;81.040.732;194.411;4.324.544;11.517.661;20.442.458;5.991.997;5.986.698;131.622;48.589.392;
b1%;b1 - Banco Comercial, Banco Múltiplo com Carteira Comercial ou Caixa Econômica;mar/14;78,32%;96,84%;95,54%;95,65%;96,03%;95,91%;94,28%;99,45%;95,78%;88,90%;78,33%;78,33%;76,94%;90,37%;97,90%;99,89%;84,89%;98,46%;97,54%;91,91%;98,87%;99,55%;99,56%;24,26%;95,29%;87,39%;86,39%;70,30%;93,09%;99,39%;99,94%;100,00%;83,43%;100,00%;99,81%;99,67%;99,39%;100,00%;99,86%;57,92%;99,68%;98,23%;90,20%;94,64%;97,08%;97,86%;98,90%;93,43%;95,05%;78,68%;59,93%;56,25%;51,96%;37,04%;29,84%;43,08%;43,78%;97,32%;98,12%;97,71%;93,46%;86,92%;87,50%;99,71%;94,90%;99,98%;98,34%;99,48%;99,97%;100,00%;100,00%;100,00%;99,71%;
b2;b2 - Banco Múltiplo sem Carteira Comercial ou Banco de Investimento ou Banco de Câmbio;mar/14;54.298.304;44.477;933.257;916.997;858.613;250.741;6.086;0;3.010.171;96.419;1.948.445;4.014.056;3.567.189;448.673;27.782;0;10.102.565;0;0;0;0;0;0;0;0;135.158;5.282.717;4.585.259;115.522;0;0;0;10.118.656;0;44.397;139.108;132.219;0;8.301;5.534;329.559;21.227;1.194.582;324.985;125.932;15.164;397;0;1.682.287;187.197;3.126.088;7.298.945;12.804.544;4.314.440;587.575;36.318;28.355.108;2.868;32.608;73.059;163.472;88.188;30.355;0;390.550;0;0;0;0;0;0;0;0;
b2%;b2 - Banco Múltiplo sem Carteira Comercial ou Banco de Investimento ou Banco de Câmbio;mar/14;3,11%;0,56%;1,34%;0,78%;0,74%;1,03%;0,10%;0,00%;0,88%;7,39%;15,85%;14,88%;12,29%;3,07%;0,11%;0,00%;8,82%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;8,89%;8,69%;27,80%;6,41%;0,00%;0,00%;0,00%;12,43%;0,00%;0,19%;0,33%;0,60%;0,00%;0,14%;42,08%;0,31%;0,53%;8,13%;2,50%;0,94%;0,34%;0,01%;0,00%;3,00%;16,01%;9,97%;9,24%;7,48%;4,62%;0,36%;0,10%;4,93%;1,54%;0,20%;0,22%;0,85%;1,35%;0,33%;0,00%;0,46%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;
