Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Disponibilidades (a);Aplicações Interfinanceiras de Liquidez (b);TVM e Instrumentos Financeiros Derivativos (c);Operações de Crédito;;;Arrendamento Mercantil;;;;;Outros Créditos - Líquido de Provisão (f);Outros Ativos Realizáveis (g);Permanente Ajustado (h);Ativo Total Ajustado (i) = (a) + (b) + (c) + (d) + (e) + (f) + (g) + (h);Credores por Antecipação de Valor Residual (j);Ativo Total (k) = (i) - (j)
;;;;;;;;;;;;Operações de Crédito (d1);Provisão sobre Operações de Crédito (d2);Operações de Crédito Líquidas de Provisão (d);Arrendamento Mercantil a Receber (e1);Imobilizado de Arrendamento (e2);Credores por Antecipação de Valor Residual (e3);Provisão sobre Arrendamento Mercantil (e4);Arrendamento Mercantil Líquido de Provisão (e);;;;;;
BB;49906;b1;;C;1;BRASILIA;DF;41426;14056659;215424250;105964559;509789099;-19161272;490627827;328005;1406084;846135;-40695;2539530;145490805;88086176;30175045;1092364852;846135;1091518716
ITAU;10069;b1;;C;2;SAO PAULO;SP;41426;14531120;178223051;185905428;325452174;-24360191;301091983;1552452;29868769;18432749;-978402;48875567;149656351;72265003;58181470;1008729974;18432749;990297225
CAIXA ECONOMICA FEDERAL;360305;b1;;I;1;BRASILIA;DF;41426;6097970;90986245;155309619;422616847;-21330711;401286137;0;0;0;0;0;47883811;104244765;8678669;814487216;0;814487216
BRADESCO;10045;b1;;C;2;OSASCO;SP;41426;15995135;147289564;161699435;275028860;-19900742;255128119;137625;13577251;7200713;-597958;20317630;80836766;55358803;41367890;777993342;7200713;770792629
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;b4;;I;1;RIO DE JANEIRO;RJ;41426;1777;1026178;84119087;264974386;-1720765;263253621;0;0;0;0;0;19963498;259961556;81699894;710025612;0;710025612
SANTANDER;30379;b1;;C;3;SAO PAULO;SP;41426;4438299;44341315;80743048;191377559;-14397745;176979814;108210;10232453;5641126;-179894;15801896;102054463;36102140;23304756;483765731;5641126;478124605
HSBC;51152;b1;;C;3;CURITIBA;PR;41426;2327292;15982386;24611868;51951658;-3543296;48408362;19213;1904513;1012769;-38012;2898484;35443655;10707522;4437439;144817008;1012769;143804238
SAFRA;10083;b1;;C;2;SAO PAULO;SP;41426;377042;26058469;39109708;42959977;-1387109;41572868;35750;1787618;1511101;-37990;3296479;18543727;1461816;2175899;132596008;1511101;131084907
BTG PACTUAL;49944;b1;;C;2;RIO DE JANEIRO;RJ;41426;579253;49840850;42378185;11062196;-167753;10894444;0;0;0;0;0;14698948;533686;6015379;124940744;0;124940744
VOTORANTIM;51011;b1;;C;2;SAO PAULO;SP;41426;129851;14812048;33927828;53347421;-3549910;49797510;23406;3309008;1994503;-106228;5220690;10120060;1489696;360234;115857917;1994503;113863414
CITIBANK;30403;b1;;C;3;SAO PAULO;SP;41426;532613;10674075;14573685;14076226;-1662990;12413236;4034;145827;23404;-1958;171307;18949668;2949337;1225639;61489559;23404;61466156
BANRISUL;30173;b1;;C;1;PORTO ALEGRE;RS;41426;627774;2208961;18752853;23738128;-1496701;22241427;-12;131978;60569;-6190;186345;3650032;4567614;595889;52830896;60569;52770327
JP MORGAN CHASE;20107;b1;;C;3;SAO PAULO;SP;41426;85500;18357476;12506253;415556;-31236;384319;0;0;0;0;0;12093930;110654;99552;43637685;0;43637685
CREDIT SUISSE;30771;b1;;C;3;SAO PAULO;SP;41426;1648033;21338601;7688845;3714922;-229759;3485164;0;0;0;0;0;3803130;63968;1199436;39227176;0;39227176
BANCO DO NORDESTE DO BRASIL S.A.;7237373;b1;;I;1;FORTALEZA;CE;41426;116172;8026777;11879272;11083091;-997727;10085364;0;0;0;0;0;3039251;418353;229045;33794233;0;33794233
DEUTSCHE;51183;b1;;C;3;SAO PAULO;SP;41426;199849;5073221;3035219;1644755;-13991;1630764;0;0;0;0;0;22248759;179789;39029;32406631;0;32406631
