Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Patrimônio de Referência para Comparação com o RWA;;;;;Ativos Ponderados pelo Risco (RWA);;;;;;;;Exposição Total (j);Índice de Capital Principal (k) = (a) / (i);Índice de Capital Nível I (l) = (c) / (i);Índice de Basileia (m) = (e) / (i);Razão de Alavancagem (n) = (c) / (j);Índice de Imobilização (o)
;;;;;;;;;Patrimônio de Referência Nível I para Comparação com RWA;;;Capital Nível II (d);Patrimônio de Referência para Comparação com o RWA;RWA para Risco de Crédito (f);RWA para Risco de Mercado;;;;;RWA para Risco Operacional (h);Ativos Ponderados pelo Risco (RWA) (i) = (f) + (g) + (h);;;;;;
;;;;;;;;;Capital Principal para Comparação com RWA (a);Capital Complementar (b);Patrimônio de Referência Nível I para Comparação com RWA (c) = (a) + (b);;;;RWAcam (g1);RWAcom (g2);RWAjur (g3);RWAacs (g4);RWA para Risco de Mercado (g) = (g1) + (g2) + (g3) + (g4);;;;;;;;
BB;49906;b1;;C;1;BRASILIA;DF;41426;NA;NA;74607192;45125190;116351017;695439137;0;6181;1870291;3437;1879909;33436225;730755270;NA;NA%;NA%;0,1592;NA%;0,2279
ITAU;10069;b1;;C;2;SAO PAULO;SP;41426;NA;NA;83191281;39094890;121819213;601048754;0;1541145;23072327;2761855;27375327;36720329;665144410;NA;NA%;NA%;0,1831;NA%;0,4735
BRADESCO;10045;b1;;C;2;OSASCO;SP;41426;NA;NA;69701869;22761289;92333301;485781230;8481459;60906;80787485;4500687;93830536;21792200;601403967;NA;NA%;NA%;0,1535;NA%;0,4429
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;b4;;I;1;RIO DE JANEIRO;RJ;41426;NA;NA;60853569;35370937;96035243;530982947;34137739;0;18430657;0;52568396;10062016;593613359;NA;NA%;NA%;0,1618;NA%;0,4447
CAIXA ECONOMICA FEDERAL;360305;b1;;I;1;BRASILIA;DF;41426;NA;NA;29605199;29605199;58173320;375372472;0;0;1160167;0;1160167;19188863;395721502;NA;NA%;NA%;0,147;NA%;0,1303
SANTANDER;30379;b1;;C;3;SAO PAULO;SP;41426;NA;NA;64571293;3945342;68481850;286546669;0;0;14987614;941582;15929196;15720333;318196198;NA;NA%;NA%;0,2152;NA%;0,3232
HSBC;51152;b1;;C;3;CURITIBA;PR;41426;NA;NA;10215845;2336206;12552051;75405709;0;0;7710269;53163;7763432;9579193;92748334;NA;NA%;NA%;0,1353;NA%;0,3344
BTG PACTUAL;49944;b1;;C;2;RIO DE JANEIRO;RJ;41426;NA;NA;10967658;5483829;15674102;55266840;1738908;2929519;17754480;3815377;26238285;2865213;84370337;NA;NA%;NA%;0,1858;NA%;0,3335
