Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Ativo Total;Carteira de Crédito Classificada;Passivo Circulante e Exigível a Longo Prazo e Resultados de Exercícios Futuros;Captações;Patrimônio Líquido;Lucro Líquido;Patrimônio de Referência para Comparação com o RWA;Índice de Basileia;Índice de Imobilização;Número de Agências;Número de Postos de Atendimento
BB;49906;b1;;C;1;BRASILIA;DF;41426;1091518716;551385573;1028335815;850549794;63182901;10120867;116351017;0,1592;0,2279;5406;1578
ITAU;10069;b1;;C;2;SAO PAULO;SP;41426;990297225;379017029;906052895;687928543;84244330;6166891;121819213;0,1831;0,4735;3966;872
CAIXA ECONOMICA FEDERAL;360305;b1;;I;1;BRASILIA;DF;41426;814487216;431298316;788874665;684540444;25612551;3140602;58173320;0,147;0,1303;3085;677
BRADESCO;10045;b1;;C;2;OSASCO;SP;41426;770792629;305220427;704575890;588795753;66216739;5878731;92333301;0,1535;0,4429;4719;1402
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;b4;;I;1;RIO DE JANEIRO;RJ;41426;710025612;264989435;669853664;449884843;40171948;3261494;96035243;0,1618;0,4447;4;0
SANTANDER;30379;b1;;C;3;SAO PAULO;SP;41426;478124605;217920300;413515186;301449420;64609419;1170839;68481850;0,2152;0,3232;2717;1326
HSBC;51152;b1;;C;3;CURITIBA;PR;41426;143804238;59991830;133666413;90907511;10137826;454641;12552051;0,1353;0,3344;870;404
SAFRA;10083;b1;;C;2;SAO PAULO;SP;41426;131084907;50133203;124008053;98881739;7076854;598484;9351764;0,1452;0,2327;105;7
BTG PACTUAL;49944;b1;;C;2;RIO DE JANEIRO;RJ;41426;124940744;13356453;113962918;85934144;10977826;1224796;15674102;0,1858;0,3335;10;0
VOTORANTIM;51011;b1;;C;2;SAO PAULO;SP;41426;113863414;55748013;106733027;77864524;7130386;-474151;10793059;0,139;0,0288;114;0
CITIBANK;30403;b1;;C;3;SAO PAULO;SP;41426;61466156;22601688;53747468;27121914;7718688;438944;7648147;0,1519;0,1501;135;17
BANRISUL;30173;b1;;C;1;PORTO ALEGRE;RS;41426;52770327;25182422;47881789;40379513;4888538;419689;6548754;0,1787;0,0844;491;224
JP MORGAN CHASE;20107;b1;;C;3;SAO PAULO;SP;41426;43637685;982233;40113034;22643603;3524651;24855;3524651;0,2454;0,0211;8;1
CREDIT SUISSE;30771;b1;;C;3;SAO PAULO;SP;41426;39227176;3843350;36109669;29215138;3117507;211280;4211286;0,1579;0,2847;10;0
BANCO DO NORDESTE DO BRASIL S.A.;7237373;b1;;I;1;FORTALEZA;CE;41426;33794233;11624632;31275919;16997537;2518314;200028;4984394;0,1647;0,0458;213;5
DEUTSCHE;51183;b1;;C;3;SAO PAULO;SP;41426;32406631;2388072;30872917;7318332;1533714;35086;1533714;0,1371;0,0254;3;0
BMG;30290;b1;;C;2;BELO HORIZONTE;MG;41426;27837231;19773679;24456053;9874705;3381178;343906;4007378;0,1395;0,0485;23;0
BANCO VOLKSWAGEN S.A.;59109165;b2;;I;3;SAO PAULO;SP;41426;25933417;22532819;23785469;18908927;2147949;102399;3095852;0,1364;0,0524;1;0
BANCO COOPERATIVO SICREDI S.A.;1181521;b1;;I;2;PORTO ALEGRE;RS;41426;23083375;8822739;22404704;21998337;678671;22005;808982;0,1784;0,1225;5;0
PANAMERICANO;31323;b1;;C;2;SAO PAULO;SP;41426;21535595;13154347;18751647;14871653;2783948;-20068;2676628;0,1549;0,4298;4;0
BNP PARIBAS;51516;b1;;C;3;SAO PAULO;SP;41426;19438398;6447653;16754476;9024187;2683921;111686;2817067;0,1653;0,0326;12;2
BANCOOB;51750;b1;;C;2;BRASILIA;DF;41426;17437106;6431949;16876006;15876859;561100;28634;580775;0,1355;0,1213;5;0
BIC;32119;b1;;C;2;SAO PAULO;SP;41426;16885930;11598474;14960577;12714102;1925353;17813;2882010;0,1848;0,0555;39;0
ABC-BRASIL;41856;b1;;C;3;SAO PAULO;SP;41426;16389187;8937380;14594988;11027745;1794199;124767;2690842;0,162;0,0314;7;0
ALFA;51293;b1;;C;2;SAO PAULO;SP;41426;14397302;7920047;12425071;11437316;1972232;69265;1937040;0,1952;0,118;53;1
BANCO RABOBANK INTERNATIONAL BRASIL S.A.;1023570;b1;;I;3;SAO PAULO;SP;41426;14064164;7548309;12966665;10440314;1097499;47559;1647009;0,1326;0,0089;16;0
MERCANTIL DO BRASIL;20152;b1;;C;2;BELO HORIZONTE;MG;41426;13872558;8888817;12996187;9954580;876372;18150;1261755;0,1216;0,1653;187;4
BANCO DAYCOVAL S.A.;62232889;b1;;I;2;SAO PAULO;SP;41426;13643875;7552507;11220656;9830320;2423218;126768;2423218;0,1868;0,0777;36;0
BANESTES;30159;b1;;C;1;VITORIA;ES;41426;13635859;3961984;12781842;12056079;854016;50058;851135;0,1441;0,2326;136;27
SOCIETE GENERALE;31859;b1;;C;3;SAO PAULO;SP;41426;13482551;2965217;12532268;4468997;950283;-75555;948764;0,1833;0,0708;5;0
BANCO DA AMAZONIA S.A.;4902979;b1;;I;1;BELEM;PA;41426;11109553;2368847;9567706;3407087;1541847;46197;1541847;0,1161;0,0874;123;4
BRB;31976;b1;;C;1;BRASILIA;DF;41426;10780749;7133111;9807868;8377481;972881;113053;1259745;0,1451;0,151;110;6
BANCO GMAC S.A.;59274605;b2;;I;3;SAO PAULO;SP;41426;10544507;7754999;9154788;4150470;1389720;54530;1296018;0,1274;0,1377;1;0
PINE;50304;b1;;C;2;SAO PAULO;SP;41426;10498071;5387185;9239529;7875770;1258542;84216;1472205;0,1696;0,1097;13;0
BOFA MERRILL LYNCH;51255;b1;;C;3;SAO PAULO;SP;41426;10465835;332702;9148649;2457973;1317187;44782;1368332;0,1711;0,0354;2;0
FIBRA;49951;b1;;C;2;SAO PAULO;SP;41426;10425021;7159629;9452886;8471710;972135;-71374;1157479;0,1375;0,1386;11;0
