cat;Categoria;Data;Total da Carteira de Pessoa Jurídica;PJ_CG_Vencido_15d;PJ_CG_Vencer_90d;PJ_CG_Vencer_91-360d;PJ_CG_Vencer_361-1080d;PJ_CG_Vencer_1081-1800d;PJ_CG_Vencer_1801-5400d;PJ_CG_Vencer_acima_5400d;PJ_CG_TOTAL;PJ_I_Vencido_15d;PJ_I_Vencer_90d;PJ_I_Vencer_91-360d;PJ_I_Vencer_361-1080d;PJ_I_Vencer_1081-1800d;PJ_I_Vencer_1801-5400d;PJ_I_Vencer_acima_5400d;PJ_I_TOTAL;PJ_CGR_Vencido_15d;PJ_CGR_Vencer_90d;PJ_CGR_Vencer_91-360d;PJ_CGR_Vencer_361-1080d;PJ_CGR_Vencer_1081-1800d;PJ_CGR_Vencer_1801-5400d;PJ_CGR_Vencer_acima_5400d;PJ_CGR_TOTAL;PJ_Recebiveis_Vencido_15d;PJ_Recebiveis_Vencer_90d;PJ_Recebiveis_Vencer_91-360d;PJ_Recebiveis_Vencer_361-1080d;PJ_Recebiveis_Vencer_1081-1800d;PJ_Recebiveis_Vencer_1801-5400d;PJ_Recebiveis_Vencer_acima_5400d;PJ_Recebiveis_TOTAL;PJ_Comex_Vencido_15d;PJ_Comex_Vencer_90d;PJ_Comex_Vencer_91-360d;PJ_Comex_Vencer_361-1080d;PJ_Comex_Vencer_1081-1800d;PJ_Comex_Vencer_1801-5400d;PJ_Comex_Vencer_acima_5400d;PJ_Comex_TOTAL;PJ_Outros_Vencido_15d;PJ_Outros_Vencer_90d;PJ_Outros_Vencer_91-360d;PJ_Outros_Vencer_361-1080d;PJ_Outros_Vencer_1081-1800d;PJ_Outros_Vencer_1801-5400d;PJ_Outros_Vencer_acima_5400d;PJ_Outros_TOTAL;PJ_Infra_Vencido_15d;PJ_Infra_Vencer_90d;PJ_Infra_Vencer_91-360d;PJ_Infra_Vencer_361-1080d;PJ_Infra_Vencer_1081-1800d;PJ_Infra_Vencer_1801-5400d;PJ_Infra_Vencer_acima_5400d;PJ_Infra_TOTAL;PJ_Rural_Vencido_15d;PJ_Rural_Vencer_90d;PJ_Rural_Vencer_91-360d;PJ_Rural_Vencer_361-1080d;PJ_Rural_Vencer_1081-1800d;PJ_Rural_Vencer_1801-5400d;PJ_Rural_Vencer_acima_5400d;PJ_Rural_TOTAL;PJ_Hab_Vencido_15d;PJ_Hab_Vencer_90d;PJ_Hab_Vencer_91-360d;PJ_Hab_Vencer_361-1080d;PJ_Hab_Vencer_1081-1800d;PJ_Hab_Vencer_1801-5400d;PJ_Hab_Vencer_acima_5400d;PJ_Hab_TOTAL;Total Exterior Pessoa Jurídica
1;1 - Público;dez/17;824.521.253;6.176.122;9.956.400;25.813.192;42.649.747;10.683.497;4.595.802;1.430.539;101.305.299;472.629;1.827.016;5.638.157;16.432.188;12.459.993;24.894.356;1.859.755;63.584.094;796.602;2.324.226;2.860.805;190.140;264;0;88.754;6.260.792;243.451;5.583.898;1.994.696;514.841;69.387;0;0;8.406.273;864.975;9.449.929;18.351.946;13.211.636;14.182.922;669.296;0;56.730.705;4.823.223;4.797.910;3.966.198;7.382.127;4.344.263;4.099.265;1.193.489;30.606.475;1.895.878;24.889.776;55.255.517;112.046.622;76.503.870;166.003.975;41.246.637;477.842.275;123.869;2.768.093;11.960.685;8.194.442;2.754.438;3.152.260;5.390;28.959.176;640.415;3.352.420;5.924.009;6.452.327;442.036;239.857;32.358;17.083.421;
1%;1 - Público;dez/17;47,46%;50,51%;22,45%;30,49%;41,49%;46,54%;54,61%;80,68%;36,55%;41,28%;19,32%;29,63%;54,05%;83,16%;95,29%;81,01%;61,47%;33,66%;9,65%;30,88%;24,76%;0,20%;0,00%;49,09%;16,63%;34,97%;7,87%;8,30%;25,21%;20,91%;0,00%;0,00%;8,52%;50,50%;27,97%;31,43%;38,76%;76,51%;8,36%;0,00%;36,71%;57,55%;34,01%;23,35%;38,12%;40,12%;62,44%;50,65%;38,95%;78,10%;73,95%;65,77%;77,03%;84,37%;91,10%;90,42%;81,82%;84,63%;48,31%;45,82%;61,70%;67,06%;80,09%;72,21%;54,32%;63,45%;61,83%;48,11%;46,22%;18,76%;50,65%;95,38%;48,03%;
2;2 - Privado Nacional;dez/17;684.966.645;3.992.786;25.255.388;44.514.383;45.624.281;9.226.804;2.828.200;6.525;131.448.366;478.844;3.879.105;7.467.535;7.472.932;1.283.068;324.823;20.992;20.927.299;1.266.910;17.728.162;4.438.943;211.976;13.214;811.636;3.788;24.474.630;323.086;40.106.239;7.958.907;879.586;180.493;129.711;438.894;50.016.917;480.195;14.871.050;22.752.243;13.547.348;2.471.913;6.754.032;0;60.876.781;2.438.697;6.853.680;10.293.448;9.064.734;3.260.763;2.160.876;973.771;35.045.969;281.483;5.730.053;18.564.566;23.050.134;10.653.367;12.959.584;2.383.498;73.622.685;8.026;1.501.226;8.569.602;2.987.314;749.929;426.952;245;14.243.294;192.995;990.537;4.245.702;6.864.828;1.878.657;227.093;654;14.400.466;
2%;2 - Privado Nacional;dez/17;39,43%;32,66%;56,95%;52,58%;44,38%;40,20%;33,60%;0,37%;47,42%;41,82%;41,02%;39,24%;24,58%;8,56%;1,24%;0,91%;20,23%;53,54%;73,62%;47,92%;27,60%;10,19%;93,42%;2,10%;64,99%;46,41%;56,50%;33,11%;43,07%;54,39%;94,89%;99,07%;50,69%;28,04%;44,02%;38,96%;39,74%;13,33%;84,33%;0,00%;39,40%;29,10%;48,58%;60,60%;46,81%;30,11%;32,91%;41,33%;44,60%;11,60%;17,02%;22,10%;15,85%;11,75%;7,11%;5,23%;12,61%;5,48%;26,20%;32,83%;22,49%;18,26%;10,85%;3,28%;26,72%;19,12%;18,27%;34,48%;49,17%;79,75%;47,95%;1,93%;40,49%;
3;3 - Privado com Controle Estrangeiro;dez/17;227.899.367;2.057.547;9.138.090;14.328.757;14.523.175;3.044.123;992.361;335.991;44.420.043;193.518;3.751.024;5.924.737;6.496.903;1.240.062;906.327;414.987;18.927.557;302.765;4.028.878;1.963.257;365.899;116.204;57.145;88.256;6.922.404;129.643;25.296.898;14.083.181;647.605;81.993;6.982;4.135;40.250.437;367.653;9.464.178;17.290.345;7.330.024;1.882.234;586.031;0;36.920.466;1.118.664;2.455.333;2.725.620;2.916.588;3.223.129;305.351;189.034;12.933.718;250.165;3.039.918;10.189.970;10.354.567;3.514.780;3.252.948;1.984.710;32.587.058;14.475;1.460.817;5.574.994;2.099.083;603.207;356.851;1.829;10.111.255;175.980;1.078.616;2.143.703;643.517;35.038;6.648;912;4.084.414;
3%;3 - Privado com Controle Estrangeiro;dez/17;13,12%;16,83%;20,60%;16,93%;14,13%;13,26%;11,79%;18,95%;16,03%;16,90%;39,66%;31,13%;21,37%;8,28%;3,47%;18,08%;18,30%;12,79%;16,73%;21,19%;47,64%;89,61%;6,58%;48,81%;18,38%;18,62%;35,64%;58,59%;31,71%;24,71%;5,11%;0,93%;40,79%;21,46%;28,01%;29,61%;21,50%;10,15%;7,32%;0,00%;23,89%;13,35%;17,41%;16,05%;15,06%;29,77%;4,65%;8,02%;16,46%;10,31%;9,03%;12,13%;7,12%;3,88%;1,79%;4,35%;5,58%;9,89%;25,49%;21,36%;15,81%;14,69%;9,07%;24,50%;18,97%;17,43%;19,89%;17,41%;4,61%;1,49%;1,40%;2,69%;11,48%;
b1;b1 - Banco Comercial, Banco Múltiplo com Carteira Comercial ou Caixa Econômica;dez/17;1.331.431.323;11.780.936;39.570.951;75.482.306;94.264.157;20.770.211;7.696.267;1.642.065;251.206.893;989.044;6.125.200;14.019.245;24.156.872;13.502.771;25.708.127;2.288.177;86.789.436;2.286.315;22.563.292;7.462.464;707.320;117.438;857.351;177.010;34.171.191;564.548;62.782.272;17.198.459;1.950.704;311.736;136.692;443.029;83.387.441;1.712.671;33.784.854;58.368.382;34.089.008;18.537.070;7.989.111;0;154.481.097;8.203.350;13.527.593;15.954.960;18.199.963;10.374.915;6.300.436;2.344.163;74.905.381;1.515.360;16.229.999;47.079.708;64.179.330;34.223.195;66.922.444;20.643.758;250.793.794;128.612;5.169.211;24.502.013;11.021.824;2.628.208;2.307.586;7.302;45.764.758;1.005.610;5.419.058;12.295.433;13.953.418;2.355.653;473.242;33.924;35.536.338;
b1%;b1 - Banco Comercial, Banco Múltiplo com Carteira Comercial ou Caixa Econômica;dez/17;76,63%;96,36%;89,22%;89,16%;91,70%;90,48%;91,44%;92,61%;90,63%;86,38%;64,77%;73,67%;79,46%;90,12%;98,40%;99,67%;83,90%;96,62%;93,70%;80,56%;92,10%;90,56%;98,68%;97,90%;90,74%;81,09%;88,44%;71,55%;95,53%;93,93%;100,00%;100,00%;84,51%;99,99%;100,00%;99,96%;100,00%;100,00%;99,75%;0,00%;99,97%;97,89%;95,89%;93,93%;93,99%;95,81%;95,96%;99,49%;95,32%;62,42%;48,22%;56,04%;44,12%;37,74%;36,73%;45,26%;42,94%;87,87%;90,21%;93,86%;82,99%;63,98%;58,63%;97,84%;85,84%;99,63%;99,95%;99,85%;99,95%;100,00%;99,92%;100,00%;99,91%;
b2;b2 - Banco Múltiplo sem Carteira Comercial ou Banco de Investimento ou Banco de Câmbio;dez/17;39.184.609;102.384;1.260.622;1.683.638;843.466;191.853;15.567;0;4.097.529;77.470;2.251.974;2.457.172;2.552.412;403.559;15.159;0;7.757.747;0;0;0;0;0;0;0;0;46.178;4.575.332;6.110.532;85.022;20.129;0;0;10.837.193;0;164;25.967;0;0;20.248;0;46.379;39.475;77.032;79.233;56.139;18.236;5.537;0;275.652;197.091;2.014.425;4.935.393;6.608.886;1.730.256;271.074;13.050;15.770.174;914;19.543;102.100;172.170;80.970;24.239;0;399.935;0;0;0;0;0;0;0;0;
b2%;b2 - Banco Múltiplo sem Carteira Comercial ou Banco de Investimento ou Banco de Câmbio;dez/17;2,26%;0,84%;2,84%;1,99%;0,82%;0,84%;0,18%;0,00%;1,48%;6,77%;23,81%;12,91%;8,40%;2,69%;0,06%;0,00%;7,50%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;6,63%;6,45%;25,42%;4,16%;6,07%;0,00%;0,00%;10,98%;0,00%;0,00%;0,04%;0,00%;0,00%;0,25%;0,00%;0,03%;0,47%;0,55%;0,47%;0,29%;0,17%;0,08%;0,00%;0,35%;8,12%;5,98%;5,87%;4,54%;1,91%;0,15%;0,03%;2,70%;0,62%;0,34%;0,39%;1,30%;1,97%;0,62%;0,00%;0,75%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;
