cat;Categoria;Data;Total_Carteira_PF;PF_Consignado_Vencido_15d;PF_Consignado_Vencer_90d;PF_Consignado_Vencer_91-360d;PF_Consignado_Vencer_361-1080d;PF_Consignado_Vencer_1081-1800d;PF_Consignado_Vencer_1801-5400d;PF_Consignado_Vencer_acima_5400d;PF_Consignado_TOTAL;PF_Não_Consignado_Vencido_15d;PF_Não_Consignado_Vencer_90d;PF_Não_Consignado_Vencer_91-360d;PF_Não_Consignado_Vencer_361-1080d;PF_Não_Consignado_Vencer_1081-1800d;PF_Não_Consignado_Vencer_1801-5400d;PF_Não_Consignado_Vencer_acima_5400d;PF_Não_Consignado_TOTAL;PF_Veículos_Vencido_15d;PF_Veículos_Vencer_90d;PF_Veículos_Vencer_91-360d;PF_Veículos_Vencer_361-1080d;PF_Veículos_Vencer_1081-1800d;PF_Veículos_Vencer_1801-5400d;PF_Veículos_Vencer_acima_5400d;PF_Veículos_TOTAL;PF_Hab_Vencido_15d;PF_Hab_Vencer_90d;PF_Hab_Vencer_91-360d;PF_Hab_Vencer_361-1080d;PF_Hab_Vencer_1081-1800d;PF_Hab_Vencer_1801-5400d;PF_Hab_Vencer_acima_5400d;PF_Hab_TOTAL;PF_Cartão_Vencido_15d;PF_Cartão_Vencer_90d;PF_Cartão_Vencer_91-360d;PF_Cartão_Vencer_361-1080d;PF_Cartão_Vencer_1081-1800d;PF_Cartão_Vencer_1801-5400d;PF_Cartão_Vencer_acima_5400d;PF_Cartão_TOTAL;PF_Rural_Vencido_15d;PF_Rural_Vencer_90d;PF_Rural_Vencer_91-360d;PF_Rural_Vencer_361-1080d;PF_Rural_Vencer_1081-1800d;PF_Rural_Vencer_1801-5400d;PF_Rural_Vencer_acima_5400d;PF_Rural_TOTAL;PF_Outros_Vencido_15d;PF_Outros_Vencer_90d;PF_Outros_Vencer_91-360d;PF_Outros_Vencer_361-1080d;PF_Outros_Vencer_1081-1800d;PF_Outros_Vencer_1801-5400d;PF_Outros_Vencer_acima_5400d;Outros_TOTAL;Total_Exterior_PF
1;1 - Público;dez/17;887.303.621;2.506.853;12.305.197;31.663.164;58.189.045;31.597.196;15.135.202;420.907;151.817.563;1.317.438;4.707.339;9.649.818;11.519.220;4.272.023;1.809.833;1.160.060;34.435.732;359.428;1.657.421;3.863.129;4.152.927;385.647;867;56.381;10.475.800;1.537.483;13.437.552;35.526.548;81.626.374;65.874.786;184.326.689;83.627.265;465.956.696;2.430.335;27.728.095;5.901.731;398.821;7.737;5.830;585.587;37.058.136;2.749.498;11.382.900;54.339.903;37.229.549;25.185.462;21.443.204;712.679;153.043.196;2.897.494;8.043.918;7.515.659;6.246.281;3.466.353;2.579.751;533.027;31.282.483;3.234.015
1%;1 - Público;dez/17;51,77%;62,09%;43,84%;44,93%;47,06%;52,00%;63,73%;99,67%;48,79%;24,07%;25,10%;31,50%;38,43%;49,48%;69,50%;99,51%;35,41%;13,56%;7,53%;7,50%;6,25%;4,51%;2,95%;95,68%;6,93%;85,60%;82,52%;85,56%;85,32%;84,91%;82,46%;75,51%;82,16%;14,97%;20,49%;12,86%;17,52%;5,21%;11,94%;100,00%;18,48%;77,33%;67,42%;60,98%;68,22%;74,47%;80,81%;99,99%;67,96%;30,72%;30,44%;29,86%;27,67%;37,59%;52,51%;87,12%;31,81%;5,11%
2;2 - Privado Nacional;dez/17;607.500.402;1.066.832;12.517.932;30.484.488;52.025.294;23.396.193;6.380.376;1.152;125.872.268;3.433.296;12.386.241;18.119.761;14.712.316;3.339.247;728.972;5.604;52.725.438;1.515.692;12.215.544;28.381.668;37.402.261;4.942.507;15.500;0;84.473.172;213.770;1.686.560;3.239.995;8.244.049;7.495.367;29.139.136;23.041.449;73.060.327;11.179.538;83.158.319;32.043.850;1.035.560;23.545;1.231;1;127.442.044;590.222;4.763.140;25.780.317;9.656.627;4.524.511;3.242.519;73;48.557.409;4.734.624;13.481.242;10.336.807;10.339.885;3.270.438;1.326.657;68.582;43.558.236;51.811.509
2%;2 - Privado Nacional;dez/17;35,44%;26,42%;44,60%;43,26%;42,08%;38,50%;26,87%;0,27%;40,45%;62,74%;66,04%;59,16%;49,08%;38,67%;27,99%;0,48%;54,22%;57,18%;55,52%;55,11%;56,28%;57,77%;52,80%;0,00%;55,85%;11,90%;10,36%;7,80%;8,62%;9,66%;13,04%;20,81%;12,88%;68,87%;61,44%;69,84%;45,48%;15,84%;2,52%;0,00%;63,56%;16,60%;28,21%;28,93%;17,69%;13,38%;12,22%;0,01%;21,56%;50,20%;51,01%;41,07%;45,80%;35,47%;27,00%;11,21%;44,29%;81,93%
3;3 - Privado com Controle Estrangeiro;dez/17;219.265.881;463.954;3.243.700;8.320.518;13.427.939;5.771.588;2.232.364;251;33.460.313;721.812;1.661.773;2.860.983;3.744.429;1.022.996;65.380;165;10.077.539;775.829;8.128.259;19.259.594;24.898.326;3.226.603;12.988;2.543;56.304.140;44.843;1.160.568;2.754.796;5.797.459;4.207.930;10.069.334;4.079.536;28.114.466;2.623.581;24.454.175;7.936.307;842.548;117.324;41.773;26;36.015.735;215.626;736.918;8.990.860;7.687.961;4.109.756;1.850.704;0;23.591.825;1.798.986;4.901.387;7.318.564;5.988.844;2.483.508;1.006.784;10.190;23.508.263;8.193.601
3%;3 - Privado com Controle Estrangeiro;dez/17;12,79%;11,49%;11,56%;11,81%;10,86%;9,50%;9,40%;0,06%;10,75%;13,19%;8,86%;9,34%;12,49%;11,85%;2,51%;0,01%;10,36%;29,27%;36,94%;37,39%;37,47%;37,72%;44,24%;4,32%;37,23%;2,50%;7,13%;6,63%;6,06%;5,42%;4,50%;3,68%;4,96%;16,16%;18,07%;17,30%;37,00%;78,95%;85,54%;0,00%;17,96%;6,06%;4,36%;10,09%;14,09%;12,15%;6,97%;0,00%;10,48%;19,08%;18,55%;29,08%;26,53%;26,94%;20,49%;1,67%;23,90%;12,96%
b1;b1 - Banco Comercial, Banco Múltiplo com Carteira Comercial ou Caixa Econômica;dez/17;1.590.305.553;3.994.598;27.242.994;68.603.403;120.563.587;59.479.647;23.062.163;421.832;303.368.225;4.483.116;14.709.814;23.194.251;24.010.355;7.014.067;1.991.215;1.160.313;76.563.128;2.352.606;18.285.838;42.757.572;55.800.086;7.421.492;25.506;58.924;126.702.025;1.784.676;16.211.662;41.293.630;95.191.611;77.317.668;223.020.678;110.511.187;565.331.112;14.000.029;123.342.509;40.760.045;1.934.530;145.607;48.716;585.613;180.817.049;3.213.775;13.407.334;69.152.604;46.087.665;29.874.672;24.101.052;712.236;186.549.338;8.346.975;23.271.916;21.656.534;20.807.384;8.573.719;4.507.923;571.100;87.735.551;63.239.124
b1%;b1 - Banco Comercial, Banco Múltiplo com Carteira Comercial ou Caixa Econômica;dez/17;92,78%;98,93%;97,06%;97,35%;97,51%;97,88%;97,11%;99,89%;97,50%;81,92%;78,43%;75,72%;80,10%;81,24%;76,46%;99,53%;78,74%;88,75%;83,11%;83,02%;83,97%;86,75%;86,89%;100,00%;83,77%;99,36%;99,55%;99,45%;99,50%;99,66%;99,77%;99,79%;99,68%;86,24%;91,13%;88,84%;84,96%;97,98%;99,76%;100,00%;90,18%;90,39%;79,41%;77,60%;84,45%;88,34%;90,82%;99,93%;82,84%;88,50%;88,06%;86,04%;92,17%;92,99%;91,75%;93,35%;89,21%;100,00%
b2;b2 - Banco Múltiplo sem Carteira Comercial ou Banco de Investimento ou Banco de Câmbio;dez/17;35.256.120;1.717;35.578;79.063;101.957;37.663;5.703;0;261.681;65.237;65.605;79.744;34.960;5.222;7.953;0;258.720;237.470;3.045.116;7.077.197;8.461.261;843.174;1.396;0;19.665.614;0;0;0;0;0;0;0;0;879.454;3.858.689;1.698.720;238.607;0;0;0;6.675.469;53.143;188.360;2.255.010;3.360.527;1.746.720;618.143;0;8.221.904;9.338;44.665;58.923;48.693;9.670;1.444;0;172.732;0
b2%;b2 - Banco Múltiplo sem Carteira Comercial ou Banco de Investimento ou Banco de Câmbio;dez/17;2,06%;0,04%;0,13%;0,11%;0,08%;0,06%;0,02%;0,00%;0,08%;1,19%;0,35%;0,26%;0,12%;0,06%;0,31%;0,00%;0,27%;8,96%;13,84%;13,74%;12,73%;9,86%;4,75%;0,00%;13,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;5,42%;2,85%;3,70%;10,48%;0,00%;0,00%;0,00%;3,33%;1,49%;1,12%;2,53%;6,16%;5,16%;2,33%;0,00%;3,65%;0,10%;0,17%;0,23%;0,22%;0,10%;0,03%;0,00%;0,18%;0,00%
