cat;Categoria;Data;Qt_Operações
C;C - Conglomerado;dez/17;297.239.894
C%;C - Conglomerado;dez/17;77,09%
I;I - Instituição independente;dez/17;88.352.131
I%;I - Instituição independente;dez/17;22,91%
b1;b1 - Banco Comercial, Banco Múltiplo com Carteira Comercial ou Caixa Econômica;dez/17;333.160.400
b1%;b1 - Banco Comercial, Banco Múltiplo com Carteira Comercial ou Caixa Econômica;dez/17;86,40%
b2;b2 - Banco Múltiplo sem Carteira Comercial ou Banco de Investimento ou Banco de Câmbio;dez/17;8.772.005
b2%;b2 - Banco Múltiplo sem Carteira Comercial ou Banco de Investimento ou Banco de Câmbio;dez/17;2,27%
b3S;b3S - Cooperativa de Crédito Singulares;dez/17;8.406.995
b3S%;b3S - Cooperativa de Crédito Singulares;dez/17;2,18%
b3C;b3C - Central e Confederação de Cooperativas de Crédito;dez/17;667
b3C%;b3C - Central e Confederação de Cooperativas de Crédito;dez/17;0,00%
b4;b4 - Banco de Desenvolvimento;dez/17;123.259
b4%;b4 - Banco de Desenvolvimento;dez/17;0,03%
n1;n1 - Não Bancário de Crédito;dez/17;35.128.549
n1%;n1 - Não Bancário de Crédito;dez/17;9,11%
n2;n2 - Não Bancário de Mercado de Capitais;dez/17;150
n2%;n2 - Não Bancário de Mercado de Capitais;dez/17;0,00%
n4;n4 - Instituições de Pagamento;dez/17;0
n4%;n4 - Instituições de Pagamento;dez/17;0,00%
1;1 - Público;dez/17;79.326.676
1%;1 - Público;dez/17;20,57%
2;2 - Privado Nacional;dez/17;252.356.826
2%;2 - Privado Nacional;dez/17;65,45%
3;3 - Privado com Controle Estrangeiro;dez/17;53.908.523
3%;3 - Privado com Controle Estrangeiro;dez/17;13,98%
